timestamp_us,collection,mark_time_us,sweep_time_us
1538742050014868,0,45,57
1538742050020143,1,29,40
1538742050023434,2,14,22
1538742050026311,3,13,22
1538742050029309,4,14,22
1538742050032193,5,14,21
1538742050035116,6,13,22
1538742050038091,7,14,22
1538742050041079,8,13,22
1538742050044024,9,14,22
1538742050047081,10,14,21
1538742050050080,11,14,22
1538742050053012,12,13,21
1538742050055927,13,12,21
1538742050058872,14,14,22
1538742050061794,15,13,22
1538742050064701,16,12,20
1538742050067597,17,13,22
1538742050070643,18,13,23
1538742050073629,19,12,20
1538742050076644,20,13,23
1538742050079646,21,13,22
1538742050082583,22,13,20
1538742050085483,23,12,21
1538742050088385,24,12,20
1538742050091357,25,12,20
1538742050094245,26,13,20
1538742050097233,27,12,20
1538742050100177,28,12,20
1538742050103036,29,12,20
1538742050105892,30,11,20
1538742050108742,31,12,21
1538742050111731,32,12,20
1538742050114562,33,12,20
1538742050117380,34,11,20
1538742050120262,35,19,23
1538742050123164,36,12,20
1538742050126000,37,12,20
1538742050128887,38,13,22
1538742050131928,39,12,21
1538742050134784,40,12,20
1538742050137619,41,11,20
1538742050140493,42,12,21
1538742050143375,43,11,21
1538742050146309,44,12,19
1538742050149122,45,11,20
1538742050152031,46,12,20
1538742050154838,47,12,19
1538742050157644,48,11,20
1538742050160444,49,12,22
1538742050163425,50,12,20
1538742050166225,51,12,20
1538742050169035,52,12,20
1538742050171956,53,12,23
1538742050174782,54,12,20
1538742050177574,55,11,20
1538742050180374,56,12,20
1538742050183314,57,12,19
1538742050186126,58,11,20
1538742050188937,59,11,20
1538742050191810,60,19,30
1538742050194674,61,11,19
1538742050197593,62,11,20
1538742050200435,63,13,23
1538742050203443,64,16,23
1538742050206297,65,11,20
1538742050209144,66,11,20
1538742050212037,67,12,22
1538742050214897,68,12,20
1538742050217725,69,11,20
1538742050220557,70,12,18
1538742050223527,71,11,22
1538742050226347,72,11,20
1538742050229159,73,12,19
1538742050231988,74,12,22
1538742050234922,75,12,20
1538742050237763,76,12,20
1538742050240630,77,12,20
1538742050243586,78,11,20
1538742050246544,79,11,21
1538742050249398,80,12,20
1538742050252242,81,11,20
1538742050255168,82,11,21
1538742050257998,83,12,20
1538742050260828,84,11,21
1538742050263743,85,13,22
1538742050266624,86,12,20
1538742050269439,87,12,20
1538742050272246,88,11,20
1538742050275203,89,12,20
1538742050278007,90,11,19
1538742050280816,91,11,20
1538742050283666,92,12,22
1538742050286554,93,12,20
1538742050289367,94,11,19
1538742050292172,95,11,19
1538742050295091,96,12,20
1538742050298007,97,11,20
1538742050300824,98,11,20
1538742050304331,99,14,24
1538742050308377,100,14,20
timestamp_us,collection,mark_time_us,sweep_time_us
1538971997647845,0,24,11
1538971997676426,1,13,8
1538971997705086,2,26,13
1538971997734692,3,27,9
1538971997763619,4,16,7
