timestamp_us,collection,mark_time_us,sweep_time_us
1538972397858865,0,112,84
1538972397862086,1,49,47
1538972397865038,2,43,44
1538972397867962,3,79,86
1538972397870706,4,45,47
1538972397873689,5,71,78
1538972397876211,6,41,43
1538972397879152,7,59,64
1538972397881966,8,41,47
1538972397884867,9,70,83
1538972397887775,10,75,80
1538972397890447,11,89,85
1538972397893010,12,70,77
1538972397895559,13,71,80
1538972397898242,14,70,78
1538972397900807,15,72,78
1538972397903249,16,71,78
1538972397905970,17,71,77
1538972397908442,18,70,78
1538972397910882,19,70,78
1538972397913564,20,40,42
1538972397916385,21,71,78
1538972397918831,22,41,43
1538972397921797,23,42,44
1538972397924611,24,40,49
1538972397927415,25,70,84
1538972397929845,26,70,83
1538972397932514,27,70,82
1538972397934981,28,71,79
1538972397937386,29,70,77
1538972397940067,30,41,42
1538972397942887,31,41,43
1538972397945673,32,40,45
1538972397948444,33,40,43
1538972397951448,34,40,42
1538972397954246,35,40,43
1538972397957030,36,40,43
1538972397959801,37,72,77
1538972397962429,38,88,78
1538972397964905,39,69,78
1538972397967344,40,69,78
1538972397969987,41,70,77
1538972397972437,42,70,77
1538972397974867,43,69,78
1538972397977514,44,69,77
1538972397979970,45,69,78
1538972397982372,46,69,89
1538972397985040,47,69,77
1538972397987503,48,70,78
1538972397989902,49,69,77
1538972397992587,50,40,42
1538972397995403,51,41,43
1538972397998180,52,40,43
1538972398000942,53,70,80
1538972398003911,54,40,43
1538972398006720,55,73,78
1538972398009150,56,72,78
1538972398011934,57,71,78
1538972398014384,58,71,90
1538972398016818,59,71,78
1538972398019502,60,41,42
1538972398022305,61,41,43
1538972398025088,62,40,43
1538972398027861,63,40,44
1538972398031083,64,48,49
1538972398035004,65,65,50
1538972398038008,66,41,43
1538972398040840,67,71,79
1538972398043517,68,70,77
1538972398046013,69,71,78
1538972398048490,70,71,77
1538972398051149,71,70,78
1538972398053621,72,69,77
1538972398056045,73,69,79
1538972398058712,74,69,77
1538972398061160,75,70,78
1538972398063588,76,70,78
1538972398066237,77,69,77
1538972398068697,78,101,119
1538972398075564,79,258,136
1538972398081115,80,161,122
1538972398086710,81,170,123
1538972398092128,82,162,122
1538972398097730,83,109,85
1538972398103475,84,111,86
1538972398109387,85,165,124
1538972398114861,86,171,128
1538972398120497,87,176,126
1538972398125951,88,170,126
1538972398131591,89,152,121
1538972398136982,90,178,122
1538972398142679,91,116,89
1538972398148418,92,49,47
1538972398154681,93,110,82
1538972398160421,94,115,84
1538972398166304,95,59,48
1538972398172386,96,50,45
1538972398178432,97,122,84
1538972398184343,98,118,84
1538972398190114,99,111,84
1538972398195936,100,71,62
1538972398202030,101,51,46
1538972398208103,102,117,85
1538972398214023,103,125,86
1538972398219827,104,114,86
1538972398225750,105,72,65
1538972398231834,106,54,46
1538972398237922,107,113,84
1538972398243849,108,124,85
1538972398249647,109,112,85
1538972398255454,110,72,66
1538972398261553,111,49,45
1538972398267649,112,112,84
1538972398273602,113,120,86
1538972398279421,114,115,84
1538972398285218,115,72,64
1538972398291277,116,50,47
1538972398297340,117,49,45
1538972398303515,118,121,95
1538972398309296,119,48,46
1538972398315373,120,113,85
1538972398321376,121,116,84
1538972398327132,122,113,87
1538972398333028,123,123,86
1538972398338821,124,116,86
1538972398344572,125,130,104
1538972398350246,126,48,44
1538972398356276,127,49,45
1538972398362548,128,56,46
1538972398368660,129,50,45
1538972398374782,130,49,46
1538972398380991,131,55,45
1538972398387110,132,50,46
1538972398393141,133,47,46
1538972398399354,134,57,48
1538972398405426,135,49,44
1538972398411454,136,48,45
1538972398417607,137,115,93
1538972398423351,138,102,83
1538972398429036,139,148,120
1538972398434701,140,49,46
1538972398440721,141,47,45
1538972398446980,142,53,44
1538972398453060,143,49,45
1538972398459118,144,111,85
1538972398465052,145,58,47
1538972398471139,146,51,46
1538972398477152,147,49,46
1538972398483433,148,53,46
1538972398489492,149,49,45
1538972398495562,150,114,85
1538972398501505,151,118,85
1538972398507251,152,112,84
1538972398513139,153,119,85
1538972398518963,154,109,85
1538972398524674,155,144,115
1538972398530344,156,49,45
1538972398536394,157,108,84
1538972398542323,158,113,110
1538972398548099,159,112,87
1538972398554094,160,179,124
1538972398559592,161,167,125
1538972398565182,162,113,84
1538972398570911,163,172,122
1538972398576554,164,181,126
1538972398581962,165,167,124
1538972398587586,166,116,86
1538972398593316,167,49,45
1538972398599499,168,63,55
1538972398605545,169,49,45
1538972398611648,170,113,84
1538972398617573,171,116,85
1538972398623371,172,111,84
1538972398629191,173,71,63
1538972398635257,174,50,45
1538972398641294,175,112,85
1538972398647223,176,123,85
1538972398652987,177,109,83
1538972398658770,178,71,65
1538972398664788,179,49,45
1538972398670873,180,118,85
1538972398676794,181,122,84
1538972398682585,182,112,86
1538972398688344,183,73,63
1538972398694425,184,50,58
1538972398700611,185,53,50
1538972398707445,186,87,67
1538972398713769,187,49,46
1538972398720121,188,113,86
1538972398726217,189,122,85
1538972398732333,190,113,85
1538972398738278,191,69,65
1538972398744651,192,52,45
1538972398750740,193,114,83
1538972398756651,194,55,46
1538972398762733,195,48,46
1538972398768774,196,48,45
1538972398775048,197,131,93
1538972398780984,198,50,46
1538972398787014,199,47,46
1538972398793282,200,113,84
1538972398799027,201,49,45
1538972398805083,202,105,83
1538972398811071,203,50,46
1538972398817101,204,48,47
1538972398823233,205,66,60
1538972398829269,206,48,46
1538972398835343,207,111,85
1538972398841265,208,176,122
1538972398846705,209,113,87
1538972398852630,210,112,85
1538972398858379,211,109,110
1538972398864137,212,132,106
1538972398869861,213,110,84
1538972398875592,214,145,120
1538972398881245,215,47,45
1538972398887313,216,49,47
1538972398893526,217,54,46
1538972398899626,218,48,45
1538972398905643,219,48,46
1538972398911916,220,114,83
1538972398917668,221,110,83
1538972398923347,222,146,117
1538972398928998,223,48,45
1538972398935023,224,110,83
1538972398940967,225,116,84
1538972398946700,226,114,86
1538972398952658,227,58,46
1538972398958758,228,49,46
1538972398964812,229,128,86
1538972398970827,230,169,123
1538972398976247,231,171,123
1538972398981838,232,165,125
1538972398987241,233,175,123
1538972398992877,234,164,123
1538972398998236,235,169,140
1538972399004157,236,171,124
1538972399009626,237,75,65
1538972399015831,238,51,46
1538972399021883,239,48,46
1538972399028069,240,67,57
1538972399034737,241,54,48
1538972399040909,242,50,45
1538972399047069,243,116,95
1538972399052813,244,49,44
1538972399058839,245,105,84
1538972399064748,246,114,85
1538972399070492,247,138,86
1538972399076453,248,122,84
1538972399082201,249,112,86
1538972399088015,250,76,67
1538972399094051,251,53,45
1538972399100118,252,111,83
1538972399106051,253,56,45
1538972399112139,254,49,46
1538972399118197,255,48,45
1538972399124450,256,57,45
1538972399130553,257,113,84
1538972399136277,258,48,45
1538972399142554,259,54,46
1538972399148653,260,113,85
1538972399154356,261,112,112
1538972399160350,262,112,86
1538972399166078,263,115,86
1538972399172024,264,116,85
1538972399177778,265,109,85
1538972399183697,266,172,122
1538972399189150,267,106,85
1538972399195048,268,110,86
1538972399200813,269,108,84
1538972399206514,270,47,45
1538972399212816,271,52,45
1538972399219027,272,48,45
1538972399225060,273,48,44
1538972399231340,274,54,45
1538972399237397,275,49,44
1538972399243431,276,47,45
1538972399249694,277,53,46
1538972399255778,278,50,46
1538972399261807,279,47,45
1538972399268088,280,56,45
1538972399274206,281,51,46
1538972399280260,282,49,45
1538972399286487,283,117,83
1538972399292264,284,111,84
1538972399298008,285,134,109
1538972399303692,286,45,45
1538972399309716,287,47,45
1538972399315958,288,53,46
1538972399322049,289,50,45
1538972399328130,290,110,85
1538972399334070,291,119,86
1538972399339840,292,111,84
1538972399345731,293,108,82
1538972399351512,294,52,45
1538972399357530,295,107,84
1538972399363493,296,114,84
1538972399369230,297,114,85
1538972399375189,298,129,91
1538972399381123,299,115,86
1538972399387039,300,75,65
1538972399393116,301,53,44
1538972399399188,302,49,47
1538972399405316,303,120,95
1538972399411094,304,49,44
1538972399417118,305,48,44
1538972399423367,306,51,45
1538972399429436,307,49,46
1538972399435495,308,50,46
1538972399441740,309,54,46
1538972399447881,310,118,85
1538972399453585,311,111,84
1538972399459556,312,113,84
1538972399465278,313,173,124
1538972399470914,314,173,123
1538972399476321,315,167,125
1538972399481933,316,164,126
1538972399487335,317,172,124
1538972399492962,318,162,123
1538972399498406,319,73,76
1538972399504494,320,51,47
1538972399510552,321,116,86
1538972399516488,322,127,87
1538972399522272,323,109,86
1538972399528065,324,71,65
1538972399534100,325,49,45
1538972399540167,326,48,46
1538972399546314,327,65,57
1538972399552397,328,49,46
1538972399558440,329,48,71
1538972399564623,330,64,57
1538972399570697,331,50,45
1538972399576738,332,108,84
1538972399582676,333,122,86
1538972399588435,334,114,85
1538972399594205,335,71,64
1538972399600266,336,53,44
1538972399606311,337,111,111
1538972399612248,338,124,85
1538972399618006,339,111,84
1538972399623835,340,146,103
1538972399629573,341,46,45
1538972399635650,342,49,45
1538972399641949,343,53,46
1538972399648045,344,50,44
1538972399654091,345,47,45
1538972399660334,346,55,45
1538972399666433,347,49,57
1538972399672501,348,48,47
1538972399678739,349,61,49
1538972399684839,350,49,46
1538972399690900,351,48,45
1538972399697278,352,71,58
1538972399703835,353,54,52
1538972399710139,354,49,46
1538972399716567,355,118,94
1538972399722454,356,61,47
1538972399728772,357,108,85
1538972399734893,358,128,92
1538972399740749,359,114,86
1538972399746880,360,110,84
1538972399752667,361,109,85
1538972399758402,362,154,106
1538972399764132,363,48,46
1538972399770745,364,52,48
1538972399777148,365,68,48
1538972399783384,366,115,86
1538972399789162,367,47,46
1538972399795612,368,57,49
1538972399801746,369,50,46
1538972399807819,370,50,45
1538972399814099,371,53,45
1538972399820274,372,50,45
1538972399826355,373,110,97
1538972399832380,374,118,84
1538972399838129,375,113,85
1538972399844087,376,124,85
1538972399849854,377,111,82
1538972399855601,378,136,108
1538972399861307,379,49,45
1538972399867383,380,48,45
1538972399873635,381,55,45
1538972399879729,382,49,46
1538972399885760,383,105,84
1538972399891701,384,52,47
1538972399897805,385,49,45
1538972399903869,386,108,84
1538972399909822,387,53,46
1538972399915880,388,50,46
1538972399921894,389,146,119
1538972399927554,390,96,81
1538972399933244,391,171,123
1538972399938903,392,171,123
1538972399944350,393,71,63
1538972399950392,394,50,45
1538972399956478,395,49,45
1538972399962644,396,72,57
1538972399968722,397,50,46
1538972399974806,398,48,46
1538972399980962,399,119,95
1538972399986740,400,50,44
1538972399992784,401,48,45
1538972399999075,402,54,46
1538972400009702,403,336,110
1538972400016711,404,62,49
1538972400023149,405,59,48
1538972400029273,406,51,46
1538972400035949,407,57,51
1538972400042287,408,53,47
1538972400048386,409,50,46
1538972400054433,410,142,84
1538972400060375,411,99,81
1538972400066081,412,48,45
1538972400072184,413,72,65
1538972400078269,414,49,46
1538972400084332,415,50,45
1538972400090467,416,79,56
1538972400096539,417,51,45
1538972400102594,418,50,45
1538972400108752,419,66,58
1538972400114896,420,51,47
1538972400120916,421,112,84
