timestamp_us,collection,mark_time_us,sweep_time_us
1538973493952417,0,101,44
1538973493955284,1,113,56
1538973493958093,2,68,47
1538973493960188,3,34,23
1538973493961632,4,26,21
1538973493963197,5,36,34
1538973493967756,6,156,68
1538973493970770,7,51,45
1538973493973926,8,67,49
1538973493977109,9,49,44
1538973493980657,10,51,46
1538973493983649,11,80,57
1538973493986655,12,40,39
1538973493989615,13,48,43
1538973493992683,14,54,46
1538973493995654,15,56,47
1538973493998663,16,57,49
1538973494001779,17,77,65
1538973494005019,18,77,60
1538973494008132,19,64,54
1538973494011296,20,58,56
1538973494014371,21,70,75
1538973494017632,22,69,54
1538973494020909,23,61,56
1538973494024079,24,88,64
1538973494027223,25,69,62
1538973494030342,26,68,56
1538973494033573,27,80,60
1538973494036674,28,79,61
1538973494040033,29,73,61
1538973494043245,30,45,41
1538973494046324,31,36,38
1538973494049266,32,75,52
1538973494052295,33,75,51
1538973494055310,34,37,42
1538973494058277,35,54,49
1538973494061146,36,47,46
1538973494064134,37,60,50
1538973494067119,38,56,49
1538973494070151,39,58,48
1538973494073170,40,43,44
1538973494076176,41,61,49
1538973494079236,42,61,48
1538973494082180,43,57,49
1538973494085105,44,44,42
1538973494088061,45,37,40
1538973494091007,46,53,45
1538973494094028,47,50,47
1538973494097082,48,45,43
1538973494100060,49,65,49
1538973494103104,50,48,44
1538973494106083,51,50,43
1538973494109084,52,59,48
1538973494111954,53,46,42
1538973494114943,54,52,45
1538973494117928,55,37,40
1538973494121020,56,36,38
1538973494123966,57,72,52
1538973494126997,58,74,52
1538973494129999,59,47,49
1538973494132996,60,49,45
1538973494135871,61,75,55
1538973494138852,62,41,40
1538973494141832,63,50,43
1538973494144886,64,54,46
1538973494147866,65,55,48
1538973494150856,66,52,46
1538973494154005,67,61,51
1538973494157039,68,57,48
1538973494159949,69,42,43
1538973494162955,70,60,49
1538973494165885,71,75,54
1538973494168903,72,68,50
1538973494171948,73,43,42
1538973494174937,74,73,53
1538973494177947,75,42,41
1538973494180934,76,43,44
1538973494183931,77,60,49
1538973494186820,78,46,42
1538973494189774,79,38,38
1538973494192810,80,48,43
1538973494195899,81,46,41
1538973494198835,82,67,49
1538973494201829,83,36,38
1538973494204896,84,54,45
1538973494207866,85,43,44
1538973494210732,86,60,47
1538973494213674,87,36,40
1538973494216678,88,49,43
1538973494219744,89,51,45
1538973494222765,90,56,53
1538973494225849,91,54,47
1538973494228930,92,57,48
1538973494231891,93,57,46
1538973494234803,94,43,41
1538973494237744,95,57,49
1538973494240704,96,76,53
1538973494243710,97,66,51
1538973494246756,98,43,44
1538973494249711,99,73,52
1538973494252760,100,42,42
1538973494255746,101,41,42
1538973494258760,102,59,48
1538973494261611,103,44,42
1538973494264575,104,37,39
1538973494267572,105,49,44
1538973494270666,106,47,42
1538973494273593,107,67,50
1538973494276606,108,36,39
1538973494279672,109,57,45
1538973494282677,110,42,44
1538973494285530,111,60,47
1538973494288507,112,38,40
1538973494291518,113,47,43
1538973494294597,114,53,46
1538973494297556,115,55,46
1538973494300562,116,55,48
1538973494303617,117,57,47
1538973494306595,118,58,48
1538973494309492,119,43,42
1538973494312491,120,38,39
1538973494315454,121,53,45
1538973494318483,122,88,46
1538973494321553,123,46,42
1538973494324539,124,66,50
1538973494327579,125,48,43
1538973494330574,126,50,43
1538973494333548,127,59,48
1538973494336422,128,46,42
1538973494339404,129,48,45
1538973494342418,130,36,40
1538973494345501,131,35,38
1538973494348440,132,72,51
1538973494351473,133,73,53
1538973494354476,134,50,39
1538973494357460,135,88,54
1538973494360308,136,119,65
1538973494363255,137,99,63
1538973494366191,138,34,38
1538973494369252,139,73,53
1538973494372252,140,35,40
1538973494375265,141,41,43
1538973494378317,142,59,48
1538973494381293,143,46,44
1538973494384246,144,45,44
1538973494387188,145,45,42
1538973494390127,146,45,41
1538973494393178,147,60,47
1538973494396236,148,40,41
1538973494399212,149,71,52
1538973494402243,150,38,41
1538973494405255,151,43,44
1538973494408258,152,60,48
1538973494411130,153,44,43
1538973494414088,154,38,39
1538973494417110,155,49,44
1538973494420189,156,46,41
1538973494423131,157,106,65
1538973494426122,158,105,63
1538973494429177,159,38,39
1538973494432167,160,34,39
1538973494435033,161,68,51
1538973494437976,162,46,44
1538973494440972,163,42,41
1538973494444040,164,38,39
1538973494447032,165,114,59
1538973494450010,166,36,40
1538973494453089,167,57,47
1538973494456058,168,43,41
1538973494459005,169,44,43
