timestamp_us,collection,mark_time_us,sweep_time_us
1538742235301914,0,38,44
1538742235306276,1,33,32
1538742235310428,2,21,29
1538742235314660,3,30,31
1538742235318778,4,20,28
1538742235323111,5,29,33
1538742235327305,6,20,28
1538742235331585,7,28,30
1538742235335611,8,18,26
1538742235339905,9,29,33
1538742235344018,10,20,28
1538742235348245,11,29,32
1538742235352403,12,19,28
1538742235356608,13,30,32
1538742235360685,14,19,28
1538742235364881,15,29,32
1538742235368914,16,19,28
1538742235373118,17,27,34
1538742235377143,18,18,26
1538742235381346,19,27,30
1538742235385318,20,18,26
1538742235389427,21,27,30
1538742235393509,22,18,26
1538742235397600,23,27,29
1538742235401599,24,19,28
1538742235405715,25,27,31
1538742235409656,26,18,25
1538742235413855,27,27,30
1538742235417815,28,17,26
1538742235421981,29,30,32
1538742235426025,30,18,26
1538742235430136,31,27,30
1538742235434216,32,17,26
1538742235438322,33,27,31
1538742235442332,34,18,28
1538742235446475,35,27,30
1538742235450423,36,17,26
1538742235454615,37,27,30
1538742235458562,38,17,26
1538742235462699,39,29,32
1538742235466677,40,18,26
1538742235470787,41,27,31
1538742235474879,42,17,26
1538742235478986,43,27,30
1538742235482982,44,19,28
1538742235487182,45,27,30
1538742235491139,46,17,25
1538742235495402,47,27,30
1538742235499336,48,18,25
1538742235503469,49,29,32
1538742235507542,50,18,25
1538742235511672,51,28,30
1538742235515749,52,17,26
1538742235520150,53,30,33
1538742235524366,54,19,28
1538742235528693,55,29,32
1538742235532770,56,19,27
1538742235537126,57,29,32
1538742235541274,58,18,29
1538742235545506,59,27,30
1538742235549463,60,18,25
1538742235553586,61,27,30
1538742235557727,62,18,25
1538742235561947,63,27,30
1538742235566008,64,18,26
1538742235570133,65,28,30
1538742235574247,66,22,30
1538742235578554,67,28,30
1538742235582622,68,17,26
1538742235586862,69,29,31
1538742235590967,70,18,26
1538742235595252,71,30,32
1538742235599313,72,18,25
1538742235603464,73,28,30
1538742235607553,74,18,26
1538742235611706,75,27,31
1538742235615704,76,19,27
1538742235619881,77,27,30
1538742235623829,78,28,28
1538742235628054,79,28,30
1538742235632082,80,19,27
1538742235636253,81,29,32
1538742235640290,82,17,26
1538742235644633,83,29,33
1538742235648859,84,18,28
1538742235653089,85,30,32
1538742235657203,86,19,28
1538742235661440,87,30,32
1538742235665512,88,19,27
1538742235669704,89,28,30
1538742235673794,90,19,25
1538742235678089,91,28,30
1538742235682033,92,17,26
1538742235686258,93,27,30
1538742235690329,94,17,25
1538742235694437,95,27,30
1538742235698493,96,19,27
1538742235702578,97,27,30
1538742235706494,98,18,25
1538742235710686,99,27,30
1538742235714619,100,17,26
1538742235718785,101,27,30
1538742235722706,102,18,26
1538742235726933,103,27,31
1538742235731017,104,17,26
1538742235735139,105,27,30
1538742235739168,106,19,27
1538742235743306,107,27,30
1538742235747484,108,19,28
1538742235751802,109,28,39
1538742235755861,110,18,26
1538742235760215,111,29,32
1538742235764414,112,19,27
1538742235768697,113,29,32
1538742235772863,114,18,28
1538742235777162,115,28,30
1538742235781251,116,18,26
1538742235785413,117,27,30
1538742235789417,118,18,28
1538742235793629,119,28,30
1538742235797609,120,17,26
1538742235801811,121,27,30
1538742235805757,122,18,26
1538742235809931,123,28,30
1538742235814100,124,18,26
1538742235818311,125,27,30
1538742235822375,126,18,26
1538742235826606,127,27,30
1538742235830552,128,19,27
1538742235834734,129,27,30
1538742235838685,130,19,25
1538742235842870,131,27,29
1538742235846889,132,17,26
1538742235850990,133,29,32
1538742235855005,134,18,26
1538742235859172,135,27,30
1538742235863258,136,17,26
1538742235867467,137,27,30
1538742235871430,138,18,29
1538742235875745,139,30,32
1538742235879728,140,18,26
1538742235884018,141,28,30
1538742235888061,142,18,25
1538742235892192,143,29,32
1538742235896219,144,18,26
1538742235900330,145,27,30
1538742235904393,146,17,25
1538742235908491,147,27,30
1538742235912436,148,17,26
1538742235916635,149,27,30
1538742235920539,150,15,27
timestamp_us,collection,mark_time_us,sweep_time_us
1538972137965219,0,32,19
1538972137969531,1,36,19
1538972137973761,2,16,11
1538972137977986,3,20,13
1538972137982253,4,21,13
1538972137986481,5,51,18
1538972137990658,6,37,20
1538972137994834,7,36,19
1538972137998944,8,40,19
1538972138003083,9,56,25
1538972138011411,10,86,41
1538972138019551,11,29,15
1538972138023744,12,41,21
1538972138027826,13,40,19
1538972138032096,14,55,26
1538972138036378,15,55,26
1538972138040746,16,22,15
1538972138045234,17,35,18
1538972138049746,18,26,16
1538972138054231,19,34,19
1538972138058755,20,40,21
1538972138063203,21,35,19
1538972138067712,22,14,10
1538972138072210,23,20,13
1538972138076745,24,22,13
1538972138081261,25,33,19
1538972138085696,26,39,21
1538972138090168,27,38,20
1538972138094572,28,41,21
1538972138098994,29,56,27
1538972138103326,30,40,22
1538972138107696,31,12,10
1538972138112168,32,27,16
1538972138116574,33,20,13
1538972138120935,34,19,13
1538972138125332,35,29,16
1538972138129678,36,34,19
1538972138133935,37,38,20
1538972138138160,38,43,23
1538972138142360,39,37,19
1538972138146628,40,23,14
1538972138150819,41,24,13
1538972138155034,42,31,17
1538972138159181,43,30,17
