timestamp_us,collection,mark_time_us,sweep_time_us
1538981584648738,0,2504,413
1538981584655102,1,4998,742
1538981584665183,2,6471,1918
1538981584678471,3,1720,325
1538981584688263,4,1472,309
1538981584693635,5,1491,338
1538981584699335,6,1606,474
1538981584705032,7,1643,410
1538981584711127,8,1659,365
1538981584717063,9,1504,363
1538981584725836,10,2521,544
1538981584734207,11,2129,343
1538981584740597,12,1620,524
1538981584746399,13,1676,362
1538981584752212,14,1541,330
1538981584757931,15,1677,367
1538981584763451,16,1564,324
1538981584768980,17,1684,387
1538981584774720,18,1595,349
1538981584780225,19,1823,391
1538981584785992,20,2114,518
1538981584792124,21,1955,486
1538981584797743,22,2122,518
1538981584803685,23,3966,1328
1538981584828174,24,778,175
1538981584837819,25,1482,312
1538981584847274,26,1456,302
1538981584856987,27,1461,324
1538981584866623,28,1471,316
1538981584876080,29,1507,313
1538981584885635,30,1539,326
1538981584895403,31,1591,347
1538981584905095,32,2120,471
1538981584915086,33,4620,1547
1538981584928256,34,6524,2130
1538981584975673,35,1467,348
1538981584993909,36,1496,358
1538981585012114,37,1525,372
1538981585030545,38,2683,1248
1538981585052639,39,1485,404
1538981585070836,40,1472,359
1538981585089157,41,1487,363
1538981585107171,42,1645,394
1538981585125361,43,2193,577
1538981585145447,44,1464,359
1538981585163621,45,1452,356
1538981585181446,46,1491,366
1538981585199732,47,1628,392
1538981585217686,48,3782,1306
1538981585239266,49,1471,366
1538981585257348,50,1481,354
1538981585275379,51,1500,360
1538981585293448,52,1630,396
1538981585311731,53,4742,1682
1538981585333951,54,1498,363
1538981585351823,55,1469,349
1538981585370149,56,1521,347
1538981585388046,57,1998,535
1538981585406987,58,1906,471
1538981585425904,59,1486,354
1538981585444186,60,1460,338
1538981585462218,61,1521,345
1538981585480511,62,2021,542
1538981585499844,63,1469,369
1538981585517690,64,1477,363
1538981585535877,65,1463,363
1538981585553845,66,1705,416
1538981585572147,67,2168,614
1538981585591562,68,1450,355
1538981585609754,69,1482,360
1538981585627637,70,1459,358
1538981585646113,71,1682,413
1538981585664238,72,3769,1293
1538981585685468,73,1475,343
1538981585703997,74,1455,365
1538981585722602,75,1521,365
1538981585741000,76,1645,394
1538981585759452,77,4732,1678
1538981585781612,78,1512,365
1538981585799493,79,1461,346
1538981585817754,80,1521,353
1538981585835782,81,1973,502
1538981585854620,82,1893,467
1538981585873509,83,1483,341
1538981585891715,84,1475,366
1538981585909694,85,1530,374
1538981585927928,86,1990,534
1538981585947302,87,1498,352
1538981585965150,88,1482,356
1538981585983357,89,1455,362
1538981586001442,90,1673,433
1538981586019973,91,2188,638
1538981586039920,92,1520,375
1538981586058861,93,1538,371
1538981586077339,94,1542,373
1538981586096160,95,1683,417
1538981586114445,96,3786,1334
1538981586135824,97,1476,369
1538981586153916,98,1469,360
1538981586172066,99,1514,363
1538981586190180,100,1640,391
1538981586208533,101,4725,1703
1538981586231092,102,1466,363
1538981586249009,103,1467,360
1538981586267325,104,1504,363
1538981586285216,105,2040,521
1538981586304070,106,1870,468
1538981586323070,107,1463,351
1538981586341182,108,1483,352
1538981586359177,109,1513,347
1538981586377458,110,2043,544
1538981586396854,111,1468,373
1538981586414676,112,1469,366
1538981586432887,113,1479,397
1538981586450964,114,1674,432
1538981586469261,115,2213,584
1538981586488682,116,1446,388
1538981586506884,117,1475,363
1538981586524780,118,1465,386
1538981586543123,119,1629,397
1538981586561280,120,3748,1301
1538981586582571,121,1454,363
1538981586600668,122,1456,367
1538981586618809,123,1491,365
1538981586636847,124,1624,421
1538981586655327,125,4761,1679
1538981586677519,126,1478,345
1538981586695390,127,1477,359
1538981586714404,128,1544,354
1538981586732763,129,2227,524
1538981586751917,130,1896,467
1538981586770855,131,1444,351
1538981586789281,132,1500,366
1538981586807456,133,1497,350
1538981586825712,134,2040,550
1538981586845120,135,1485,378
1538981586863001,136,1443,361
1538981586881169,137,1491,371
1538981586899260,138,1677,417
1538981586917543,139,2184,602
1538981586936943,140,1446,377
1538981586955160,141,1476,363
1538981586973029,142,1502,378
1538981586991441,143,1627,403
1538981587009576,144,3771,1365
1538981587031089,145,1471,342
1538981587049943,146,1539,373
1538981587068564,147,1540,386
1538981587087007,148,1642,390
1538981587105518,149,4774,1704
1538981587127970,150,1478,350
1538981587145895,151,1484,355
1538981587164529,152,1538,368
1538981587182826,153,2035,513
1538981587201830,154,1917,468
1538981587220874,155,1471,360
1538981587239362,156,1510,363
1538981587257646,157,1552,366
1538981587276087,158,2016,556
1538981587295508,159,1469,355
1538981587313450,160,1481,372
1538981587331746,161,1476,367
1538981587349840,162,1686,407
1538981587368232,163,2194,614
1538981587388229,164,1581,380
1538981587407635,165,1587,396
1538981587426557,166,1583,374
1538981587445858,167,1768,438
1538981587464724,168,3901,1302
1538981587486556,169,1494,350
1538981587504803,170,1469,374
1538981587522938,171,1501,366
1538981587541020,172,1635,396
1538981587559412,173,4755,1678
1538981587581722,174,1645,396
1538981587600076,175,1494,367
1538981587618612,176,1505,366
1538981587636661,177,2048,513
1538981587655877,178,1938,476
1538981587675113,179,1473,340
1538981587693361,180,1495,347
1538981587712196,181,1544,373
1538981587731179,182,2363,655
1538981587751115,183,1460,354
1538981587768955,184,1474,389
1538981587787189,185,1479,363
1538981587805251,186,1687,402
1538981587823600,187,2211,606
1538981587843074,188,1467,368
1538981587861321,189,1470,364
1538981587879263,190,1456,354
1538981587897579,191,1685,423
1538981587915655,192,3792,1298
1538981587936912,193,1456,380
1538981587955004,194,1471,352
1538981587973082,195,1520,364
1538981587991127,196,1630,392
1538981588009637,197,4732,1736
1538981588032116,198,2639,559
1538981588052245,199,1602,383
1538981588071909,200,1641,386
1538981588090996,201,2165,540
1538981588110978,202,2026,496
1538981588130784,203,1535,353
1538981588149444,204,1526,367
1538981588167723,205,1515,357
1538981588185975,206,2004,529
1538981588205283,207,1531,384
1538981588223259,208,1438,353
1538981588241680,209,1497,348
1538981588259758,210,1645,407
1538981588278048,211,2215,588
1538981588297466,212,1475,378
1538981588315806,213,1471,362
1538981588333650,214,1480,382
1538981588352058,215,1653,410
1538981588370160,216,3762,1330
1538981588391426,217,1468,342
1538981588409473,218,1494,349
1538981588427589,219,1511,371
1538981588445833,220,1644,401
1538981588464232,221,4743,1690
1538981588486437,222,1493,354
1538981588504334,223,1466,347
1538981588522630,224,1504,364
1538981588540580,225,2003,487
1538981588559539,226,1883,477
1538981588578491,227,1481,342
1538981588596638,228,1462,344
1538981588614711,229,1503,343
1538981588632996,230,2038,545
1538981588652592,231,1465,345
1538981588670429,232,1505,361
1538981588688656,233,1479,358
1538981588707040,234,1836,436
1538981588725932,235,2237,613
1538981588745742,236,1506,369
1538981588764077,237,1457,372
1538981588782224,238,1476,357
1538981588800603,239,1643,435
1538981588818724,240,3738,1319
1538981588839941,241,1453,347
1538981588858199,242,1555,365
1538981588876423,243,1501,378
1538981588894577,244,1599,390
1538981588912874,245,4752,1715
1538981588935133,246,1452,338
1538981588952975,247,1469,383
1538981588971401,248,1496,372
1538981588989320,249,2032,507
1538981589008300,250,1858,503
1538981589027490,251,1466,357
1538981589046683,252,1585,394
1538981589065743,253,1636,367
1538981589084991,254,2153,556
1538981589105229,255,1551,391
1538981589123696,256,1504,365
1538981589142211,257,1516,366
1538981589160344,258,1662,411
1538981589178660,259,2195,587
1538981589198138,260,1497,367
1538981589216444,261,1476,367
1538981589234483,262,1731,432
1538981589253380,263,1677,421
1538981589271587,264,3775,1288
1538981589293076,265,1516,362
1538981589311446,266,1474,358
1538981589329626,267,1524,366
1538981589347779,268,1621,392
1538981589366161,269,4798,1679
1538981589388584,270,1478,357
1538981589407518,271,1635,387
1538981589427462,272,1666,403
1538981589446918,273,2222,547
1538981589467452,274,2097,499
1538981589487841,275,1607,368
1538981589507185,276,1587,379
1538981589526076,277,1620,376
1538981589544930,278,2093,552
1538981589564578,279,1461,359
1538981589582439,280,1488,353
1538981589600732,281,1469,377
1538981589618830,282,1656,417
1538981589637204,283,2208,589
1538981589656928,284,1485,386
1538981589675388,285,1473,363
