timestamp_us,collection,mark_time_us,sweep_time_us
1538743479299234,0,46,61
1538743479301971,1,83,128
1538743479309477,2,366,509
1538743479320570,3,297,473
1538743479341629,4,274,442
1538743479355126,5,254,407
1538743479368442,6,257,412
1538743479381562,7,260,419
1538743479394714,8,269,439
1538743479407937,9,267,428
1538743479421225,10,281,448
1538743479434602,11,283,455
1538743479447857,12,278,463
1538743479461102,13,284,470
1538743479474456,14,280,482
1538743479487731,15,291,475
1538743479501062,16,287,466
1538743479514323,17,290,476
1538743479527564,18,296,477
1538743479540782,19,290,501
1538743479554132,20,291,475
1538743479567510,21,295,494
1538743479580913,22,295,483
1538743479594312,23,295,482
1538743479607634,24,306,495
1538743479620936,25,297,483
1538743479634310,26,301,488
1538743479647688,27,307,502
1538743479661001,28,301,482
1538743479674328,29,303,504
1538743479687811,30,315,497
1538743479701213,31,296,492
1538743479714622,32,307,513
1538743479728178,33,303,488
1538743479741663,34,299,497
1538743479755066,35,306,503
1538743479768496,36,300,499
1538743479781939,37,303,498
1538743479795337,38,300,521
1538743479808735,39,303,497
1538743479822312,40,304,497
1538743479835637,41,314,492
1538743479849217,42,305,499
1538743479862695,43,306,496
1538743479876101,44,301,492
1538743479889513,45,309,500
1538743479902855,46,301,494
1538743479916170,47,311,506
1538743479929528,48,306,494
1538743479943598,49,481,732
1538743479958528,50,357,536
1538743479972859,51,319,517
1538743479986963,52,307,507
1538743480000748,53,389,641
1538743480014936,54,407,695
1538743480029256,55,398,681
1538743480043314,56,395,693
1538743480057621,57,400,647
1538743480074545,58,412,678
1538743480091464,59,319,529
1538743480105439,60,313,520
1538743480119285,61,313,541
1538743480133517,62,314,520
1538743480147343,63,308,525
1538743480161338,64,314,531
1538743480175317,65,310,530
1538743480189138,66,311,508
1538743480202932,67,320,543
1538743480217172,68,315,516
1538743480231062,69,304,515
1538743480245162,70,324,522
1538743480259094,71,313,522
1538743480273053,72,305,507
1538743480287109,73,315,523
1538743480300914,74,311,512
1538743480314609,75,304,498
1538743480328427,76,310,513
1538743480342189,77,316,508
1538743480355892,78,300,538
1538743480369741,79,310,508
1538743480383718,80,320,512
1538743480397452,81,321,539
1538743480411305,82,305,516
1538743480425115,83,307,505
1538743480438973,84,334,553
1538743480452880,85,320,536
1538743480466863,86,308,503
1538743480480801,87,321,515
1538743480494606,88,316,513
1538743480508489,89,321,504
1538743480522638,90,316,523
1538743480536706,91,313,517
1538743480550700,92,309,520
1538743480564753,93,312,511
1538743480578618,94,308,507
1538743480592393,95,319,528
1538743480606204,96,304,509
1538743480620086,97,314,515
1538743480634030,98,325,542
1538743480647855,99,309,523
1538743480661898,100,304,505
1538743480675827,101,333,521
1538743480689601,102,311,518
1538743480703461,103,300,529
1538743480717729,104,315,521
1538743480731593,105,320,513
1538743480745366,106,300,516
1538743480759382,107,312,529
1538743480773188,108,311,514
1538743480786995,109,310,516
1538743480800939,110,309,512
1538743480814756,111,306,507
1538743480828613,112,310,527
1538743480842487,113,310,523
1538743480856474,114,309,506
1538743480870545,115,318,545
1538743480884398,116,315,520
1538743480898416,117,302,501
1538743480912378,118,324,515
1538743480926217,119,310,514
1538743480941056,120,565,668
1538743480955825,121,329,520
1538743480969942,122,304,508
1538743480984102,123,326,540
1538743480998059,124,311,518
1538743481012150,125,322,530
1538743481026239,126,313,522
1538743481040238,127,366,586
1538743481054338,128,312,534
1538743481068296,129,320,519
1538743481082297,130,303,502
1538743481096154,131,322,538
1538743481110065,132,308,517
1538743481124097,133,314,520
1538743481137917,134,329,540
1538743481151768,135,321,513
1538743481165499,136,306,515
1538743481179313,137,324,546
1538743481193093,138,306,513
1538743481206882,139,314,507
1538743481221122,140,312,520
1538743481234925,141,303,512
1538743481248742,142,314,518
1538743481262706,143,327,534
1538743481276551,144,306,508
1538743481290560,145,319,538
1538743481304448,146,315,525
1538743481318334,147,305,500
1538743481331994,148,307,533
1538743481345762,149,311,513
1538743481359696,150,321,540
1538743481373440,151,310,524
1538743481387173,152,309,522
1538743481400829,153,300,517
1538743481414541,154,309,521
1538743481428439,155,314,514
1538743481442159,156,317,521
1538743481456042,157,318,538
1538743481470105,158,308,509
1538743481483840,159,329,507
1538743481497801,160,330,549
1538743481511798,161,348,552
1538743481525598,162,307,513
1538743481539427,163,331,534
1538743481553100,164,302,505
1538743481566756,165,308,503
1538743481580502,166,327,529
1538743481594165,167,308,500
1538743481607766,168,315,508
1538743481621673,169,326,523
1538743481635593,170,316,503
1538743481649263,171,303,498
1538743481663058,172,313,525
1538743481676817,173,308,505
1538743481690515,174,301,502
1538743481704308,175,312,521
1538743481718042,176,307,509
1538743481731737,177,329,502
1538743481745564,178,311,516
1538743481759260,179,302,528
1538743481773242,180,304,504
1538743481787107,181,314,519
1538743481800892,182,304,502
1538743481814860,183,304,504
1538743481828971,184,314,517
1538743481842838,185,305,501
1538743481856638,186,301,517
1538743481870643,187,311,511
1538743481884480,188,303,501
1538743481898220,189,302,520
1538743481912271,190,310,507
1538743481926092,191,301,499
1538743481940702,192,457,635
1538743481954887,193,305,513
1538743481968773,194,301,501
1538743481982593,195,326,543
1538743481996368,196,301,504
1538743482009910,197,300,496
1538743482024006,198,312,523
1538743482037928,199,304,509
1538743482052082,200,306,503
1538743482066094,201,311,516
1538743482080178,202,309,508
1538743482094301,203,313,527
1538743482108323,204,308,512
1538743482122338,205,309,523
1538743482136411,206,337,548
1538743482150248,207,307,501
1538743482163955,208,302,500
1538743482177742,209,325,524
1538743482191607,210,309,510
1538743482205355,211,297,498
1538743482219461,212,317,533
1538743482233392,213,305,506
1538743482247184,214,301,526
1538743482261008,215,311,523
1538743482274887,216,302,500
1538743482288805,217,309,509
1538743482303105,218,317,528
1538743482317249,219,301,499
1538743482331327,220,314,542
1538743482345291,221,307,505
1538743482359068,222,296,522
1538743482372998,223,320,522
1538743482386743,224,300,507
1538743482400523,225,301,496
1538743482414493,226,311,522
1538743482428256,227,305,499
1538743482442028,228,299,505
1538743482456029,229,311,518
1538743482470281,230,303,505
1538743482484137,231,298,500
1538743482498068,232,309,512
1538743482512283,233,310,514
1538743482526668,234,312,522
1538743482541049,235,311,512
1538743482555282,236,304,519
1538743482569501,237,323,519
1538743482583470,238,305,517
1538743482597248,239,302,498
1538743482611172,240,305,518
1538743482625237,241,313,513
1538743482639096,242,301,524
1538743482652920,243,312,511
1538743482666791,244,300,498
1538743482680567,245,301,520
1538743482694443,246,306,507
1538743482708243,247,300,499
1538743482722190,248,315,537
1538743482736019,249,307,510
1538743482749906,250,302,499
1538743482763859,251,321,551
1538743482777742,252,303,505
1538743482791453,253,303,527
1538743482805155,254,330,536
1538743482819091,255,318,545
1538743482832964,256,306,502
1538743482846911,257,322,519
1538743482860650,258,306,504
1538743482874411,259,300,495
1538743482888459,260,317,515
1538743482902379,261,304,498
1538743482916377,262,302,499
1538743482930304,263,309,511
1538743482945012,264,317,519
1538743482958955,265,318,529
1538743482972928,266,306,503
1538743482986765,267,308,507
1538743483000636,268,317,548
1538743483014517,269,310,508
1538743483028681,270,304,509
1538743483042889,271,336,539
1538743483056890,272,300,506
1538743483070712,273,304,502
1538743483084820,274,310,515
1538743483098736,275,304,495
1538743483112551,276,302,504
1538743483126504,277,309,509
1538743483140354,278,299,502
1538743483154144,279,299,520
1538743483168021,280,307,511
1538743483181817,281,303,498
1538743483195565,282,323,528
1538743483209552,283,304,504
1538743483223553,284,314,503
1538743483237305,285,314,541
1538743483251244,286,309,515
1538743483265172,287,301,500
1538743483279003,288,326,539
1538743483292883,289,306,502
1538743483306829,290,297,503
1538743483320663,291,317,528
1538743483334525,292,298,507
1538743483348272,293,307,504
1538743483362099,294,320,511
1538743483375980,295,300,503
1538743483389886,296,308,505
1538743483403858,297,309,507
1538743483417765,298,298,500
1538743483431571,299,310,498
1538743483445500,300,301,503
1538743483459270,301,298,515
1538743483473238,302,301,523
1538743483487167,303,299,520
1538743483500937,304,298,501
1538743483514696,305,318,512
1538743483528565,306,298,498
1538743483542360,307,299,496
1538743483556205,308,310,516
1538743483570039,309,296,498
1538743483584080,310,301,501
1538743483597954,311,301,496
1538743483611750,312,316,500
1538743483625782,313,315,511
1538743483639745,314,317,512
1538743483653613,315,303,501
1538743483667485,316,300,529
1538743483681495,317,309,502
1538743483695506,318,295,513
1538743483709443,319,306,524
1538743483723573,320,311,509
1538743483737325,321,298,500
1538743483751079,322,316,552
1538743483764847,323,304,503
1538743483778584,324,301,503
1538743483792311,325,317,538
1538743483806136,326,300,505
1538743483819974,327,303,502
1538743483833787,328,315,535
1538743483847584,329,312,507
1538743483861613,330,302,508
1538743483875431,331,314,531
1538743483889207,332,298,500
1538743483902914,333,304,499
1538743483916748,334,314,518
1538743483930542,335,303,494
1538743483945375,336,316,526
1538743483959830,337,327,513
1538743483974077,338,307,510
1538743483988286,339,319,509
1538743484002408,340,306,510
1538743484016378,341,309,510
1538743484030262,342,304,502
1538743484044024,343,313,527
1538743484057900,344,306,507
1538743484071990,345,303,502
1538743484085844,346,302,502
1538743484099590,347,310,501
1538743484113410,348,299,501
1538743484127362,349,301,529
1538743484141415,350,307,517
1538743484155279,351,308,509
1538743484169067,352,302,505
1538743484182810,353,310,519
1538743484196545,354,301,505
1538743484210304,355,299,497
1538743484224323,356,309,521
1538743484238025,357,298,500
1538743484251726,358,306,500
1538743484265426,359,315,515
1538743484279314,360,297,519
1538743484293089,361,300,501
1538743484306860,362,314,502
1538743484320592,363,302,501
1538743484334410,364,304,501
1538743484348290,365,299,494
1538743484361921,366,299,496
1538743484375564,367,315,500
1538743484389436,368,299,502
1538743484403088,369,299,502
1538743484416998,370,301,501
1538743484430980,371,297,503
1538743484444721,372,300,498
1538743484458549,373,302,500
1538743484472504,374,304,504
