timestamp_us,collection,mark_time_us,sweep_time_us
1538974384522845,0,974,425
1538974384527727,1,1922,798
1538974384554238,2,3541,615
1538974384579451,3,4382,576
1538974384596209,4,1372,1513
1538974384647503,5,4359,768
1538974384662998,6,5701,1879
1538974384705458,7,2825,660
1538974384727600,8,5593,1578
1538974384771904,9,3047,652
1538974384799826,10,5634,1835
1538974384838061,11,2944,628
1538974384861904,12,5692,1513
1538974384887496,13,3264,629
1538974384915665,14,4359,616
1538974384936606,15,6318,1807
1538974384969646,16,2783,642
1538974384989627,17,5566,1513
1538974385015384,18,3269,627
1538974385056203,19,5891,1587
1538974385093855,20,2822,651
1538974385121001,21,6080,1824
1538974385153443,22,2514,632
1538974385180073,23,5877,1563
1538974385212554,24,2411,638
1538974385237164,25,5654,1796
1538974385261044,26,2733,626
1538974385299495,27,5448,1537
1538974385320986,28,2531,626
1538974385366990,29,6092,1837
1538974385389888,30,3568,623
1538974385434834,31,6056,1741
1538974385468882,32,2605,661
1538974385501674,33,6348,1793
1538974385535456,34,1878,649
1538974385571578,35,7180,1651
1538974385594720,36,2422,630
1538974385608017,37,2823,635
1538974385634650,38,6663,1820
1538974385652601,39,4123,1474
1538974385683680,40,4087,632
1538974385701705,41,6280,1699
1538974385734823,42,2639,648
1538974385761170,43,5819,1549
1538974385785615,44,4180,1530
1538974385814822,45,3700,643
1538974385840034,46,3088,1810
1538974385882369,47,5628,1539
1538974385908794,48,3286,627
1538974385950011,49,5831,1820
1538974385983221,50,2365,634
1538974386008300,51,5622,1809
1538974386050270,52,2679,655
1538974386076279,53,1916,1647
1538974386115533,54,3612,655
1538974386131658,55,5547,1789
1538974386167765,56,2323,660
1538974386203501,57,6140,1570
1538974386239826,58,3139,644
1538974386265340,59,5952,1818
1538974386298266,60,2450,635
1538974386325579,61,5779,1521
1538974386366238,62,3191,651
1538974386384462,63,5563,1843
1538974386425971,64,1813,659
1538974386452108,65,5960,1556
1538974386490326,66,2897,645
1538974386518074,67,6058,1812
1538974386550930,68,2577,626
1538974386577012,69,5845,1525
1538974386609164,70,2427,639
1538974386633684,71,5551,1775
1538974386674198,72,2651,646
1538974386700695,73,5935,1660
1538974386738658,74,2963,653
1538974386757600,75,5622,1738
1538974386783539,76,3184,627
1538974386819085,77,5506,1527
1538974386859148,78,2637,645
1538974386884902,79,1960,1675
1538974386914005,80,2356,624
1538974386946137,81,5886,1526
1538974386978847,82,2513,638
1538974387006001,83,5932,1840
1538974387029354,84,4010,1841
1538974387055748,85,2574,663
1538974387082353,86,6307,1684
1538974387115926,87,3013,656
1538974387130070,88,3800,648
1538974387156635,89,7266,1746
1538974387191210,90,3230,676
1538974387203764,91,5536,1582
1538974387229835,92,3376,626
1538974387259154,93,4420,631
1538974387280628,94,6242,1774
1538974387309184,95,1533,632
1538974387333604,96,5536,1526
1538974387359954,97,3219,625
1538974387389365,98,4392,629
1538974387406159,99,5738,1809
1538974387429149,100,3344,616
1538974387458226,101,4554,615
1538974387484422,102,6715,1580
1538974387506054,103,2374,628
1538974387532994,104,5709,1535
1538974387559299,105,3237,620
1538974387599952,106,5746,1713
1538974387632971,107,1473,689
1538974387657039,108,5541,1795
1538974387698511,109,2687,654
1538974387726190,110,5893,1673
1538974387764555,111,2944,651
1538974387778478,112,3808,650
1538974387794902,113,5939,1803
1538974387827819,114,2493,654
1538974387855230,115,5746,1548
1538974387896061,116,3138,653
1538974387923103,117,6101,1828
1538974387957009,118,2746,641
1538974387982978,119,2267,1777
1538974388012780,120,2504,632
1538974388036873,121,5601,1791
1538974388064076,122,3219,622
1538974388105214,123,5725,1558
1538974388143088,124,2798,684
1538974388170724,125,6120,1854
1538974388203727,126,2457,673
1538974388231220,127,5789,1561
1538974388256109,128,4256,1786
1538974388292302,129,5464,1564
1538974388333399,130,2651,642
1538974388354559,131,5563,1816
1538974388381499,132,3247,615
1538974388425699,133,5956,1545
1538974388458331,134,2518,634
1538974388485590,135,5685,1807
1538974388510304,136,4316,1780
1538974388541605,137,3867,613
1538974388559303,138,6068,1810
1538974388592040,139,2624,649
1538974388618330,140,5807,1531
1538974388651303,141,1476,648
1538974388674979,142,5556,1762
1538974388714232,143,2575,648
1538974388741755,144,5780,1621
1538974388779712,145,2758,678
1538974388807511,146,6057,1807
1538974388840208,147,2533,643
1538974388867501,148,5899,1571
1538974388900620,149,2446,648
1538974388925724,150,5592,1785
1538974388952304,151,3191,620
1538974388988629,152,5579,1558
1538974389015040,153,3316,663
1538974389057905,154,5997,1812
1538974389081435,155,4390,1903
1538974389118968,156,5504,1787
1538974389160405,157,2669,639
1538974389190281,158,6038,1636
1538974389222930,159,2603,643
1538974389253329,160,6071,1735
1538974389286105,161,2621,641
1538974389312523,162,5771,1636
1538974389345440,163,2419,644
1538974389370317,164,5761,1697
1538974389397330,165,3228,623
1538974389426539,166,4353,623
1538974389448082,167,6170,1815
1538974389476889,168,2381,633
1538974389495371,169,3651,626
1538974389522745,170,7281,1601
1538974389551432,171,2950,663
1538974389564650,172,3670,631
1538974389592032,173,3347,1689
1538974389622762,174,3257,669
1538974389635314,175,5487,1501
1538974389673705,176,1603,658
1538974389691437,177,4007,624
1538974389719818,178,7699,1813
1538974389744108,179,2600,629
1538974389758097,180,3172,622
1538974389789753,181,7714,1561
1538974389812224,182,2655,636
1538974389838527,183,5727,1634
1538974389871519,184,2442,661
1538974389896384,185,5570,1717
1538974389922880,186,3285,643
1538974389951087,187,4217,625
1538974389973466,188,6168,1806
1538974390006257,189,2648,670
1538974390023108,190,3948,624
1538974390049107,191,7225,1637
1538974390079843,192,2392,679
1538974390105862,193,6181,1636
1538974390139212,194,2749,671
1538974390165272,195,5820,1658
1538974390198659,196,2437,638
1538974390212250,197,2847,637
1538974390254478,198,2323,636
1538974390280769,199,5469,1527
1538974390321932,200,2656,645
1538974390338031,201,3883,628
1538974390364549,202,7465,1833
1538974390399524,203,4207,637
1538974390413069,204,5576,1515
1538974390453772,205,2654,645
1538974390480777,206,5811,1671
1538974390518933,207,2929,656
1538974390546761,208,6202,1738
1538974390579495,209,2598,652
1538974390593747,210,3240,619
1538974390635919,211,2407,657
1538974390659707,212,5534,1545
1538974390685877,213,3247,615
1538974390715235,214,4393,632
1538974390736928,215,2798,1995
1538974390767564,216,3115,1481
1538974390789240,217,5609,1578
1538974390815503,218,3235,636
1538974390844490,219,4413,631
1538974390865930,220,6314,1771
1538974390899951,221,1850,653
1538974390925046,222,5926,1537
1538974390947998,223,4328,1862
1538974390979581,224,3824,639
1538974391006106,225,7316,1857
1538974391030035,226,2540,637
1538974391053209,227,5606,1528
1538974391089522,228,1392,645
1538974391123547,229,6056,1806
1538974391159206,230,2945,682
1538974391185850,231,6196,1701
1538974391224559,232,3188,660
1538974391247143,233,5800,1704
1538974391280143,234,2430,650
1538974391305355,235,5497,1543
1538974391329974,236,2894,622
1538974391372097,237,5865,1628
1538974391404632,238,2407,636
1538974391436160,239,5974,1839
1538974391474914,240,2945,671
1538974391502730,241,6044,1705
1538974391535461,242,2585,667
1538974391561863,243,5910,1650
1538974391595192,244,2394,626
1538974391620303,245,5544,1696
1538974391664574,246,2926,659
1538974391692461,247,6205,1797
1538974391725625,248,2626,641
1538974391752056,249,5826,1582
1538974391785050,250,2472,644
1538974391810122,251,5614,1751
1538974391836630,252,3280,618
1538974391878947,253,5932,1569
1538974391902108,254,4170,1817
1538974391933515,255,4045,645
1538974391950162,256,5843,1791
1538974391980440,257,2395,638
1538974392012763,258,6011,1561
1538974392051255,259,3113,688
1538974392078965,260,6069,1844
1538974392097639,261,3879,1726
1538974392118448,262,1981,633
1538974392138019,263,5600,1512
1538974392178966,264,1791,668
1538974392205105,265,5923,1813
1538974392238618,266,2419,630
1538974392262253,267,5493,1537
1538974392303124,268,2632,643
1538974392330076,269,5947,1816
1538974392368499,270,2915,636
1538974392382716,271,3622,625
1538974392399008,272,5843,1792
1538974392431701,273,2501,652
1538974392445566,274,3147,633
1538974392458083,275,5501,1529
1538974392484207,276,3186,619
1538974392512153,277,4157,630
1538974392525580,278,5635,1762
1538974392549745,279,2711,622
1538974392577240,280,3641,633
1538974392592468,281,5569,1554
1538974392608358,282,1685,648
1538974392654212,283,5528,1540
1538974392680347,284,3312,616
1538974392721592,285,5820,1814
1538974392754773,286,1460,641
1538974392778850,287,5591,1732
1538974392820431,288,1768,684
1538974392846615,289,5857,1670
1538974392885012,290,2929,650
1538974392899059,291,3763,624
1538974392915506,292,6061,1803
1538974392953755,293,3150,647
1538974392976208,294,5841,1555
1538974393016834,295,3182,661
1538974393044415,296,6361,1813
1538974393078452,297,2741,639
1538974393098760,298,5598,1523
1538974393139913,299,2967,652
1538974393167533,300,5923,1826
1538974393206138,301,2901,632
1538974393233821,302,6201,1605
1538974393266547,303,2604,644
1538974393288081,304,5645,1747
1538974393323956,305,1389,634
1538974393360334,306,6296,1605
1538974393394222,307,2905,653
1538974393408871,308,3918,635
1538974393425999,309,6081,1812
1538974393459939,310,2512,661
1538974393487503,311,5838,1573
1538974393511934,312,4560,1940
1538974393549093,313,5534,1537
1538974393575309,314,3183,665
1538974393616396,315,5700,1843
1538974393649646,316,2401,633
1538974393674755,317,5550,1752
1538974393717202,318,2761,667
1538974393744654,319,5919,1686
1538974393777729,320,1460,648
1538974393804002,321,5553,1652
1538974393830336,322,3255,627
1538974393871231,323,5626,1662
1538974393894065,324,3874,1705
1538974393925041,325,3648,650
1538974393952339,326,7289,1798
1538974393975707,327,2398,641
1538974394007277,328,6036,1589
1538974394040269,329,2544,648
1538974394068145,330,5758,1852
1538974394101494,331,1503,636
1538974394125515,332,5426,1518
1538974394166414,333,2676,641
1538974394192378,334,1845,1499
1538974394221208,335,2412,637
1538974394246884,336,5556,1540
1538974394269526,337,2477,629
1538974394315641,338,5762,1607
1538974394338733,339,4105,1613
1538974394364299,340,2769,650
1538974394391034,341,2606,1643
1538974394420696,342,2281,648
1538974394446885,343,6155,1558
1538974394479124,344,2607,652
1538974394493551,345,3313,630
1538974394521241,346,7273,1804
1538974394543844,347,2326,642
1538974394562537,348,3595,644
1538974394589456,349,7034,1568
1538974394617452,350,2953,636
1538974394643736,351,5991,1687
1538974394675866,352,2523,676
1538974394702639,353,5844,1679
1538974394726989,354,4449,1923
1538974394762947,355,5428,1528
1538974394788225,356,3213,623
1538974394828192,357,5663,1832
1538974394860372,358,2396,630
1538974394884904,359,5536,1771
1538974394925579,360,2654,642
1538974394950815,361,5739,1673
1538974394981678,362,2334,630
1538974395007973,363,5686,1657
1538974395034393,364,3179,652
1538974395076041,365,5808,1667
1538974395098919,366,3763,1522
1538974395129348,367,3630,646
