timestamp_us,collection,mark_time_us,sweep_time_us
1538972102535843,0,23,10
1538972102538892,1,13,8
1538972102541913,2,12,7
1538972102544922,3,12,7
1538972102547959,4,11,7
1538972102550981,5,11,7
1538972102553976,6,11,7
1538972102557012,7,10,7
1538972102560013,8,11,6
1538972102563009,9,10,7
1538972102569318,10,27,15
1538972102575217,11,24,14
1538972102578358,12,12,7
1538972102581298,13,12,7
1538972102584238,14,11,7
1538972102587170,15,11,7
1538972102590083,16,11,6
1538972102593013,17,10,7
1538972102595908,18,11,6
1538972102598811,19,12,7
1538972102601726,20,10,7
1538972102604614,21,10,7
1538972102607511,22,10,6
1538972102610398,23,10,7
1538972102613303,24,10,7
1538972102616173,25,10,6
1538972102619066,26,10,7
1538972102621951,27,10,6
1538972102624851,28,10,6
1538972102627763,29,10,7
1538972102630673,30,10,7
1538972102633549,31,10,6
1538972102636438,32,10,7
1538972102639330,33,11,6
1538972102642211,34,10,6
1538972102645116,35,10,6
1538972102648025,36,10,7
1538972102650912,37,10,7
1538972102653806,38,10,6
1538972102656719,39,9,6
1538972102659626,40,9,7
1538972102662540,41,10,7
1538972102665417,42,10,6
1538972102668303,43,10,6
1538972102671188,44,10,6
1538972102674083,45,10,7
1538972102676997,46,10,6
1538972102679897,47,9,7
1538972102682793,48,10,7
1538972102685663,49,10,6
1538972102688571,50,10,6
1538972102691486,51,10,6
1538972102694371,52,9,7
1538972102697285,53,10,6
1538972102700320,54,21,8
1538972102703521,55,27,11
1538972102706742,56,21,9
1538972102709797,57,12,6
1538972102712842,58,10,7
1538972102715899,59,10,9
1538972102718937,60,11,7
1538972102721969,61,10,6
1538972102725030,62,10,7
1538972102728073,63,10,6
1538972102731078,64,11,7
1538972102734083,65,10,6
1538972102737126,66,10,6
1538972102740168,67,10,7
1538972102743112,68,10,6
1538972102746047,69,10,7
1538972102749005,70,10,6
1538972102751930,71,10,6
1538972102754862,72,10,7
1538972102757753,73,10,6
1538972102760660,74,10,7
1538972102763570,75,10,7
1538972102766464,76,10,6
1538972102769367,77,10,6
1538972102772271,78,10,7
1538972102775163,79,10,6
1538972102778059,80,11,6
1538972102780964,81,10,6
1538972102783849,82,10,7
1538972102786723,83,10,7
1538972102789584,84,10,6
1538972102792470,85,10,6
1538972102795381,86,10,6
1538972102798270,87,10,6
1538972102801152,88,10,7
1538972102804043,89,10,6
1538972102806954,90,10,6
1538972102809829,91,10,6
1538972102812729,92,10,6
1538972102815627,93,10,7
1538972102818515,94,10,6
1538972102821398,95,9,7
1538972102824315,96,10,6
1538972102827213,97,10,7
1538972102830098,98,10,6
1538972102832983,99,9,7
1538972102836018,100,10,6
1538972102838914,101,10,6
1538972102841837,102,10,7
1538972102844800,103,10,6
1538972102847740,104,10,7
1538972102850667,105,10,7
1538972102853575,106,10,7
1538972102856520,107,10,6
1538972102859445,108,10,6
1538972102862347,109,10,6
1538972102865269,110,10,7
1538972102868174,111,10,7
1538972102871072,112,10,7
1538972102873943,113,10,6
1538972102876834,114,10,6
1538972102879741,115,10,6
1538972102882639,116,10,6
1538972102885523,117,9,7
1538972102888431,118,10,6
1538972102891357,119,14,7
1538972102894428,120,10,6
1538972102897331,121,10,7
1538972102900231,122,10,6
1538972102903140,123,11,6
1538972102906041,124,10,6
1538972102908954,125,10,7
1538972102911854,126,9,7
1538972102914742,127,10,7
1538972102917631,128,10,7
1538972102920524,129,10,6
1538972102923451,130,10,6
1538972102926327,131,10,7
1538972102929227,132,10,6
1538972102932140,133,10,7
1538972102935029,134,10,6
1538972102937928,135,10,6
1538972102940856,136,10,7
1538972102943771,137,10,6
1538972102946667,138,10,6
1538972102949546,139,10,7
1538972102952453,140,10,6
1538972102955344,141,10,6
1538972102958236,142,10,6
1538972102961155,143,10,6
1538972102964067,144,10,6
1538972102966966,145,10,6
1538972102969843,146,10,7
1538972102972738,147,10,6
1538972102975643,148,10,6
1538972102978558,149,9,7
1538972102981468,150,10,6
1538972102984378,151,10,6
1538972102987300,152,9,7
1538972102990202,153,10,6
1538972102993107,154,9,7
1538972102996013,155,10,6
1538972102998945,156,10,6
1538972103001924,157,17,9
1538972103005063,158,24,10
1538972103008093,159,21,8
1538972103011284,160,27,10
1538972103014442,161,27,10
1538972103017620,162,23,10
1538972103020781,163,20,10
1538972103023968,164,23,9
1538972103027128,165,28,9
1538972103030284,166,28,11
1538972103033480,167,29,10
1538972103037211,168,34,11
1538972103040493,169,17,8
1538972103043667,170,11,7
1538972103046812,171,11,7
1538972103049944,172,10,6
1538972103053078,173,10,7
1538972103056199,174,10,7
1538972103059333,175,10,7
1538972103062423,176,11,6
1538972103065528,177,10,7
1538972103068644,178,10,7
1538972103071743,179,10,7
1538972103074838,180,11,7
1538972103077919,181,11,6
1538972103081004,182,10,7
1538972103084083,183,10,7
1538972103087143,184,11,7
