timestamp_us,collection,mark_time_us,sweep_time_us
1538990927033551,0,117,113
1538990927047746,1,106,100
1538990927060124,2,90,81
1538990927072568,3,92,95
1538990927084950,4,90,85
1538990927097123,5,85,79
1538990927109256,6,84,79
1538990927121325,7,85,80
1538990927133111,8,83,74
1538990927144912,9,81,76
1538990927166793,10,91,85
1538990927178313,11,83,75
1538990927189928,12,82,77
1538990927201668,13,83,81
1538990927213303,14,81,75
1538990927225079,15,83,77
1538990927236891,16,85,80
1538990927248544,17,82,75
1538990927260298,18,81,75
1538990927272099,19,82,79
1538990927283815,20,83,76
1538990927295597,21,80,77
1538990927307423,22,83,80
1538990927319095,23,81,74
1538990927331158,24,96,92
1538990927343103,25,83,79
1538990927354845,26,81,72
1538990927366687,27,80,77
1538990927378787,28,87,82
1538990927390766,29,84,75
1538990927402869,30,82,80
1538990927414923,31,83,80
1538990927426718,32,83,73
1538990927438510,33,80,77
1538990927450323,34,84,78
1538990927461999,35,81,74
1538990927473782,36,82,76
1538990927485610,37,82,80
1538990927497287,38,82,73
1538990927509050,39,79,77
1538990927520911,40,85,81
1538990927532584,41,82,73
1538990927544428,42,81,76
1538990927556330,43,84,79
1538990927568072,44,82,74
1538990927579854,45,80,77
1538990927591691,46,83,79
1538990927603385,47,82,74
1538990927615156,48,81,78
1538990927626993,49,83,78
1538990927638700,50,84,75
1538990927650474,51,101,75
1538990927662306,52,84,78
1538990927673991,53,80,73
1538990927685966,54,84,81
1538990927697789,55,82,78
1538990927710680,56,110,101
1538990927723256,57,97,88
1538990927735732,58,87,82
1538990927747868,59,86,76
1538990927760214,60,86,82
1538990927772371,61,87,84
1538990927784205,62,84,73
1538990927796000,63,89,83
1538990927808151,64,90,85
1538990927819838,65,81,74
1538990927832020,66,97,92
1538990927843887,67,83,80
1538990927855568,68,81,74
1538990927867356,69,80,77
1538990927879229,70,84,81
1538990927890902,71,81,71
1538990927902679,72,81,75
1538990927914512,73,83,78
1538990927926172,74,83,73
1538990927937959,75,81,75
1538990927949793,76,83,77
1538990927961461,77,81,73
1538990927973259,78,88,82
1538990927985097,79,82,78
1538990927996809,80,83,75
1538990928008604,81,80,77
1538990928020455,82,85,81
1538990928032322,83,85,75
1538990928045254,84,89,83
1538990928058278,85,91,85
1538990928070991,86,88,78
1538990928083639,87,86,81
1538990928096141,88,87,83
1538990928108260,89,84,77
1538990928120279,90,83,77
1538990928132142,91,83,79
1538990928143822,92,81,74
1538990928155601,93,80,76
1538990928167430,94,82,79
1538990928179099,95,82,74
1538990928190871,96,80,75
1538990928202694,97,83,78
1538990928214369,98,82,85
1538990928226330,99,84,80
1538990928238197,100,84,79
1538990928249869,101,81,73
1538990928261644,102,80,76
1538990928273476,103,82,79
1538990928285144,104,81,73
1538990928296925,105,80,75
1538990928308759,106,82,79
1538990928320442,107,82,74
1538990928332527,108,96,91
1538990928344462,109,84,79
1538990928356196,110,82,75
1538990928367965,111,80,76
1538990928379776,112,85,78
1538990928391451,113,82,73
1538990928403215,114,82,75
1538990928415038,115,84,79
1538990928426727,116,82,74
1538990928438480,117,105,77
1538990928450321,118,84,79
1538990928461993,119,81,71
1538990928473798,120,81,78
1538990928485634,121,82,77
1538990928497307,122,80,75
1538990928509081,123,79,77
1538990928520896,124,84,79
1538990928532566,125,82,72
1538990928544338,126,79,75
1538990928556145,127,82,80
1538990928567817,128,82,73
1538990928579583,129,80,77
1538990928591423,130,86,80
1538990928603115,131,81,73
1538990928614888,132,82,75
1538990928626714,133,84,79
1538990928638379,134,83,85
1538990928650526,135,86,79
1538990928662461,136,106,80
1538990928674202,137,81,72
1538990928685989,138,81,76
1538990928697826,139,82,78
1538990928710400,140,119,93
1538990928722224,141,85,78
1538990928734064,142,82,80
1538990928745720,143,83,74
1538990928757685,144,83,78
1538990928769560,145,83,79
1538990928781233,146,82,72
1538990928793000,147,80,74
1538990928804823,148,84,78
1538990928816501,149,83,73
1538990928828520,150,120,97
1538990928840543,151,86,82
1538990928852336,152,82,73
1538990928864222,153,81,76
1538990928876185,154,84,79
1538990928887983,155,80,74
1538990928899879,156,82,74
1538990928911864,157,83,78
1538990928923662,158,82,73
1538990928935547,159,80,76
1538990928947561,160,85,80
1538990928959368,161,81,72
1538990928971272,162,88,81
1538990928983250,163,85,78
1538990928995033,164,80,72
1538990929006994,165,81,76
1538990929018971,166,86,81
1538990929030895,167,91,82
1538990929043482,168,90,83
1538990929056877,169,89,83
1538990929069802,170,88,77
1538990929082603,171,86,82
1538990929095054,172,83,79
1538990929107072,173,82,73
1538990929119183,174,80,75
1538990929131313,175,82,80
1538990929143306,176,81,73
1538990929155411,177,80,77
1538990929167546,178,84,79
1538990929179542,179,82,74
1538990929191679,180,82,78
1538990929203827,181,84,78
1538990929215819,182,81,72
1538990929227916,183,80,76
1538990929240072,184,83,80
1538990929252068,185,82,74
1538990929264170,186,82,76
1538990929276321,187,82,79
1538990929288307,188,82,73
1538990929300389,189,80,76
1538990929312555,190,85,80
1538990929324550,191,81,74
1538990929336732,192,96,90
1538990929348695,193,83,79
1538990929360394,194,81,72
1538990929372184,195,80,75
1538990929384012,196,84,80
1538990929395806,197,83,74
1538990929408196,198,85,80
1538990929420697,199,88,82
1538990929433036,200,87,78
1538990929445378,201,84,81
1538990929457673,202,85,81
1538990929469686,203,82,74
1538990929481664,204,82,79
1538990929493612,205,83,79
1538990929505472,206,83,76
1538990929517265,207,80,76
1538990929529122,208,84,80
1538990929540809,209,81,74
1538990929552624,210,81,77
1538990929564446,211,82,78
1538990929576118,212,81,74
1538990929587900,213,80,76
1538990929599743,214,82,77
1538990929611423,215,80,73
1538990929623218,216,80,76
1538990929635054,217,84,78
1538990929646732,218,83,73
1538990929658491,219,91,76
1538990929670357,220,86,101
1538990929682205,221,83,77
1538990929694039,222,80,76
1538990929706703,223,149,102
1538990929718602,224,88,79
1538990929730489,225,95,79
1538990929742332,226,84,99
1538990929754145,227,84,76
1538990929765934,228,79,78
1538990929777899,229,89,83
1538990929789642,230,83,75
1538990929801453,231,81,77
1538990929813330,232,84,80
1538990929825020,233,81,73
1538990929837121,234,100,90
1538990929848992,235,83,78
1538990929860671,236,83,73
1538990929872452,237,80,76
1538990929884288,238,84,79
1538990929895960,239,81,74
1538990929907779,240,82,77
1538990929919628,241,83,77
1538990929931465,242,84,77
1538990929943262,243,81,76
1538990929955096,244,83,79
1538990929966768,245,86,79
1538990929978558,246,80,75
1538990929990370,247,83,91
1538990930002028,248,82,74
1538990930013831,249,82,78
1538990930025701,250,86,83
1538990930037925,251,93,82
1538990930050835,252,86,81
1538990930063431,253,88,82
1538990930075576,254,82,76
1538990930087469,255,80,77
1538990930099289,256,83,80
1538990930110979,257,81,74
1538990930122765,258,81,76
1538990930134590,259,84,78
1538990930146308,260,84,75
1538990930158101,261,80,75
1538990930169960,262,82,80
1538990930181704,263,82,73
1538990930193540,264,82,75
1538990930205375,265,84,80
1538990930217055,266,82,72
1538990930228841,267,82,76
1538990930240689,268,84,78
1538990930252380,269,79,73
1538990930264205,270,83,78
1538990930276042,271,82,78
1538990930287729,272,82,75
1538990930299513,273,80,76
1538990930311341,274,84,78
1538990930323029,275,81,75
1538990930335105,276,97,91
1538990930347175,277,87,80
1538990930358854,278,81,74
1538990930370628,279,81,75
1538990930382511,280,86,79
1538990930394204,281,80,74
1538990930405986,282,80,77
1538990930417825,283,83,78
1538990930429509,284,82,74
1538990930441295,285,81,76
1538990930453150,286,83,79
1538990930464893,287,81,73
1538990930476735,288,79,76
1538990930488591,289,83,77
1538990930500308,290,84,75
1538990930512095,291,81,79
1538990930523934,292,85,79
1538990930535608,293,81,72
1538990930547383,294,80,75
1538990930559203,295,82,78
1538990930570891,296,82,73
1538990930582873,297,80,77
1538990930595018,298,83,78
1538990930607037,299,79,73
1538990930619194,300,80,77
1538990930631348,301,83,78
1538990930643368,302,80,73
1538990930655500,303,81,76
1538990930667656,304,84,78
1538990930679683,305,82,73
1538990930691813,306,81,76
1538990930704062,307,87,82
1538990930716811,308,101,90
1538990930728903,309,84,78
1538990930741062,310,84,80
1538990930753165,311,84,76
1538990930765236,312,80,78
1538990930777196,313,86,80
1538990930788859,314,81,74
1538990930800627,315,78,77
1538990930812445,316,83,78
