timestamp_us,collection,mark_time_us,sweep_time_us
1538742293794318,0,50,54
1538742293795950,1,27,40
1538742293797280,2,17,21
1538742293798130,3,17,22
1538742293799011,4,19,26
1538742293799955,5,19,25
1538742293800886,6,17,23
1538742293801784,7,16,24
1538742293802707,8,17,23
1538742293803581,9,15,22
1538742293804534,10,17,25
1538742293805465,11,17,23
1538742293806385,12,19,26
1538742293807322,13,22,25
1538742293808269,14,17,22
1538742293809189,15,15,23
1538742293810107,16,18,23
1538742293811026,17,13,20
1538742293811878,18,14,21
1538742293812781,19,15,23
1538742293813672,20,16,23
1538742293814549,21,19,27
1538742293815510,22,20,28
1538742293816454,23,15,23
1538742293817373,24,15,23
1538742293818273,25,15,21
1538742293819119,26,15,21
1538742293820048,27,18,26
1538742293820974,28,17,22
1538742293821829,29,16,22
1538742293822706,30,15,21
1538742293823592,31,19,24
1538742293824532,32,24,30
1538742293825480,33,18,25
1538742293826381,34,15,22
1538742293827246,35,16,21
1538742293828130,36,14,22
1538742293829045,37,14,21
1538742293829890,38,15,22
1538742293830801,39,17,23
1538742293831688,40,14,21
1538742293832591,41,14,22
1538742293833466,42,12,21
1538742293834310,43,14,20
1538742293835150,44,16,21
1538742293836079,45,16,24
1538742293837020,46,17,24
1538742293837946,47,17,23
1538742293838806,48,14,21
1538742293839651,49,15,21
1538742293840577,50,16,23
1538742293841458,51,15,22
1538742293842306,52,16,21
1538742293843151,53,15,21
1538742293844008,54,17,23
1538742293844931,55,14,22
1538742293845851,56,15,23
1538742293846772,57,17,24
1538742293847642,58,15,21
1538742293848545,59,15,23
1538742293849437,60,13,21
1538742293850292,61,14,23
1538742293851210,62,16,23
1538742293852137,63,17,23
1538742293853066,64,14,21
1538742293853905,65,13,22
1538742293854749,66,16,21
1538742293855594,67,16,22
1538742293856525,68,17,23
1538742293857415,69,13,21
1538742293858267,70,16,21
1538742293859115,71,13,21
1538742293859961,72,16,22
1538742293860883,73,15,23
1538742293861741,74,15,21
1538742293862588,75,15,21
1538742293863430,76,16,21
1538742293864287,77,15,21
1538742293865134,78,13,21
1538742293865996,79,18,24
1538742293866930,80,17,23
1538742293867858,81,18,23
1538742293868783,82,15,22
1538742293869656,83,18,21
1538742293870501,84,14,21
1538742293871345,85,16,21
1538742293872202,86,16,21
1538742293873051,87,14,21
1538742293873888,88,14,20
1538742293874733,89,13,21
1538742293875587,90,15,20
1538742293876472,91,14,22
1538742293877370,92,14,21
1538742293878212,93,12,21
1538742293879059,94,14,21
1538742293879904,95,15,20
1538742293880746,96,14,21
1538742293881579,97,13,21
1538742293882417,98,13,20
1538742293883254,99,15,20
1538742293884111,100,15,21
1538742293884953,101,13,20
1538742293885786,102,14,20
1538742293886684,103,16,23
1538742293887600,104,17,23
1538742293888525,105,18,25
1538742293889424,106,13,21
1538742293890263,107,15,21
1538742293891105,108,15,21
1538742293891954,109,15,21
1538742293892814,110,13,21
1538742293893704,111,14,22
1538742293894588,112,13,20
1538742293895428,113,14,20
1538742293896276,114,15,21
1538742293897204,115,15,23
1538742293898125,116,14,21
1538742293898976,117,15,21
1538742293899822,118,13,25
1538742293900678,119,15,21
1538742293901576,120,15,22
1538742293902497,121,16,23
1538742293903403,122,16,21
1538742293904263,123,14,21
1538742293905113,124,16,21
1538742293905960,125,14,21
1538742293906845,126,14,23
1538742293907760,127,17,23
1538742293908648,128,15,21
1538742293909496,129,14,21
1538742293910353,130,14,20
1538742293911204,131,17,21
1538742293912070,132,16,23
1538742293912943,133,15,21
1538742293913789,134,13,21
1538742293914638,135,14,21
1538742293915484,136,13,21
1538742293916346,137,14,21
1538742293917243,138,15,24
1538742293918160,139,14,21
1538742293919022,140,16,23
1538742293919881,141,14,22
1538742293920733,142,15,21
1538742293921577,143,15,20
1538742293922420,144,14,21
1538742293923262,145,15,20
1538742293924113,146,13,21
1538742293924959,147,13,21
1538742293925799,148,14,21
1538742293926643,149,14,20
1538742293927548,150,18,24
1538742293928462,151,14,21
1538742293929303,152,14,20
1538742293930144,153,13,21
1538742293930989,154,14,21
1538742293931827,155,19,20
1538742293932713,156,16,22
1538742293933591,157,14,21
1538742293934433,158,14,21
1538742293935268,159,14,21
1538742293936145,160,15,22
1538742293936992,161,13,21
1538742293937891,162,16,25
1538742293938768,163,15,21
1538742293939610,164,13,21
1538742293940483,165,16,22
1538742293941327,166,14,21
1538742293942171,167,14,20
1538742293943061,168,17,25
1538742293943989,169,15,23
1538742293944871,170,15,22
1538742293945718,171,14,20
1538742293946569,172,14,22
1538742293947419,173,17,23
1538742293948358,174,16,23
1538742293949273,175,13,21
1538742293950114,176,13,21
1538742293950958,177,15,21
1538742293951802,178,16,23
1538742293952735,179,15,23
1538742293953631,180,14,21
1538742293954476,181,16,21
1538742293955318,182,15,21
1538742293956169,183,15,20
1538742293957015,184,14,21
1538742293957886,185,15,23
1538742293958804,186,17,23
1538742293959685,187,13,21
1538742293960535,188,15,21
1538742293961376,189,14,21
1538742293962228,190,14,20
1538742293963072,191,16,20
1538742293963926,192,15,21
1538742293964773,193,13,21
1538742293965614,194,12,21
1538742293966457,195,13,21
1538742293967301,196,13,21
1538742293968192,197,16,23
1538742293969110,198,16,23
1538742293969971,199,13,21
1538742293970820,200,15,21
1538742293971655,201,14,21
