timestamp_us,collection,mark_time_us,sweep_time_us
1539297514017687,0,97,124
1539297514024318,1,45,41
1539297514029669,2,21,30
1539297514035005,3,39,39
1539297514040238,4,47,46
1539297514045367,5,67,57
1539297514050414,6,20,29
1539297514055585,7,17,27
1539297514060702,8,39,40
1539297514065766,9,31,35
1539297514071030,10,53,50
1539297514076081,11,62,55
1539297514081062,12,36,39
1539297514086188,13,36,39
1539297514091253,14,14,26
1539297514096348,15,39,39
1539297514101418,16,48,46
1539297514106466,17,28,34
1539297514111556,18,63,53
1539297514116610,19,46,47
1539297514121705,20,19,29
1539297514126773,21,42,42
1539297514131753,22,41,41
1539297514136737,23,21,30
1539297514141755,24,47,44
1539297514146714,25,35,38
1539297514151706,26,29,36
1539297514156705,27,29,33
1539297514161702,28,20,28
1539297514166754,29,37,37
1539297514172087,30,46,44
1539297514177073,31,42,40
1539297514182070,32,39,41
1539297514187061,33,38,40
1539297514192059,34,56,50
1539297514196965,35,44,42
1539297514201954,36,14,26
1539297514207013,37,41,42
1539297514211996,38,40,41
1539297514216990,39,22,31
1539297514222053,40,47,45
1539297514227046,41,36,38
1539297514232116,42,30,34
1539297514237164,43,28,34
1539297514242151,44,36,40
1539297514247132,45,19,29
1539297514252172,46,36,38
1539297514257159,47,29,35
1539297514262178,48,28,33
1539297514267208,49,19,27
1539297514272344,50,37,37
1539297514277337,51,45,46
1539297514282314,52,40,41
1539297514287290,53,38,40
1539297514292276,54,38,40
1539297514297257,55,56,51
1539297514302165,56,44,42
1539297514307148,57,14,26
1539297514312228,58,41,41
1539297514317323,59,42,45
1539297514322617,60,22,32
1539297514327708,61,48,45
1539297514332729,62,35,39
1539297514337768,63,30,35
1539297514342811,64,30,34
1539297514347940,65,39,44
1539297514352948,66,20,29
1539297514358068,67,36,38
1539297514363128,68,29,35
1539297514368205,69,28,33
1539297514373756,70,20,28
1539297514378850,71,36,38
1539297514383863,72,45,44
1539297514388849,73,41,40
1539297514393844,74,39,39
1539297514398836,75,38,40
1539297514403827,76,55,50
1539297514408744,77,44,42
1539297514413742,78,14,26
1539297514418816,79,41,42
1539297514423957,80,40,42
1539297514428978,81,22,30
1539297514434068,82,48,45
1539297514439097,83,36,40
1539297514444140,84,30,34
1539297514449191,85,28,35
1539297514454208,86,36,39
1539297514459212,87,20,28
1539297514464294,88,35,39
1539297514469306,89,29,34
1539297514475027,90,29,33
1539297514480044,91,19,28
1539297514485124,92,36,37
1539297514490361,93,102,84
1539297514495986,94,74,75
1539297514501375,95,54,45
1539297514506583,96,42,44
1539297514511951,97,62,57
1539297514517193,98,59,55
1539297514522335,99,29,36
1539297514527523,100,50,48
1539297514532644,101,47,46
1539297514537803,102,51,47
1539297514542977,103,39,40
1539297514548116,104,22,31
1539297514553402,105,47,46
1539297514559310,106,31,36
