timestamp_us,collection,mark_time_us,sweep_time_us
1539315591413530,0,29,40
1539315591428436,1,11,21
1539315591443226,2,10,20
1539315591458000,3,10,20
1539315591472707,4,10,19
1539315591487344,5,9,20
1539315591502324,6,9,21
1539315591517287,7,9,20
1539315591532118,8,9,20
1539315591546830,9,11,20
1539315591561513,10,9,21
1539315591576150,11,8,20
1539315591590730,12,8,19
1539315591605299,13,8,21
1539315591619966,14,8,20
1539315591634704,15,8,20
1539315591649331,16,8,20
1539315591664192,17,9,21
1539315591679183,18,9,20
1539315591694046,19,12,20
1539315591708768,20,9,20
1539315591723410,21,9,19
1539315591738023,22,8,19
1539315591752663,23,8,21
1539315591767299,24,9,20
1539315591781958,25,8,20
1539315591796617,26,10,20
1539315591811566,27,11,21
1539315591826544,28,15,32
1539315591841265,29,11,20
1539315591856028,30,10,19
1539315591870659,31,10,21
1539315591885300,32,9,19
1539315591899958,33,8,19
1539315591914589,34,8,19
1539315591929221,35,8,20
1539315591944052,36,9,20
1539315591958898,37,9,19
1539315591973734,38,9,20
1539315591988406,39,9,19
1539315592003063,40,9,21
1539315592018649,41,30,51
1539315592033419,42,11,19
1539315592048130,43,9,19
1539315592063297,44,9,21
1539315592078507,45,8,20
1539315592093383,46,9,20
1539315592108256,47,10,20
1539315592123140,48,9,20
1539315592137783,49,9,18
1539315592152447,50,9,20
1539315592167092,51,9,19
1539315592181753,52,8,19
1539315592196392,53,8,19
1539315592211029,54,8,20
1539315592225698,55,9,20
1539315592240356,56,9,20
1539315592255319,57,9,21
1539315592269997,58,8,19
1539315592284755,59,8,19
1539315592299626,60,10,20
1539315592314354,61,9,19
1539315592329244,62,15,31
1539315592344135,63,11,20
1539315592358842,64,8,20
1539315592373452,65,9,19
1539315592388117,66,8,20
1539315592402792,67,8,20
1539315592417444,68,9,20
1539315592432088,69,8,19
1539315592446745,70,9,19
1539315592461396,71,8,21
1539315592476134,72,9,19
1539315592490845,73,9,19
1539315592506456,74,14,21
1539315592521859,75,9,21
1539315592537034,76,8,20
1539315592551811,77,9,20
1539315592566500,78,8,20
1539315592581116,79,9,20
1539315592595763,80,9,20
1539315592610365,81,8,20
1539315592624990,82,8,19
1539315592639613,83,8,20
1539315592654433,84,9,21
1539315592669165,85,9,20
1539315592683940,86,8,19
1539315592698669,87,9,20
1539315592713304,88,9,19
1539315592727938,89,8,21
1539315592742629,90,9,19
1539315592757386,91,9,20
1539315592772091,92,9,20
1539315592786767,93,9,20
1539315592801588,94,9,19
1539315592816573,95,10,21
1539315592831829,96,12,31
1539315592846622,97,11,20
1539315592861259,98,9,19
1539315592875889,99,9,20
1539315592890524,100,8,20
1539315592905154,101,8,20
1539315592919898,102,8,19
1539315592934663,103,9,20
1539315592949407,104,9,19
1539315592964065,105,9,20
1539315592978834,106,10,22
1539315592993607,107,9,20
1539315593008518,108,9,21
1539315593023790,109,23,31
1539315593038563,110,11,20
1539315593053581,111,8,19
1539315593068581,112,10,20
1539315593083232,113,9,19
1539315593098020,114,9,19
1539315593112791,115,10,21
1539315593127667,116,9,21
1539315593142380,117,8,20
1539315593157066,118,8,20
1539315593171695,119,8,19
1539315593186421,120,9,20
1539315593201229,121,8,20
1539315593215892,122,8,19
1539315593230710,123,8,20
1539315593245350,124,8,20
1539315593259999,125,8,20
1539315593274646,126,9,20
1539315593289608,127,13,23
1539315593304491,128,9,20
1539315593319217,129,9,20
1539315593334230,130,15,28
1539315593349026,131,10,20
1539315593363756,132,12,22
1539315593378453,133,9,19
1539315593393138,134,8,20
1539315593407754,135,8,20
1539315593422440,136,8,19
1539315593437223,137,8,19
1539315593451908,138,8,19
1539315593466541,139,9,20
1539315593481202,140,10,20
1539315593496321,141,8,22
1539315593511814,142,14,24
1539315593527150,143,10,20
1539315593542182,144,9,20
1539315593557065,145,8,20
1539315593571991,146,9,20
1539315593586597,147,9,19
1539315593601170,148,9,20
1539315593615861,149,9,20
1539315593630432,150,9,19
1539315593645049,151,8,20
1539315593659688,152,9,19
1539315593674314,153,8,20
1539315593688940,154,9,19
1539315593703632,155,8,20
1539315593718290,156,8,20
1539315593732959,157,8,20
1539315593747809,158,8,20
1539315593762526,159,9,21
1539315593777476,160,10,21
1539315593792346,161,8,20
