timestamp_us,collection,mark_time_us,sweep_time_us
1539316700288208,0,178,223
1539316700303217,1,144,185
1539316700316290,2,126,161
1539316700328982,3,117,154
1539316700341700,4,120,155
1539316700354225,5,114,150
1539316700366687,6,116,153
1539316700379200,7,113,151
1539316700391725,8,116,155
1539316700404326,9,116,152
1539316700416950,10,118,154
1539316700429472,11,116,152
1539316700442181,12,113,165
1539316700454902,13,113,154
1539316700467637,14,130,156
1539316700480396,15,111,152
1539316700494956,16,183,235
1539316700508589,17,188,212
1539316700521771,18,140,187
1539316700534814,19,130,184
1539316700547513,20,137,188
1539316700560074,21,129,178
1539316700572558,22,133,190
1539316700601320,23,163,333
1539316700627324,24,168,341
1539316700653435,25,158,323
1539316700679549,26,165,334
1539316700705724,27,173,330
1539316700731812,28,162,331
1539316700758059,29,168,352
1539316700784907,30,179,349
1539316700811577,31,173,330
1539316700838481,32,166,326
1539316700865042,33,161,329
1539316700891665,34,172,327
1539316700918331,35,170,350
1539316700945309,36,166,338
1539316700971959,37,159,325
1539316700998570,38,167,331
1539316701033023,39,178,355
1539316701060862,40,168,349
1539316701088585,41,166,351
1539316701115758,42,164,332
1539316701142383,43,165,334
1539316701168906,44,152,320
1539316701195396,45,161,345
1539316701221954,46,180,336
1539316701248280,47,163,332
1539316701274706,48,161,324
1539316701301215,49,161,337
1539316701328057,50,163,336
1539316701354756,51,152,317
1539316701381153,52,165,331
1539316701407957,53,172,335
1539316701434602,54,185,335
1539316701461641,55,168,333
1539316701488331,56,162,332
1539316701516296,57,166,342
1539316701543339,58,173,340
1539316701569504,59,162,325
1539316701595739,60,159,326
1539316701621879,61,160,325
1539316701648134,62,163,331
1539316701674338,63,158,324
1539316701700592,64,162,330
1539316701726894,65,164,335
1539316701752952,66,164,338
1539316701779012,67,163,332
1539316701805062,68,162,328
1539316701831340,69,166,335
1539316701857512,70,152,313
1539316701883649,71,174,323
1539316701909885,72,166,337
1539316701936040,73,163,329
1539316701962311,74,161,324
1539316701988518,75,160,333
1539316702016752,76,172,353
1539316702044187,77,154,325
1539316702070910,78,181,339
1539316702097862,79,176,337
1539316702124368,80,166,330
1539316702150681,81,163,334
1539316702176867,82,162,330
1539316702203166,83,163,338
1539316702229843,84,177,336
1539316702256209,85,161,336
1539316702282517,86,167,332
1539316702309017,87,184,346
1539316702335849,88,162,332
1539316702362286,89,158,323
1539316702388689,90,162,332
1539316702415038,91,164,331
1539316702441324,92,166,331
1539316702468084,93,168,334
1539316702494522,94,160,338
1539316702521780,95,167,342
1539316702548653,96,151,320
1539316702574795,97,167,334
1539316702601280,98,175,335
1539316702627423,99,162,331
1539316702653605,100,166,332
1539316702679725,101,160,332
1539316702705891,102,186,349
1539316702732116,103,161,323
1539316702758278,104,163,330
1539316702784660,105,156,319
1539316702811157,106,163,328
1539316702837482,107,161,333
1539316702863793,108,159,325
1539316702890088,109,164,330
1539316702916432,110,168,334
1539316702942706,111,163,330
1539316702969023,112,163,329
1539316702995211,113,161,338
1539316703029914,114,166,340
1539316703056173,115,160,325
1539316703082061,116,163,332
1539316703108051,117,169,340
1539316703133887,118,162,333
1539316703159983,119,162,331
1539316703185959,120,179,341
1539316703211946,121,165,333
1539316703237947,122,177,332
1539316703263798,123,165,336
1539316703289966,124,167,334
1539316703316088,125,149,328
1539316703342212,126,165,334
1539316703368327,127,160,328
1539316703394618,128,163,331
1539316703421070,129,164,337
1539316703447695,130,163,337
1539316703474404,131,158,327
1539316703502475,132,165,339
1539316703529347,133,169,332
1539316703555837,134,150,316
1539316703581675,135,163,334
1539316703607539,136,176,330
1539316703633249,137,163,330
1539316703659074,138,163,327
1539316703684935,139,161,331
