timestamp_us,collection,mark_time_us,sweep_time_us
1539341981536152,0,52,75
1539341981542273,1,31,28
1539341981546385,2,20,24
1539341981550494,3,36,30
1539341981554600,4,26,25
1539341981558631,5,35,26
1539341981562672,6,26,24
1539341981566657,7,19,22
1539341981570712,8,29,24
1539341981574714,9,21,22
1539341981578725,10,34,27
1539341981582692,11,39,28
1539341981586585,12,41,27
1539341981590483,13,32,24
1539341981594456,14,21,22
1539341981598385,15,18,22
1539341981602385,16,16,21
1539341981606387,17,27,24
1539341981610346,18,17,21
1539341981614281,19,33,25
1539341981618261,20,24,23
1539341981622190,21,32,25
1539341981626149,22,25,23
1539341981630073,23,18,21
1539341981634093,24,29,23
1539341981638069,25,21,21
1539341981641993,26,18,21
1539341981646020,27,20,22
1539341981650033,28,26,23
1539341981654034,29,12,20
1539341981658007,30,34,25
1539341981661982,31,24,23
1539341981665922,32,32,25
1539341981669882,33,25,22
1539341981673850,34,18,21
1539341981677876,35,28,24
1539341981681848,36,20,22
1539341981685798,37,18,21
1539341981689836,38,20,22
1539341981693831,39,26,23
1539341981697838,40,28,23
1539341981701789,41,27,23
1539341981705755,42,18,20
1539341981709702,43,33,26
1539341981713686,44,39,26
1539341981717582,45,40,26
1539341981721465,46,31,25
1539341981725431,47,36,26
1539341981729362,48,26,23
1539341981733357,49,33,25
1539341981737282,50,41,26
1539341981741202,51,30,24
1539341981745197,52,21,22
1539341981749173,53,19,21
1539341981753206,54,27,24
1539341981757194,55,20,22
1539341981761155,56,18,21
1539341981765178,57,19,22
1539341981769161,58,26,23
1539341981773161,59,12,19
1539341981777122,60,34,25
1539341981781073,61,24,23
1539341981785025,62,33,25
1539341981788992,63,24,23
1539341981792922,64,17,21
1539341981796935,65,29,24
1539341981800918,66,21,21
1539341981804885,67,18,21
1539341981808926,68,20,22
1539341981812956,69,26,23
1539341981816963,70,27,24
1539341981820896,71,26,24
1539341981824891,72,18,20
1539341981828846,73,32,26
1539341981832807,74,40,26
1539341981836734,75,40,27
1539341981840640,76,30,25
1539341981844639,77,36,27
1539341981848554,78,26,23
1539341981852558,79,33,24
1539341981856478,80,41,27
1539341981860378,81,30,24
1539341981864352,82,21,21
1539341981868305,83,18,22
1539341981872322,84,29,24
1539341981876322,85,20,22
1539341981880287,86,17,22
1539341981884312,87,19,22
1539341981888319,88,26,24
1539341981892345,89,13,19
1539341981896310,90,33,25
1539341981900272,91,25,22
1539341981904240,92,33,25
1539341981908213,93,25,22
1539341981912180,94,19,21
1539341981916195,95,28,24
1539341981920180,96,21,21
1539341981924121,97,18,21
1539341981928133,98,19,22
1539341981932129,99,26,24
1539341981936161,100,27,24
1539341981940092,101,26,23
1539341981944088,102,18,20
1539341981948057,103,33,25
1539341981952021,104,40,25
1539341981955949,105,41,26
1539341981959868,106,31,24
1539341981963842,107,36,26
1539341981967774,108,26,23
1539341981971797,109,32,25
1539341981975761,110,41,26
1539341981979694,111,30,24
1539341981983682,112,28,22
1539341981987637,113,18,21
1539341981991657,114,30,24
1539341981995646,115,21,27
1539341981999601,116,18,21
1539341982003609,117,20,25
1539341982007651,118,27,31
1539341982011738,119,13,22
1539341982015778,120,34,29
1539341982019790,121,24,26
1539341982023780,122,33,27
1539341982027806,123,25,24
1539341982031827,124,19,22
1539341982035956,125,31,27
1539341982040161,126,21,22
1539341982044194,127,18,22
1539341982048290,128,20,22
1539341982052360,129,26,24
1539341982056443,130,28,24
1539341982060432,131,26,23
1539341982064460,132,17,21
1539341982068494,133,36,28
1539341982072637,134,41,28
1539341982076854,135,44,29
1539341982081068,136,34,26
1539341982085332,137,39,28
1539341982089479,138,28,25
