timestamp_us,collection,mark_time_us,sweep_time_us
1539361647500215,0,214,236
1539361647514080,1,144,190
1539361647526138,2,122,157
1539361647538194,3,118,156
1539361647550137,4,138,151
1539361647561910,5,111,147
1539361647573625,6,129,157
1539361647585266,7,114,154
1539361647596799,8,119,158
1539361647608454,9,112,147
1539361647620205,10,121,151
1539361647631782,11,110,147
1539361647643429,12,118,158
1539361647655075,13,112,145
1539361647666660,14,109,145
1539361647678344,15,111,144
1539361647690058,16,110,148
1539361647701658,17,112,145
1539361647713252,18,114,145
1539361647724962,19,113,149
1539361647736593,20,120,149
1539361647748366,21,122,155
1539361647760165,22,114,147
1539361647771755,23,111,143
1539361647783418,24,113,146
1539361647795139,25,154,191
1539361647806814,26,115,148
1539361647818500,27,113,140
1539361647830202,28,114,148
1539361647842012,29,140,159
1539361647853800,30,119,147
1539361647865474,31,111,144
1539361647877156,32,149,190
1539361647889020,33,120,153
1539361647900794,34,111,146
1539361647912413,35,110,143
1539361647924258,36,135,160
1539361647936063,37,114,153
1539361647947682,38,119,144
1539361647959577,39,156,183
1539361647971427,40,120,164
1539361647983171,41,111,142
1539361647994911,42,111,143
1539361648006886,43,118,151
1539361648018900,44,144,167
1539361648031245,45,151,188
1539361648043636,46,126,164
1539361648055839,47,136,168
1539361648068157,48,120,153
1539361648080132,49,113,147
1539361648092240,50,146,182
1539361648104331,51,134,165
1539361648116189,52,115,147
1539361648127817,53,109,144
1539361648140061,54,146,171
1539361648152029,55,124,160
1539361648163745,56,113,143
1539361648176246,57,159,191
1539361648188685,58,161,200
1539361648201115,59,167,215
1539361648213489,60,143,180
1539361648225652,61,142,171
1539361648237559,62,124,151
1539361648249733,63,132,166
1539361648262034,64,121,152
1539361648274182,65,122,150
1539361648292471,66,218,209
1539361648304406,67,109,148
1539361648315665,68,118,148
1539361648327409,69,110,151
1539361648339166,70,113,155
1539361648350663,71,108,143
1539361648362216,72,110,144
1539361648373787,73,109,145
1539361648385300,74,109,142
1539361648397031,75,152,199
1539361648409033,76,119,158
1539361648420851,77,115,148
1539361648432652,78,109,145
1539361648444408,79,110,146
1539361648455963,80,113,142
1539361648467598,81,111,143
1539361648479330,82,111,147
1539361648491094,83,118,156
1539361648503323,84,120,158
1539361648515702,85,153,194
1539361648527560,86,106,162
1539361648539651,87,124,145
1539361648551544,88,112,149
1539361648563204,89,106,146
1539361648575040,90,111,148
