timestamp_us,collection,mark_time_us,sweep_time_us
1539342014124909,0,45,52
1539342014126413,1,24,36
1539342014127906,2,26,34
1539342014129248,3,11,19
1539342014130067,4,11,19
1539342014130931,5,13,20
1539342014131754,6,11,18
1539342014132620,7,11,19
1539342014133455,8,11,18
1539342014134262,9,11,17
1539342014135116,10,13,18
1539342014135951,11,11,19
1539342014136814,12,12,19
1539342014137667,13,11,18
1539342014138506,14,11,18
1539342014139353,15,11,17
1539342014140205,16,11,19
1539342014141048,17,12,18
1539342014141889,18,12,19
1539342014142736,19,11,18
1539342014143590,20,11,19
1539342014144438,21,11,18
1539342014145276,22,11,18
1539342014146122,23,10,18
1539342014146964,24,10,17
1539342014147809,25,10,18
1539342014148648,26,12,18
1539342014149494,27,11,18
1539342014150338,28,10,17
1539342014151177,29,10,17
1539342014152036,30,13,19
1539342014152880,31,11,18
1539342014153724,32,10,18
1539342014154564,33,10,18
1539342014155408,34,11,17
1539342014156249,35,11,18
1539342014157100,36,11,18
1539342014157938,37,12,19
1539342014158781,38,12,19
1539342014159616,39,11,17
1539342014160468,40,12,18
1539342014161304,41,12,18
1539342014162144,42,11,17
1539342014162978,43,11,18
1539342014163828,44,10,17
1539342014164662,45,12,18
1539342014165502,46,10,17
1539342014166334,47,11,17
1539342014167173,48,10,17
1539342014168014,49,11,18
1539342014168858,50,11,18
1539342014169692,51,12,18
1539342014170531,52,11,18
1539342014171370,53,10,19
1539342014172214,54,11,18
1539342014173051,55,11,18
1539342014173882,56,11,18
1539342014174715,57,10,18
1539342014175545,58,10,18
1539342014176382,59,10,18
1539342014177219,60,12,18
1539342014178055,61,11,17
1539342014178884,62,10,17
1539342014179725,63,10,17
1539342014180553,64,11,18
1539342014181388,65,11,18
1539342014182217,66,11,18
1539342014183051,67,10,18
1539342014183881,68,11,19
1539342014184715,69,11,18
1539342014185549,70,10,18
1539342014186377,71,11,18
1539342014187200,72,11,17
1539342014188033,73,10,18
1539342014188859,74,10,17
1539342014189682,75,11,18
1539342014190508,76,11,18
1539342014191334,77,11,18
1539342014192170,78,11,18
1539342014192990,79,12,18
1539342014193823,80,10,18
1539342014194639,81,12,17
1539342014195465,82,10,18
1539342014196286,83,10,18
1539342014197112,84,11,17
1539342014197937,85,10,17
1539342014198760,86,11,17
1539342014199578,87,10,17
1539342014200403,88,10,17
1539342014201220,89,11,18
1539342014202051,90,10,17
1539342014202864,91,10,17
1539342014203682,92,20,18
1539342014204505,93,11,18
1539342014205324,94,10,17
1539342014206137,95,10,18
1539342014206950,96,10,16
1539342014207761,97,11,17
1539342014208573,98,11,17
1539342014209384,99,10,17
1539342014210200,100,10,17
1539342014211011,101,12,17
1539342014211825,102,10,16
1539342014212637,103,11,17
1539342014213447,104,10,17
1539342014214291,105,16,23
1539342014215164,106,14,19
1539342014215992,107,10,17
1539342014216795,108,10,18
1539342014217604,109,10,17
1539342014218416,110,11,17
1539342014219227,111,10,17
1539342014220034,112,10,17
1539342014220841,113,10,17
1539342014221643,114,12,17
1539342014222449,115,11,18
1539342014223250,116,11,16
1539342014224055,117,11,16
1539342014224855,118,11,17
1539342014225661,119,11,16
1539342014226472,120,10,17
1539342014227273,121,10,16
1539342014228080,122,12,18
1539342014228884,123,11,17
1539342014229686,124,10,17
1539342014230480,125,10,17
1539342014231277,126,10,17
1539342014232073,127,11,17
1539342014232873,128,10,17
1539342014233665,129,10,17
1539342014234471,130,10,17
1539342014235264,131,10,17
1539342014236066,132,11,17
1539342014236859,133,11,16
1539342014237657,134,11,16
1539342014238449,135,11,17
1539342014239250,136,10,17
1539342014240053,137,12,18
1539342014240853,138,10,17
1539342014241645,139,10,16
1539342014242451,140,11,17
1539342014243245,141,10,16
1539342014244046,142,10,17
1539342014244838,143,11,17
1539342014245635,144,11,17
1539342014246432,145,9,17
1539342014247225,146,10,17
1539342014248023,147,10,17
1539342014248819,148,10,16
1539342014249615,149,10,16
1539342014250415,150,9,17
1539342014251211,151,10,17
1539342014252013,152,11,17
1539342014252814,153,10,17
1539342014253611,154,10,17
1539342014254412,155,10,17
1539342014255209,156,11,16
1539342014256017,157,11,17
1539342014256816,158,10,17
1539342014257618,159,10,17
1539342014258436,160,11,17
1539342014259241,161,10,17
1539342014260043,162,10,17
1539342014260843,163,12,18
1539342014261641,164,11,17
