timestamp_us,collection,mark_time_us,sweep_time_us
1539214951761383,0,70,89
1539214951764345,1,15,33
1539214951766755,2,13,37
1539214951769231,3,14,34
1539214951771738,4,13,39
1539214951774428,5,18,38
1539214951776997,6,14,31
1539214951779498,7,17,31
1539214951781971,8,13,34
1539214951784531,9,12,31
1539214951787180,10,13,31
1539214951789613,11,13,34
1539214951792113,12,12,31
1539214951794526,13,12,30
1539214951796926,14,12,30
1539214951799329,15,19,29
1539214951801746,16,12,30
1539214951804138,17,12,30
1539214951806528,18,12,30
1539214951808919,19,11,30
1539214951811435,20,13,30
1539214951813831,21,12,30
1539214951816219,22,12,30
1539214951818719,23,11,30
1539214951821104,24,12,29
1539214951823612,25,12,30
1539214951826002,26,12,30
1539214951828392,27,11,30
1539214951830778,28,12,30
1539214951833164,29,12,29
1539214951835566,30,11,30
1539214951837961,31,12,30
1539214951840354,32,12,30
1539214951842743,33,12,30
1539214951845129,34,11,30
1539214951847519,35,12,29
1539214951849960,36,13,33
1539214951852414,37,11,30
1539214951854805,38,11,30
1539214951857191,39,12,30
1539214951859718,40,12,30
1539214951862134,41,12,30
1539214951864535,42,12,30
1539214951866942,43,11,30
1539214951869332,44,11,30
1539214951871722,45,12,30
1539214951874113,46,12,29
1539214951876498,47,11,30
1539214951878886,48,11,30
1539214951881271,49,12,29
1539214951883671,50,11,30
1539214951886063,51,12,30
1539214951888449,52,12,29
1539214951890836,53,12,29
1539214951893220,54,12,30
1539214951895609,55,11,30
1539214951897997,56,12,30
1539214951900383,57,12,29
1539214951902773,58,12,30
1539214951905159,59,12,30
1539214951907556,60,12,29
1539214951909947,61,12,29
1539214951912332,62,12,30
1539214951914723,63,12,29
1539214951917107,64,11,30
1539214951919495,65,12,29
1539214951921883,66,11,30
1539214951924270,67,12,29
1539214951926702,68,12,29
1539214951929087,69,12,29
1539214951931483,70,12,29
1539214951933871,71,12,30
1539214951936257,72,12,30
1539214951938647,73,12,30
1539214951941032,74,11,30
1539214951943417,75,11,30
1539214951945812,76,12,29
1539214951948197,77,12,30
1539214951950630,78,11,30
1539214951953015,79,12,29
1539214951955416,80,12,30
1539214951957805,81,12,29
1539214951960194,82,12,30
1539214951962585,83,12,30
1539214951964970,84,11,30
1539214951967355,85,11,29
1539214951969746,86,12,29
1539214951972130,87,13,30
1539214951974523,88,12,30
1539214951976910,89,11,30
1539214951979306,90,12,30
1539214951981699,91,12,29
1539214951984090,92,12,29
1539214951986483,93,11,30
1539214951988867,94,11,30
1539214951991252,95,12,30
1539214951993647,96,11,30
1539214951996031,97,11,30
1539214951998420,98,11,30
1539214952001470,99,30,63
1539214952005559,100,18,36
