timestamp_us,collection,mark_time_us,sweep_time_us
1539216434696537,0,105,133
1539216434699067,1,75,97
1539216434701513,2,146,138
1539216434703882,3,125,126
1539216434709069,4,97,161
1539216434711835,5,83,124
1539216434714722,6,62,107
1539216434717361,7,79,108
1539216434720101,8,65,107
1539216434722906,9,82,121
1539216434725658,10,83,118
1539216434728339,11,56,103
1539216434731021,12,49,95
1539216434733701,13,61,101
1539216434736420,14,74,111
1539216434739187,15,72,113
1539216434741922,16,51,96
1539216434744614,17,57,97
1539216434747368,18,67,107
1539216434750152,19,60,104
1539216434752869,20,64,106
1539216434755509,21,62,108
1539216434758222,22,59,106
1539216434760885,23,56,99
1539216434763645,24,52,98
1539216434766445,25,50,102
1539216434770086,26,99,181
1539216434773039,27,65,109
1539216434775825,28,65,103
1539216434778552,29,55,102
1539216434781291,30,56,129
1539216434783964,31,79,119
1539216434786682,32,86,119
1539216434789328,33,105,114
1539216434792088,34,51,97
1539216434794879,35,59,107
1539216434797567,36,79,115
1539216434800270,37,47,94
1539216434803088,38,75,116
1539216434805783,39,63,104
1539216434808500,40,55,98
1539216434811180,41,48,96
1539216434813872,42,66,102
1539216434816578,43,56,103
1539216434819342,44,58,105
1539216434822099,45,69,108
1539216434824774,46,71,111
1539216434827505,47,69,108
1539216434830275,48,57,100
1539216434832946,49,60,99
1539216434835617,50,43,93
1539216434838333,51,103,131
1539216434840990,52,56,101
1539216434843728,53,57,103
1539216434846508,54,56,100
1539216434849198,55,64,106
1539216434851927,56,54,94
1539216434854689,57,56,99
1539216434857419,58,60,105
1539216434860120,59,64,104
1539216434862785,60,58,104
1539216434865525,61,57,103
1539216434868182,62,70,111
1539216434870931,63,61,108
1539216434873722,64,44,91
1539216434876405,65,87,123
1539216434879215,66,51,98
1539216434882020,67,83,121
1539216434884708,68,92,123
1539216434887388,69,69,109
1539216434890076,70,56,109
1539216434892767,71,58,102
1539216434895469,72,55,97
1539216434898246,73,57,102
1539216434901000,74,70,104
1539216434903682,75,112,139
1539216434906400,76,73,123
1539216434909207,77,79,128
1539216434911883,78,57,99
1539216434914580,79,46,94
1539216434917291,80,67,122
1539216434919983,81,44,89
1539216434922752,82,103,132
1539216434925497,83,58,100
1539216434928200,84,57,103
1539216434930934,85,72,113
1539216434933684,86,73,112
1539216434936422,87,71,108
1539216434939119,88,73,111
1539216434941760,89,62,113
1539216434944512,90,53,96
1539216434947190,91,105,133
1539216434949916,92,93,127
1539216434952661,93,62,104
1539216434955371,94,58,104
1539216434958112,95,67,117
1539216434960900,96,63,100
1539216434963621,97,65,107
1539216434966463,98,56,107
1539216434969112,99,56,102
1539216434971866,100,52,96
1539216434974551,101,54,98
1539216434977290,102,78,129
1539216434980073,103,52,96
1539216434982753,104,54,100
1539216434985483,105,74,111
1539216434988267,106,82,116
1539216434990948,107,67,111
1539216434993653,108,57,103
1539216434996295,109,46,91
1539216434999016,110,63,103
1539216435001851,111,83,174
1539216435004764,112,60,103
1539216435007528,113,71,112
1539216435010305,114,81,125
1539216435013064,115,70,109
1539216435015835,116,56,103
1539216435018548,117,61,105
1539216435021184,118,108,140
1539216435023928,119,57,100
1539216435026641,120,63,112
1539216435029368,121,75,95
1539216435032170,122,62,101
1539216435034866,123,128,142
1539216435037625,124,60,104
1539216435040370,125,52,96
1539216435043110,126,55,104
1539216435045829,127,46,91
1539216435048455,128,53,94
1539216435051178,129,116,137
1539216435060045,130,113,337
1539216435065777,131,109,319
1539216435071525,132,88,309
1539216435077150,133,106,353
1539216435082762,134,106,320
1539216435088468,135,123,324
1539216435094144,136,84,314
1539216435099870,137,83,312
1539216435105445,138,92,318
1539216435111069,139,103,321
1539216435116855,140,95,310
1539216435122493,141,95,315
1539216435128189,142,80,304
1539216435133789,143,73,303
1539216435139447,144,125,335
1539216435145121,145,76,323
1539216435150869,146,87,316
1539216435156526,147,139,337
1539216435162133,148,205,346
1539216435167840,149,87,308
1539216435173600,150,97,317
1539216435179366,151,101,319
1539216435184940,152,81,309
1539216435190743,153,80,305
1539216435196473,154,90,308
1539216435202127,155,78,305
1539216435207854,156,97,314
1539216435213457,157,91,313
1539216435219081,158,84,312
1539216435224824,159,84,312
1539216435230527,160,106,324
1539216435236194,161,153,342
1539216435241758,162,78,302
1539216435247409,163,131,335
1539216435253081,164,88,340
1539216435258821,165,82,308
1539216435264482,166,161,343
1539216435270095,167,88,308
1539216435275908,168,99,316
1539216435281576,169,97,315
1539216435287495,170,89,311
1539216435293048,171,85,329
1539216435298701,172,81,311
1539216435304442,173,78,304
1539216435310131,174,100,321
1539216435315828,175,116,328
1539216435321429,176,104,319
1539216435327051,177,94,313
1539216435332784,178,97,313
1539216435338462,179,103,327
1539216435344184,180,92,312
1539216435349803,181,96,320
1539216435355422,182,92,318
1539216435361117,183,81,338
1539216435366874,184,106,322
1539216435372483,185,89,309
1539216435378089,186,119,325
1539216435383748,187,91,310
1539216435389429,188,113,321
1539216435395143,189,94,312
1539216435400730,190,83,307
1539216435406370,191,81,315
1539216435412132,192,112,324
1539216435417782,193,87,314
1539216435423501,194,98,317
1539216435429097,195,113,349
1539216435434744,196,81,305
1539216435440459,197,93,315
1539216435446180,198,147,335
1539216435451825,199,88,310
1539216435457462,200,87,316
1539216435463106,201,87,312
1539216435468805,202,95,311
1539216435474578,203,91,311
1539216435480208,204,79,305
1539216435485809,205,77,308
1539216435491540,206,97,314
1539216435497196,207,93,345
1539216435502925,208,113,326
1539216435508599,209,101,318
1539216435514258,210,141,340
1539216435520004,211,83,309
1539216435525651,212,91,319
1539216435531374,213,147,342
1539216435536947,214,79,301
1539216435542607,215,93,316
1539216435548296,216,82,307
1539216435554021,217,87,310
1539216435559665,218,89,315
1539216435565247,219,76,321
1539216435571062,220,136,340
1539216435576728,221,85,310
1539216435582524,222,108,321
1539216435588107,223,81,309
1539216435593883,224,79,302
1539216435599599,225,77,303
1539216435605279,226,84,328
1539216435611004,227,82,312
1539216435616586,228,105,316
1539216435622211,229,87,310
1539216435628004,230,89,313
1539216435633675,231,91,317
1539216435639374,232,125,326
1539216435644922,233,90,306
1539216435650593,234,89,316
1539216435656285,235,89,313
1539216435662023,236,89,312
1539216435667765,237,101,317
1539216435673323,238,103,309
1539216435679185,239,79,309
1539216435684904,240,101,318
1539216435690803,241,89,315
1539216435696464,242,84,313
1539216435702108,243,75,309
1539216435707855,244,94,315
1539216435713658,245,89,320
1539216435719369,246,101,319
1539216435724959,247,103,316
1539216435730597,248,86,313
1539216435736332,249,100,315
1539216435742054,250,97,318
1539216435747723,251,137,330
1539216435753277,252,176,339
1539216435759074,253,133,338
1539216435764747,254,88,313
1539216435771290,255,83,331
1539216435776972,256,102,320
1539216435782584,257,83,313
1539216435788290,258,104,321
1539216435793982,259,77,314
1539216435799782,260,88,311
1539216435805329,261,111,313
1539216435810993,262,101,330
1539216435816740,263,86,315
1539216435822397,264,81,312
1539216435828125,265,138,340
1539216435833776,266,83,314
1539216435839678,267,103,322
1539216435845379,268,111,309
1539216435851104,269,125,333
1539216435856768,270,80,304
1539216435862381,271,91,316
1539216435868022,272,80,306
1539216435873762,273,90,321
1539216435879620,274,76,304
1539216435885245,275,96,356
1539216435890850,276,103,320
1539216435896560,277,112,319
1539216435902204,278,96,317
1539216435907916,279,85,315
1539216435913527,280,83,306
1539216435919160,281,94,315
1539216435924925,282,91,313
1539216435930566,283,92,314
