timestamp_us,collection,mark_time_us,sweep_time_us
1539210658384640,0,2079,641
1539210658390394,1,6111,2628
1539210658403165,2,12605,4792
1539210658425047,3,4271,2142
1539210658440052,4,4179,1906
1539210658450436,5,4134,1887
1539210658461150,6,4125,1854
1539210658471574,7,4114,1841
1539210658481840,8,4100,1840
1539210658492459,9,4116,1811
1539210658502890,10,4116,1823
1539210658513157,11,4116,1812
1539210658523761,12,4108,1855
1539210658534151,13,4114,1811
1539210658544413,14,4247,1895
1539210658555388,15,4212,1847
1539210658565852,16,4181,1832
1539210658576195,17,4654,2064
1539210658587544,18,4548,2001
1539210658598435,19,4516,1962
1539210658609206,20,5505,2400
1539210658621474,21,5522,2402
1539210658633570,22,5301,2290
1539210658645231,23,5543,2401
1539210658658006,24,11301,4865
1539210658695570,25,4218,2071
1539210658711875,26,4270,2175
1539210658728144,27,4326,2180
1539210658744693,28,4330,2188
1539210658761138,29,4364,2200
1539210658777485,30,4417,2227
1539210658794056,31,4402,2210
1539210658810792,32,4868,2391
1539210658827829,33,6371,3033
1539210658846776,34,7178,3357
1539210658867962,35,13737,6326
1539210658927410,36,4365,2122
1539210658954751,37,4392,2398
1539210658982677,38,4566,2550
1539210659011418,39,6390,3873
1539210659044257,40,49,1156
1539210659068167,41,4371,2306
1539210659095910,42,4403,2298
1539210659123335,43,4438,2333
1539210659151310,44,6415,3686
1539210659184479,45,4381,2930
1539210659212411,46,4405,2903
1539210659240873,47,4387,2900
1539210659268927,48,4775,3102
1539210659297795,49,5882,3498
1539210659331239,50,4390,2897
1539210659359864,51,4445,2935
1539210659388667,52,4403,2924
1539210659417161,53,4817,3109
1539210659445900,54,5591,3414
1539210659477928,55,4398,2924
1539210659506362,56,4354,2923
1539210659534319,57,4439,2950
1539210659562866,58,4919,3130
1539210659591633,59,9365,5071
1539210659628188,60,4391,2912
1539210659656649,61,4389,2923
1539210659684785,62,4485,2981
1539210659713289,63,4635,3033
1539210659742182,64,10101,5386
1539210659779355,65,4351,2860
1539210659807643,66,4410,2876
1539210659835925,67,4443,2920
1539210659864715,68,4725,3093
1539210659894319,69,10101,5384
1539210659931396,70,4398,2874
1539210659959665,71,4401,2853
1539210659988105,72,4485,2914
1539210660018569,73,4850,3119
1539210660048974,74,10100,5326
1539210660085653,75,4365,2853
1539210660113601,76,4382,2864
1539210660142132,77,4508,2921
1539210660170252,78,6293,3712
1539210660201962,79,2041,2477
1539210660228990,80,4377,2744
