timestamp_us,collection,mark_time_us,sweep_time_us
1539222416882500,0,538,492
1539222416889351,1,1729,858
1539222416895200,2,2481,1642
1539222416918336,3,5890,1874
1539222416935458,4,6953,1848
1539222416953715,5,4526,1843
1539222416969537,6,3535,1707
1539222416984267,7,5880,1831
1539222417004100,8,2994,1731
1539222417018134,9,3544,1785
1539222417032881,10,4175,1873
1539222417048252,11,4841,1860
1539222417064302,12,5616,1834
1539222417083179,13,7376,2685
1539222417129191,14,4575,3827
1539222417160962,15,4352,3848
1539222417195044,16,4411,2714
1539222417226472,17,5693,2695
1539222417260388,18,8729,4014
1539222417306043,19,4616,4718
1539222417383047,20,4705,3620
1539222417429387,21,3905,4484
1539222417496339,22,3535,3622
1539222417544801,23,2539,3714
1539222417605763,24,2940,3690
1539222417666046,25,8623,5029
1539222417727077,26,6009,3767
1539222417795073,27,6786,4305
1539222417849441,28,5418,3852
1539222417913918,29,5764,3899
1539222417973338,30,5078,3616
1539222418037080,31,5457,3650
1539222418096789,32,5613,4862
1539222418156225,33,4819,3621
1539222418211156,34,4018,3590
1539222418273338,35,3223,3564
1539222418328583,36,4267,4569
1539222418391571,37,4098,3642
1539222418419782,38,5537,3619
1539222418482689,39,5270,3592
1539222418545096,40,5533,3595
1539222418607735,41,5568,4254
1539222418671295,42,5553,3612
1539222418731156,43,4945,3598
1539222418789728,44,4912,3636
1539222418853057,45,4590,3564
1539222418909802,46,4433,3616
1539222418966523,47,3836,3596
1539222419029147,48,4243,3606
1539222419070014,49,2511,3654
1539222419130446,50,2731,3642
1539222419190639,51,2874,3726
1539222419250931,52,2919,3766
1539222419311359,53,2875,3702
1539222419372087,54,3068,3730
1539222419432848,55,3492,4945
1539222419495191,56,2831,3764
1539222419555602,57,3393,4701
1539222419618624,58,3043,3741
1539222419676659,59,2544,3767
1539222419737251,60,2741,3751
1539222419798717,61,2945,3781
1539222419861078,62,2795,3775
1539222419921516,63,2852,3736
1539222419981743,64,2849,3748
1539222420042863,65,3662,5381
1539222420105833,66,2820,3770
1539222420166202,67,3320,4749
1539222420228355,68,3021,3743
1539222420289354,69,3258,4652
1539222420351691,70,3033,3787
1539222420412474,71,3563,4850
1539222420475437,72,3090,3773
1539222420537393,73,2837,3746
1539222420600697,74,3139,3785
1539222420661439,75,3509,4984
1539222420724199,76,3621,3755
1539222420765647,77,5442,3785
1539222420824578,78,4643,3592
1539222420887824,79,4949,3596
1539222420949927,80,4614,3624
1539222421013380,81,5011,3642
1539222421066136,82,4366,4306
1539222421129355,83,4405,3625
1539222421186928,84,4185,4392
1539222421249638,85,4133,3651
1539222421304854,86,3342,3693
1539222421368186,87,3052,3669
1539222421425371,88,3751,4954
1539222421488334,89,3390,3692
1539222421539622,90,2508,3777
1539222421601500,91,2985,3731
1539222421662067,92,2861,3750
1539222421723218,93,2781,3779
1539222421784611,94,2919,3705
1539222421847157,95,2859,3739
1539222421907615,96,3444,4889
1539222421970363,97,2832,3753
1539222422031953,98,3331,4733
1539222422094296,99,3030,3762
1539222422155043,100,3612,5148
1539222422201081,101,5390,3772
1539222422264874,102,5820,3769
1539222422303148,103,3893,4372
1539222422366090,104,3098,3438
1539222422395813,105,5529,3566
1539222422451146,106,4763,3863
1539222422507964,107,4442,3614
1539222422562208,108,4064,4212
1539222422621491,109,3803,3628
1539222422682273,110,4201,4730
1539222422712383,111,4988,3658
1539222422755268,112,3922,3678
1539222422814046,113,3316,3648
1539222422877919,114,3176,3618
1539222422934899,115,3542,4382
1539222422996774,116,3380,3758
1539222423047530,117,2498,3760
1539222423107903,118,2744,3665
1539222423168004,119,2873,3721
1539222423228525,120,2925,3731
1539222423288875,121,2890,3711
1539222423349693,122,2836,3719
1539222423409926,123,3511,5124
1539222423472084,124,2839,3784
1539222423532318,125,3649,5288
1539222423595322,126,2966,3765
1539222423656512,127,9348,5026
1539222423717524,128,6041,3775
1539222423784180,129,7400,4548
1539222423845417,130,6035,3943
1539222423913687,131,6135,4211
1539222423967844,132,5413,3904
1539222424033228,133,5859,3942
1539222424071705,134,3951,4516
1539222424132244,135,3603,3569
1539222424193217,136,3936,4636
1539222424254326,137,3665,3687
1539222424315656,138,3600,5059
1539222424377672,139,3414,3703
1539222424427256,140,2495,3685
1539222424487620,141,2944,3665
1539222424548072,142,8571,5023
1539222424608395,143,6025,3779
1539222424675061,144,6698,4256
1539222424735873,145,6602,5069
1539222424779436,146,4517,3779
1539222424841893,147,4784,4659
1539222424903793,148,4437,3612
1539222424958154,149,3481,3571
1539222425020260,150,3902,3633
1539222425076835,151,3818,4659
1539222425138999,152,3197,3660
1539222425187246,153,2509,3719
1539222425247953,154,2740,3676
1539222425308436,155,2892,3735
1539222425369200,156,2913,3739
1539222425430227,157,9200,5060
1539222425473993,158,4617,3717
1539222425537062,159,5040,3757
1539222425599036,160,4614,3598
1539222425661859,161,5030,3648
1539222425723106,162,4624,3631
1539222425786737,163,5126,3662
1539222425848070,164,5020,4439
1539222425905690,165,4532,3640
1539222425961856,166,3803,3599
1539222426024656,167,4125,3634
1539222426081138,168,3496,3621
1539222426142978,169,3944,3649
1539222426200121,170,3319,3674
1539222426261881,171,3123,3664
1539222426319302,172,3164,3695
1539222426381041,173,3443,3710
1539222426430667,174,2530,3749
1539222426492058,175,2899,3698
1539222426552527,176,8643,5096
1539222426612849,177,5964,3786
1539222426679793,178,6673,4268
1539222426740289,179,6401,4579
1539222426780665,180,4321,3793
1539222426842836,181,3943,3593
1539222426903676,182,4209,3602
1539222426964913,183,3972,3628
1539222427028289,184,4386,3669
1539222427057534,185,5895,3656
1539222427108463,186,4599,3567
1539222427171836,187,5001,3596
1539222427201951,188,2495,3620
1539222427262601,189,2960,3580
1539222427322992,190,2856,3743
1539222427383535,191,2893,3746
1539222427444478,192,2848,3705
1539222427504995,193,2841,3720
1539222427565486,194,2790,3780
1539222427626643,195,2938,3754
1539222427686979,196,3291,4484
1539222427749236,197,3072,3744
1539222427810503,198,3705,5403
1539222427873550,199,2914,3812
1539222427930973,200,2516,3713
1539222427991372,201,3060,3726
1539222428052127,202,2852,3701
1539222428112486,203,2980,3759
1539222428173214,204,2878,3725
1539222428234074,205,2840,3743
1539222428294968,206,3447,4991
1539222428357284,207,2835,3763
1539222428417657,208,3464,5097
1539222428468159,209,5739,3756
1539222428532278,210,6103,3774
1539222428590411,211,5731,4392
1539222428639194,212,4374,3661
1539222428694587,213,3737,3604
1539222428756629,214,4051,3630
1539222428814448,215,3500,3645
1539222428875991,216,3961,3670
1539222428932488,217,3325,3672
1539222428994144,218,3203,3686
1539222429051570,219,3453,4320
1539222429113532,220,3361,3716
1539222429164224,221,2525,3761
1539222429224426,222,2987,3727
1539222429285150,223,2875,3727
1539222429346297,224,2797,3753
1539222429406501,225,2843,3710
1539222429467230,226,2977,3716
1539222429527590,227,3333,4747
1539222429590210,228,2984,3790
1539222429648239,229,2528,3763
1539222429708568,230,2929,3726
1539222429769048,231,8699,5073
1539222429822040,232,5346,3768
1539222429885387,233,5740,3781
1539222429944449,234,5036,3482
1539222430007753,235,5466,3598
1539222430067287,236,4913,3606
1539222430124460,237,4874,3650
1539222430175179,238,3731,3565
1539222430230916,239,3565,3595
1539222430291892,240,3016,3647
1539222430353026,241,3865,3686
1539222430409887,242,3507,4410
1539222430472907,243,3624,3674
1539222430523718,244,2503,3725
1539222430583905,245,2797,3697
1539222430643891,246,8532,5049
1539222430703961,247,6010,3765
1539222430770784,248,6720,4276
1539222430831168,249,6392,4982
1539222430874590,250,4484,3740
1539222430936636,251,3180,3558
1539222430998151,252,4617,3629
1539222431054323,253,4379,4575
1539222431113608,254,3723,3622
1539222431174823,255,3554,3672
1539222431211195,256,5703,3671
1539222431277042,257,3217,3658
1539222431329715,258,5434,3860
1539222431394346,259,5797,3850
1539222431453358,260,5054,3647
1539222431517254,261,5560,3649
1539222431577251,262,5529,4671
1539222431637197,263,4903,3637
1539222431692393,264,4879,4808
1539222431755759,265,4187,3601
1539222431795604,266,2525,3656
1539222431856605,267,2756,3630
1539222431917797,268,3295,4412
1539222431978802,269,2958,3778
1539222432038434,270,2519,3749
1539222432099106,271,2736,3740
1539222432159350,272,8527,5017
1539222432219679,273,6055,3778
1539222432286236,274,6699,4272
1539222432347861,275,6563,4989
1539222432391661,276,4514,3781
1539222432454079,277,4876,4719
1539222432515987,278,4293,3629
1539222432572648,279,3743,3614
1539222432634865,280,4176,3640
1539222432692972,281,3519,3627
1539222432755486,282,3811,3677
1539222432799902,283,2524,3701
1539222432859671,284,2973,3668
1539222432920373,285,2870,3760
1539222432980407,286,2957,3720
1539222433041360,287,9196,5035
1539222433102317,288,5997,3725
1539222433160235,289,5925,3758
1539222433223979,290,6448,5282
1539222433267993,291,4178,3558
1539222433323645,292,3801,4171
1539222433383114,293,3603,3626
1539222433443906,294,3940,5445
1539222433504188,295,3492,3700
1539222433554819,296,2521,3734
1539222433615175,297,2736,3702
1539222433675369,298,2866,3732
1539222433735878,299,3016,3766
1539222433797170,300,9295,5109
1539222433859737,301,6099,3743
1539222433917793,302,5951,3753
1539222433981422,303,4375,5310
1539222434044811,304,3517,3468
1539222434099693,305,4995,3539
1539222434161288,306,5349,3601
1539222434223756,307,5533,4658
1539222434288777,308,5239,3653
1539222434347021,309,5300,4756
1539222434406375,310,4501,3634
1539222434462910,311,3843,3606
1539222434525660,312,4249,3649
1539222434582474,313,3537,3623
1539222434644673,314,3915,3630
1539222434702108,315,3314,3642
1539222434764342,316,3762,3714
1539222434822753,317,3163,3726
1539222434884530,318,3640,3677
1539222434934963,319,2529,3765
1539222434995733,320,2753,3782
1539222435059753,321,2905,3778
1539222435121429,322,2892,3771
1539222435181821,323,2850,3714
1539222435242595,324,3045,3706
1539222435303460,325,3508,4932
1539222435366224,326,2831,3757
1539222435426712,327,3400,4714
1539222435488953,328,3031,3761
1539222435546994,329,2529,3788
1539222435610287,330,2789,3817
1539222435675343,331,2963,3814
1539222435740230,332,2842,3775
1539222435801644,333,2900,3742
1539222435864067,334,2887,3759
1539222435925200,335,3677,5446
1539222435988658,336,2830,3748
1539222436049192,337,3320,4734
1539222436112136,338,3029,3767
1539222436173447,339,3224,4637
1539222436235433,340,3023,3766
1539222436296196,341,3551,4858
1539222436358850,342,3093,3760
1539222436419554,343,2837,3715
1539222436481486,344,3128,3783
1539222436542134,345,3510,4997
1539222436605182,346,3645,3753
1539222436646525,347,5297,3815
1539222436703942,348,4601,3587
1539222436767286,349,5004,3743
1539222436829750,350,4593,3606
1539222436893773,351,4935,3645
1539222436947335,352,4346,4308
1539222437011269,353,4379,3651
1539222437068284,354,4188,4403
1539222437131017,355,4109,3650
1539222437185898,356,3298,3681
1539222437247881,357,3064,3643
1539222437304982,358,3732,4957
1539222437367889,359,3367,3693
1539222437418906,360,2512,3734
1539222437479671,361,2999,3735
1539222437540450,362,2879,3734
1539222437601013,363,2783,3681
1539222437662097,364,2845,3689
1539222437723215,365,2853,3723
1539222437783631,366,3445,4898
1539222437846415,367,2824,3771
1539222437907100,368,3330,4657
1539222437969439,369,3026,3746
1539222438030085,370,3605,5145
1539222438076122,371,5388,3759
1539222438140093,372,5788,3797
1539222438178077,373,3873,4392
1539222438240687,374,3097,3406
1539222438269993,375,5525,3565
1539222438325272,376,4778,3852
1539222438382456,377,4434,3621
1539222438436812,378,4063,4205
1539222438496436,379,3822,3631
1539222438557289,380,4232,4738
1539222438587576,381,4988,3683
1539222438630704,382,3918,3677
1539222438686707,383,3314,3604
1539222438748347,384,3169,3604
1539222438805901,385,3539,4415
1539222438868007,386,3367,3683
1539222438918567,387,2481,3749
1539222438978918,388,2738,3694
1539222439040235,389,2929,3749
1539222439100790,390,2936,3752
1539222439161305,391,2858,3699
1539222439222220,392,2839,3735
1539222439282485,393,3535,5167
1539222439344679,394,2856,3770
1539222439404889,395,3666,5321
1539222439467382,396,2953,3728
1539222439528005,397,9333,5033
1539222439589700,398,6072,3795
1539222439656636,399,7354,4555
1539222439717538,400,6027,3915
1539222439785120,401,6247,4252
1539222439840262,402,5456,3942
1539222439905351,403,5840,3953
1539222439944137,404,3936,4546
1539222440004767,405,3617,3571
1539222440065612,406,3928,4631
1539222440127326,407,3663,3692
1539222440188668,408,3607,5068
1539222440250839,409,3418,3726
1539222440300147,410,2485,3757
1539222440360780,411,2915,3665
1539222440421098,412,8573,4990
1539222440481162,413,6036,3795
1539222440547642,414,6691,4235
1539222440608438,415,6599,5078
1539222440652330,416,4500,3803
1539222440714693,417,4771,4672
1539222440776839,418,4453,3626
1539222440831721,419,3480,3605
1539222440893610,420,3896,3599
1539222440950260,421,3790,4661
1539222441012166,422,3207,3676
1539222441060276,423,2510,3723
1539222441120978,424,2764,3677
1539222441181756,425,2855,3728
1539222441242200,426,2917,3758
1539222441302722,427,9205,5044
1539222441346323,428,4634,3714
1539222441409409,429,5026,3746
1539222441470987,430,4614,3611
1539222441533958,431,4999,3627
1539222441595386,432,4635,3642
1539222441658592,433,5073,3650
1539222441719906,434,5011,4418
1539222441777367,435,4565,3671
1539222441833842,436,3815,3588
1539222441895750,437,4103,3646
1539222441951944,438,3500,3626
1539222442013706,439,3970,3647
1539222442070768,440,3311,3671
1539222442132472,441,3142,3687
1539222442189485,442,3139,3693
1539222442250872,443,3429,3684
1539222442300671,444,2562,3738
1539222442360980,445,2901,3727
1539222442421558,446,8607,5061
1539222442481808,447,5917,3771
1539222442548413,448,6702,4170
1539222442608920,449,6372,4566
1539222442649021,450,4312,3762
1539222442710845,451,3955,3593
1539222442771572,452,4208,3626
1539222442833295,453,3965,3620
1539222442895834,454,4346,3647
1539222442924797,455,5919,3654
1539222442975932,456,4604,3563
1539222443039122,457,4960,3607
1539222443069265,458,2503,3613
1539222443129642,459,2924,3583
1539222443189847,460,2832,3712
1539222443250170,461,2881,3717
1539222443310294,462,2849,3711
1539222443370648,463,2840,3706
1539222443431245,464,2824,3741
1539222443492187,465,2945,3762
1539222443552169,466,3307,4488
1539222443614382,467,3071,3711
1539222443674823,468,3711,5376
1539222443737592,469,2892,3767
1539222443795346,470,2532,3763
1539222443856429,471,3060,3739
1539222443917576,472,2858,3741
1539222443978246,473,2945,3749
1539222444041385,474,2928,3755
1539222444105438,475,2859,3762
1539222444166266,476,3436,4971
1539222444228184,477,2827,3765
1539222444288445,478,3473,5071
1539222444338871,479,5727,3736
1539222444403253,480,6066,3753
1539222444461289,481,5759,4409
1539222444510348,482,4371,3665
1539222444565630,483,3729,3604
1539222444627629,484,4052,3611
1539222444685109,485,3507,3629
1539222444746757,486,3960,3658
1539222444803676,487,3331,3672
1539222444865080,488,3215,3665
1539222444922240,489,3476,4326
1539222444984286,490,3364,3702
1539222445034999,491,2529,3743
1539222445095162,492,2964,3728
1539222445155682,493,2865,3685
1539222445216623,494,2806,3761
1539222445276913,495,2865,3687
1539222445337603,496,2956,3727
1539222445398158,497,3310,4756
1539222445460289,498,3005,3760
1539222445518288,499,2493,3761
1539222445578830,500,2918,3730
1539222445639241,501,8574,5028
1539222445691983,502,5354,3773
1539222445755334,503,5726,3802
1539222445815187,504,5019,3592
1539222445878447,505,5402,3564
1539222445937839,506,4922,3630
1539222445995094,507,4896,3609
1539222446045715,508,3743,3558
1539222446101275,509,3591,3595
1539222446162452,510,2975,3632
1539222446223793,511,3849,3681
1539222446280708,512,3506,4404
1539222446342643,513,3629,3654
1539222446393246,514,2525,3727
1539222446453455,515,2760,3696
1539222446513625,516,8542,5028
1539222446573818,517,5981,3778
1539222446641682,518,6678,4252
1539222446702163,519,6367,4995
1539222446745490,520,4509,3775
1539222446808060,521,3165,3551
1539222446869592,522,4470,3633
1539222446925752,523,4379,4595
1539222446985072,524,3747,3634
1539222447046326,525,3542,3667
1539222447082649,526,5704,3663
1539222447148775,527,3229,3696
1539222447201333,528,5431,3840
1539222447265767,529,5787,3860
1539222447325034,530,5080,3647
1539222447388943,531,5521,3658
1539222447448685,532,5464,4640
1539222447507587,533,4893,3612
1539222447562546,534,4870,4862
1539222447625995,535,4202,3594
1539222447666057,536,2540,3653
1539222447726579,537,2740,3626
1539222447787435,538,3337,4405
1539222447849389,539,2981,3764
1539222447910074,540,2502,3740
1539222447970455,541,2736,3738
1539222448031412,542,8589,5047
1539222448091774,543,6021,3776
1539222448158487,544,6667,4291
1539222448219065,545,6564,4997
1539222448262570,546,4526,3801
1539222448324693,547,4899,4716
1539222448386620,548,4298,3647
1539222448443461,549,3750,3606
1539222448505427,550,4179,3607
1539222448562938,551,3500,3655
1539222448624726,552,3819,3688
1539222448669025,553,2521,3705
1539222448729161,554,2934,3683
1539222448790254,555,2936,3736
1539222448850943,556,2960,3759
1539222448911107,557,9171,5031
1539222448972413,558,6017,3729
1539222449030612,559,5906,3753
1539222449094226,560,6417,5292
1539222449137909,561,4209,3551
1539222449193984,562,3807,4161
1539222449253815,563,3607,3627
1539222449314315,564,3943,5458
1539222449374385,565,3511,3700
1539222449425219,566,2526,3761
1539222449485232,567,2744,3718
1539222449545478,568,2837,3725
1539222449606415,569,3016,3755
1539222449666677,570,9172,5067
1539222449727447,571,6098,3725
1539222449786021,572,5931,3785
1539222449849780,573,4330,5309
1539222449912610,574,3520,3455
1539222449967331,575,5022,3581
1539222450028838,576,5344,3580
1539222450091317,577,5543,4646
1539222450154970,578,5196,3631
1539222450212857,579,5339,4750
1539222450271123,580,4497,3618
1539222450326987,581,3831,3598
1539222450389372,582,4258,3596
1539222450445833,583,3502,3634
1539222450507706,584,3916,3664
1539222450564505,585,3314,3650
1539222450626703,586,3747,3670
1539222450684142,587,3162,3707
1539222450745810,588,3627,3712
1539222450796537,589,2507,3761
1539222450856994,590,2760,3714
1539222450917626,591,2848,3728
1539222450978166,592,2895,3756
1539222451038648,593,2865,3689
1539222451099338,594,3044,3750
1539222451159847,595,3476,4940
1539222451222299,596,2829,3762
1539222451282731,597,3378,4683
1539222451344468,598,3036,3760
1539222451403534,599,2520,3806
1539222451463916,600,2755,3739
1539222451523935,601,2907,3759
1539222451584946,602,2823,3775
1539222451645841,603,2863,3693
1539222451706740,604,2865,3747
1539222451767197,605,3709,5451
1539222451830741,606,2836,3776
1539222451891675,607,3319,4745
1539222451954165,608,3019,3767
1539222452015409,609,3246,4622
1539222452077326,610,3021,3771
1539222452137829,611,3506,4857
1539222452199938,612,3079,3774
1539222452260449,613,2842,3740
1539222452321722,614,3113,3757
1539222452382188,615,3521,4990
1539222452444814,616,3606,3766
1539222452485918,617,5310,3766
1539222452543003,618,4601,3582
1539222452605832,619,4914,3609
1539222452667133,620,4594,3617
1539222452730514,621,4937,3652
1539222452783249,622,4378,4311
1539222452846696,623,4370,3645
1539222452903945,624,4173,4394
1539222452966826,625,4113,3649
1539222453021854,626,3310,3665
1539222453083629,627,3071,3677
1539222453140654,628,3740,4947
1539222453203169,629,3384,3677
1539222453253965,630,2495,3742
1539222453314884,631,2983,3731
1539222453375755,632,2865,3753
1539222453435823,633,2789,3686
1539222453496274,634,2862,3699
1539222453557283,635,2846,3719
1539222453617782,636,3384,4886
1539222453680133,637,2856,3772
1539222453740748,638,3320,4733
1539222453804063,639,3060,3783
1539222453865062,640,3611,5139
1539222453911145,641,5357,3759
1539222453974748,642,5804,3793
1539222454013024,643,3899,4379
1539222454076022,644,3105,3483
1539222454105368,645,5540,3603
1539222454160723,646,4804,3838
1539222454217523,647,4457,3610
1539222454272074,648,4101,4196
1539222454331707,649,3808,3623
1539222454392915,650,4229,4756
1539222454422940,651,4993,3694
1539222454466135,652,3922,3656
1539222454522317,653,3297,3580
1539222454584113,654,3166,3608
1539222454641112,655,3517,4397
1539222454703151,656,3373,3691
1539222454753597,657,2493,3758
1539222454816108,658,2775,3735
1539222454876754,659,2871,3725
1539222454936739,660,2925,3772
1539222454997108,661,2845,3718
1539222455058358,662,2826,3708
1539222455118712,663,3529,5148
1539222455181178,664,2846,3758
1539222455241374,665,3653,5329
1539222455303675,666,2939,3761
1539222455364701,667,9328,5019
1539222455425855,668,6027,3771
1539222455492201,669,7364,4531
1539222455553019,670,6063,3938
1539222455620916,671,6157,4229
1539222455675265,672,5414,3907
1539222455740383,673,5837,3934
1539222455779667,674,3962,4573
1539222455842148,675,3622,3550
1539222455903540,676,3932,4631
1539222455964720,677,3667,3690
1539222456026579,678,3628,5092
1539222456089008,679,3443,3697
1539222456138192,680,2476,3681
1539222456198797,681,2933,3651
1539222456259064,682,8574,5008
1539222456319397,683,5979,3764
1539222456386037,684,6644,4268
1539222456446717,685,6588,5091
1539222456490629,686,4509,3782
1539222456553041,687,4776,4682
1539222456615194,688,4421,3623
1539222456669637,689,3486,3618
1539222456731382,690,3884,3633
1539222456788823,691,3833,4695
1539222456851752,692,3207,3663
1539222456900254,693,2519,3710
1539222456961106,694,2739,3689
1539222457021671,695,2858,3748
1539222457082242,696,2914,3726
1539222457142425,697,9184,5043
1539222457186316,698,4613,3695
1539222457249567,699,5018,3748
1539222457310952,700,4616,3600
1539222457373925,701,5017,3621
1539222457434995,702,4622,3620
1539222457497959,703,5075,3635
1539222457559244,704,5020,4420
1539222457617194,705,4564,3608
1539222457673167,706,3813,3608
1539222457735260,707,4103,3613
1539222457792667,708,3539,3647
1539222457855263,709,3946,3660
1539222457912133,710,3311,3674
1539222457974006,711,3127,3670
1539222458032168,712,3171,3724
1539222458093844,713,3400,3701
1539222458143681,714,2546,3757
1539222458204042,715,2909,3721
1539222458264607,716,8631,5099
1539222458324883,717,5923,3793
1539222458391552,718,6692,4266
1539222458452092,719,6389,4578
1539222458492512,720,4313,3764
1539222458554367,721,3941,3586
1539222458615228,722,4195,3611
1539222458676614,723,3968,3634
1539222458739136,724,4348,3649
