timestamp_us,collection,mark_time_us,sweep_time_us
1539193875576425,0,54,97
1539193875579851,1,37,85
1539193875583196,2,25,48
1539193875585075,3,23,47
1539193875586953,4,22,46
1539193875588861,5,23,48
1539193875590737,6,22,46
1539193875592644,7,23,47
1539193875594519,8,22,45
1539193875596418,9,23,47
1539193875598344,10,22,46
1539193875600244,11,23,48
1539193875602121,12,22,47
1539193875604111,13,27,53
1539193875606048,14,23,50
1539193875607990,15,21,49
1539193875609919,16,28,48
1539193875611862,17,22,48
1539193875613790,18,24,48
1539193875615729,19,23,47
1539193875617688,20,22,48
1539193875619624,21,22,46
1539193875621550,22,21,48
1539193875623486,23,22,47
1539193875625411,24,22,47
1539193875627347,25,23,46
1539193875629273,26,23,56
1539193875631167,27,22,45
1539193875633042,28,21,45
1539193875634915,29,21,45
1539193875636811,30,21,46
1539193875638682,31,21,46
1539193875640565,32,21,46
1539193875642436,33,21,46
1539193875644314,34,22,47
1539193875646207,35,21,47
1539193875648089,36,22,47
1539193875649963,37,19,46
1539193875651843,38,21,46
1539193875653735,39,22,71
1539193875655658,40,21,46
1539193875657532,41,22,46
1539193875659420,42,20,45
1539193875661293,43,20,46
1539193875663191,44,22,46
1539193875665068,45,21,46
1539193875666943,46,20,46
1539193875668823,47,22,46
1539193875670700,48,20,46
1539193875672577,49,22,45
1539193875674470,50,20,46
1539193875676349,51,21,46
1539193875678227,52,20,46
1539193875680103,53,22,47
1539193875681980,54,21,46
1539193875683863,55,21,46
1539193875685738,56,21,46
1539193875687617,57,20,47
1539193875689491,58,21,46
1539193875691371,59,21,45
1539193875693260,60,21,46
1539193875695142,61,21,45
1539193875697013,62,22,46
1539193875698888,63,22,46
1539193875700772,64,21,46
1539193875702644,65,21,47
1539193875704527,66,21,47
1539193875706403,67,20,46
1539193875708280,68,21,45
1539193875710153,69,21,46
1539193875712057,70,22,47
1539193875713936,71,22,47
1539193875715835,72,23,46
1539193875717710,73,21,46
1539193875719590,74,21,47
1539193875721462,75,21,46
1539193875723358,76,22,47
1539193875725234,77,21,46
1539193875727135,78,21,46
1539193875729010,79,22,46
1539193875730904,80,22,47
1539193875732786,81,22,47
1539193875734661,82,21,46
1539193875736543,83,21,46
1539193875738416,84,21,46
1539193875740299,85,21,45
1539193875742171,86,20,45
1539193875744050,87,20,45
1539193875745924,88,21,47
1539193875747806,89,21,46
1539193875749695,90,22,46
1539193875751575,91,21,45
1539193875753448,92,22,46
1539193875755331,93,21,47
1539193875757203,94,21,46
1539193875759082,95,21,46
1539193875760953,96,21,46
1539193875762828,97,22,46
1539193875764709,98,21,46
1539193875766581,99,22,46
1539193875768478,100,21,46
1539193875770354,101,21,46
1539193875772235,102,21,45
1539193875774105,103,21,46
1539193875775986,104,21,45
1539193875777857,105,21,45
1539193875779737,106,22,46
1539193875781612,107,21,46
1539193875783492,108,21,46
1539193875785364,109,21,46
1539193875787263,110,20,45
1539193875789133,111,20,46
1539193875791044,112,27,46
1539193875792926,113,20,45
1539193875794796,114,21,44
1539193875796675,115,22,46
1539193875798545,116,21,47
1539193875800428,117,21,45
1539193875802301,118,21,46
1539193875804180,119,21,46
1539193875806068,120,20,45
1539193875807947,121,21,46
1539193875809821,122,21,46
1539193875811702,123,21,45
1539193875813576,124,21,47
1539193875815457,125,22,46
1539193875817329,126,21,47
1539193875819210,127,22,45
1539193875821082,128,21,47
