timestamp_us,collection,mark_time_us,sweep_time_us
1539215002219568,0,58,93
1539215002224511,1,29,63
1539215002227955,2,14,33
1539215002230581,3,14,34
1539215002233205,4,13,31
1539215002235834,5,14,33
1539215002238466,6,13,32
1539215002241088,7,13,32
1539215002243726,8,13,31
1539215002246369,9,13,31
1539215002249038,10,13,31
1539215002251663,11,12,31
1539215002254301,12,20,33
1539215002256930,13,12,31
1539215002259559,14,12,31
1539215002262183,15,13,33
1539215002264820,16,13,31
1539215002267489,17,15,32
1539215002270145,18,13,31
1539215002272798,19,12,32
1539215002275467,20,13,31
1539215002278121,21,13,32
1539215002280758,22,13,30
1539215002283398,23,12,31
1539215002286037,24,12,31
1539215002288663,25,12,32
1539215002291390,26,13,31
1539215002294043,27,13,31
1539215002296704,28,13,32
1539215002299366,29,13,31
1539215002302038,30,12,32
1539215002304680,31,13,31
1539215002307330,32,13,32
1539215002309989,33,13,31
1539215002312632,34,13,30
1539215002315266,35,13,32
1539215002317899,36,13,31
1539215002320526,37,12,32
1539215002323168,38,13,30
1539215002325816,39,12,32
1539215002328462,40,12,32
1539215002331089,41,12,32
1539215002333739,42,13,31
1539215002336401,43,13,31
1539215002339058,44,13,32
1539215002341717,45,13,31
1539215002344371,46,13,31
1539215002347025,47,13,32
1539215002349676,48,12,32
1539215002352318,49,13,31
1539215002354976,50,14,31
1539215002357632,51,13,30
1539215002360281,52,13,30
1539215002362930,53,13,32
1539215002365588,54,13,30
1539215002368240,55,12,31
1539215002370892,56,13,32
1539215002373544,57,12,31
1539215002376190,58,12,32
1539215002378842,59,13,31
1539215002381500,60,13,31
1539215002384160,61,13,31
1539215002386824,62,13,31
1539215002389485,63,13,31
1539215002392140,64,13,30
1539215002394807,65,14,32
1539215002397465,66,12,31
1539215002400105,67,12,31
1539215002402762,68,12,32
1539215002405429,69,12,32
1539215002408092,70,12,31
1539215002410753,71,12,32
1539215002413408,72,12,31
1539215002416087,73,12,31
1539215002418744,74,13,32
1539215002421403,75,13,31
1539215002424083,76,13,31
1539215002426757,77,12,32
1539215002429435,78,12,32
1539215002432090,79,13,31
1539215002434754,80,12,32
1539215002437399,81,12,31
1539215002440042,82,13,31
1539215002442700,83,12,31
1539215002445365,84,12,33
1539215002448018,85,13,31
1539215002450672,86,13,31
1539215002453320,87,12,30
1539215002455959,88,13,31
1539215002458609,89,13,31
1539215002461266,90,13,31
1539215002463911,91,13,31
1539215002466563,92,13,31
1539215002469208,93,12,31
1539215002471851,94,12,31
1539215002474506,95,12,31
1539215002477157,96,12,31
1539215002479807,97,13,31
1539215002482454,98,12,31
1539215002485096,99,13,31
1539215002487766,100,13,31
1539215002490411,101,12,31
1539215002493054,102,12,31
1539215002495697,103,12,31
1539215002498346,104,13,32
1539215002500993,105,13,30
1539215002503649,106,13,31
1539215002506295,107,12,32
1539215002508923,108,13,30
1539215002511571,109,13,32
1539215002514246,110,13,31
1539215002516889,111,12,31
1539215002519529,112,12,31
1539215002522179,113,12,33
1539215002524837,114,12,31
1539215002527512,115,12,32
1539215002530178,116,13,32
1539215002532837,117,13,31
1539215002535497,118,12,32
1539215002538155,119,12,31
1539215002540812,120,13,31
1539215002543477,121,12,31
1539215002546139,122,12,32
1539215002548798,123,13,31
1539215002551480,124,12,31
1539215002554144,125,13,31
1539215002556802,126,12,31
1539215002559444,127,12,31
1539215002562107,128,13,31
1539215002564766,129,13,30
1539215002567433,130,13,31
1539215002570108,131,12,31
1539215002572784,132,12,32
1539215002575461,133,13,31
1539215002578139,134,13,31
1539215002580808,135,13,31
1539215002583476,136,12,31
1539215002586146,137,13,32
1539215002588819,138,13,30
1539215002591482,139,13,31
1539215002594151,140,12,31
1539215002596810,141,13,30
1539215002599475,142,14,31
1539215002602142,143,12,32
1539215002605046,144,15,36
1539215002608730,145,14,33
