timestamp_us,collection,mark_time_us,sweep_time_us
1539234340108618,0,69,130
1539234340114634,1,268,569
1539234340127220,2,290,667
1539234340136678,3,248,625
1539234340145964,4,278,658
1539234340155342,5,275,649
1539234340164760,6,247,625
1539234340173991,7,281,670
1539234340183380,8,275,650
1539234340192857,9,245,619
1539234340202153,10,273,672
1539234340211515,11,274,648
1539234340220945,12,241,621
1539234340230194,13,271,667
1539234340239530,14,279,650
1539234340249016,15,237,621
1539234340258222,16,269,666
1539234340267579,17,275,651
1539234340277050,18,237,615
1539234340286251,19,265,669
1539234340295554,20,279,650
1539234340305006,21,238,612
1539234340314171,22,268,669
1539234340323485,23,277,652
1539234340332989,24,235,625
1539234340342230,25,267,664
1539234340351538,26,274,649
1539234340361014,27,264,665
1539234340370306,28,262,672
1539234340379636,29,278,647
1539234340389053,30,266,658
1539234340398355,31,255,648
1539234340407663,32,280,655
1539234340417100,33,268,656
1539234340426407,34,254,649
1539234340435713,35,278,653
1539234340445124,36,265,655
1539234340454453,37,248,646
1539234340463713,38,276,646
1539234340473103,39,276,654
1539234340482498,40,245,646
1539234340491739,41,276,649
1539234340501165,42,289,694
1539234340510772,43,247,638
1539234340520039,44,288,653
1539234340529411,45,271,658
1539234340538881,46,256,630
1539234340548081,47,273,649
1539234340557387,48,275,659
1539234340566721,49,243,633
1539234340575930,50,275,651
1539234340585425,51,284,669
1539234340595064,52,248,635
1539234340604542,53,276,657
1539234340614126,54,277,683
1539234340623823,55,247,651
1539234340633325,56,274,663
1539234340642907,57,289,659
1539234340652595,58,241,630
1539234340662062,59,275,655
1539234340671615,60,279,652
1539234340681279,61,239,625
1539234340690715,62,280,686
1539234340700303,63,280,665
1539234340710038,64,240,647
1539234340719518,65,270,658
1539234340729064,66,282,657
1539234340738786,67,238,626
1539234340748231,68,273,658
1539234340757781,69,282,663
1539234340767514,70,236,637
1539234340776992,71,265,651
1539234340786534,72,289,657
1539234340796045,73,261,649
1539234340805312,74,261,648
1539234340814620,75,273,663
1539234340824098,76,270,655
1539234340833393,77,259,645
1539234340842715,78,281,660
1539234340852161,79,263,657
1539234340861447,80,251,644
1539234340870676,81,276,665
1539234340880032,82,263,651
1539234340889524,83,252,642
1539234340898829,84,311,647
1539234340908304,85,276,655
1539234340917669,86,249,634
1539234340926940,87,288,645
1539234340936322,88,279,654
1539234340945695,89,249,630
1539234340954965,90,288,650
1539234340964304,91,274,652
1539234340973681,92,249,638
1539234340982917,93,290,651
1539234340992249,94,276,653
1539234341001627,95,268,671
1539234341011166,96,295,677
1539234341020747,97,287,678
1539234341030534,98,246,641
1539234341039791,99,274,649
1539234341049142,100,276,651
1539234341058579,101,245,626
1539234341067825,102,270,649
1539234341077134,103,277,646
1539234341086727,104,246,645
1539234341096045,105,272,646
1539234341105351,106,277,649
1539234341114842,107,249,617
1539234341124048,108,278,656
1539234341133404,109,277,659
1539234341142939,110,249,614
1539234341152153,111,263,651
1539234341161453,112,277,654
1539234341170938,113,247,609
1539234341180148,114,265,646
1539234341189448,115,276,650
1539234341198989,116,263,624
1539234341208314,117,260,648
1539234341217620,118,278,650
1539234341227132,119,262,654
1539234341236452,120,275,670
1539234341245789,121,278,648
1539234341255234,122,267,648
1539234341264587,123,255,644
1539234341273927,124,282,669
1539234341283395,125,268,651
