mark_time_ns,sweep_time_ns
129427,27452
79181,20779
52611,20328
37221,11262
47040,12433
65375,48933
50597,30097
59053,28053
41930,25739
49735,25769
69141,27663
69603,25348
46919,23205
53232,26741
61036,26020
59463,26120
52109,25278
42110,26441
70845,26901
94951,28023
50576,26921
42972,25118
49935,25088
44575,25619
59403,26140
45317,25108
64694,25939
58571,26210
49114,26490
52470,25449
45987,26070
51308,26430
57871,33473
47651,25248
66718,25789
49595,24747
56988,26451
57600,25699
62348,25289
51588,25449
52049,25269
54103,24868
60396,26220
55285,26281
53642,26240
58070,24978
49505,24707
39976,25900
49785,25639
43863,24747
48984,24997
55576,24537
64032,26009
47401,25899
42180,24347
77568,26791
65114,24977
42942,25108
93348,27342
50496,25719
50096,25799
56518,25779
49805,24377
71126,27613
54154,25929
50386,26621
54794,24647
56317,26821
122383,28554
52100,26170
46067,24988
65275,28043
57189,25458
47260,26671
58782,26921
57119,26451
66377,27152
44094,26060
48072,26029
51128,26090
68220,27472
51538,25659
59042,25870
119839,29336
65364,26000
55095,24877
49875,27723
66166,26470
47159,25148
51799,24867
53121,24607
114498,28584
66748,26400
46508,25529
46750,25709
70224,26902
55556,25008
45727,26280
57320,26129
62239,24296
55526,25589
60245,26430
81525,26711
47571,24096
44915,25249
68501,26550
46799,24937
70164,26891
45867,25279
60004,25779
52761,25549
83038,27693
75453,27052
47010,25739
86595,27022
41529,25048
54393,25309
44956,25729
68310,25309
68982,26590
54424,27041
55576,25459
63171,26460
51027,24176
49825,25128
80784,26931
71165,27884
87496,27413
51378,25679
60124,24808
58942,25639
44766,25939
52160,24827
50035,25449
48984,26560
39916,25518
58602,25709
52690,25890
50105,25178
58482,50136
63130,26321
61698,25258
54584,25719
45737,24106
55847,26099
84632,27983
41048,24246
46328,25058
51538,27903
53983,27813
50607,27883
94200,27382
41569,26831
50036,26561
44354,24687
55686,25048
54874,27483
67178,24988
70153,26852
81014,27232
51909,27713
93418,26711
91655,25949
116752,28444
49594,25970
57880,25178
57479,25619
66967,26381
42051,25789
42982,25258
52800,41810
46439,27251
59954,26520
101293,29336
48923,26471
84120,26310
48352,26931
47671,25418
48613,24697
65405,25338
43153,25298
57940,23996
50747,24837
67318,26190
46519,26010
58582,23965
42090,25168
45467,24617
50957,25308
61647,25599
44335,25298
50476,25208
48372,26360
53773,25348
51308,25969
37862,24066
44164,25930
50586,25018
51068,25198
96574,27122
65625,27141
53692,25529
68360,27412
51227,26962
51779,24587
44344,24737
58021,25969
46699,27302
52500,25218
61066,26150
47651,24447
50847,26630
39656,24877
52070,24997
38503,25188
54343,25048
73530,26931
47801,25649
77788,24988
55075,25849
92517,27222
63100,26510
41960,24236
59573,26380
54254,25358
50155,25088
61898,26620
61887,27583
62439,26230
53392,26230
43333,26069
56628,25318
62369,25448
53462,25469
48552,24367
60876,26500
47862,24917
45978,25769
43283,26180
41589,25930
45747,25319
64894,28865
60856,24026
52400,26811
53592,25488
38874,51608
69653,26150
40006,25819
54234,25839
60084,26190
90422,27673
73380,25589
43753,25939
50306,23985
50566,26771
58282,25618
57951,25709
54825,25999
70183,27142
42842,25238
47902,25528
51127,25689
67679,26240
46078,25448
58923,26500
46709,29928
52029,27953
53411,29106
54334,29576
56328,26560
54774,25268
48092,26881
59163,29115
52250,25999
40236,24086
43583,26791
51428,25749
54273,26501
50436,27302
51458,27964
55356,26260
49124,24877
56357,27112
64914,28054
71315,27854
45447,25478
49274,26300
43713,24407
54223,27432
50206,26901
62709,52530
63912,44965
100201,53442
110250,31219
56839,25168
52009,25178
39725,25028
44474,24217
55225,24908
57299,25068
55786,26230
42552,24927
58161,26300
64583,25679
55255,25819
49404,25749
48282,26230
51819,25970
47951,25388
45547,25148
43904,25348
48172,25508
63270,26130
58862,24266
52961,26691
54063,24817
38864,23886
67308,26911
40708,26450
54834,24787
63120,26842
45236,24617
61337,26730
50747,26410
124878,31240
67890,27142
39305,22573
42010,25549
46839,25519
89050,26651
91305,27412
55226,26500
111342,28985
40807,24577
41960,24256
