mark_time_ns,sweep_time_ns
1246337,41509
2266732,47471
3102226,117103
1984795,221482
2391870,205502
4541059,231572
1862321,230640
1221019,219789
3253754,285625
1628165,295774
1317152,274172
4028662,311193
2779790,451051
2165871,449427
1946402,454397
1795503,513710
1390993,469445
1277707,454366
1146747,454306
1175110,455679
1100739,463244
1109406,453234
1063027,456250
1035705,458665
1036006,457242
1032729,450770
1032178,472641
1046635,454928
1009125,453624
1023752,477812
1003122,463103
1024163,459456
975471,446892
1056284,461009
1002882,462011
1043851,464245
1051645,459857
1018172,452172
979778,466700
1024543,452092
991581,467672
2386400,477711
1469102,468192
1337580,485326
1372467,526413
1450365,570659
1095388,493752
1232761,525752
1382436,589184
4465074,462462
2802744,473343
2267945,466700
2175568,516014
1475293,458664
1328263,456170
1233112,481007
1218203,456290
1154521,455629
1111630,460959
1074699,458815
1055493,455468
1050633,453816
1115628,468684
1101210,444367
1030114,473693
1000558,452954
988514,464777
1019104,452553
1016428,454276
979197,459206
1001320,454186
1020265,456761
1006409,453675
2322589,485195
1670215,531684
1409999,534149
2384877,471239
1770196,453815
2707173,460247
2234652,451280
1890024,450429
1632252,454908
1687699,513569
1204246,464576
1153961,449657
1084879,454717
1094367,459026
1054521,456059
1043179,457873
1071504,450138
1070642,465878
1006259,450368
1040654,449828
1036105,462593
988305,471920
1003003,457001
1030335,467040
993795,454416
1026768,456010
1009916,449837
980700,469004
997192,456831
995910,461269
986341,456431
1016609,457492
1039302,452232
973617,453845
1007361,457913
984317,448345
1005056,452583
983516,455187
998314,452583
1003724,454206
2323020,467591
1434606,466670
1496133,537986
1186633,459596
1367718,536473
1235937,517888
1012120,472591
1120116,518809
1001349,473824
1026607,474095
1170092,525151
990589,472090
1145995,527256
1172175,521204
1135195,528768
1197033,429970
2412902,527686
2501640,447313
2135522,451832
1770126,455428
1539255,458795
2695290,481307
2059798,460829
2042706,536272
1545738,514952
1477106,522787
1414477,548877
1478780,624490
1000097,490966
2459340,549257
2376161,471930
2113430,459075
1714950,474615
1606944,459236
1453802,462812
1417654,532986
1154843,458574
1116839,454196
1101881,457943
1048520,459827
1103063,466009
1052567,452062
1063999,474314
1031266,458624
1087504,468373
1029684,453034
1036536,452162
1018362,451010
1007932,477902
1059410,477100
990419,452102
987353,461991
1001610,444819
1006720,466029
997152,468583
1024273,461099
990539,454898
1022028,453084
999326,460297
1007010,464997
1014023,454838
1041335,450960
992443,464786
1038160,449767
985789,456561
1008222,474525
978847,451210
1003694,453465
1000699,466820
2277773,479314
1393818,462231
1448402,517747
1562891,598441
1035595,473022
1035124,465207
1217271,538397
1221359,540491
1263700,513158
1214967,435350
1235276,539098
1195380,437374
953048,504011
1187895,532485
1182044,446050
1109676,561792
1171875,436362
1153589,562232
1238541,457984
968236,480116
1103855,541032
1117040,523649
1218254,434248
2524995,567943
2291750,447784
2005224,451661
1971158,515914
1276073,462031
2561414,473533
2045781,516415
1697878,514561
1850308,560238
1232060,524760
1071373,458725
2555673,532586
2850045,442474
2383314,460188
2063775,457242
1720230,459587
1499529,461510
1314918,452402
1275863,449246
1172926,476048
1119024,466780
2365210,478853
1916595,532856
1611704,534168
1169771,471609
1291573,520763
1110478,482690
1138201,481257
1170642,526955
1155313,531654
1127820,520893
1130626,517406
1233742,567983
1268469,454096
1070191,518088
1212763,437153
2493484,549558
2409154,454236
2100255,459065
1766208,456781
1599581,447262
1380883,450599
1263660,451491
1249633,454737
1165913,483462
1107823,453966
1116599,452573
1094547,471780
1077405,467311
1030876,473573
1058709,467632
1038711,460738
1037308,450198
1021788,453716
1012050,456310
1023662,456952
1024263,461060
1029784,460428
1049191,463494
1014985,458083
1036356,456511
1006659,445650
1020095,468653
1006730,446982
