mark_time_ns,sweep_time_ns
29446,15229
9659,7133
8246,6973
7725,7294
7354,7083
7184,7434
7093,6763
9468,7234
6673,6713
8506,7254
7514,7595
6703,7364
6663,6672
6743,7254
6723,6993
6923,7064
6793,6983
6783,7124
6813,6853
6563,6793
6612,6713
6602,6933
6502,6753
6753,6913
6593,6833
6673,7123
6622,6663
6753,6833
6703,6763
6753,7093
6543,6943
6682,7445
6893,8166
6823,7685
7033,7985
6742,7755
9157,13356
10550,7645
6823,7023
6743,7034
6702,6773
6773,6923
6583,6672
6573,7213
7033,7615
6763,6873
6613,7194
6673,7113
6542,6793
6713,6933
6503,6773
6703,6953
6412,6863
6593,7023
6552,6753
6462,6963
6402,7134
6532,6763
6612,6973
6383,6692
6742,7044
6543,6682
6613,6923
6452,6663
6533,6873
6452,6793
6472,7074
6503,6732
6682,7144
6613,6723
6622,6874
6543,6682
6432,6803
6612,6643
6463,7173
6512,6813
6653,7053
6693,6753
6522,7134
7274,7615
6502,6853
6482,7053
6462,7214
6402,7033
7594,8146
6473,6702
6513,7053
6452,6913
6512,6883
6492,6863
6432,7374
6372,6833
6553,7103
6532,6843
6443,7083
6592,6923
6272,6783
7143,7384
6523,6903
6593,6762
7073,7354
6853,7464
6692,7264
6913,7254
6923,7775
6873,7084
6763,6843
6612,6833
6642,7054
6573,6863
6642,6984
6512,6933
6632,7044
6352,6783
6403,6712
6413,7033
6552,6663
6502,7184
7143,7324
6543,7143
6442,6713
6643,7113
6562,7074
6523,6903
6392,6843
6522,7104
6442,6703
6452,6854
6472,6653
6282,6753
6632,6793
6623,7143
6692,7034
6683,7084
6572,6763
6453,6793
6492,7014
6452,6833
6552,6843
6743,6853
6743,6883
6762,6934
6983,6803
6933,6913
6923,6833
7414,7504
7544,7585
6873,6923
6813,6683
6703,6863
6954,7093
6743,6943
6903,6783
6753,6963
7223,6873
7084,6863
6703,6983
6543,7344
6522,6924
6602,6944
6502,6853
6432,6863
6613,6772
6553,6863
6643,6743
6522,6753
6593,6863
6463,6913
6472,6954
6512,7274
6773,7234
6753,7254
6573,7153
29447,18705
8366,6833
6633,6773
6793,7054
6613,6592
6753,7164
6673,6683
6803,6883
6693,6712
6772,6793
6713,6683
6752,7114
6722,6793
6954,6823
6532,6994
6632,6703
6373,6672
6612,7023
6462,6843
6462,6833
6592,6633
6633,7213
6503,6622
6522,6723
6412,6773
6562,6994
6422,6713
6703,7094
6332,6753
6743,6792
6543,6753
6362,6943
6713,6983
6712,6954
6463,6893
6392,6743
6583,6853
6663,6693
6362,6923
6723,6683
6583,6823
7274,7845
7294,7705
6522,7003
6592,6963
6783,6723
6463,6672
6602,7234
6663,6742
6773,6903
6683,6773
6713,6983
6522,6853
6662,6933
6633,6873
6713,7003
6613,7023
6583,6743
6663,6853
6703,6773
6562,7425
6723,6973
6532,7164
6402,6633
6572,7104
6643,7424
6733,7254
6583,6963
30218,28454
12915,8396
6763,7043
6552,6954
6592,6863
6583,6773
6533,6823
6593,6933
6613,6823
6733,6803
6663,7083
6462,6783
6753,7154
6532,6883
6492,7344
6612,6853
6532,6923
6583,6783
6583,6713
6492,6914
6613,7244
6482,6933
6833,6903
6763,7394
6723,7014
6813,6803
6773,7003
6573,6733
6783,6883
6682,6974
6672,6954
6723,6853
6823,7154
6943,6773
6693,6843
6532,6913
6893,6894
6392,7094
6532,6843
6582,6793
6552,6873
7013,7745
6442,7004
6493,6813
6552,6683
6523,6833
6302,7013
6492,6953
6492,6943
6512,7695
6562,6693
6562,6883
6513,6683
6452,7154
6553,6923
6532,7224
6422,6633
6592,6924
6452,6813
6733,6873
6392,6994
6513,7203
6372,6733
6512,7354
7074,7514
6502,7565
6512,7164
6603,7123
6803,6783
7895,7474
6512,6743
6732,7044
6523,6923
6582,7014
6473,6983
6513,7244
6402,6763
6742,7495
6512,7043
6573,7114
6633,7023
6723,7003
6452,6713
6943,7063
6542,7034
6603,6953
6672,6874
6503,7304
6603,6813
6423,7234
6562,6833
6492,7104
6583,7033
6613,7264
6453,7003
6412,6963
6403,7283
6582,6773
6402,6853
6522,7174
6422,6913
6382,6723
6502,6863
6442,6683
6553,6873
6392,6894
7263,7695
6412,7004
6563,7093
6652,6723
7194,7615
7224,7545
6462,6933
6382,6993
6532,7094
6392,7094
6532,6943
7294,7815
6482,7094
6653,7033
6432,6793
6603,6713
6533,6743
6632,6843
6502,7014
6653,6722
6553,6793
6392,6813
6553,6762
6693,7174
6523,7013
6622,6793
6653,7063
6553,7344
6943,7254
6653,7173
6573,7013
6984,7975
6823,7274
6612,7104
6552,6903
6492,7024
6502,7274
6543,6823
6443,7163
6402,7264
6732,7034
6492,6963
6622,7374
6352,7414
6662,6984
6573,6783
6622,7094
6513,6933
6582,7004
6483,6983
6913,7214
6432,6843
6352,7054
6512,7084
6412,6713
6552,6903
6552,6633
6572,6823
6372,6753
6773,7084
6383,6612
6562,6903
6352,7004
6522,6853
6483,6843
6393,6993
6433,6843
6522,6813
6433,8225
6563,7124
6863,7164
6512,6943
7274,7635
6572,7064
7283,7495
6563,7013
6533,6983
6553,7203
6542,6703
6472,6923
6503,7464
6623,7203
6603,7033
6412,7244
6663,6933
6553,7063
6373,6732
6613,6903
6412,6953
6553,7043
6442,7374
6493,7364
6542,6853
6592,7054
6613,6773
6593,7083
6683,7344
7223,7395
6503,7073
36379,34165
26952,13265
6783,6984
6803,6913
6693,6913
6432,6773
6602,6964
6552,6983
6472,7043
6522,7013
6553,6803
6613,7154
6763,6813
6463,6732
6392,6983
6673,6863
6682,6974
6693,6843
6422,6924
6492,7024
6553,6592
6613,6883
6242,6733
6463,6973
6552,6733
6502,7054
6453,6763
6533,6983
6563,7003
6643,7003
6402,6813
6673,6883
6563,6873
6682,6964
6582,6683
6593,7074
6512,6803
6633,7113
6392,7204
6523,7053
6542,6873
7655,7955
7174,7564
7304,8035
6653,6833
6643,6843
6633,6733
6833,6843
6603,6933
6703,7053
6612,6893
6693,7354
6612,6703
6673,6913
6783,7173
6894,7233
6723,7083
6472,7154
6292,6933
6823,7023
6543,6722
6572,6823
6482,6743
6523,7214
6492,7375
6332,7174
6893,7204
6713,6923
6532,7154
31560,23495
7554,6873
6563,6662
6533,7033
6662,7505
6603,7023
6552,7074
6492,6913
6723,6913
6462,6853
6492,6923
6943,6874
6673,7123
6672,7334
6623,7173
6663,7143
6712,6954
6613,6813
6433,6612
6593,6903
6402,6783
6482,6923
6413,6823
6583,6763
6532,6923
6713,6793
6522,6903
6803,7284
7504,8035
6782,7825
6652,7254
6512,7064
6613,7144
6823,7053
6453,6853
6552,7043
6482,7084
6633,7725
6552,6793
6553,6833
6452,6983
6592,7134
6502,6923
6532,6933
6493,6933
6713,6833
6723,7143
6934,7163
6442,6883
6432,6873
6463,6913
6512,6874
6352,7103
6462,6833
6582,7054
6532,6723
6603,7003
6573,6662
6572,6944
6513,6703
6592,6713
6402,6983
6502,7374
7243,7705
6853,7294
6782,7234
6543,7003
6522,7424
28124,26871
13516,7935
6853,6963
6833,6913
6773,6923
6723,6983
