mark_time_ns,sweep_time_ns
38423,19217
16651,10430
10540,7594
9909,7274
10179,8336
9187,7254
9078,7514
9198,7835
10891,7274
9038,7464
8607,7334
8386,7174
8847,7023
8606,7184
8496,7314
8256,7084
8306,7293
8426,7184
8166,7063
8516,7203
8586,7084
8506,7304
8546,7043
8927,7193
8586,7124
8586,7214
8767,6953
11221,7084
8216,7144
8316,7033
8065,7514
8476,7214
8165,7144
8135,7414
8146,7204
7995,7023
8226,6933
8276,7434
8526,7204
8456,7084
8496,6863
8687,6993
8106,6893
8877,7094
8837,7104
8777,7464
9027,7344
8697,7314
8857,7134
8476,7094
8336,7374
8557,7193
8346,6873
8025,6883
8587,7053
7955,7224
8386,7304
8065,7184
7875,7374
8165,7735
8035,7094
7775,7264
9648,7695
8356,6933
8206,7113
7995,6993
8326,7384
8245,6964
8085,7134
8186,7043
8546,7415
8146,7104
8206,7414
8647,7224
8446,7775
8806,7314
8366,7214
8236,7424
8055,7124
8426,6924
8056,6953
7986,7053
8305,7174
8296,7324
9197,9047
8626,7905
9648,8547
8476,7545
8727,7674
9028,7774
9068,7634
9088,7795
8416,7254
8386,7474
8255,7254
8897,7705
8286,7394
8265,7655
8677,7284
8736,7615
9127,7695
8305,7124
8506,7424
8356,7284
8356,7574
8507,6953
8155,7194
8376,7554
8186,7033
8086,6983
8235,6994
8526,7365
8005,7104
8216,7114
8165,7164
7925,7664
8045,7094
7604,6994
8055,7164
8115,6863
7725,6963
7945,7394
7965,7073
8116,7103
7976,7093
8036,7073
8517,7664
8206,7214
7925,7183
8075,7264
8005,7284
8536,7183
8416,7605
8035,7184
8165,7144
8136,7083
7935,7103
8316,7635
9078,7213
8116,7304
8767,7073
8125,7314
7995,7114
8737,7234
7855,7104
7965,7054
7775,7013
8005,7304
8196,7003
8406,7564
8446,7043
8285,7224
8486,7244
8316,7344
8527,7193
9108,7273
8266,7134
7805,7113
8075,7144
8236,7104
8326,9067
8286,6933
7795,7514
8055,7164
8126,6973
8216,7394
8346,7234
8065,7144
8055,6984
7905,7304
8706,6944
8196,7104
8316,6943
8035,6963
7835,7144
8035,7034
8185,7084
8046,7123
8967,7685
8116,7664
8045,7073
8416,7274
7975,7164
8206,7183
8356,7073
8286,7253
8396,6953
8236,6863
8195,7154
8115,7374
8106,7374
8296,7144
8406,7154
8817,7254
8446,7173
8206,7264
9428,8807
12374,10209
