mark_time_ns,sweep_time_ns
52300,22042
22333,14267
23535,14367
18495,13957
17683,13737
19627,14137
17694,13966
10009,8015
8246,6963
9478,7214
9017,7404
10199,7965
9638,7825
9068,7153
9608,7234
8837,7444
11522,8085
8506,7174
8927,7234
8526,7234
8667,7875
10330,8156
8316,7184
8457,7043
8186,7203
8656,7084
8466,7204
8957,7224
8075,7204
8386,7233
10450,7895
9278,8166
9669,7123
8437,7203
8707,7414
8476,7324
8346,7204
9368,7213
8055,7344
8576,7384
8316,7114
9147,7334
8065,6963
8406,7134
8947,7153
8266,7083
8937,7114
8156,7043
9227,7254
9017,7224
8376,7254
8135,6984
8396,7114
8727,7113
8185,6924
9598,7314
8426,7184
8095,7144
8085,7094
8737,7354
9097,7304
8095,7114
8957,7144
8176,6953
9158,7204
8116,7143
13515,8667
8245,7064
8285,7084
9187,7294
8265,7014
9128,7374
8747,7424
8958,7905
8807,7484
8656,7404
9017,7254
8406,7425
9147,7314
8065,7013
9749,7414
8456,7154
8957,7565
8126,7174
8727,7354
8957,7404
8596,7264
8326,7274
8106,7153
7865,7124
8817,7324
8326,7704
9057,7234
8476,7314
8887,7294
7995,6913
9859,7504
7925,7113
8056,7163
7955,6993
8487,7494
8637,7163
8136,7043
9308,7294
8597,7163
8536,7214
8457,7033
8446,7414
8856,7154
8516,7244
9018,7294
8446,7063
8847,7374
8677,7043
8155,7074
8606,7274
8295,7164
9048,7293
8366,7194
8005,7013
8296,7194
7955,7184
7985,7194
8616,7204
9048,7083
8256,7264
9278,7344
8616,7024
8766,7294
8446,7144
8136,7154
8045,6964
12033,11793
10871,8727
8386,7004
9037,7414
8616,7374
8236,7184
8717,7564
8727,7404
8937,7244
8105,7304
9027,7264
8005,7094
9628,7424
8456,7174
8837,7504
8095,7194
8716,7474
8846,7344
8426,7284
8316,7204
7985,7134
7825,7414
8797,7324
8206,7084
8917,7164
8396,7344
9017,7294
8155,6894
9809,7384
8096,6993
8176,7314
7966,6963
8085,7154
8526,7104
7975,7124
9358,7273
8516,7194
8616,7224
8446,7023
8365,7104
8597,7324
8606,7284
9208,7204
8335,6994
8947,7374
8887,7214
8176,7093
8556,7174
8356,7204
9028,7334
8296,7224
7965,7064
8155,7294
7845,7093
8095,7244
8767,7364
9047,7154
8166,7234
9098,7334
8326,7023
8857,7294
8476,7053
8235,7194
7995,6903
8225,7414
8807,7204
8326,6994
8817,7274
8857,7384
8195,7194
8546,7424
9488,8596
9739,8256
8095,7264
8917,7184
7925,7033
9539,7334
8476,7034
8887,7755
8246,7304
8787,7364
8977,7364
8526,7194
8556,7394
8065,7124
7905,7143
8686,7385
8126,7133
9748,7795
8997,7965
8907,7264
8186,6933
9869,7594
8035,7254
8236,7303
7995,7074
8205,7284
8566,7264
8105,7154
9348,7284
8537,7314
8636,7324
8416,7094
8476,7213
8887,7214
8526,7294
9218,7554
8446,7234
8957,7435
8867,7154
7996,7063
8586,7294
8216,7233
9308,7384
8325,7064
8065,7053
8186,7213
7875,7154
8066,7243
8647,7284
9058,7213
8165,7304
9178,7394
8266,7043
8837,7364
9167,8056
8887,8837
8075,6973
8115,7294
8917,7264
8215,7344
8787,7264
8537,7394
8236,7134
8526,7394
8726,7394
8897,7204
8016,7294
8847,7223
7835,6933
9558,7374
8456,7134
8767,7464
8085,7124
8767,7344
8907,7334
8366,7274
8315,7214
7966,7133
7875,7464
8617,7334
8186,7103
8787,7183
8306,7323
13896,11252
13837,10940
15078,10631
12133,10019
11181,9027
9548,7745
11001,11722
9849,9368
16081,11662
12905,8226
8566,7344
9689,8286
11472,8917
9949,8116
9818,7284
8537,7414
9187,7364
8426,19617
9779,8135
8856,7194
8175,7184
8536,7274
9388,8235
9138,7624
8597,7243
8145,7154
8215,7304
8075,7334
8065,7234
8707,7264
8997,7234
8566,7825
9538,7464
8346,7114
8897,7404
8406,7203
8426,7384
8115,7044
8266,7254
9117,7314
8266,7094
8977,7705
8376,7284
8336,7103
8587,7434
8656,7264
9738,7886
8106,7304
8717,7223
8025,6923
9759,7514
8556,7234
8847,7584
8175,7254
8706,7394
8907,7464
8617,7454
8295,7244
8026,7223
7975,7224
8777,7614
8136,7113
8917,7224
8366,7384
8897,7314
8135,7003
9759,7454
7975,7114
8246,7254
7865,7043
8016,7173
8566,7134
8025,7083
9318,7274
8636,7284
8596,7284
8597,7023
8446,7154
8827,7124
8477,7334
9007,7244
8306,7024
8927,7404
8747,7113
8086,7204
8376,7274
8306,7224
9088,7344
9007,7905
8727,7704
8156,7263
7815,7124
7985,7214
8596,7615
8897,7164
8005,7344
9027,7435
8206,7093
8776,7435
8306,7073
8226,7203
7935,7014
8065,7244
8837,7354
8205,7024
8777,7354
8516,7314
8046,7133
8576,7304
8637,7294
8857,7174
7995,7284
8797,7254
7855,6884
9798,7745
8416,7134
8677,7484
8185,7194
8646,7334
8847,7364
8486,7223
8246,7314
8105,7134
7785,7384
8626,7304
8085,7104
8897,7194
8155,7374
9037,7264
8206,6893
9808,7384
7986,7273
8236,7214
7976,7023
8215,7224
8416,7074
8015,7214
9328,7384
8446,7193
8657,7224
8386,6974
8507,7203
8737,7144
8546,7364
8937,7284
8286,7083
8987,7464
8737,7114
8185,7054
8536,7194
8185,7565
9167,7395
8497,7173
8205,7054
8206,7194
7955,7324
8005,7194
8597,7203
8937,7143
8806,8006
9749,7644
8116,7033
8726,7284
8376,7063
8356,7234
8336,7123
8236,7223
9057,7324
8226,7144
8938,7384
8576,7364
8166,7174
8617,7384
8737,7274
9087,7324
8156,7354
8877,7243
8015,7003
9608,8025
8466,7143
8787,7565
8136,7154
8656,7364
8857,7394
8436,7314
8336,7173
8015,7143
7845,7204
8747,7304
8155,7114
8576,7194
8146,7314
8927,7194
8236,6953
9838,7374
8095,7084
8126,7264
7935,7114
8196,7244
8446,7093
8086,7063
9167,7294
8567,7234
8616,7274
8517,7083
8517,7163
8697,7113
8446,7434
9007,7284
8256,7103
9008,7394
8806,7134
8115,7224
8566,7254
8616,7334
9108,7474
8256,7173
8035,7274
8266,7114
7815,7194
8045,7214
8677,7314
8947,7124
8035,7184
9198,7354
8195,7034
8776,7535
8396,7083
8166,7183
8146,7003
8286,7183
9068,7364
8126,7103
8797,7344
8366,7294
8145,7104
8486,7424
8566,8346
8917,7184
8286,7214
8957,7455
7875,6923
9599,7434
8416,7123
8887,7504
8206,7164
8556,7284
8817,7414
8366,7213
