mark_time_ns,sweep_time_ns
2604408,42231
6463804,118640
11337467,233078
3501280,210465
3497552,212877
3485094,213350
3471805,214397
3465023,224925
3500894,210399
3492726,212835
3498014,209564
3507660,211217
3537700,211409
3523145,212335
3569002,211400
3698083,225263
3637015,457803
4252713,493492
9913633,599838
3235447,477466
3236857,454607
3281811,429472
3263743,419230
3330403,410299
3627429,406644
4650141,416313
7949334,470829
3212866,359943
3233864,392332
3239549,389034
3274375,378751
3340787,379136
3387122,375891
3608715,381056
4612447,396201
3474940,394988
3240215,409184
3253766,396598
3247528,385559
3266824,386797
3324735,379288
3641117,386611
4657779,399998
7956117,452076
3206367,359277
3318934,388545
3252691,376599
3260951,373792
3362244,374617
3388208,374176
3636710,377914
4588864,396809
3478828,389106
3228730,388383
3243696,389246
3244727,378118
3273999,379581
3327307,377995
3635250,384810
4664328,400310
7952867,447882
3208933,350860
3224478,380443
3236798,375657
3265430,373225
3345942,374497
3387520,372506
3619160,372863
4652407,419150
3537832,403400
3277619,397185
3274835,481696
3290314,382387
3314499,379583
3357865,379388
3691293,386573
4886544,404557
8077708,457176
3260883,351576
3277158,389685
3290159,380698
3305852,376245
3395572,374387
3394470,369569
3704216,373560
4570919,390187
3479905,383202
3232236,387890
3242993,377336
3260264,374699
3267807,379555
3325826,372011
3644207,376073
4658790,391448
7968816,448647
3201475,350208
3233681,378273
3342271,375618
3269357,373650
3337430,367894
3390516,367830
3631182,386208
4582588,398911
3475088,387782
3231905,389455
3242598,386618
3255547,377714
3266536,376133
3323150,372513
3639374,382550
4747916,395223
7962844,448280
3235761,347961
3236304,379980
3244314,377873
3258861,370396
3346012,368700
3390884,370112
3620630,370515
4573045,392111
3469645,384099
3236882,394935
3241089,386130
3336605,381521
3264197,378290
3330170,377035
3634206,378976
4672764,392407
7965145,445515
3206764,348423
3225833,381058
3253676,375927
3253341,377223
3396100,386842
3394361,379221
3626402,382161
4654536,393066
3486188,387592
3227319,390019
3252656,379806
3258090,372393
3269420,373669
3337537,375798
3640784,377650
18446744069419266565,422199
8007722,451015
3201788,350064
3231393,382043
3254801,376284
3364169,370651
3341320,370756
3378826,374581
3613855,371386
4572866,390639
3475724,387589
3234389,387104
3242880,378787
3246896,374704
3274292,373785
3325153,368621
3639248,379473
4660903,394600
8057563,447617
3210796,346449
3237737,378714
3246257,375390
3314216,391529
3392252,382406
3449756,381406
3664303,381074
4626773,397597
3526074,391163
3269223,393641
3271265,389450
3295414,379024
3275047,376477
3322197,377655
3640980,379332
4663891,391288
8028817,453730
3205917,350502
3228136,387629
3253212,377127
3264869,373162
3341342,375597
3394495,376037
3607329,377181
4559309,393190
3477393,385578
3224914,384417
3240915,382499
3247276,376915
3260851,375915
3323323,373957
3642788,376644
4653611,392157
7968647,450271
3207729,351714
3293065,399381
3298380,389276
3306219,382795
3392139,382406
3426826,380520
3665893,382010
4631378,393696
3530597,391303
3271717,392222
3280955,384625
3310412,379550
3318117,380900
3363269,379158
3693935,385830
4721536,400941
8081390,451278
3250112,356511
3278877,383097
3289495,377298
3312881,375078
3344983,367772
3393760,367543
3617182,378948
4575265,393226
3478671,384602
3224433,385947
3245240,378489
3246462,372240
3264454,370207
3439419,411515
3669854,408364
4665598,415830
8111279,468592
3215378,366550
3227176,392719
3246828,385562
3269739,376153
3338326,384081
3387761,371304
3615862,371173
4573146,394205
3487172,387532
3240479,387612
3249096,385726
3256185,375059
3278491,371729
3335219,374024
3641305,378026
4661344,392956
7969309,450554
3213468,347726
3280527,383034
3285545,385747
3305657,374334
3388386,374462
3443408,375980
3675337,378803
4629116,395265
3525016,391819
3272136,389384
3279194,392029
3254328,375419
3269687,374953
3322926,373963
3642430,379810
4679890,416575
7969488,457132
3218343,354235
3238181,386960
3249913,378305
3276453,374222
3351074,369963
3547458,371714
3621802,372102
4567364,393703
3474268,386753
3233893,385404
3245216,382153
3255722,403315
3277887,377206
3349560,380058
3638296,386675
4662413,398387
7952715,451830
3221498,343615
3231751,382086
3252942,377547
3260027,372703
3345934,372701
3395712,369624
3620988,373173
4565372,391622
3468288,387400
3224901,387237
3242682,377614
3284192,373864
3268216,377141
3421806,398310
3643547,389173
4668963,398062
7963683,451723
3206517,348240
3223496,384783
