mark_time_ns,sweep_time_ns
60815,17799
59757,17538
65848,17870
64204,17596
58976,17498
60889,17936
57543,17743
59592,17440
56752,17644
57824,17674
58389,17747
55365,17370
54618,17039
56889,17755
57580,17270
57934,17590
56853,17381
54886,17771
56961,17689
57336,17227
59059,17620
55219,17470
54687,17146
55051,17446
56732,17383
57612,17425
54193,17269
53026,17126
56867,17706
57390,17346
56743,17557
61569,17393
54920,17621
57115,17533
56347,17380
57994,17632
54455,17389
53868,17031
56318,17572
56776,17458
57798,17557
54035,17380
52874,16956
57418,17906
56916,17375
55906,17557
56222,17332
55176,17325
57106,17520
56882,17595
58055,17429
54168,17492
53760,16900
55848,17343
56938,17281
57685,18030
54509,17610
53408,16730
55911,17481
57757,17244
55902,17392
56417,17319
55161,17358
57114,17088
57177,17151
57219,17439
54432,17565
54847,17163
56467,17409
56704,17355
57882,17435
54082,17531
54097,16920
56766,17647
57114,17204
56469,17558
56445,17294
54566,17590
57277,17433
56158,17162
57367,17605
54376,17548
54442,17141
55818,17585
55520,17453
57535,17609
54473,17399
52922,16989
55726,17701
64057,18779
58338,17439
58360,17622
55543,17685
57037,17557
56195,17253
57817,17579
54645,17423
53690,17347
55495,17478
55616,17342
58714,17787
55265,17484
53696,17056
55556,17473
57171,17440
56603,17610
56865,17249
53983,17368
56925,17378
56245,17429
57291,17756
54648,17601
53955,17116
55787,17360
55831,17359
57474,17822
59733,17345
53466,17081
56357,17708
56880,17458
56988,17454
56434,17230
54643,17447
56842,17443
56310,17152
58042,17437
53951,17652
53432,17004
57434,17532
56180,17779
57490,17375
54382,17354
53781,22377
56545,17593
56642,17444
56153,17552
56055,17256
55091,17470
56986,17187
55656,17256
58292,17627
54600,17377
53149,17091
55846,17422
55862,17353
56973,17556
54264,17357
53485,17059
56214,17545
56276,17320
56265,17459
55728,17336
55321,17509
56772,17077
55938,17169
57202,17666
54309,17568
53813,17071
55199,17469
56100,17243
57709,17589
54306,17397
54099,17108
56234,17579
56435,17173
56640,17641
55876,17204
53854,17577
57205,17258
56279,17214
57552,17437
54945,17540
53501,17187
54863,17393
56960,17606
57319,17619
54403,17355
53231,17062
56237,17651
56307,17393
56939,17482
55473,17434
53764,17397
56187,17304
55535,17269
56890,17446
55048,17520
52669,17127
55290,17379
56225,17237
57360,17587
54454,17367
53021,17049
56043,17659
57186,17209
56677,17383
56762,17280
55116,17494
56910,17307
56135,17426
59441,17654
54285,17708
54112,17369
56269,17531
56918,17422
57523,17493
54819,17319
54410,16980
55986,17650
56739,17114
56688,17509
56928,17399
55062,17211
56661,17216
56190,17054
57557,17513
54661,17434
53774,17100
55261,17345
56777,17459
57152,17753
54159,17317
59404,17296
55837,17487
57014,17325
56668,17693
56250,17216
54636,17499
56539,17187
55882,17177
58586,17511
54594,17547
53600,17088
55654,17366
57105,17479
57877,17652
54869,17474
54801,16876
62063,17814
58018,17419
56653,17422
56543,17154
55572,17428
63427,18634
60309,17924
61056,18010
56244,18049
55846,17732
56824,18212
58147,17995
58442,17890
56195,17964
55892,17634
58941,18154
60043,17684
57767,18259
57959,17740
56404,17817
58907,17875
57111,17597
59446,18116
56488,17860
55176,17989
56644,17926
57433,17997
58704,18127
55946,18113
54913,17331
57711,18100
58783,17828
57634,18061
58193,17671
55881,17813
58283,17724
57037,17651
58818,18076
55570,17966
56015,17516
57639,17994
57794,17870
59634,18168
55816,17763
54638,17452
57298,18401
58252,17718
57931,18044
57939,17672
56307,17862
58318,17829
57357,17773
58450,17914
55304,18011
56795,17845
57818,17976
58994,17802
59174,18116
56713,17870
55124,17378
57212,18123
59530,17844
59300,18174
58558,18188
56261,17897
