mark_time_ns,sweep_time_ns
43240,25261
22371,25048
14335,13887
13363,13948
12691,13571
11640,13609
12282,13530
16063,13689
10807,13580
10996,13535
10715,13576
10296,13651
10481,13500
10153,13439
9966,13602
9858,13695
9810,13407
9675,13431
9902,13519
9953,13647
9661,13445
9614,13480
9831,13685
9321,13736
9276,13733
9409,13495
9897,13570
13694,13610
9893,13572
9795,13387
9672,13565
10007,13657
9445,13609
9475,13476
9814,13495
9530,13667
9743,13640
9880,13437
9567,13503
9440,13566
9692,13581
9672,13465
10022,13279
9953,13550
9731,13694
9343,13770
9538,13463
9536,13506
8975,13605
10129,13699
9119,13431
9674,13735
9196,13569
9309,13652
9523,13437
9475,13573
9697,13668
9505,13610
9322,13477
9479,13456
9402,13574
9385,13691
9760,13422
12128,14006
12303,14201
10883,14251
10666,14275
10535,13855
10265,14009
10025,13979
9849,14131
10192,13936
10184,13998
10418,14129
10523,14092
9679,13932
9493,13932
10087,14077
10118,13956
9793,13866
10626,13773
9879,14003
9643,14061
9788,13805
9540,13934
9147,14018
9905,13912
10157,14051
9747,13831
9967,13953
9639,14093
9764,14026
9690,18548
9354,13919
9937,13956
9577,13969
9296,13405
9297,13457
8829,13701
8929,13621
10668,13614
9687,13556
9743,13492
9829,13580
9678,13471
9306,13469
9504,13521
9365,13644
9259,13679
9111,13468
9920,13650
9633,13571
9411,13648
9610,13178
9092,13531
9372,13662
8852,13603
9282,13496
10038,13360
8929,13495
9699,13612
9427,13483
9829,13437
9256,13613
9261,13596
9165,13461
9160,13505
9549,13553
9183,13633
9289,13408
9289,13514
9688,13577
9603,13596
9457,13664
9550,13352
9530,13619
10045,13592
9920,13630
9568,13462
9682,13498
9665,13629
10193,13628
9770,13421
9475,13480
9494,18209
9769,13661
9821,13382
9416,13469
9642,13556
9905,13396
9811,13482
9732,13434
9493,13590
9504,13732
9351,13694
9715,13461
9246,13536
9541,13530
9827,13569
9382,13398
9932,13464
9373,13801
10015,13743
9537,13488
9887,13486
9983,13590
9820,13609
9760,13381
9514,13487
9509,13506
9818,13644
9548,13345
9501,13475
9616,13531
9972,13575
9592,13649
9774,13522
9013,13668
9595,13641
9938,13677
9459,13311
9397,13532
9405,13728
9681,13672
9309,13471
9071,13517
9481,13649
9700,13654
9686,13385
10196,13639
10035,13543
9359,13590
9767,13379
9252,13662
9429,13639
9044,13691
12423,13778
