mark_time_ns,sweep_time_ns
82992,21681
68760,21486
120685,22500
58954,16400
62013,16104
79036,16878
90780,19917
91684,20018
104309,19521
84821,16881
85680,17238
144481,20337
75948,16941
63845,16232
104981,18987
173950,17430
58253,15971
58828,17350
59153,16414
57125,15688
54929,15306
58001,15414
54731,15350
52886,15192
89100,18121
88865,18099
85289,18051
23626,13562
39324,14363
40566,14485
40748,14499
38117,14024
40236,14303
38988,14503
40023,14568
41208,14602
40645,14398
77123,16323
50968,15660
52425,16405
51592,16116
52099,15581
92095,18236
49576,15263
50761,15388
50315,15310
88212,18141
164494,18421
73920,16581
48913,15897
89861,17326
51087,15623
49196,15265
52772,15398
89871,18065
50321,15155
86545,18114
47976,14941
40499,14552
36876,14429
37343,14302
36070,14268
72658,15759
50988,15670
52311,16314
89097,17613
50858,15659
48799,15357
86045,18323
87323,17945
84682,17665
18926,13288
34077,14150
71190,16063
50726,16026
51757,16568
51549,16009
51148,15504
91088,18105
50769,15174
49887,15142
50255,15209
86060,18122
84492,18224
66050,16583
51054,16156
52601,16732
50928,15586
50124,15227
87170,17870
49024,15252
88346,18242
47906,15310
46855,15349
48552,15231
48296,15186
85240,18044
49507,15104
51436,16596
51060,16652
54924,15761
91102,18601
86693,18186
48581,15442
85003,18350
48705,15099
91985,18121
50507,15061
52400,16345
52228,16593
50703,15700
90445,18283
51417,15338
50822,15094
50488,15142
49645,15241
51111,15529
86680,18362
83678,17833
54320,15600
50894,16283
52232,17346
52635,16624
89163,19413
49609,15261
92307,18067
86171,17946
48707,15207
48151,15153
48067,15148
77481,16806
50072,14417
51664,15350
90076,17739
49288,15136
88042,17761
87790,18023
84591,18014
25144,13714
37995,14436
39452,14359
39680,14746
74078,16014
50819,15666
51818,16214
52222,15735
49983,15437
91927,18339
90812,18018
87326,17949
85912,18097
56322,16020
50850,16655
52344,17160
52743,16296
50970,15533
51103,15364
49598,15303
48580,15211
50351,15470
86742,18217
48470,15157
48087,15260
53029,15653
52670,15992
51106,15420
90944,18325
15789,12874
37009,14590
40273,14654
39971,14912
41659,14670
40595,14867
77625,16143
52131,16269
53022,16834
52498,16329
57646,16016
53308,15921
92202,18794
89916,18504
50314,15661
50135,15813
89979,18477
77557,17204
50099,16517
52516,17511
96646,19490
51433,15563
91203,18719
88631,18622
88083,22542
28397,13949
35723,14607
43322,15316
32689,14423
36956,14682
36749,14735
38212,14758
38257,14813
41361,14876
41059,14976
39334,14948
42430,15058
41299,14866
76939,16452
51799,15927
54460,16710
52051,16546
53204,16081
53167,15846
52581,15674
50752,15660
49552,15606
50408,15861
53196,15439
50692,15730
52239,15729
93400,18802
87456,18551
25577,14054
35866,14548
40433,14785
40279,15023
41111,14991
37842,14788
38113,14781
37791,14615
36656,94122
38552,14449
39579,14812
41555,14576
38849,14987
40653,14885
40772,14917
40142,15020
77274,16611
51230,16092
54007,16888
52443,16263
52884,15881
89629,18493
49721,15856
51660,15773
50560,15477
89679,18458
88201,18283
32657,14436
38699,14520
36953,14596
37142,14659
36639,14678
33255,14396
38092,14535
39341,14756
38946,14976
36901,14296
37880,13981
37246,14346
43602,14905
30908,14038
37666,14061
38557,14561
39534,14608
37143,13958
72549,15887
50695,15615
50021,16332
51575,16065
88931,18916
50091,15115
51760,15334
50150,14939
51031,15081
86573,17982
84534,17850
69125,16468
49623,15209
50200,15904
51232,15306
50974,15391
88975,18280
49317,15164
48406,15083
49415,15487
86221,18336
83564,17929
28982,13608
38316,14364
36392,14458
36783,14311
39871,14442
39765,14376
38186,14430
39203,14524
47261,15271
30913,13871
36632,14406
35540,14320
34378,13866
74636,16210
49699,15666
51343,16304
53058,16606
51869,15673
89585,18664
51019,15184
88030,17986
48279,15124
48249,93119
86164,18335
29252,13741
72767,16066
71546,18174
90200,21250
85904,19218
145754,21698
83716,17007
140574,20147
136134,19829
132459,19788
31523,14276
48120,14904
48176,14546
43613,14607
42650,14583
41623,14508
82299,16063
54001,15679
56008,16457
56331,16795
54649,15757
90802,18254
89943,18201
51106,15206
49219,15520
49839,15471
87147,18017
40721,14420
36888,14116
38728,14411
39475,14488
36902,14173
72458,15882
49392,15652
52626,16576
53421,15648
52186,15415
89275,18085
49409,15140
90083,18055
50130,15224
48847,15414
86130,18332
33659,13920
31794,14028
37921,14235
70785,15539
48226,15696
51353,16258
90358,18570
50317,15510
50216,15252
88292,18193
86357,17916
47042,15147
48435,14876
42005,14719
42184,14655
37606,14372
74999,16042
50410,15506
52177,16515
51405,15826
52143,15660
88640,18211
