mark_time_ns,sweep_time_ns
146276,31807
181383,22082
60528,17560
37868,16436
51089,16895
52604,17506
58907,40208
79571,41256
92127,38141
31327,31799
58765,33507
78403,34275
60234,33794
48510,33412
52083,34127
60157,34143
49057,33947
43786,33802
43097,33369
51829,34576
125883,37595
150080,34154
55170,34383
56922,34060
153523,37153
64221,137391
35409,32563
116959,35656
54713,33473
49590,33161
66202,33938
54486,33421
53433,33949
81880,34858
43005,33113
115104,35403
73196,33742
89247,35025
51048,33795
44929,33655
66496,34078
71675,34146
56013,33538
72412,34528
54333,33414
41177,33184
46383,33487
120621,37150
53563,34084
75251,33793
65376,33641
60942,33260
87373,34559
118666,36662
116642,35867
123393,36710
53020,33666
108446,35328
44363,32332
55064,33296
86463,35910
69278,35220
62692,35023
55164,34961
57982,34348
62042,34807
52537,34975
64868,34986
62759,35002
128393,41951
91149,48355
234612,50349
69619,38911
51745,36707
100735,39210
64129,36643
89276,36498
60267,34855
60046,33654
49291,33707
70263,34879
116249,35626
80888,34642
52883,34026
50906,33552
85612,35450
83218,34967
55321,33677
47522,33381
41903,33280
45193,32480
89881,35062
41483,32979
54322,33876
41066,32466
73178,34225
43224,33575
57784,33700
68796,33640
61301,33748
65319,33583
64263,33981
57569,33519
38428,32149
51104,41044
50784,33127
52888,32834
61421,32976
84524,34680
58282,33478
80305,34403
107662,35415
86908,35275
54825,33204
62057,33458
122910,36533
51769,33253
54426,33832
126057,36078
61949,33464
83008,34594
43510,32732
46764,33570
41179,32748
52374,33456
67427,33927
44904,33351
147115,36408
77032,34643
47934,33859
118927,35400
46098,32791
84491,34450
48666,33300
47692,34006
67538,34250
80574,34795
52384,33622
68239,33475
54193,32941
43949,33177
47719,33658
57330,35281
143300,37926
75781,33558
61930,34110
66160,33619
84554,34792
75670,34332
62456,34932
54859,34635
57352,33542
62614,33273
51311,34434
136047,36761
158004,37531
122566,36034
47077,33375
46402,33081
52615,34604
89015,35285
44900,32927
53820,34640
114629,36440
50159,33297
85872,34878
71168,33707
102806,35071
51032,33945
57870,33358
121683,36029
124125,35875
39462,32859
71947,33941
63015,33871
61464,33651
58647,34365
59144,34148
67193,33839
55742,33591
133793,36312
117981,36226
126838,36074
41397,33163
62766,34440
93352,35930
55840,36308
52679,35481
94262,37204
44576,34456
75264,36198
61531,36017
45442,34966
48248,138270
53260,36014
53821,35731
47084,42622
72129,35876
56730,35486
59419,35483
59917,35921
77981,35748
63321,35963
70419,35371
70078,35423
62018,35085
42137,34173
123346,36409
48249,33750
51887,34168
81553,34997
50003,33578
41244,33698
102081,36565
45040,33374
45205,33456
47109,34270
47145,34569
83466,35004
58405,34529
67926,34790
52617,33953
54105,35749
84109,36158
