mark_time_ns,sweep_time_ns
1846235,53610
4483860,58012
3659017,102373
2624510,205884
4219597,186084
1253100,228222
665279,194617
664857,187155
1070427,203774
663655,191373
693113,190569
1059656,254868
296299,187097
761186,192420
1106609,209055
1092648,224364
1374015,308523
3265270,241252
3070526,249398
2030808,234229
3423229,188506
2425401,213840
2422732,242893
1656435,235153
985592,198018
661677,191851
1032929,205373
659919,195498
673893,195794
811118,206576
695726,190523
692815,195203
685935,197259
891352,195732
1101362,229793
688568,195948
1089763,217012
1087797,226520
1392630,310437
627691,271042
854253,219701
1081567,224666
1063964,218093
1196026,225275
652164,191190
1088778,221125
1090881,226118
1085802,228675
1103075,278509
740725,280586
4282664,281310
3314451,298126
1889233,264530
3462043,186299
2519817,210766
2458904,247881
1699532,215851
667167,191638
658760,188786
730289,210214
672240,189134
1088743,208981
1188468,223490
1083854,228408
1291934,265678
636033,258976
1442986,311314
505479,273565
650360,285061
547019,299964
522318,297796
760615,222142
1101150,227353
1096975,227219
1105543,224836
1109536,225907
1094824,224407
1089317,223198
1114507,225009
1034672,220803
1085676,222139
1097265,224703
1086994,227566
1537366,317624
953628,330283
4970270,296682
3167393,288582
1893211,249760
3457924,190038
2530052,209778
2398753,245031
1648191,220557
666884,194144
657418,192213
662202,191906
659729,193057
1025635,197859
1015985,206635
1091505,227425
1245123,264337
639778,257940
1435975,309665
621799,319226
783420,319313
570776,308538
387786,232817
770538,225441
1117083,226866
1107102,231779
1120622,230451
1110437,230956
1096994,224317
1108228,226838
1105148,228411
1088186,229254
1105770,224366
1099487,226507
1084291,223379
1539537,316989
963978,331264
4062891,276383
3319215,301041
1885348,248165
3784276,188811
2456214,213840
1958938,244018
1220409,209114
702411,196745
675685,194233
674042,192562
679207,193092
1088469,212331
1198434,226843
1105116,228425
989512,246127
634922,259929
1444854,308786
638032,319926
784796,319675
571055,309664
510361,290346
752158,218354
673480,197090
660498,190529
1041768,190200
661935,192917
1079733,223268
1073261,222001
1095612,226644
784532,189723
1082839,220595
1090532,226424
1108433,229083
1665048,320305
970816,329394
3995522,278184
3329974,296118
1896609,247810
3564839,188879
2374803,207877
2359240,248703
1576692,219538
670954,192271
666472,190291
660381,190274
675853,191602
1067258,215414
1084238,232386
1095451,227187
1166838,258030
639845,261512
1443114,308744
638690,317896
785184,323659
571812,350280
505447,292757
753559,217547
1090642,222115
1084344,223792
1091426,223740
780514,191887
663197,194181
665939,193066
878633,205381
657002,190781
1083235,312667
1093159,224532
1092178,224597
1530301,317385
967252,330101
4217939,283683
3457924,300202
1919668,267115
3556559,198019
2391886,209722
2376404,247219
1663146,214566
671003,195044
659709,191417
670598,200850
705915,196933
960533,202520
1029043,199762
1125642,229950
1240367,258789
654439,262150
1476716,317401
643644,323061
806643,327660
574804,314350
506004,293407
753227,215944
1083556,223135
1091504,228207
1183637,226152
1089063,224568
1083958,221070
1033683,217369
681066,192127
668671,210191
1066898,213735
1100558,223538
1085644,223183
1516125,311300
961982,326338
3966806,279321
3310030,297122
1887335,248956
3510422,190696
2472352,225915
2368106,247791
1583362,224438
684023,195045
660574,192060
661285,191772
678952,191936
795422,210600
677980,188440
665376,192430
962679,249458
611954,225622
1161000,277764
630627,323066
783118,320345
578460,308999
507411,386161
755974,219454
1086715,225444
1052661,215590
1092287,224946
1083472,224878
1091751,224784
1090706,222490
1085365,229149
1065040,318882
659721,195773
679410,191804
657366,191072
1092752,293516
735348,281277
4206470,281073
3319649,294474
1901908,246489
3456107,191144
2384945,208773
2413876,245938
1661819,214800
701041,198396
685893,194481
661254,190075
661278,192841
1102686,211827
1081389,226585
1090375,223641
1153307,265712
435408,227178
1144214,289522
492836,269237
805804,318230
579182,308078
511300,292000
758690,217681
1086787,223094
1080606,224377
1086965,226822
1194969,230381
1086047,221511
1087003,224632
1088933,226958
1072554,225036
1088280,221251
1096467,223458
1091540,225136
1120600,277735
841091,280110
4228590,276973
3296058,297026
1887527,247170
3450871,190273
2485040,210409
2283561,247269
1653442,218010
667064,192953
661894,192262
693330,192336
678114,193824
1096752,212629
1063135,214846
1091725,229472
1311003,273037
637224,258132
1416182,307276
512951,271613
677450,285541
526671,289300
523727,297364
767120,217387
1166539,225660
1086650,231970
1095432,226373
1093748,224741
1079523,222619
1193058,225931
1111292,226967
1051827,219485
1085470,221505
1087748,224473
1099201,224570
1533446,314037
962953,329003
4930151,319416
2859779,284458
1928485,347705
3496109,191891
2416581,214654
2378036,248793
1684094,220141
668436,195002
666656,192030
664609,187529
662395,208246
1084418,217322
1046748,212979
1104371,232680
959957,249389
633759,255828
1424602,306419
633237,319245
783054,318779
682868,330106
385647,226122
757343,214951
1104382,222737
1045250,218059
1107048,224086
1089575,227721
1088035,221847
1091519,222721
1090413,225741
1089057,230183
1104967,222770
1104898,224948
1093807,224508
1558420,317125
971165,330212
3990129,279463
3307116,294656
1878356,248546
3785303,188852
2394875,208598
1991942,245122
1231026,209443
680663,210573
675845,194609
679151,193520
675795,191930
1083433,209522
1087817,224566
1090406,225464
1095836,255783
636937,256723
1424195,306554
643605,316669
795108,319535
563544,308748
510605,291670
748973,217499
680795,202119
652091,192214
694471,189654
663638,191130
1076058,224569
736345,193271
1058935,213985
654916,191653
1088631,224556
1163105,224318
1083706,225991
1448247,292504
943501,327780
3992745,277054
3327971,295598
1889461,249408
3464508,189812
2383439,210632
2399366,250268
1785227,228691
669157,190943
661172,194623
664581,189036
661182,193485
1082654,220922
1069679,219807
1089769,223028
1357750,280112
727116,258056
1441731,310523
642405,323135
784771,320498
608800,314399
507591,290875
748512,218825
1083072,224143
1174171,228769
1092837,224227
656077,192133
663729,193719
665102,190403
664462,297027
656676,191513
1096574,215198
1086175,222881
1085790,224581
1641293,316669
959705,328746
3971110,276320
3408804,315116
1940236,254362
3490105,191345
2471292,212310
2419176,248643
1693667,225150
668251,194013
678232,190252
805000,207994
681680,191499
669196,197599
678025,191820
1094129,225633
967260,249568
634799,256213
1414828,317198
629882,317218
779930,319386
571226,307325
516880,297320
763135,218789
1184771,221535
1085253,228213
1082712,223509
1092545,225421
1091747,220855
1177794,225591
680529,185445
657309,187925
1006260,199246
1090168,223452
1093545,224544
1519685,307705
959185,327180
3971472,277589
3302234,296465
1903878,247660
3462033,189915
2413389,213682
2274863,251643
1630753,208715
665628,192582
657510,190643
663828,214090
663619,190558
1082500,211535
658761,191064
661053,192658
980611,252616
583786,225752
1055423,281482
641053,317212
798889,322439
577977,312668
520182,296952
766735,217766
1230695,227005
1077187,220610
1088848,224758
1185306,227248
1076054,220403
1087853,224252
1088664,226304
1088542,230567
1227621,234601
688467,192128
1063366,205908
1097905,279157
834333,278310
4268718,279235
3322937,296538
1898708,247242
3457471,189740
2420576,210978
3074835,245790
1669999,215505
671636,194624
660672,191018
701538,190439
661791,193659
1088764,215299
1077560,222889
1085760,226463
1372141,275031
429584,215029
1057692,282784
499202,290930
827120,322927
578519,319735
610369,295888
761575,220436
1082560,224227
1083416,229395
1176688,226132
1089258,225960
1083724,221001
1089926,223125
1080948,225883
1068245,222466
1083008,220249
1082548,226112
1087063,224037
1582736,296071
748021,279947
4114018,281841
3191994,300818
1939154,253538
3455755,189141
2442990,210222
2413875,247212
1704331,224902
669911,195411
680581,192728
682861,195653
692680,196256
1120450,216286
1102586,224547
1116445,223161
1351942,286369
635968,256751
1432845,311213
518825,273670
655492,276926
537420,286944
509384,292558
751295,216630
1088381,221485
1079666,224821
1089751,231253
1192299,227585
1079894,223317
1096839,225122
1103516,231774
951842,208553
1083772,219895
1083972,225876
1086593,226726
1550870,315743
965455,329027
4018673,276310
2864461,285705
1917105,253642
3612782,193064
2408331,212305
2422894,250437
1714966,226315
686029,195000
690496,195001
683549,190976
663142,190932
1090641,212160
986275,196454
1085294,234388
1076023,249988
633247,256660
1448039,313422
628450,312578
796718,318276
568662,307846
386010,247754
745246,214110
1081409,221263
987263,209669
1090953,230834
1071477,225114
1080053,218832
1095382,224959
1090091,225830
1084628,226321
1090182,219207
1094836,224754
1091064,223438
1541040,317706
960778,327337
4068447,276242
3305713,296855
1897447,248189
3575783,203359
2379681,212053
2001207,240590
1221012,212287
698566,196240
673912,193911
668000,193141
660064,192125
1073091,207810
1089130,221689
1089553,229835
1437687,277664
630169,257594
1409565,306346
633152,319694
781380,414216
575433,309894
510289,293967
748367,218931
1185756,222816
675247,193217
675459,191620
694974,193814
1176867,215127
901153,197652
1082954,220252
668909,193730
1098163,223584
1097853,224227
1108632,228189
1630134,311025
972963,334259
4009852,275948
3312690,296585
1895974,247832
3458227,208810
2490950,209381
2416228,251528
1691419,338116
667170,195724
677868,194466
695150,191399
783312,192287
1105026,218032
1092154,229951
1108368,228764
1374357,289049
642781,262748
1458752,314352
633376,317620
784387,321078
570035,308532
506109,293099
747054,216036
1085788,226664
1086019,229295
1085823,223800
670581,191370
690984,203393
660379,191478
683356,188566
656245,192166
1190418,213858
1091821,223525
1086647,221873
1548071,317105
1045956,331228
3994746,279167
3392426,299320
1883978,248269
3452643,188890
2376614,210857
2294360,248829
1594457,225435
683192,191298
664791,190646
690678,196569
661554,192515
673066,195901
872260,191405
1086541,226378
983601,247093
637175,258109
1456983,319273
631644,316084
789961,321525
573673,308138
512525,294073
751599,216228
1091243,221086
1101677,225603
1082048,228829
1099108,225191
1080530,223249
1097138,223130
662275,190602
685220,193017
999535,201924
1101076,220984
1109723,229853
1514262,312345
973585,331475
4025891,284559
3348469,299792
1913798,254546
3505924,191079
2449811,215243
2289895,248916
1593543,207665
673327,194282
674459,191048
665265,192634
662824,192303
1102975,212351
658840,191054
697193,208033
962401,249416
578285,222182
1172537,277183
565759,293065
801814,322147
573030,310643
515265,295722
746096,217187
1092869,221871
887588,201414
1194007,224430
