mark_time_ns,sweep_time_ns
119722,26684
131345,49412
126613,48015
129053,48846
118849,46045
126035,47799
117214,46491
117104,44880
125071,47730
122460,45023
115961,45583
127106,51736
119138,51872
111084,45736
118697,48119
117370,46597
129314,46537
115589,45118
116788,46302
123620,46333
129456,46646
115500,44645
116954,46839
115422,48245
110235,52561
120364,48707
117561,46723
126656,46685
117595,44871
115571,45686
120961,46245
119747,45799
125737,46828
117956,48257
118377,45595
108960,43697
118789,47828
115464,46147
133779,51045
117921,44830
117987,45991
122489,46697
116417,48070
115190,46662
119185,46877
118114,46242
117700,48819
122927,48575
117231,46355
127149,46450
115536,45646
116788,51589
122667,46323
128703,47171
115308,44967
117731,47990
116199,46998
111911,45200
120484,49532
118050,46496
126451,48309
169599,68642
138313,58231
127718,48752
120097,46597
127609,47083
119787,48896
117283,46280
110962,44885
123080,47213
115824,46312
124797,48071
118903,44890
115685,47033
121805,47464
115501,44754
116417,45066
122007,47836
116682,47407
111306,44575
124035,51159
117056,46850
127677,47176
117067,45225
116776,46637
121098,46548
127724,47341
114330,43943
117839,47383
116631,46024
111503,44481
118313,48120
116326,46454
126991,47528
117040,45460
116346,46475
123151,47729
116197,45217
126166,47755
121323,48749
117552,46201
108488,44385
119019,47706
115720,46215
125858,47650
116103,45546
122900,49415
125745,48155
119530,45205
115814,46126
118311,47823
116859,45711
110326,44413
120064,48537
120951,50421
131528,48573
116375,45526
117049,47310
124879,46636
130166,46967
115170,44470
121673,46880
116653,47088
109824,44912
119038,47238
118425,46102
126465,46854
116314,45369
116741,45417
165752,65929
187502,82136
145939,53806
121584,50900
119317,46547
110213,45157
119157,47942
115112,45920
128508,48400
118381,45430
116205,46466
123257,46714
117769,45159
115304,45675
120427,47665
118337,49962
110002,44400
119049,47915
117574,47120
127293,47775
125861,50607
122552,48093
126040,51347
130808,49068
126064,45370
115260,47255
117175,46839
111813,44936
121609,48547
117661,46372
126238,46670
115460,44531
115101,46115
122756,47079
117359,45800
127411,47219
118154,48207
116416,46105
108496,44394
117685,48719
114604,45088
125385,47204
118049,44859
116965,46294
121743,46366
115937,45616
120611,49033
123484,47488
117049,46211
109727,45197
120021,48285
115541,46114
127717,47393
114972,45160
124532,51411
126523,47525
134804,48157
117542,45661
116747,48095
121033,49108
114105,45863
120028,49002
120414,46478
125722,46861
116146,45297
116155,46060
120924,45825
118175,46034
138077,55618
166303,67490
136233,56785
112109,44749
120758,48849
117171,46277
125844,47713
115776,46341
115651,46412
123277,46048
116264,45379
114627,46058
117008,48069
117791,46472
110911,46363
120062,47455
117135,46868
128614,47351
122024,45669
117140,46650
129797,52836
133722,48319
117746,45301
116192,47392
117191,46511
111561,45313
117527,47948
117655,49690
126617,47809
116904,45017
116169,45611
121233,46568
116431,45235
128124,46412
118569,49503
117274,50065
109510,43870
117715,48399
116298,45921
126770,46685
115394,44751
116999,46003
122200,46666
120434,45591
116050,45774
118127,47357
122200,48948
112916,44967
119215,47669
115232,47338
127564,46209
116017,44539
116392,46028
121740,46099
154461,51825
120416,45453
119559,47789
118172,46630
112205,44639
119519,47590
122355,47080
124638,46650
116407,45605
116612,46133
122045,47100
117198,45238
126659,46789
117977,48983
116360,46121
130817,61262
183698,68873
123298,48129
131547,49326
116956,45673
116684,46972
122447,46503
117320,44858
116670,46480
119358,47247
117346,46212
110429,44642
119304,47831
117347,47329
131337,46825
115928,45742
117170,47222
123069,46454
128010,46939
115360,43661
126657,51420
118566,46968
110160,44872
119820,48250
115813,46637
125408,46027
117401,44700
114312,46280
120103,46278
117184,45808
126053,47106
118435,48612
115100,45225
108974,43439
119545,47243
114870,45852
129893,47803
115442,44251
116581,46633
122433,46410
115972,44784
115082,46440
118097,46883
117150,46606
108159,44871
116987,47167
121540,51198
130520,48060
116332,44577
117844,46486
123888,46814
127964,46724
115632,44225
117019,46848
123910,50820
119249,46542
120143,48378
119975,47052
127863,48894
125274,46662
118134,47142
125636,48022
120860,47013
126333,48342
119978,48640
116202,45711
108814,45100
118838,47943
125799,53791
160349,67716
136769,57547
120098,47390
126862,48016
117407,45805
117143,45365
118070,51140
117384,46772
109439,44437
118591,48606
117162,46820
127466,47510
116263,45936
118096,46664
123479,46649
129622,47674
115206,44779
119725,48206
117504,47193
120396,50892
119849,53486
116705,46210
126125,47099
116347,45242
115754,46282
123566,48185
117135,45299
127640,48122
119267,48907
116967,45495
109751,43449
123367,48011
115370,46013
126437,47089
115425,45617
116298,46941
121165,45800
116523,44486
115476,44902
117717,46742
117096,45379
109525,45008
117950,47974
117032,46367
130097,46771
118530,45819
124496,48931
123913,46003
128241,46907
116272,43680
121093,48299
118255,47496
111878,45452
118538,47547
125583,49671
129622,48258
116435,46175
116603,46450
121780,46840
117209,46526
129487,46978
118311,48942
116502,45743
107914,43908
120314,47359
117236,46086
127068,47357
115326,45224
159364,71629
174045,67801
123353,48207
119054,46977
120688,48015
118025,46944
110752,45031
118236,47896
119454,48321
134600,47305
114585,45212
116825,46435
122020,45782
129319,47364
115945,44619
118798,48535
117663,47470
110500,44276
118354,48983
116103,47023
131566,50023
118929,45554
115803,46528
122480,46180
116575,45924
128412,46893
118867,48200
117070,45791
108470,44789
119061,47788
115407,45742
125143,46827
116281,44149
115877,45538
123589,45610
117721,45079
115688,44845
117920,47378
115305,46069
109954,44489
118352,47200
117267,46874
128778,47308
116226,45911
120784,47145
121128,47209
133100,49676
121053,46430
116004,47356
119475,46865
111774,44586
120687,47880
117283,46432
126984,47500
127953,50895
119285,48463
124181,47047
123449,49238
130723,49126
119470,49653
117111,46316
112937,46003
125297,49412
116526,46586
126030,47349
116522,45187
115574,45782
122435,45879
116766,45809
143145,66082
139350,57306
119736,48168
114887,46819
119189,48685
117258,47553
128686,47069
117634,44784
117678,46682
122665,46619
131123,46767
114759,44862
117330,47269
116945,46557
111839,45114
118690,48847
116321,45888
126537,48445
117687,44972
157858,67634
126617,49415
117499,45226
126053,47427
118711,48298
118532,45881
109698,44051
118819,48146
119774,46120
127397,47314
117598,45337
118564,46704
121104,47065
117506,45057
114118,45744
117489,47923
120542,47204
109288,44500
117529,47595
116072,45919
127633,46757
116130,45452
117647,46972
123684,46658
127674,46283
113754,43272
116557,47812
122364,48865
112432,45247
118364,48081
116889,45671
125595,47523
116464,44386
115222,46455
122102,46655
131545,49798
126687,47296
119766,49420
118229,45974
110885,44913
123244,48846
116933,45625
124650,47813
115264,44865
116205,46505
122440,46790
115261,44947
115111,45015
118523,47750
146088,72928
137986,63566
136844,55001
120662,46867
132103,48402
117792,45208
116843,46745
121797,46255
131198,47225
117801,44848
117225,47508
117084,46910
111913,44923
119508,48077
118098,46222
125930,47353
116390,45400
120170,46620
121753,46729
116456,46262
136669,52374
122569,51238
117538,46294
107422,47926
119747,47487
115836,45454
128277,46167
