timestamp_us,collection,mark_time_us,sweep_time_us
1539744931925520,0,106,123
1539744931928091,1,95,105
1539744931930562,2,154,143
1539744931932947,3,138,124
1539744931935356,4,157,150
1539744931940007,5,72,143
1539744931942936,6,69,112
1539744931945728,7,52,89
1539744931948424,8,56,94
1539744931951163,9,110,134
1539744931953927,10,67,111
1539744931956661,11,66,103
1539744931959323,12,84,120
1539744931962008,13,63,97
1539744931964699,14,81,111
1539744931967435,15,68,104
1539744931970181,16,90,101
1539744931972844,17,118,129
1539744931975511,18,70,108
1539744931978295,19,129,139
1539744931981042,20,73,107
1539744931983777,21,58,104
1539744931986481,22,62,107
1539744931989147,23,58,92
1539744931991861,24,68,107
1539744931994657,25,66,104
1539744931997410,26,71,100
1539744932000107,27,81,116
1539744932003153,28,65,106
1539744932005987,29,83,114
1539744932008875,30,59,97
1539744932011707,31,77,120
1539744932014370,32,54,102
1539744932017193,33,92,118
1539744932019912,34,84,120
1539744932022651,35,89,118
1539744932025354,36,61,98
1539744932028086,37,58,97
1539744932030851,38,72,108
1539744932033555,39,161,152
1539744932036541,40,141,162
1539744932045748,41,105,328
1539744932051743,42,108,317
1539744932057853,43,97,319
1539744932063944,44,125,317
1539744932069730,45,100,303
1539744932075574,46,145,314
1539744932081396,47,153,318
1539744932087140,48,107,296
1539744932092870,49,97,299
1539744932098534,50,87,295
1539744932104198,51,137,315
1539744932109864,52,102,328
1539744932115556,53,102,307
1539744932121203,54,101,299
1539744932126819,55,104,304
1539744932132526,56,140,321
1539744932138283,57,96,295
1539744932143990,58,96,299
1539744932149634,59,105,301
1539744932155276,60,87,293
1539744932160961,61,103,300
1539744932166698,62,131,312
1539744932172401,63,107,304
1539744932178040,64,84,335
1539744932183654,65,92,294
1539744932189374,66,114,304
1539744932195078,67,110,301
1539744932200747,68,96,296
1539744932206335,69,92,292
1539744932212033,70,113,308
1539744932217726,71,109,297
1539744932223354,72,105,307
1539744932229059,73,96,292
1539744932234659,74,90,296
1539744932240341,75,140,318
1539744932246006,76,93,333
1539744932251723,77,106,300
1539744932257389,78,106,301
1539744932262991,79,224,338
1539744932268758,80,100,296
1539744932274449,81,94,295
1539744932280146,82,98,298
1539744932285746,83,106,309
1539744932291394,84,98,301
1539744932297129,85,109,303
1539744932302790,86,89,293
1539744932308491,87,109,304
1539744932314066,88,100,337
1539744932319747,89,132,310
1539744932325495,90,113,301
1539744932331180,91,129,308
1539744932336838,92,133,308
1539744932342421,93,97,303
1539744932348101,94,101,299
1539744932353782,95,100,301
1539744932359508,96,128,310
1539744932365134,97,114,299
1539744932370745,98,94,297
1539744932376407,99,123,311
1539744932382122,100,149,310
1539744932387960,101,102,300
1539744932393556,102,95,298
1539744932399366,103,88,297
1539744932405096,104,111,310
1539744932410742,105,103,302
1539744932416482,106,116,312
1539744932422092,107,117,325
1539744932427755,108,102,303
1539744932433673,109,103,301
1539744932439389,110,124,310
1539744932445055,111,115,305
1539744932450662,112,103,301
1539744932456394,113,115,302
1539744932462101,114,109,363
1539744932467993,115,119,309
1539744932473623,116,109,302
1539744932479264,117,140,308
