timestamp_us,collection,mark_time_us,sweep_time_us
1539742918276040,0,77,110
1539742918282882,1,39,71
1539742918286729,2,34,46
1539742918290346,3,34,45
1539742918294008,4,30,39
1539742918297685,5,31,39
1539742918301362,6,30,39
1539742918305038,7,31,38
1539742918308605,8,31,37
1539742918312176,9,31,38
1539742918315786,10,48,43
1539742918319276,11,60,46
1539742918322793,12,45,42
1539742918326283,13,42,41
1539742918329836,14,53,44
1539742918333379,15,24,36
1539742918336944,16,29,38
1539742918340510,17,30,38
1539742918344073,18,29,37
1539742918347638,19,29,38
1539742918351212,20,47,42
1539742918354699,21,41,41
1539742918358260,22,54,44
1539742918361784,23,39,39
1539742918365271,24,42,40
1539742918368844,25,53,45
1539742918372397,26,23,36
1539742918375971,27,29,37
1539742918379534,28,29,38
1539742918383105,29,31,38
1539742918386689,30,48,42
1539742918390174,31,63,45
1539742918393692,32,45,42
1539742918397191,33,42,41
1539742918400755,34,53,44
1539742918404289,35,24,36
1539742918407867,36,29,38
1539742918411435,37,30,38
1539742918415005,38,29,37
1539742918418573,39,29,38
1539742918422136,40,46,44
1539742918425617,41,40,41
1539742918429170,42,55,43
1539742918432701,43,21,36
1539742918436260,44,47,41
1539742918439739,45,41,41
1539742918443293,46,54,44
1539742918446826,47,22,35
1539742918450401,48,30,37
1539742918453984,49,31,38
1539742918457569,50,48,42
1539742918461052,51,60,45
1539742918464590,52,45,42
1539742918468118,53,41,42
1539742918471754,54,55,44
1539742918475359,55,24,37
1539742918478988,56,30,39
1539742918482598,57,31,38
1539742918486207,58,37,38
1539742918489806,59,29,39
1539742918493401,60,47,42
1539742918496900,61,41,41
1539742918500478,62,54,44
1539742918504011,63,39,39
1539742918507513,64,41,41
1539742918511093,65,53,45
1539742918514636,66,23,36
1539742918518214,67,33,37
1539742918521797,68,29,37
1539742918525388,69,31,38
1539742918528983,70,48,42
1539742918532482,71,59,46
1539742918536024,72,45,42
1539742918539530,73,42,41
1539742918543199,74,60,49
1539742918546815,75,23,37
1539742918550427,76,30,37
1539742918554029,77,30,38
1539742918557635,78,29,38
1539742918561233,79,29,38
1539742918564829,80,46,42
1539742918568351,81,41,41
1539742918571932,82,55,43
1539742918575485,83,22,36
1539742918579098,84,47,43
1539742918582611,85,41,41
1539742918586183,86,56,44
1539742918589754,87,23,36
1539742918593364,88,29,38
1539742918596945,89,32,38
1539742918600556,90,48,42
1539742918604074,91,60,46
1539742918607615,92,45,42
1539742918611139,93,42,41
1539742918614734,94,55,44
1539742918618281,95,24,36
1539742918621860,96,29,38
1539742918625448,97,30,38
1539742918629057,98,29,38
1539742918632660,99,30,37
1539742918636261,100,47,42
1539742918639776,101,41,42
1539742918643358,102,55,44
1539742918646934,103,39,39
1539742918650465,104,41,41
1539742918654039,105,53,45
1539742918657585,106,23,36
1539742918661183,107,29,38
1539742918664794,108,30,38
1539742918668380,109,31,39
1539742918671978,110,48,43
1539742918675498,111,60,46
1539742918679062,112,45,42
1539742918682572,113,42,41
1539742918686154,114,54,51
1539742918689716,115,24,36
1539742918693321,116,30,38
1539742918696912,117,30,38
1539742918700507,118,29,38
1539742918704112,119,30,37
1539742918707716,120,47,42
1539742918711216,121,41,41
1539742918714790,122,55,43
1539742918718339,123,21,36
1539742918721930,124,46,42
1539742918725438,125,42,41
1539742918729044,126,54,45
1539742918732617,127,22,36
1539742918736213,128,29,38
1539742918739803,129,31,38
1539742918743411,130,48,43
1539742918746935,131,60,45
1539742918750499,132,45,42
1539742918754030,133,42,41
1539742918757645,134,54,45
1539742918761218,135,24,37
1539742918764832,136,29,38
1539742918768449,137,30,38
1539742918772038,138,30,37
1539742918775645,139,30,38
1539742918779267,140,47,43
1539742918782790,141,42,41
1539742918786377,142,55,43
1539742918789925,143,39,39
1539742918793450,144,43,40
1539742918797042,145,54,45
1539742918800612,146,24,36
1539742918804223,147,30,37
1539742918807812,148,30,37
1539742918811413,149,30,39
1539742918815042,150,48,42
1539742918818561,151,17,38
1539742918822206,152,17,40
