timestamp_us,collection,mark_time_us,sweep_time_us
1539756581708049,0,2588,354
1539756581714802,1,4701,836
1539756581725178,2,9303,1969
1539756581741981,3,2391,1166
1539756581753823,4,2358,1005
1539756581761060,5,2292,1018
1539756581768553,6,2279,1024
1539756581775757,7,2261,1039
1539756581782748,8,2238,1016
1539756581790119,9,2243,1017
1539756581797334,10,2345,1013
1539756581804691,11,2237,1018
1539756581811979,12,2195,1046
1539756581819005,13,2185,1006
1539756581826079,14,2247,1022
1539756581833446,15,2264,1025
1539756581840564,16,2238,1021
1539756581847621,17,2368,1076
1539756581855027,18,2462,1108
1539756581862409,19,2433,1051
1539756581869719,20,3118,1242
1539756581877836,21,3105,1239
1539756581885773,22,2981,1137
1539756581893544,23,3125,1183
1539756581901563,24,7323,2123
1539756581933734,25,2230,1767
1539756581946097,26,2190,1738
1539756581958441,27,2184,1758
1539756581970967,28,2183,1758
1539756581983716,29,2194,1764
1539756581996296,30,2249,1760
1539756582009047,31,2301,1755
1539756582022352,32,2433,1797
1539756582035707,33,3811,2048
1539756582050019,34,4311,2075
1539756582065441,35,10087,3081
1539756582123114,36,2241,2626
1539756582146931,37,2296,2563
1539756582170095,38,2312,2599
1539756582193665,39,3517,3023
1539756582218864,40,11067,4504
1539756582250831,41,2197,2540
1539756582273694,42,2225,2519
1539756582296197,43,2313,2537
1539756582319964,44,3473,2960
1539756582345546,45,11084,4477
1539756582377030,46,2202,2505
1539756582400365,47,2374,2517
1539756582423282,48,2312,2556
1539756582447382,49,3513,2954
1539756582473228,50,11020,4473
1539756582505172,51,2203,2508
1539756582527767,52,2208,2518
1539756582550632,53,2296,2540
1539756582573556,54,3508,2957
1539756582599230,55,10990,4498
1539756582630559,56,2192,2520
1539756582653702,57,2246,2528
1539756582677140,58,2315,2540
1539756582700716,59,3480,2961
1539756582726193,60,11086,4494
1539756582757855,61,2215,2520
1539756582780650,62,2239,2514
1539756582803391,63,2288,2553
1539756582826751,64,3495,2972
1539756582852642,65,11031,4483
1539756582883936,66,2192,2518
1539756582907425,67,2206,2524
1539756582930630,68,2289,2555
1539756582954510,69,3443,2973
1539756582979667,70,11047,4476
1539756583011750,71,2226,2526
1539756583034807,72,2385,2611
1539756583058801,73,2382,2574
1539756583082850,74,3580,2955
1539756583108951,75,11016,4492
1539756583140511,76,2216,2510
1539756583163504,77,2207,2530
1539756583186965,78,2286,2531
1539756583209855,79,3494,2957
1539756583235526,80,11029,4537
1539756583267429,81,2189,2521
1539756583290485,82,2205,2514
1539756583313198,83,2302,2538
1539756583337224,84,3492,2979
1539756583363436,85,10941,4466
1539756583394989,86,2368,2517
1539756583417989,87,2239,2541
1539756583440881,88,2318,2538
1539756583464292,89,3465,2944
1539756583489233,90,11047,4508
1539756583520983,91,2211,2508
1539756583544109,92,2216,2516
1539756583566711,93,2360,2544
1539756583591266,94,3568,2960
1539756583616959,95,11026,4505
1539756583648849,96,2371,2508
1539756583671683,97,2207,2523
1539756583695064,98,2290,2547
1539756583718107,99,3475,2973
1539756583743857,100,11050,4506
1539756583775396,101,2210,2523
1539756583797921,102,2227,2522
1539756583820787,103,2313,2539
1539756583844838,104,3531,2970
1539756583870288,105,11037,4485
1539756583901543,106,2210,2530
1539756583924411,107,2239,2509
1539756583947347,108,2292,2548
1539756583970788,109,3489,2962
1539756583996683,110,11255,4494
1539756584028369,111,2212,2513
1539756584052145,112,2264,2545
1539756584075485,113,2310,2564
1539756584099271,114,3471,2943
1539756584124618,115,11094,4490
1539756584156032,116,2183,2529
1539756584178577,117,2201,2512
1539756584201699,118,2302,2572
1539756584224750,119,3463,2973
1539756584250414,120,11014,4495
1539756584281896,121,2224,2524
1539756584304379,122,2234,2506
1539756584327230,123,2293,2539
1539756584351425,124,3571,2965
1539756584377255,125,11049,4488
1539756584409218,126,2240,2500
1539756584432714,127,2223,2508
1539756584455925,128,2294,2576
1539756584479772,129,3483,2960
1539756584504916,130,11037,4489
1539756584536848,131,2214,2505
1539756584559928,132,2204,2524
1539756584583301,133,2297,2563
1539756584607185,134,3489,2950
1539756584632963,135,11013,4489
1539756584664900,136,2226,2518
1539756584687909,137,2222,2513
1539756584711345,138,2294,2549
1539756584734929,139,3461,2939
1539756584760481,140,11019,4496
1539756584792020,141,2193,2523
1539756584814758,142,2206,2508
1539756584837629,143,2313,2556
1539756584861224,144,3502,2967
1539756584887053,145,11126,4487
1539756584918690,146,2183,2528
1539756584941586,147,2250,2521
1539756584964773,148,2317,2544
1539756584988519,149,3516,2989
