timestamp_us,collection,mark_time_us,sweep_time_us
1539743887923336,0,63,95
1539743887925719,1,96,192
1539743887933064,2,437,622
1539743887943665,3,390,690
1539743887963946,4,392,1060
1539743887976117,5,343,994
1539743887988100,6,354,1083
1539743888000137,7,364,1066
1539743888012670,8,382,1119
1539743888025412,9,376,1064
1539743888038651,10,480,1228
1539743888051863,11,396,1058
1539743888064557,12,403,1131
1539743888077217,13,392,1077
1539743888089628,14,401,1168
1539743888102011,15,403,1062
1539743888114088,16,416,1124
1539743888126178,17,411,1055
1539743888138274,18,403,1141
1539743888150388,19,403,1065
1539743888162489,20,413,1138
1539743888174608,21,402,1080
1539743888186675,22,411,1135
1539743888198859,23,412,1077
1539743888210916,24,409,1148
1539743888223073,25,408,1070
1539743888235213,26,410,1148
1539743888247373,27,411,1067
1539743888259431,28,413,1143
1539743888271577,29,409,1078
1539743888283719,30,416,1152
1539743888296039,31,535,1117
1539743888308355,32,415,1143
1539743888320523,33,410,1067
1539743888332601,34,415,1147
1539743888344789,35,411,1096
1539743888356907,36,422,1163
1539743888369071,37,406,1090
1539743888381137,38,421,1163
1539743888393275,39,412,1102
1539743888405447,40,416,1169
1539743888417625,41,405,1113
1539743888429746,42,419,1195
1539743888441930,43,430,1081
1539743888454021,44,446,1158
1539743888466327,45,410,1084
1539743888478687,46,422,1163
1539743888491075,47,415,1086
1539743888503297,48,423,1153
1539743888515505,49,409,1085
1539743888527625,50,419,1148
1539743888539879,51,415,1082
1539743888552055,52,419,1152
1539743888564245,53,406,1088
1539743888576326,54,418,1149
1539743888588515,55,416,1078
1539743888600608,56,417,1148
1539743888612745,57,412,1097
1539743888624830,58,420,1185
1539743888637022,59,410,1112
1539743888649150,60,420,1184
1539743888661345,61,408,1119
1539743888673557,62,418,1175
1539743888685774,63,412,1096
1539743888697848,64,433,1153
1539743888710019,65,425,1236
1539743888722260,66,425,1152
1539743888734460,67,414,1086
1539743888746745,68,424,1160
1539743888758974,69,413,1080
1539743888771121,70,420,1153
1539743888783279,71,409,1081
1539743888795538,72,421,1164
1539743888807865,73,410,1089
1539743888820033,74,423,1156
1539743888832242,75,416,1082
1539743888844322,76,416,1153
1539743888856452,77,409,1089
1539743888868547,78,417,1152
1539743888880679,79,410,1079
1539743888892817,80,423,1169
1539743888904953,81,404,1100
1539743888917036,82,419,1184
1539743888929162,83,414,1112
1539743888941251,84,421,1185
1539743888953436,85,408,1105
1539743888965558,86,422,1163
1539743888977848,87,426,1082
1539743888990465,88,425,1176
1539743889003239,89,421,1108
1539743889017951,90,497,1305
1539743889032345,91,418,1100
1539743889046050,92,447,1175
1539743889058667,93,428,1098
1539743889071099,94,436,1151
1539743889083627,95,415,1081
1539743889095972,96,426,1151
1539743889108121,97,407,1085
1539743889120124,98,421,1148
1539743889132184,99,407,1080
1539743889144220,100,417,1144
1539743889156266,101,412,1082
1539743889168265,102,416,1146
1539743889180331,103,411,1075
1539743889192323,104,415,1135
1539743889204368,105,407,1079
1539743889216399,106,423,1151
1539743889228513,107,409,1079
1539743889240501,108,419,1149
1539743889252549,109,409,1076
1539743889264530,110,418,1149
1539743889276570,111,414,1076
1539743889288593,112,417,1151
1539743889300662,113,410,1081
1539743889312686,114,418,1178
1539743889324753,115,414,1108
1539743889336772,116,417,1148
1539743889348829,117,406,1105
1539743889360876,118,420,1161
1539743889373001,119,408,1091
1539743889385039,120,419,1162
1539743889397096,121,408,1106
1539743889409105,122,418,1169
1539743889421178,123,409,1093
1539743889433219,124,421,1158
1539743889445291,125,402,1091
1539743889457433,126,422,1168
1539743889469603,127,413,1099
1539743889481666,128,417,1163
1539743889493728,129,417,1102
1539743889505761,130,416,1181
1539743889517856,131,428,1082
1539743889529856,132,431,1146
1539743889541908,133,423,1079
1539743889554001,134,428,1160
1539743889566417,135,416,1091
1539743889578726,136,421,1165
1539743889591073,137,414,1081
1539743889603113,138,421,1150
1539743889615186,139,411,1080
1539743889627281,140,421,1150
1539743889639338,141,412,1083
1539743889651344,142,417,1155
1539743889663404,143,411,1076
1539743889675390,144,420,1138
1539743889687430,145,407,1080
1539743889699398,146,419,1151
1539743889711449,147,408,1077
1539743889723416,148,417,1148
1539743889735458,149,407,1081
1539743889747761,150,422,1158
1539743889759998,151,411,1079
1539743889772017,152,416,1143
1539743889784097,153,407,1080
1539743889796266,154,421,1161
1539743889808433,155,410,1079
1539743889820429,156,418,1144
1539743889832493,157,409,1077
1539743889844480,158,413,1151
1539743889856526,159,409,1078
1539743889868551,160,412,1144
1539743889880602,161,425,1088
1539743889892798,162,416,1172
1539743889904941,163,410,1113
1539743889916972,164,420,1168
1539743889929040,165,409,1091
1539743889941056,166,416,1169
1539743889953141,167,409,1093
1539743889965135,168,416,1181
1539743889977366,169,408,1098
1539743889989482,170,418,1168
1539743890001679,171,431,1123
1539743890014090,172,435,1160
1539743890026342,173,411,1082
1539743890038559,174,461,1348
1539743890052017,175,410,1080
1539743890064377,176,420,1149
1539743890076610,177,408,1080
1539743890088594,178,416,1145
1539743890100666,179,414,1081
1539743890112985,180,416,1167
1539743890125073,181,408,1093
1539743890137084,182,421,1178
1539743890149408,183,409,1116
1539743890161485,184,413,1170
1539743890173571,185,409,1094
1539743890185570,186,415,1163
1539743890197626,187,413,1097
1539743890209634,188,420,1179
1539743890221715,189,409,1116
1539743890233756,190,413,1169
1539743890245831,191,423,1081
1539743890257824,192,430,1144
1539743890269887,193,420,1083
1539743890281897,194,436,1156
1539743890294182,195,427,1077
1539743890306171,196,432,1150
1539743890318249,197,408,1080
1539743890330208,198,435,1153
1539743890342291,199,412,1079
1539743890354325,200,421,1147
1539743890366375,201,405,1082
1539743890378333,202,417,1147
1539743890390375,203,414,1080
1539743890402364,204,415,1153
1539743890414410,205,407,1077
1539743890426424,206,419,1151
1539743890438493,207,413,1078
1539743890450485,208,421,1155
1539743890462569,209,407,1084
1539743890474613,210,421,1152
1539743890486764,211,410,1075
1539743890498732,212,419,1149
1539743890510805,213,411,1080
1539743890522769,214,418,1146
1539743890534816,215,415,1081
1539743890547023,216,418,1146
1539743890559078,217,411,1085
1539743890571070,218,418,1150
1539743890583131,219,410,1080
1539743890595154,220,419,1156
1539743890607217,221,411,1080
1539743890619217,222,418,1148
1539743890631303,223,408,1074
1539743890643307,224,419,1154
1539743890655386,225,411,1077
1539743890667381,226,416,1147
1539743890679456,227,410,1074
1539743890691456,228,418,1145
1539743890703525,229,407,1082
1539743890715585,230,419,1150
1539743890727622,231,414,1076
1539743890739694,232,438,1160
1539743890751799,233,410,1077
1539743890763806,234,419,1149
1539743890775922,235,411,1077
1539743890787924,236,419,1140
1539743890800165,237,409,1081
1539743890812186,238,421,1147
1539743890824274,239,411,1076
1539743890836345,240,418,1148
1539743890848403,241,407,1077
1539743890860378,242,416,1148
1539743890872448,243,411,1074
1539743890884432,244,416,1142
1539743890896490,245,414,1097
1539743890908518,246,418,1147
1539743890920594,247,409,1074
1539743890932623,248,415,1150
1539743890944710,249,406,1079
1539743890956895,250,416,1172
1539743890969045,251,410,1099
1539743890981078,252,415,1166
1539743890993167,253,404,1098
1539743891005190,254,417,1186
1539743891017384,255,411,1135
1539743891029720,256,413,1209
1539743891043271,257,471,1107
1539743891055621,258,424,1151
1539743891068011,259,414,1086
1539743891080377,260,415,1145
1539743891092628,261,408,1080
1539743891104617,262,415,1148
1539743891116674,263,412,1078
1539743891128669,264,414,1169
1539743891140731,265,408,1077
1539743891152716,266,416,1159
1539743891164792,267,408,1086
1539743891176779,268,415,1169
1539743891188829,269,405,1094
1539743891200867,270,420,1161
1539743891212955,271,414,1090
1539743891224966,272,416,1160
1539743891237051,273,405,1088
1539743891249053,274,419,1165
1539743891261128,275,409,1093
1539743891273136,276,413,1155
1539743891285195,277,411,1093
1539743891297200,278,427,1164
1539743891309293,279,406,1091
1539743891321338,280,417,1168
1539743891333399,281,409,1101
1539743891345385,282,415,1164
1539743891357441,283,410,1094
1539743891369441,284,413,1159
1539743891381511,285,409,1107
1539743891393505,286,417,1172
1539743891405565,287,414,1113
1539743891417585,288,411,1169
1539743891429625,289,409,1095
1539743891441755,290,415,1168
1539743891453838,291,424,1081
1539743891465844,292,433,1153
1539743891477982,293,422,1082
1539743891489963,294,427,1147
1539743891502017,295,435,1084
1539743891514039,296,430,1150
1539743891526112,297,421,1081
1539743891538102,298,428,1141
1539743891550166,299,425,1080
1539743891562216,300,437,1154
1539743891574540,301,414,1074
1539743891586540,302,419,1156
1539743891598630,303,409,1084
1539743891610634,304,418,1147
1539743891622712,305,413,1083
1539743891634719,306,419,1145
1539743891646772,307,412,1078
1539743891658782,308,420,1150
1539743891670861,309,410,1076
1539743891682889,310,415,1150
1539743891694958,311,414,1090
1539743891706960,312,415,1145
1539743891718988,313,409,1079
1539743891730965,314,417,1154
1539743891743012,315,407,1081
1539743891754977,316,416,1141
1539743891767109,317,409,1078
1539743891779067,318,417,1151
1539743891791187,319,427,1079
1539743891803422,320,415,1151
1539743891815451,321,407,1080
1539743891827427,322,418,1144
1539743891839492,323,413,1075
1539743891851454,324,420,1145
1539743891863489,325,408,1079
1539743891875450,326,419,1148
1539743891887493,327,407,1071
1539743891899452,328,421,1139
1539743891911506,329,411,1077
1539743891923523,330,424,1153
1539743891935575,331,411,1077
1539743891947548,332,415,1152
1539743891959581,333,411,1084
1539743891971568,334,419,1145
1539743891983639,335,411,1079
1539743891995639,336,432,1153
1539743892007746,337,411,1072
1539743892019746,338,416,1150
1539743892031792,339,412,1075
1539743892044931,340,434,1180
1539743892057213,341,410,1115
1539743892069493,342,419,1191
1539743892081720,343,408,1101
1539743892093730,344,418,1180
1539743892105837,345,417,1084
1539743892117822,346,433,1155
1539743892129869,347,419,1076
1539743892141843,348,426,1148
1539743892153889,349,420,1084
1539743892165951,350,432,1151
1539743892178029,351,426,1076
1539743892190050,352,432,1159
1539743892202135,353,439,1086
1539743892214160,354,435,1147
1539743892226211,355,428,1080
1539743892238218,356,437,1153
1539743892250301,357,409,1089
1539743892262303,358,421,1154
1539743892274365,359,412,1076
1539743892286406,360,417,1150
1539743892298575,361,422,1079
1539743892310588,362,418,1144
1539743892322669,363,411,1082
1539743892334665,364,417,1145
1539743892346719,365,413,1085
1539743892358704,366,418,1145
1539743892370777,367,411,1076
1539743892382785,368,425,1166
1539743892394861,369,422,1087
1539743892406906,370,419,1151
1539743892418984,371,411,1085
1539743892431009,372,416,1145
1539743892443068,373,411,1080
1539743892455077,374,422,1151
1539743892467176,375,412,1079
1539743892479206,376,418,1146
1539743892491271,377,410,1086
1539743892503224,378,417,1147
1539743892515305,379,413,1081
1539743892527347,380,415,1151
1539743892539401,381,413,1083
1539743892551563,382,422,1151
1539743892563645,383,411,1083
1539743892575666,384,421,1150
1539743892587768,385,414,1076
1539743892599769,386,415,1144
1539743892611828,387,412,1078
1539743892623812,388,420,1133
1539743892635865,389,407,1084
1539743892647889,390,416,1150
1539743892659943,391,410,1081
1539743892671946,392,421,1155
1539743892684017,393,410,1084
1539743892696024,394,429,1140
1539743892708110,395,413,1073
1539743892720122,396,414,1146
1539743892732216,397,409,1079
1539743892744340,398,422,1149
1539743892756394,399,411,1075
1539743892768442,400,417,1144
1539743892780481,401,409,1080
1539743892792503,402,415,1146
1539743892804666,403,411,1071
1539743892816779,404,419,1165
1539743892828865,405,410,1087
1539743892840870,406,418,1162
1539743892852946,407,412,1094
1539743892864928,408,418,1160
1539743892876976,409,409,1091
1539743892889012,410,415,1178
1539743892901097,411,408,1107
1539743892913109,412,420,1168
1539743892925210,413,411,1096
1539743892937347,414,420,1165
1539743892949425,415,410,1108
1539743892961427,416,420,1174
1539743892973515,417,406,1100
1539743892985513,418,417,1168
1539743892997599,419,414,1096
1539743893009653,420,414,1167
1539743893021996,421,457,1102
1539743893034267,422,434,1210
1539743893047657,423,415,1081
1539743893059811,424,418,1145
1539743893072111,425,411,1084
1539743893084318,426,418,1151
1539743893096383,427,420,1078
1539743893108367,428,419,1150
1539743893120425,429,406,1073
1539743893132431,430,416,1141
1539743893144469,431,411,1079
1539743893156476,432,419,1151
1539743893168544,433,406,1078
1539743893180535,434,417,1149
1539743893192593,435,412,1073
1539743893204643,436,421,1144
1539743893216718,437,410,1077
1539743893228693,438,418,1157
1539743893240743,439,413,1086
1539743893252742,440,413,1155
1539743893264768,441,409,1092
1539743893276808,442,419,1161
1539743893288873,443,407,1094
1539743893301131,444,416,1165
1539743893313193,445,408,1089
1539743893325186,446,415,1162
1539743893337280,447,408,1091
1539743893349285,448,413,1165
1539743893361363,449,405,1101
1539743893373409,450,416,1182
1539743893385469,451,414,1110
1539743893397450,452,425,1175
1539743893409553,453,411,1100
1539743893421572,454,413,1167
1539743893433633,455,411,1098
1539743893445651,456,418,1170
1539743893457744,457,409,1096
1539743893469746,458,417,1167
1539743893481850,459,425,1079
1539743893493857,460,437,1158
1539743893505921,461,424,1087
1539743893517928,462,431,1156
1539743893530009,463,423,1081
1539743893542027,464,430,1143
1539743893554271,465,411,1080
1539743893566270,466,422,1150
1539743893578345,467,414,1075
1539743893590554,468,418,1146
1539743893602625,469,406,1080
1539743893614639,470,420,1146
1539743893626712,471,414,1076
1539743893638711,472,417,1150
1539743893650829,473,409,1086
1539743893662818,474,416,1149
1539743893674867,475,409,1079
1539743893686861,476,424,1149
1539743893698928,477,410,1087
1539743893710941,478,417,1156
1539743893723021,479,411,1080
1539743893735027,480,414,1144
1539743893747327,481,411,1082
1539743893759321,482,417,1152
1539743893771393,483,409,1077
1539743893783396,484,422,1143
1539743893795417,485,417,1081
1539743893807557,486,421,1154
1539743893819627,487,416,1080
1539743893831621,488,419,1145
1539743893843651,489,410,1082
1539743893855685,490,422,1151
1539743893867758,491,408,1075
1539743893879724,492,416,1147
