timestamp_us,collection,mark_time_us,sweep_time_us
1539742886961323,0,66,95
1539742886964372,1,32,63
1539742886967348,2,22,33
1539742886968945,3,16,33
1539742886970539,4,17,33
1539742886972132,5,16,32
1539742886973730,6,15,32
1539742886975338,7,16,35
1539742886976939,8,15,33
1539742886978538,9,16,33
1539742886980169,10,16,32
1539742886981750,11,15,31
1539742886983337,12,15,31
1539742886984913,13,15,31
1539742886986503,14,15,31
1539742886988070,15,15,31
1539742886989647,16,14,31
1539742886991241,17,15,32
1539742886992825,18,15,31
1539742886994400,19,15,31
1539742886996007,20,16,31
1539742886997598,21,15,31
1539742886999199,22,15,33
1539742887000865,23,17,35
1539742887002635,24,17,36
1539742887004303,25,15,31
1539742887005895,26,14,31
1539742887007541,27,15,33
1539742887009135,28,15,32
1539742887010780,29,17,35
1539742887012446,30,15,31
1539742887014193,31,16,40
1539742887015919,32,16,32
1539742887017537,33,15,32
1539742887019276,34,17,35
1539742887021029,35,16,35
1539742887022718,36,17,35
1539742887024399,37,16,32
1539742887026026,38,16,32
1539742887027746,39,15,32
1539742887029375,40,16,31
1539742887031073,41,17,35
1539742887032722,42,15,33
1539742887034359,43,17,35
1539742887036129,44,17,36
1539742887037858,45,16,33
1539742887039593,46,17,35
1539742887041363,47,21,39
1539742887043060,48,18,35
1539742887044832,49,18,37
1539742887046628,50,17,36
1539742887048314,51,15,32
1539742887049916,52,15,32
1539742887051640,53,17,33
1539742887053236,54,15,31
1539742887054899,55,17,34
1539742887056549,56,15,32
1539742887058146,57,16,30
1539742887059868,58,15,32
1539742887061464,59,16,31
1539742887063173,60,19,36
1539742887064804,61,15,31
1539742887066426,62,17,35
1539742887068142,63,14,32
1539742887069762,64,15,31
1539742887071494,65,15,32
1539742887073101,66,15,31
1539742887074768,67,17,35
1539742887076450,68,16,32
1539742887078064,69,15,31
1539742887079798,70,16,33
1539742887081408,71,14,32
1539742887083097,72,16,35
1539742887084737,73,14,32
1539742887086342,74,16,31
1539742887087947,75,14,32
1539742887089550,76,14,31
1539742887091155,77,15,32
1539742887092755,78,15,31
1539742887094360,79,15,32
1539742887095971,80,15,32
1539742887097570,81,15,32
1539742887099179,82,15,32
1539742887100779,83,15,31
1539742887102383,84,15,31
1539742887103983,85,15,32
1539742887105582,86,15,31
1539742887107232,87,16,35
1539742887108962,88,15,31
1539742887110571,89,15,32
1539742887112185,90,15,32
1539742887113794,91,15,31
1539742887115406,92,15,31
1539742887117004,93,16,31
1539742887118611,94,16,32
1539742887120209,95,15,31
1539742887121808,96,15,31
1539742887123415,97,15,33
1539742887125014,98,15,32
1539742887126618,99,15,31
1539742887128228,100,16,33
1539742887129830,101,15,31
1539742887131445,102,16,33
1539742887133039,103,15,32
1539742887134642,104,14,32
1539742887136237,105,15,32
1539742887137836,106,15,31
1539742887139438,107,15,32
1539742887141038,108,15,31
1539742887142647,109,15,32
1539742887144255,110,16,31
1539742887145854,111,15,31
1539742887147459,112,15,32
1539742887149059,113,15,31
1539742887150659,114,16,32
1539742887152257,115,15,31
1539742887153856,116,15,32
1539742887155467,117,16,33
1539742887157065,118,16,31
1539742887158670,119,15,32
1539742887160281,120,15,32
1539742887161875,121,15,31
1539742887163479,122,15,32
1539742887165079,123,15,32
1539742887166688,124,16,32
1539742887168289,125,15,31
1539742887169887,126,15,31
1539742887171489,127,15,31
1539742887173088,128,14,31
1539742887174689,129,15,31
1539742887176292,130,15,32
1539742887177889,131,14,31
1539742887179491,132,15,31
1539742887181084,133,14,32
1539742887182682,134,15,32
1539742887184276,135,15,31
1539742887185875,136,14,31
1539742887187472,137,15,31
1539742887189068,138,14,32
1539742887190674,139,15,32
1539742887192277,140,16,31
1539742887193872,141,14,32
1539742887195472,142,15,32
1539742887197067,143,15,31
1539742887198668,144,15,32
1539742887200266,145,15,31
1539742887201864,146,15,31
1539742887203490,147,15,32
1539742887205104,148,14,32
1539742887206723,149,15,32
1539742887208347,150,15,32
1539742887209962,151,14,31
1539742887211577,152,15,32
1539742887213191,153,15,31
1539742887214815,154,16,31
1539742887216429,155,14,32
1539742887218042,156,14,31
1539742887219655,157,15,32
1539742887221266,158,15,31
1539742887222888,159,15,32
1539742887224523,160,16,32
1539742887226134,161,15,31
1539742887227746,162,15,31
1539742887229356,163,15,32
1539742887230972,164,14,31
1539742887232586,165,15,31
1539742887234203,166,14,41
1539742887235830,167,14,32
1539742887237446,168,15,31
1539742887239064,169,15,31
1539742887240693,170,15,32
1539742887242307,171,15,32
1539742887243923,172,15,32
1539742887245536,173,15,31
1539742887247161,174,15,32
1539742887248778,175,14,31
1539742887250398,176,15,32
1539742887252013,177,14,32
1539742887253629,178,15,31
1539742887255252,179,15,32
1539742887256879,180,16,32
1539742887258502,181,15,32
1539742887260115,182,15,32
1539742887261731,183,15,31
1539742887263351,184,16,31
1539742887264966,185,14,32
1539742887266583,186,16,32
1539742887268195,187,15,31
1539742887269808,188,15,32
1539742887271435,189,16,32
1539742887273064,190,15,32
1539742887274681,191,15,32
1539742887276297,192,15,31
1539742887277907,193,15,31
1539742887279545,194,15,31
1539742887281183,195,15,32
1539742887282827,196,15,32
1539742887284467,197,15,32
1539742887286105,198,14,31
1539742887287747,199,16,31
1539742887289397,200,15,31
