timestamp_us,collection,mark_time_us,sweep_time_us
1539742798342507,0,63,103
1539742798345631,1,17,34
1539742798348280,2,16,33
1539742798350927,3,15,33
1539742798353568,4,16,32
1539742798356228,5,16,33
1539742798358872,6,15,32
1539742798361509,7,15,32
1539742798364158,8,15,32
1539742798366805,9,15,32
1539742798369497,10,16,32
1539742798372146,11,14,32
1539742798374795,12,15,31
1539742798377436,13,14,32
1539742798380223,14,14,32
1539742798382872,15,15,32
1539742798385540,16,15,33
1539742798388234,17,14,32
1539742798390927,18,14,32
1539742798393624,19,15,32
1539742798396332,20,15,33
1539742798399115,21,15,32
1539742798401786,22,15,32
1539742798404464,23,15,31
1539742798407136,24,14,32
1539742798409807,25,14,32
1539742798412484,26,15,34
1539742798415150,27,15,32
1539742798417801,28,15,31
1539742798420460,29,14,32
1539742798423127,30,15,32
1539742798425782,31,14,31
1539742798428438,32,15,31
1539742798431105,33,14,32
1539742798433757,34,14,32
1539742798436413,35,14,31
1539742798439058,36,14,32
1539742798441701,37,15,31
1539742798444362,38,15,32
1539742798447110,39,14,31
1539742798449787,40,15,31
1539742798452471,41,15,32
1539742798455168,42,14,32
1539742798457858,43,14,32
1539742798460543,44,14,32
1539742798463235,45,15,33
1539742798465904,46,15,31
1539742798468582,47,14,31
1539742798471253,48,15,31
1539742798473921,49,14,31
1539742798476600,50,15,32
1539742798479271,51,14,32
1539742798481939,52,14,32
1539742798484615,53,14,32
1539742798487286,54,14,32
1539742798489957,55,15,31
1539742798492624,56,15,31
1539742798495299,57,15,31
1539742798497969,58,15,31
1539742798500637,59,14,31
1539742798503308,60,14,32
1539742798505976,61,15,32
1539742798508652,62,15,31
1539742798511320,63,14,32
1539742798513984,64,15,31
1539742798516652,65,14,32
1539742798519325,66,14,32
1539742798521995,67,14,31
1539742798524668,68,14,32
1539742798527340,69,14,32
1539742798530016,70,15,31
1539742798532692,71,15,32
1539742798535362,72,15,31
1539742798538131,73,15,35
1539742798540862,74,14,32
1539742798543538,75,15,31
1539742798546222,76,20,31
1539742798548909,77,14,32
1539742798551594,78,15,32
1539742798554295,79,14,32
1539742798556985,80,15,32
1539742798559673,81,15,31
1539742798562356,82,14,32
1539742798565025,83,14,31
1539742798567699,84,15,32
1539742798570374,85,15,32
1539742798573047,86,14,32
1539742798575724,87,14,32
1539742798578399,88,14,31
1539742798581062,89,14,31
1539742798583739,90,15,32
1539742798586474,91,15,34
1539742798589182,92,14,32
1539742798591857,93,15,31
1539742798594542,94,15,32
1539742798597240,95,14,32
1539742798599927,96,15,33
1539742798602605,97,15,34
1539742798605274,98,15,31
1539742798607947,99,15,31
1539742798610625,100,15,31
1539742798613292,101,14,32
1539742798615972,102,15,31
1539742798618647,103,14,31
1539742798621315,104,14,31
1539742798623982,105,15,32
1539742798626662,106,14,32
1539742798629331,107,15,31
1539742798632002,108,15,31
1539742798634660,109,14,31
1539742798637333,110,14,32
1539742798640011,111,14,32
1539742798642686,112,14,32
1539742798645358,113,14,32
1539742798648036,114,14,32
1539742798650707,115,14,32
1539742798653375,116,14,31
1539742798656048,117,14,32
1539742798658733,118,14,33
1539742798661412,119,14,31
1539742798664095,120,15,32
1539742798666769,121,15,32
1539742798669441,122,14,31
1539742798672121,123,14,32
1539742798674792,124,14,31
1539742798677467,125,15,31
1539742798680131,126,14,32
1539742798682801,127,15,32
1539742798685477,128,15,31
1539742798688149,129,15,32
1539742798690825,130,15,32
1539742798693494,131,14,32
1539742798696174,132,14,32
1539742798698986,133,15,32
1539742798701659,134,15,31
1539742798704354,135,14,32
1539742798707046,136,15,32
1539742798709732,137,14,32
1539742798712421,138,15,31
1539742798715113,139,15,31
1539742798717804,140,15,32
1539742798720494,141,15,32
1539742798723164,142,14,32
1539742798725833,143,14,31
1539742798728712,144,16,35
1539742798732510,145,16,33
