timestamp_us,collection,mark_time_us,sweep_time_us
1539772969728955,0,120,177
1539772969737424,1,355,444
1539772969750269,2,409,613
1539772969759305,3,308,565
1539772969767977,4,343,591
1539772969776949,5,364,590
1539772969786031,6,336,560
1539772969794736,7,344,586
1539772969803768,8,389,595
1539772969812821,9,306,555
1539772969821326,10,339,596
1539772969829869,11,382,588
1539772969838703,12,304,547
1539772969847131,13,330,588
1539772969855645,14,417,620
1539772969864608,15,304,559
1539772969873158,16,328,581
1539772969881698,17,365,593
1539772969890574,18,298,556
1539772969899217,19,342,584
1539772969907776,20,368,586
1539772969916584,21,342,573
1539772969925130,22,319,569
1539772969933654,23,366,617
1539772969942446,24,347,585
1539772969951079,25,320,564
1539772969959580,26,371,586
1539772969968436,27,355,580
1539772969977092,28,317,563
1539772969985589,29,360,614
1539772969994327,30,367,589
1539772970003055,31,322,583
1539772970011575,32,354,589
1539772970020279,33,367,595
1539772970028995,34,307,562
1539772970037493,35,362,604
1539772970046165,36,391,596
1539772970055040,37,339,586
1539772970064001,38,358,606
1539772970074085,39,398,610
1539772970083343,40,318,570
1539772970092146,41,349,591
1539772970100972,42,371,592
1539772970110130,43,339,583
1539772970118774,44,335,582
1539772970127322,45,369,589
1539772970136130,46,307,554
1539772970144711,47,337,584
1539772970153401,48,360,591
1539772970162223,49,313,548
1539772970170861,50,336,588
1539772970179423,51,370,594
1539772970188350,52,286,540
1539772970196777,53,321,582
1539772970205323,54,371,602
1539772970214186,55,348,573
1539772970222765,56,325,577
1539772970231315,57,365,587
1539772970240110,58,351,577
1539772970248693,59,317,561
1539772970257262,60,367,586
1539772970266036,61,370,581
1539772970274703,62,322,568
1539772970283232,63,359,580
1539772970291949,64,366,579
1539772970300659,65,431,620
1539772970309341,66,363,602
1539772970317998,67,384,592
1539772970326712,68,313,567
1539772970335165,69,348,579
1539772970343821,70,366,592
1539772970352548,71,306,549
1539772970361005,72,343,586
1539772970369574,73,367,609
1539772970378341,74,301,556
1539772970386797,75,344,614
1539772970395437,76,367,584
1539772970404200,77,309,554
1539772970412654,78,341,583
1539772970421207,79,368,584
1539772970430054,80,326,560
1539772970438517,81,330,582
1539772970447051,82,372,585
1539772970455882,83,299,549
1539772970464272,84,329,582
1539772970472785,85,371,587
1539772970481744,86,298,576
1539772970490169,87,339,579
1539772970498713,88,368,584
1539772970507543,89,323,568
1539772970516090,90,325,570
1539772970524610,91,367,580
1539772970533404,92,354,610
1539772970541985,93,344,572
1539772970550508,94,363,587
1539772970559241,95,348,581
1539772970567851,96,318,569
1539772970576361,97,368,590
1539772970585093,98,357,578
1539772970593738,99,313,590
1539772970602288,100,358,584
1539772970610942,101,367,584
1539772970619648,102,316,562
1539772970628115,103,357,587
1539772970636755,104,371,587
1539772970645483,105,314,591
1539772970653965,106,363,594
1539772970662620,107,363,588
1539772970671352,108,311,564
1539772970679808,109,344,586
1539772970688414,110,367,588
1539772970697177,111,302,548
1539772970705612,112,335,593
1539772970714303,113,375,586
1539772970723107,114,309,555
1539772970731565,115,337,581
1539772970740091,116,372,589
1539772970748902,117,309,556
1539772970757324,118,332,592
1539772970765844,119,373,604
1539772970774744,120,299,550
1539772970783147,121,325,577
1539772970791627,122,367,588
1539772970800463,123,322,583
1539772970809326,124,337,599
1539772970817836,125,372,618
1539772970826636,126,340,572
1539772970835188,127,324,577
1539772970843709,128,362,584
1539772970852451,129,352,583
1539772970861087,130,323,565
1539772970869568,131,367,600
1539772970878321,132,356,586
1539772970886972,133,313,564
1539772970895467,134,358,585
1539772970904127,135,375,587
1539772970912847,136,314,562
1539772970921308,137,348,608
1539772970929929,138,376,583
1539772970938688,139,311,559
1539772970947179,140,359,578
1539772970955781,141,364,583
1539772970964574,142,312,553
1539772970973011,143,345,576
1539772970981584,144,369,587
1539772970990380,145,315,551
1539772970998853,146,346,583
1539772971007422,147,378,587
1539772971016247,148,308,558
1539772971024707,149,335,586
1539772971033441,150,377,623
1539772971042314,151,310,562
1539772971050756,152,336,586
1539772971059505,153,413,666
1539772971069448,154,477,688
1539772971079224,155,346,605
1539772971088160,156,375,594
1539772971097217,157,321,574
1539772971105873,158,322,601
1539772971114630,159,371,592
1539772971123634,160,345,576
1539772971132234,161,321,570
1539772971140787,162,363,585
1539772971149542,163,350,606
1539772971158159,164,348,567
1539772971166697,165,359,578
1539772971175431,166,361,585
1539772971184120,167,311,560
1539772971192622,168,357,579
1539772971201299,169,374,599
1539772971210059,170,343,564
1539772971218576,171,352,584
1539772971227248,172,365,582
1539772971235996,173,309,557
1539772971244488,174,355,582
1539772971253123,175,364,585
1539772971261852,176,310,588
1539772971270331,177,347,581
1539772971278916,178,369,585
1539772971287709,179,314,555
1539772971296228,180,343,578
1539772971305009,181,391,595
1539772971313868,182,307,569
1539772971322366,183,336,578
1539772971330904,184,367,587
1539772971339722,185,305,546
1539772971348284,186,341,584
1539772971356825,187,372,585
1539772971365716,188,300,559
1539772971374131,189,342,574
1539772971382722,190,375,585
1539772971391573,191,319,566
1539772971400091,192,327,568
1539772971408643,193,366,583
1539772971417435,194,347,584
1539772971425990,195,350,575
1539772971434559,196,361,584
1539772971443292,197,352,579
1539772971451906,198,321,562
1539772971460418,199,361,579
1539772971469166,200,361,583
1539772971477914,201,336,559
1539772971486426,202,360,583
1539772971495094,203,374,586
1539772971503817,204,316,556
1539772971512300,205,353,580
1539772971520960,206,368,581
1539772971529676,207,308,588
1539772971538186,208,381,587
1539772971546883,209,372,583
1539772971555716,210,294,555
1539772971564204,211,344,578
1539772971572994,212,367,583
1539772971581782,213,308,568
1539772971590278,214,339,576
1539772971598853,215,373,583
1539772971607653,216,308,552
1539772971616119,217,316,568
1539772971624642,218,373,578
1539772971633473,219,306,575
1539772971641959,220,344,579
1539772971650520,221,372,586
1539772971659395,222,301,552
1539772971667947,223,335,581
1539772971676460,224,368,582
1539772971685312,225,323,570
1539772971693826,226,325,578
1539772971702369,227,369,587
1539772971711186,228,342,571
1539772971719740,229,323,565
1539772971728314,230,364,581
1539772971737079,231,352,576
1539772971745704,232,319,576
1539772971754215,233,389,575
1539772971763094,234,364,583
1539772971771771,235,312,559
1539772971780255,236,355,582
1539772971788915,237,375,585
1539772971797628,238,316,590
1539772971806412,239,376,599
1539772971815233,240,364,583
1539772971823990,241,308,558
1539772971832488,242,356,581
1539772971841124,243,364,579
1539772971849874,244,315,570
1539772971858482,245,357,587
1539772971867142,246,370,585
1539772971876095,247,312,554
1539772971884605,248,340,581
1539772971893233,249,369,578
1539772971902296,250,307,552
1539772971910789,251,333,588
1539772971919375,252,372,588
1539772971928258,253,305,555
1539772971936729,254,330,583
1539772971945276,255,370,611
1539772971954168,256,312,551
1539772971962624,257,325,581
1539772971971147,258,367,586
1539772971980011,259,324,574
1539772971988700,260,328,579
1539772971997240,261,371,586
1539772972006221,262,360,576
1539772972014905,263,330,577
1539772972023571,264,367,588
1539772972032470,265,357,585
1539772972041216,266,330,571
1539772972049865,267,376,589
1539772972059032,268,397,655
1539772972068792,269,339,602
1539772972077969,270,372,596
1539772972086966,271,374,590
1539772972095928,272,298,559
1539772972104640,273,354,586
1539772972113422,274,368,598
1539772972122310,275,311,561
1539772972130902,276,360,588
1539772972139652,277,366,580
1539772972148491,278,313,557
1539772972157077,279,342,577
1539772972165849,280,368,605
1539772972174895,281,313,553
1539772972183496,282,344,575
1539772972192211,283,371,580
1539772972201142,284,307,555
1539772972209728,285,335,600
1539772972218407,286,370,585
1539772972227329,287,304,550
1539772972235857,288,333,583
1539772972244489,289,374,591
1539772972253527,290,296,583
1539772972262040,291,350,584
1539772972270689,292,376,590
1539772972279653,293,323,573
1539772972288277,294,323,573
1539772972296919,295,369,592
1539772972306090,296,376,597
1539772972314718,297,328,572
1539772972323265,298,360,585
1539772972332043,299,347,583
1539772972340699,300,318,565
1539772972349200,301,359,582
1539772972357913,302,368,582
1539772972366598,303,314,560
1539772972375135,304,351,588
1539772972383830,305,367,586
1539772972392564,306,317,557
1539772972401069,307,355,583
1539772972409771,308,364,597
1539772972418564,309,309,553
1539772972427047,310,355,581
1539772972435695,311,369,582
1539772972444440,312,312,557
1539772972452919,313,345,578
1539772972461525,314,363,599
1539772972470325,315,312,555
1539772972478796,316,345,583
1539772972487317,317,374,581
1539772972496096,318,303,557
1539772972504541,319,334,586
1539772972513129,320,370,581
1539772972521941,321,327,552
1539772972530415,322,331,582
1539772972538970,323,368,584
1539772972547819,324,299,550
1539772972556237,325,320,581
1539772972564751,326,366,585
1539772972573629,327,320,585
1539772972582155,328,336,571
1539772972590694,329,373,592
1539772972599527,330,346,571
1539772972608094,331,319,571
1539772972616624,332,359,579
1539772972625503,333,359,596
1539772972634171,334,346,564
1539772972642759,335,362,583
1539772972651515,336,359,588
1539772972660218,337,317,561
1539772972668756,338,355,581
1539772972677471,339,370,598
1539772972686263,340,318,570
1539772972694796,341,351,585
1539772972703465,342,368,590
1539772972712247,343,308,558
1539772972720716,344,358,588
1539772972729372,345,365,600
1539772972738130,346,337,561
1539772972746635,347,338,587
1539772972755210,348,372,584
1539772972764009,349,314,556
1539772972772515,350,347,585
1539772972781078,351,375,581
1539772972789874,352,308,571
1539772972798343,353,336,588
1539772972807073,354,388,597
1539772972816071,355,306,554
1539772972824475,356,329,582
1539772972832971,357,367,591
1539772972841820,358,297,563
1539772972850218,359,315,570
1539772972858727,360,371,586
1539772972867558,361,321,576
1539772972876059,362,330,572
1539772972884585,363,367,584
1539772972893368,364,344,589
1539772972901933,365,334,571
1539772972910475,366,356,579
1539772972919200,367,346,578
1539772972927800,368,328,561
1539772972936298,369,357,574
1539772972945152,370,362,587
1539772972953798,371,307,594
1539772972962333,372,356,580
1539772972970997,373,372,588
1539772972979703,374,312,562
1539772972988148,375,353,579
1539772972996781,376,362,585
1539772973005520,377,316,576
1539772973013990,378,384,588
1539772973022629,379,370,586
1539772973031362,380,318,568
1539772973039831,381,345,581
1539772973048392,382,374,595
1539772973057367,383,312,591
1539772973066611,384,402,702
1539772973076438,385,385,596
1539772973085242,386,306,556
1539772973093712,387,332,602
1539772973102267,388,375,589
1539772973111083,389,308,549
1539772973119506,390,333,586
1539772973128016,391,369,591
1539772973136860,392,297,550
1539772973145247,393,322,579
1539772973153741,394,377,601
1539772973162591,395,322,575
1539772973171089,396,323,577
1539772973179581,397,364,592
1539772973188362,398,343,571
1539772973196889,399,321,569
1539772973205427,400,358,598
1539772973214153,401,362,575
1539772973222769,402,323,566
1539772973231246,403,360,582
1539772973239952,404,359,584
1539772973248577,405,316,560
