timestamp_us,collection,mark_time_us,sweep_time_us
1539721073795007,0,119,312
1539721073801131,1,63,106
1539721073806480,2,70,104
1539721073811906,3,60,93
1539721073817160,4,60,92
1539721073822528,5,60,90
1539721073827575,6,58,85
1539721073832583,7,58,85
1539721073837600,8,59,90
1539721073842626,9,58,86
1539721073847709,10,58,94
1539721073852724,11,58,84
1539721073857722,12,56,83
1539721073862734,13,57,85
1539721073867751,14,57,87
1539721073872964,15,59,83
1539721073877992,16,57,83
1539721073883063,17,57,84
1539721073888069,18,58,83
1539721073893077,19,58,85
1539721073898102,20,57,90
1539721073903120,21,57,86
1539721073908185,22,57,85
1539721073913190,23,58,81
1539721073918207,24,61,91
1539721073923279,25,58,83
1539721073928289,26,58,86
1539721073933357,27,57,81
1539721073938369,28,58,91
1539721073943437,29,58,83
1539721073948451,30,57,90
1539721073953513,31,58,83
1539721073958547,32,59,89
1539721073963598,33,57,85
1539721073968600,34,57,83
1539721073973613,35,57,85
1539721073978622,36,58,84
1539721073983703,37,58,87
1539721073988797,38,59,88
1539721073993858,39,60,84
1539721073999033,40,65,101
1539721074004516,41,58,91
1539721074009686,42,57,88
1539721074014905,43,65,93
1539721074020020,44,58,89
1539721074025100,45,57,83
1539721074030160,46,57,93
1539721074035358,47,57,101
1539721074040648,48,59,109
1539721074045785,49,61,95
1539721074050886,50,66,108
1539721074055982,51,59,90
1539721074060980,52,58,89
1539721074066067,53,58,87
1539721074071084,54,57,85
1539721074076040,55,58,86
1539721074081143,56,58,91
1539721074086137,57,59,94
1539721074091395,58,58,88
1539721074096371,59,59,86
1539721074101340,60,58,87
1539721074106385,61,59,88
1539721074111373,62,58,86
1539721074116415,63,56,91
1539721074121592,64,64,100
1539721074126960,65,65,98
1539721074132352,66,58,84
1539721074137561,67,59,92
1539721074142992,68,58,88
1539721074148227,69,59,85
1539721074153410,70,57,87
1539721074158563,71,57,85
1539721074163763,72,59,87
1539721074169013,73,58,86
1539721074174206,74,61,87
1539721074179465,75,60,85
1539721074184689,76,57,84
1539721074189845,77,57,82
1539721074195076,78,57,87
1539721074200233,79,58,84
1539721074205490,80,58,90
1539721074210648,81,57,84
1539721074215826,82,57,87
1539721074221016,83,56,84
1539721074226241,84,57,86
1539721074231464,85,57,84
1539721074236718,86,64,92
1539721074241969,87,56,86
1539721074247199,88,58,87
1539721074252401,89,60,89
1539721074257659,90,58,90
1539721074262902,91,57,85
1539721074268141,92,59,86
1539721074273347,93,58,86
1539721074278577,94,57,87
1539721074283784,95,58,86
1539721074289065,96,57,84
1539721074294250,97,58,87
1539721074299467,98,57,85
1539721074304624,99,58,84
1539721074309853,100,57,90
1539721074315092,101,57,84
1539721074320313,102,59,94
1539721074325503,103,57,83
1539721074330676,104,57,87
1539721074335845,105,58,90
1539721074341056,106,57,84
1539721074346256,107,58,84
1539721074351436,108,59,85
1539721074356657,109,59,87
1539721074361908,110,57,86
1539721074367120,111,57,88
1539721074372524,112,65,94
1539721074377808,113,58,87
1539721074383058,114,58,88
1539721074388300,115,57,85
1539721074393493,116,57,82
1539721074398711,117,57,86
1539721074403908,118,60,87
1539721074409102,119,59,85
1539721074414337,120,57,91
1539721074419551,121,58,85
1539721074424726,122,58,87
1539721074429965,123,58,82
1539721074435311,124,57,96
1539721074440523,125,59,83
1539721074445729,126,57,82
1539721074450952,127,57,84
1539721074456167,128,57,86
1539721074461596,129,59,86
1539721074466793,130,57,87
1539721074472032,131,58,89
1539721074477314,132,58,87
1539721074482538,133,57,84
1539721074487748,134,57,85
1539721074492910,135,57,82
1539721074498124,136,57,89
1539721074503377,137,58,85
1539721074508567,138,58,88
1539721074513791,139,59,84
1539721074519028,140,57,93
1539721074524271,141,59,86
1539721074529564,142,58,84
1539721074534786,143,57,92
1539721074539949,144,57,87
1539721074545141,145,58,87
1539721074550390,146,59,88
1539721074555656,147,59,85
1539721074560888,148,58,86
1539721074566108,149,59,87
1539721074571358,150,57,89
1539721074576544,151,58,87
1539721074581753,152,58,86
1539721074587035,153,58,87
1539721074592249,154,56,85
1539721074597504,155,58,84
1539721074602696,156,58,89
1539721074607953,157,57,84
1539721074613178,158,58,88
1539721074618441,159,58,84
1539721074623850,160,58,93
1539721074629097,161,58,87
1539721074634304,162,59,88
1539721074639536,163,59,88
1539721074644785,164,57,82
1539721074650001,165,57,84
1539721074655192,166,58,87
1539721074660415,167,57,94
1539721074665591,168,58,87
1539721074670795,169,58,88
1539721074676129,170,58,90
1539721074681448,171,58,86
1539721074686759,172,59,108
1539721074692049,173,58,86
1539721074697340,174,57,84
1539721074702643,175,58,88
1539721074707919,176,58,84
1539721074713146,177,57,86
1539721074718437,178,58,86
1539721074723769,179,60,89
1539721074729064,180,57,88
1539721074734309,181,58,88
1539721074739641,182,60,90
1539721074744975,183,57,86
1539721074750273,184,59,86
1539721074755571,185,58,88
1539721074760885,186,58,86
1539721074766217,187,59,86
1539721074771670,188,58,87
1539721074776967,189,58,83
1539721074782491,190,57,92
1539721074787807,191,58,85
1539721074793079,192,57,87
1539721074798311,193,58,82
1539721074803649,194,58,90
1539721074808932,195,58,83
1539721074814181,196,64,85
1539721074819488,197,58,85
1539721074824781,198,57,83
1539721074830009,199,59,84
1539721074835309,200,57,93
1539721074840568,201,58,87
1539721074845878,202,57,84
1539721074851194,203,58,87
1539721074856467,204,58,86
1539721074861816,205,58,84
1539721074867053,206,58,87
1539721074872390,207,64,94
1539721074877829,208,59,87
1539721074883124,209,58,87
1539721074888417,210,56,92
1539721074893680,211,56,83
1539721074898990,212,57,87
1539721074904218,213,57,83
1539721074909550,214,58,83
1539721074914792,215,58,83
1539721074920075,216,57,86
1539721074925421,217,58,88
1539721074930679,218,58,85
1539721074936012,219,59,88
1539721074941332,220,57,89
1539721074946564,221,57,86
1539721074951842,222,58,87
1539721074957125,223,57,83
1539721074962399,224,59,88
1539721074967680,225,57,82
1539721074972966,226,59,89
1539721074978309,227,57,85
1539721074983591,228,59,90
1539721074988869,229,59,85
1539721074994150,230,58,101
1539721074999630,231,64,93
1539721075005580,232,65,104
1539721075011451,233,65,99
1539721075017356,234,57,91
1539721075023152,235,66,117
1539721075028996,236,58,93
1539721075034707,237,65,111
1539721075040503,238,60,111
1539721075045860,239,60,90
1539721075051206,240,58,95
1539721075056453,241,57,86
1539721075061698,242,59,90
1539721075066896,243,56,84
1539721075072049,244,57,88
1539721075077288,245,58,84
1539721075082525,246,59,89
1539721075087729,247,57,86
1539721075092970,248,59,86
1539721075098277,249,66,97
1539721075103625,250,58,90
1539721075108870,251,58,86
1539721075114126,252,58,89
1539721075119324,253,58,83
1539721075124681,254,58,91
1539721075129860,255,57,82
1539721075135102,256,62,96
1539721075140300,257,57,85
1539721075145559,258,58,87
1539721075150801,259,60,84
1539721075155987,260,56,91
1539721075161200,261,58,85
1539721075166439,262,57,88
1539721075171721,263,57,85
1539721075176956,264,58,89
1539721075182135,265,58,87
1539721075187335,266,59,89
1539721075192591,267,57,83
1539721075197805,268,58,87
1539721075202960,269,57,84
1539721075208204,270,59,92
1539721075213462,271,58,84
1539721075218689,272,58,90
1539721075223951,273,58,85
1539721075229168,274,58,89
1539721075234437,275,57,91
1539721075239598,276,57,88
1539721075244808,277,57,83
1539721075250028,278,58,87
1539721075255296,279,60,86
1539721075260527,280,58,92
1539721075265740,281,57,83
1539721075270923,282,57,87
1539721075276164,283,58,87
1539721075281407,284,58,86
1539721075286584,285,57,85
1539721075291794,286,58,87
1539721075297041,287,60,86
1539721075302247,288,57,85
1539721075307491,289,59,88
1539721075312668,290,58,89
1539721075317901,291,59,85
1539721075323175,292,57,86
1539721075328323,293,57,84
1539721075333528,294,58,88
1539721075338775,295,59,88
1539721075344034,296,57,87
1539721075349250,297,58,85
1539721075354505,298,58,88
1539721075359768,299,59,86
1539721075364987,300,57,86
1539721075370209,301,60,90
1539721075375649,302,57,92
1539721075380897,303,58,89
1539721075386135,304,58,98
1539721075391305,305,58,83
1539721075396508,306,57,83
1539721075401709,307,59,88
1539721075406939,308,59,87
1539721075412220,309,59,88
1539721075417511,310,65,100
1539721075422801,311,58,89
1539721075428031,312,58,83
1539721075433241,313,58,86
1539721075438487,314,59,92
1539721075443719,315,57,83
1539721075448935,316,58,90
1539721075454179,317,61,85
1539721075459403,318,60,89
1539721075464650,319,57,84
1539721075469946,320,60,88
1539721075475194,321,56,84
1539721075480524,322,58,87
1539721075485849,323,58,88
1539721075491171,324,57,86
1539721075496454,325,58,88
1539721075501774,326,57,83
1539721075507034,327,59,86
1539721075512356,328,59,87
1539721075517631,329,60,88
1539721075522990,330,57,90
1539721075528373,331,64,97
1539721075533744,332,59,86
1539721075539151,333,58,92
1539721075544477,334,58,88
1539721075549809,335,57,81
1539721075555040,336,57,89
1539721075560335,337,59,85
1539721075565663,338,59,90
1539721075571204,339,60,93
1539721075576511,340,57,90
1539721075581769,341,57,83
1539721075587120,342,57,90
1539721075592358,343,58,85
1539721075597685,344,57,84
1539721075603028,345,59,86
1539721075608310,346,59,89
1539721075613596,347,58,83
1539721075618919,348,59,89
1539721075624318,349,66,93
1539721075629735,350,57,87
1539721075635005,351,58,88
1539721075640309,352,57,88
1539721075645573,353,60,86
1539721075650853,354,56,84
1539721075656166,355,59,88
1539721075661481,356,59,86
1539721075666804,357,57,88
1539721075672272,358,65,94
1539721075677610,359,59,87
1539721075682902,360,58,88
1539721075688255,361,58,91
1539721075693518,362,58,87
1539721075698871,363,58,86
1539721075704208,364,58,84
1539721075709445,365,57,85
1539721075714712,366,59,90
1539721075720017,367,57,84
1539721075725350,368,60,87
1539721075730693,369,59,87
1539721075735973,370,57,93
1539721075741376,371,59,85
1539721075746713,372,58,89
1539721075752027,373,59,86
1539721075757300,374,57,84
1539721075762591,375,59,88
1539721075767883,376,59,85
1539721075773231,377,58,86
1539721075778473,378,57,88
1539721075783770,379,60,86
1539721075789109,380,59,88
1539721075794386,381,57,85
1539721075799666,382,59,86
1539721075804979,383,59,84
1539721075810309,384,57,87
1539721075815617,385,58,86
1539721075820952,386,58,86
1539721075826182,387,61,84
1539721075831474,388,59,89
1539721075836794,389,60,91
1539721075842165,390,57,98
1539721075847467,391,59,86
1539721075852841,392,58,88
1539721075858079,393,58,84
1539721075863378,394,57,87
1539721075868695,395,59,82
1539721075873953,396,57,83
1539721075879464,397,57,84
1539721075884756,398,57,83
1539721075890051,399,60,88
1539721075895374,400,57,88
1539721075900598,401,58,85
1539721075905965,402,57,85
1539721075911238,403,57,87
1539721075916545,404,56,86
1539721075921866,405,59,83
1539721075927180,406,58,87
1539721075932531,407,58,86
1539721075937841,408,58,95
1539721075943115,409,58,84
1539721075948406,410,58,93
