timestamp_us,collection,mark_time_us,sweep_time_us
1539726330112416,0,1325,61
1539726330115561,1,1846,1268
1539726330152156,2,2293,1255
1539726330173411,3,1196,1374
1539726330227053,4,4734,3984
1539726330266241,5,1543,3390
1539726330292174,6,3300,3454
1539726330331409,7,2303,3316
1539726330359307,8,2274,3378
1539726330381601,9,1425,3336
1539726330420635,10,2861,3406
1539726330455401,11,4590,2759
1539726330493426,12,1343,3361
1539726330519033,13,1815,3488
1539726330556882,14,2176,3335
1539726330584594,15,2217,3367
1539726330616790,16,2681,3346
1539726330644326,17,2346,3365
1539726330671416,18,2012,3321
1539726330706107,19,3331,3436
1539726330734754,20,2897,3339
1539726330773550,21,1144,3284
1539726330797347,22,4740,2681
1539726330835179,23,1334,3382
1539726330860948,24,1262,3400
1539726330898127,25,2249,3333
1539726330912619,26,4682,2697
1539726330933583,27,2037,3348
1539726330976816,28,1714,3463
1539726331015856,29,2323,3420
1539726331043230,30,1938,3418
1539726331071524,31,1681,3308
1539726331097016,32,1573,3385
1539726331124290,33,1325,3353
1539726331149469,34,1727,3444
1539726331177632,35,1135,3305
1539726331201404,36,4635,2718
1539726331226320,37,2485,3363
1539726331265129,38,1431,3492
1539726331307677,39,3071,3362
1539726331326415,40,1615,3400
1539726331363727,41,2727,3304
1539726331391509,42,2408,3401
1539726331418657,43,2057,3336
1539726331434598,44,4816,2683
1539726331473126,45,1380,3319
1539726331493749,46,4622,2687
1539726331526998,47,1110,3344
1539726331561857,48,1895,3470
1539726331585970,49,1150,3334
1539726331628252,50,3291,3399
1539726331648497,51,1634,3355
1539726331674089,52,1335,3412
1539726331710890,53,2517,3326
1539726331732436,54,1464,3350
1539726331775749,55,4650,2735
1539726331811401,56,1204,3376
1539726331847722,57,2146,3449
1539726331886472,58,4743,2723
1539726331926840,59,1514,3379
1539726331953440,60,1684,3498
1539726331997349,61,4722,2773
1539726332022746,62,2653,3358
1539726332052636,63,2753,3388
1539726332080164,64,2853,3447
1539726332107794,65,2115,3276
1539726332133295,66,1824,3424
1539726332170999,67,3012,3360
1539726332188553,68,1784,3362
1539726332225932,69,2475,3295
1539726332253779,70,2244,3501
1539726332280600,71,1741,3339
1539726332306087,72,1978,3475
1539726332343147,73,2638,3334
1539726332359735,74,1764,3425
1539726332396834,75,2017,3312
1539726332421028,76,2087,3403
1539726332445084,77,1108,3343
1539726332469435,78,4658,2739
1539726332507854,79,1315,3387
1539726332533521,80,1495,3489
1539726332561297,81,1144,3301
1539726332595435,82,1926,3418
1539726332623461,83,1698,3361
1539726332648960,84,1539,3392
1539726332676138,85,1322,3303
1539726332701193,86,1451,3475
1539726332737940,87,2039,3384
1539726332763355,88,1776,3439
1539726332805278,89,4610,2728
1539726332843331,90,1345,3378
1539726332869217,91,1282,3404
1539726332915200,92,4608,2758
1539726332953145,93,1316,3358
1539726332979128,94,1306,3411
1539726333022750,95,3164,3372
1539726333052289,96,2834,3293
1539726333081536,97,2812,3320
1539726333109125,98,2446,3394
1539726333146637,99,4667,2712
1539726333171640,100,2862,3403
1539726333200728,101,2553,3364
1539726333222866,102,1676,3349
1539726333259163,103,2715,3368
1539726333286284,104,2409,3349
1539726333309533,105,1539,3342
1539726333335053,106,1832,3443
1539726333353444,107,3465,3396
1539726333387390,108,4723,2753
1539726333425415,109,1345,3357
1539726333445986,110,4686,2730
1539726333479230,111,1036,3341
1539726333514053,112,2042,3469
1539726333556560,113,4551,2773
1539726333581439,114,3273,3465
1539726333611167,115,2577,3367
1539726333632002,116,1548,3345
1539726333658366,117,1264,3282
1539726333694390,118,2313,3339
1539726333721208,119,1974,3363
1539726333756024,120,3118,3484
1539726333783654,121,2698,3277
1539726333800261,122,1406,3421
1539726333841944,123,2954,3351
1539726333859189,124,1907,3426
1539726333887871,125,1135,3320
1539726333927598,126,3102,3415
1539726333957024,127,2711,3369
1539726333973783,128,1456,3515
1539726334001774,129,1225,3286
1539726334025745,130,4527,2675
1539726334050047,131,2400,3385
1539726334090914,132,1606,3567
1539726334133079,133,2926,3379
1539726334154855,134,2057,3405
1539726334190876,135,2682,3314
1539726334218358,136,2381,3405
1539726334245251,137,2046,3346
1539726334270508,138,1754,3352
1539726334312303,139,4589,2738
1539726334350611,140,1304,3391
1539726334376366,141,1585,3503
1539726334418349,142,3165,3332
1539726334446569,143,3090,3386
1539726334465840,144,1302,3296
1539726334491145,145,1269,3392
1539726334532408,146,2915,3376
1539726334559596,147,2403,3370
1539726334587277,148,2169,3285
1539726334602391,149,4573,2652
1539726334627304,150,2553,3346
1539726334656180,151,2694,3338
1539726334683658,152,2996,3372
1539726334711258,153,2027,3296
1539726334736521,154,1541,3352
1539726334778093,155,4709,2738
1539726334803440,156,2572,3379
1539726334838668,157,4673,2752
1539726334863818,158,2626,3333
1539726334903016,159,1624,3482
1539726334940162,160,2091,3364
1539726334961262,161,1391,3441
1539726334998714,162,2262,3377
1539726335014060,163,4884,2729
1539726335040287,164,3051,3357
1539726335069741,165,2692,3357
1539726335097121,166,2211,3297
1539726335123714,167,2102,3316
1539726335149156,168,1996,3437
1539726335177546,169,1626,3365
1539726335202978,170,1395,3403
1539726335238451,171,2277,3331
1539726335266355,172,2112,3353
1539726335304462,173,4623,2739
1539726335329384,174,3090,3435
1539726335358787,175,2628,3370
