timestamp_us,collection,mark_time_us,sweep_time_us
1539720668346540,0,68,443
1539720668352113,1,17,99
1539720668355429,2,13,91
1539720668358691,3,12,104
1539720668361954,4,12,117
1539720668365294,5,13,92
1539720668368620,6,12,94
1539720668371923,7,12,91
1539720668375216,8,12,93
1539720668378413,9,10,90
1539720668381661,10,10,94
1539720668384868,11,10,91
1539720668388069,12,10,88
1539720668391246,13,10,87
1539720668394435,14,10,97
1539720668397610,15,10,87
1539720668400760,16,10,87
1539720668403913,17,9,89
1539720668407096,18,10,94
1539720668410280,19,9,89
1539720668413474,20,9,89
1539720668416610,21,10,89
1539720668419761,22,10,91
1539720668422925,23,9,90
1539720668426132,24,10,109
1539720668429404,25,9,89
1539720668432582,26,9,88
1539720668435788,27,11,90
1539720668438980,28,9,89
1539720668442162,29,10,91
1539720668445338,30,10,92
1539720668448519,31,10,91
1539720668451685,32,10,90
1539720668454846,33,9,89
1539720668458019,34,9,87
1539720668461178,35,9,89
1539720668464352,36,9,89
1539720668467530,37,10,91
1539720668470722,38,10,90
1539720668473888,39,9,87
1539720668477073,40,9,92
1539720668480258,41,9,93
1539720668483425,42,9,89
1539720668486586,43,9,88
1539720668489744,44,9,88
1539720668492925,45,9,90
1539720668496099,46,9,89
1539720668499291,47,9,89
1539720668502489,48,9,90
1539720668505657,49,9,87
1539720668508825,50,9,90
1539720668511997,51,10,88
1539720668515188,52,9,91
1539720668518361,53,10,88
1539720668521536,54,9,89
1539720668524701,55,9,88
1539720668527880,56,9,93
1539720668531068,57,9,89
1539720668534249,58,9,90
1539720668537418,59,9,87
1539720668540603,60,9,92
1539720668543782,61,9,89
1539720668546946,62,9,87
1539720668550123,63,9,87
1539720668553299,64,8,89
1539720668556484,65,10,88
1539720668559681,66,8,90
1539720668562864,67,9,92
1539720668566027,68,9,87
1539720668569205,69,9,88
1539720668572411,70,10,92
1539720668575601,71,10,90
1539720668578792,72,9,89
1539720668581963,73,9,87
1539720668585144,74,9,88
1539720668588326,75,9,89
1539720668591496,76,9,89
1539720668594840,77,10,116
1539720668598046,78,10,88
1539720668601253,79,9,91
1539720668604466,80,10,90
1539720668607673,81,10,90
1539720668610872,82,10,94
1539720668614068,83,9,88
1539720668617249,84,9,88
1539720668620515,85,9,91
1539720668623701,86,10,88
1539720668626909,87,10,89
1539720668630107,88,9,88
1539720668633310,89,9,90
1539720668636516,90,10,90
1539720668639720,91,10,92
1539720668642925,92,9,90
1539720668646117,93,9,88
1539720668649303,94,9,88
1539720668652502,95,9,89
1539720668655687,96,9,91
1539720668658873,97,9,89
1539720668662052,98,9,86
1539720668665245,99,9,89
1539720668668434,100,10,90
1539720668671632,101,10,89
1539720668674850,102,9,91
1539720668678049,103,9,88
1539720668681238,104,9,88
1539720668684418,105,10,88
1539720668687593,106,9,90
1539720668690778,107,10,89
1539720668693978,108,9,87
1539720668697162,109,10,88
1539720668700384,110,9,94
1539720668703579,111,9,89
1539720668706764,112,10,89
1539720668709959,113,8,88
1539720668713169,114,9,88
1539720668716366,115,10,99
1539720668719703,116,9,91
1539720668722893,117,10,89
1539720668726099,118,9,89
1539720668729422,119,10,120
1539720668732676,120,11,94
1539720668735894,121,10,90
1539720668739105,122,9,92
1539720668742306,123,9,88
1539720668745492,124,9,88
1539720668748695,125,10,99
1539720668752029,126,10,96
1539720668755223,127,10,89
1539720668758434,128,9,90
1539720668761652,129,9,88
1539720668764975,130,10,94
1539720668768200,131,10,88
1539720668771422,132,9,92
1539720668774628,133,9,89
1539720668777824,134,8,89
1539720668781028,135,9,89
1539720668784217,136,9,90
1539720668787415,137,9,90
1539720668790612,138,9,88
1539720668793813,139,8,87
1539720668797031,140,10,92
1539720668800215,141,9,87
1539720668803392,142,9,88
1539720668806581,143,9,91
1539720668809763,144,8,88
1539720668812952,145,9,88
1539720668816137,146,8,88
1539720668819327,147,9,93
1539720668822504,148,9,88
1539720668825673,149,8,86
1539720668828874,150,9,91
1539720668832061,151,9,91
1539720668835232,152,9,88
1539720668838391,153,9,88
1539720668841568,154,9,86
1539720668844862,155,10,100
1539720668848065,156,9,90
1539720668851262,157,9,90
1539720668854466,158,9,92
1539720668857666,159,10,88
1539720668860897,160,10,94
1539720668864117,161,9,93
1539720668867323,162,9,90
1539720668870489,163,9,89
1539720668873661,164,9,87
1539720668876851,165,9,89
1539720668880018,166,9,89
1539720668883195,167,9,88
1539720668886385,168,9,91
1539720668889573,169,9,88
