timestamp_us,collection,mark_time_us,sweep_time_us
1539720755100850,0,54,329
1539720755102791,1,27,167
1539720755104542,2,23,161
1539720755106290,3,20,163
1539720755108027,4,22,162
1539720755109760,5,19,159
1539720755111477,6,12,92
1539720755112409,7,13,93
1539720755113345,8,11,89
1539720755114277,9,11,92
1539720755115258,10,12,100
1539720755116202,11,11,91
1539720755117142,12,11,91
1539720755118075,13,11,92
1539720755119025,14,11,93
1539720755119960,15,11,89
1539720755120893,16,10,90
1539720755121828,17,10,92
1539720755122775,18,10,93
1539720755123713,19,11,91
1539720755124666,20,11,93
1539720755125605,21,11,91
1539720755126545,22,11,92
1539720755127485,23,11,89
1539720755128419,24,10,90
1539720755129357,25,11,89
1539720755130300,26,11,93
1539720755131240,27,10,90
1539720755132170,28,11,90
1539720755133106,29,9,92
1539720755134048,30,11,94
1539720755134996,31,10,91
1539720755135931,32,12,91
1539720755136869,33,10,90
1539720755137802,34,10,92
1539720755138749,35,10,91
1539720755139685,36,11,90
1539720755140621,37,10,91
1539720755141559,38,10,90
1539720755142499,39,10,92
1539720755143448,40,10,95
1539720755144386,41,10,90
1539720755145325,42,10,90
1539720755146264,43,12,92
1539720755147204,44,11,90
1539720755148137,45,11,90
1539720755149074,46,10,91
1539720755150009,47,11,89
1539720755150952,48,10,91
1539720755151891,49,10,90
1539720755152837,50,11,95
1539720755153780,51,10,91
1539720755154721,52,10,92
1539720755155660,53,11,89
1539720755156596,54,11,91
1539720755157537,55,10,91
1539720755158473,56,10,92
1539720755159412,57,10,91
1539720755160344,58,11,90
1539720755161282,59,9,89
1539720755162219,60,20,97
1539720755163171,61,10,90
1539720755164103,62,10,91
1539720755165039,63,10,90
1539720755165976,64,10,89
1539720755166913,65,10,92
1539720755167850,66,11,89
1539720755168784,67,10,90
1539720755169723,68,10,91
1539720755170661,69,10,93
1539720755171610,70,10,91
1539720755172544,71,9,90
1539720755173481,72,10,89
1539720755174422,73,11,94
1539720755175363,74,10,92
1539720755176297,75,10,89
1539720755177231,76,10,90
1539720755178164,77,10,98
1539720755179107,78,10,89
1539720755180041,79,10,89
1539720755180981,80,11,93
1539720755181920,81,11,89
1539720755182865,82,10,92
1539720755183802,83,9,89
1539720755184735,84,10,90
1539720755185671,85,10,91
1539720755186612,86,10,92
1539720755187550,87,10,89
1539720755188483,88,12,88
1539720755189418,89,11,90
1539720755190364,90,11,95
1539720755191304,91,10,90
1539720755192235,92,11,91
1539720755193173,93,9,90
1539720755194106,94,11,88
1539720755195049,95,10,93
1539720755195988,96,10,90
1539720755196925,97,10,91
1539720755197863,98,11,91
1539720755198804,99,10,91
1539720755199751,100,11,93
1539720755200689,101,11,91
1539720755201629,102,11,90
1539720755202567,103,10,91
1539720755203505,104,10,90
1539720755204439,105,10,89
1539720755205375,106,10,91
1539720755206314,107,11,94
1539720755207256,108,10,90
1539720755208188,109,11,89
1539720755209130,110,11,95
1539720755210072,111,10,90
1539720755211013,112,11,91
1539720755211949,113,11,89
1539720755212884,114,9,90
1539720755213820,115,9,91
1539720755214759,116,11,91
1539720755215749,117,12,108
1539720755216775,118,11,97
1539720755217722,119,10,89
1539720755218676,120,10,98
1539720755219621,121,10,91
1539720755220554,122,11,90
1539720755221496,123,10,91
1539720755222440,124,11,92
1539720755223385,125,10,90
1539720755224321,126,11,90
1539720755225257,127,10,90
1539720755226192,128,10,95
1539720755227133,129,9,91
1539720755228077,130,11,94
1539720755229016,131,12,91
1539720755229957,132,9,90
1539720755230900,133,10,91
1539720755231837,134,11,91
1539720755232773,135,11,89
1539720755233710,136,11,89
1539720755234647,137,11,92
1539720755235585,138,10,90
1539720755236516,139,10,91
1539720755237463,140,10,92
1539720755238410,141,10,96
1539720755239351,142,10,90
1539720755240287,143,11,90
1539720755241224,144,10,92
1539720755242162,145,9,95
1539720755243101,146,10,90
1539720755244036,147,10,90
1539720755244970,148,12,90
1539720755245910,149,10,90
1539720755246860,150,11,95
1539720755247801,151,11,90
1539720755248734,152,10,90
1539720755249669,153,9,90
1539720755250609,154,11,94
1539720755251551,155,10,90
1539720755252486,156,10,90
1539720755253420,157,11,90
1539720755254358,158,10,92
1539720755255294,159,10,91
1539720755256251,160,12,94
1539720755257192,161,10,89
1539720755258126,162,11,101
1539720755259075,163,11,90
1539720755260014,164,10,91
1539720755260948,165,10,90
1539720755261884,166,10,90
1539720755262821,167,10,90
1539720755263759,168,9,90
1539720755264689,169,12,90
1539720755265635,170,11,93
1539720755266574,171,11,93
1539720755267515,172,10,90
1539720755268451,173,11,88
1539720755269387,174,10,89
1539720755270332,175,11,93
1539720755271274,176,10,91
1539720755272210,177,10,88
1539720755273145,178,11,90
1539720755274086,179,11,91
1539720755275035,180,11,92
1539720755275975,181,11,88
1539720755276907,182,11,90
1539720755277846,183,10,90
1539720755278782,184,12,91
1539720755279720,185,11,89
1539720755280652,186,10,91
1539720755281590,187,10,89
1539720755282532,188,11,93
1539720755283471,189,11,88
1539720755284414,190,11,94
1539720755285355,191,10,90
1539720755286295,192,10,91
1539720755287231,193,10,91
1539720755288170,194,10,89
1539720755289104,195,11,90
1539720755290043,196,11,90
1539720755290982,197,10,91
1539720755291921,198,10,89
1539720755292854,199,10,90
1539720755293797,200,10,93
1539720755294740,201,10,91
1539720755295677,202,10,90
1539720755296610,203,11,90
1539720755297548,204,9,89
1539720755298487,205,11,92
1539720755299426,206,9,91
1539720755300362,207,11,88
1539720755301295,208,10,90
1539720755302240,209,11,91
1539720755303186,210,11,92
1539720755304125,211,10,91
1539720755305061,212,10,90
1539720755305999,213,11,89
1539720755306935,214,11,92
1539720755307874,215,10,89
1539720755308804,216,11,90
1539720755309741,217,10,89
1539720755310676,218,10,89
1539720755311609,219,10,90
1539720755312553,220,11,92
1539720755313490,221,10,90
1539720755314434,222,11,94
1539720755315375,223,10,90
1539720755316310,224,12,88
1539720755317246,225,10,91
1539720755318184,226,10,96
1539720755319125,227,10,89
1539720755320060,228,10,90
1539720755320995,229,11,90
1539720755321940,230,11,93
1539720755322880,231,12,94
1539720755323822,232,10,90
1539720755324753,233,10,89
1539720755325688,234,10,90
1539720755326632,235,12,93
1539720755327569,236,11,89
1539720755328506,237,10,90
1539720755329442,238,10,90
1539720755330380,239,10,90
1539720755331323,240,10,94
1539720755332264,241,10,89
1539720755333200,242,11,89
1539720755334137,243,11,102
1539720755335084,244,11,90
1539720755336022,245,10,88
1539720755336952,246,10,91
1539720755337888,247,11,88
1539720755338822,248,10,90
1539720755339757,249,9,90
1539720755340700,250,11,91
1539720755341637,251,10,91
1539720755342611,252,20,148
1539720755343703,253,21,157
1539720755344779,254,16,92
1539720755345697,255,10,90
1539720755346623,256,11,92
1539720755347544,257,10,91
1539720755348461,258,10,90
1539720755349385,259,12,91
1539720755350345,260,12,98
1539720755351298,261,11,94
1539720755352246,262,10,92
1539720755353185,263,12,91
1539720755354128,264,10,97
1539720755355074,265,11,92
1539720755356018,266,10,92
1539720755356956,267,10,93
1539720755357892,268,10,92
1539720755358827,269,11,93
1539720755359771,270,10,96
1539720755360699,271,11,92
1539720755361621,272,10,90
1539720755362543,273,10,92
1539720755363461,274,10,90
1539720755364371,275,10,90
1539720755365283,276,11,89
1539720755366195,277,10,94
1539720755367110,278,11,93
1539720755368025,279,10,90
1539720755368940,280,10,94
1539720755369858,281,10,91
1539720755370776,282,13,92
1539720755371694,283,10,89
1539720755372608,284,11,105
1539720755373626,285,13,122
1539720755374589,286,11,91
1539720755375503,287,10,91
1539720755376422,288,10,89
1539720755377340,289,11,90
1539720755378281,290,12,98
1539720755379225,291,11,93
1539720755380171,292,10,92
1539720755381122,293,11,94
1539720755382071,294,11,94
1539720755383031,295,10,94
1539720755383977,296,11,92
1539720755384922,297,12,92
1539720755385871,298,10,93
1539720755386817,299,11,95
1539720755387768,300,11,97
1539720755388709,301,11,90
1539720755389643,302,10,91
1539720755390576,303,11,92
1539720755391505,304,10,93
1539720755392432,305,10,91
1539720755393355,306,11,90
1539720755394285,307,11,91
1539720755395205,308,10,92
1539720755396123,309,10,89
1539720755397061,310,12,96
1539720755397979,311,10,90
1539720755398892,312,11,90
1539720755399804,313,9,91
1539720755400712,314,10,90
1539720755401630,315,10,91
1539720755402548,316,10,92
1539720755403470,317,10,90
1539720755404386,318,10,89
1539720755405302,319,9,92
1539720755406236,320,11,95
1539720755407159,321,10,91
1539720755408075,322,10,90
1539720755408991,323,11,90
1539720755409909,324,10,89
1539720755410823,325,11,93
1539720755411735,326,10,90
1539720755412642,327,10,90
1539720755413553,328,10,91
1539720755414472,329,12,93
1539720755415402,330,11,94
1539720755416323,331,10,92
1539720755417241,332,10,91
1539720755418156,333,10,100
1539720755419084,334,10,91
1539720755420001,335,11,90
1539720755420918,336,12,89
1539720755421834,337,11,91
1539720755422755,338,10,92
1539720755423674,339,10,91
1539720755424599,340,10,95
1539720755425517,341,10,91
1539720755426433,342,10,91
1539720755427352,343,10,90
1539720755428267,344,11,89
1539720755429180,345,10,88
1539720755430088,346,11,90
1539720755431013,347,9,91
1539720755431928,348,12,88
1539720755432845,349,10,91
1539720755433769,350,12,93
1539720755434697,351,11,92
1539720755435615,352,11,92
1539720755436535,353,10,90
1539720755437452,354,10,91
1539720755438373,355,10,93
1539720755439292,356,9,89
1539720755440203,357,11,90
1539720755441119,358,10,91
1539720755442034,359,10,89
1539720755442969,360,11,94
1539720755443894,361,9,91
1539720755444816,362,9,90
1539720755445734,363,11,91
1539720755446663,364,9,93
1539720755447583,365,11,89
1539720755448503,366,10,92
1539720755449420,367,10,90
1539720755450348,368,10,92
