event_type,gc_thread,start_ns,time_ns
sweep,-1,39436266,87
mark,-1,39438999,21032
sweep,-1,39464812,2001
concsweep,1,39499061,8096
concsweep,0,39499270,56364
collection,-1,39438965,251837
sweep,-1,77394066,45
mark,-1,77394416,13742
sweep,-1,77411666,1029
concsweep,1,77446515,7140
concsweep,0,77446303,53785
collection,-1,77394386,232395
sweep,-1,115299692,46
mark,-1,115299919,14449
sweep,-1,115317526,906
concsweep,1,115352598,7255
concsweep,0,115352275,51354
collection,-1,115299894,224611
sweep,-1,153133470,69
mark,-1,153133753,11777
sweep,-1,153148857,893
concsweep,1,153183847,7057
concsweep,0,153183496,45606
collection,-1,153133712,273360
sweep,-1,186869457,74
mark,-1,186869750,16522
sweep,-1,186889190,917
concsweep,1,186924711,7221
concsweep,0,186923264,106157
collection,-1,186869721,343784
