event_type,gc_thread,start_ns,time_ns
sweep,-1,4889366,385
mark,-1,4893139,83439
sweep,-1,4985494,3161
concsweep,1,5013914,16524
concsweep,0,5013479,32010
collection,-1,4893055,188963
sweep,-1,8209392,157
mark,-1,8209932,140268
sweep,-1,8356528,2004
sweep,-1,8380546,8189
concsweep,1,8385441,9698
concsweep,0,8385072,36376
collection,-1,8209845,220944
sweep,-1,11271610,103
mark,-1,11272054,73398
sweep,-1,11351654,1838
concsweep,1,11380224,18519
concsweep,0,11379771,31961
collection,-1,11271991,146860
sweep,-1,13503168,57
mark,-1,13503414,59463
sweep,-1,13566515,1060
sweep,-1,13576960,13366
concsweep,1,13596918,7854
concsweep,0,13597173,14018
collection,-1,13503381,107973
sweep,-1,15275013,63
mark,-1,15275258,41569
sweep,-1,15320217,1052
sweep,-1,15348510,3435
concsweep,1,15349765,12018
concsweep,0,15349968,12235
collection,-1,15275225,98299
sweep,-1,20174476,124
mark,-1,20174956,115034
sweep,-1,20293738,1349
sweep,-1,20321973,4024
concsweep,1,20324571,24792
concsweep,0,20323944,28510
collection,-1,20174911,177706
sweep,-1,23985488,56
mark,-1,23985805,42508
sweep,-1,24032080,1073
sweep,-1,24057238,821
concsweep,1,24064142,23467
concsweep,0,24063670,24457
collection,-1,23985769,102757
sweep,-1,27831886,80
mark,-1,27832150,56830
sweep,-1,27892728,1051
sweep,-1,27898736,884
concsweep,1,27924839,22737
concsweep,0,27923991,29779
collection,-1,27832114,121982
sweep,-1,31795702,73
mark,-1,31795984,38800
sweep,-1,31838733,1071
sweep,-1,31840610,789
concsweep,1,31870485,21891
concsweep,0,31870236,23746
collection,-1,31795950,109609
sweep,-1,35752990,205
mark,-1,35753449,97090
sweep,-1,35854816,1099
sweep,-1,35881969,1213
concsweep,1,35886544,23106
concsweep,0,35884380,28954
collection,-1,35753413,160142
sweep,-1,39397345,88
mark,-1,39397655,45155
sweep,-1,39446967,1093
sweep,-1,39450116,733
concsweep,1,39478706,21538
concsweep,0,39478221,23706
collection,-1,39397618,105122
sweep,-1,43231188,133
mark,-1,43231538,70742
sweep,-1,43306474,1421
sweep,-1,43326035,907
concsweep,1,43338343,24008
concsweep,0,43337846,25219
collection,-1,43231508,135134
sweep,-1,47046672,74
mark,-1,47046931,69816
sweep,-1,47121242,1206
sweep,-1,47128347,882
concsweep,1,47152822,20705
concsweep,0,47152025,25180
collection,-1,47046897,134191
sweep,-1,50915753,150
mark,-1,50916095,45359
sweep,-1,50965516,1186
sweep,-1,50974657,759
concsweep,1,50996338,22355
concsweep,0,50995519,23512
collection,-1,50916058,112656
sweep,-1,54859626,138
mark,-1,54860020,44916
sweep,-1,54908954,1206
sweep,-1,54911156,873
concsweep,0,54937175,64577
collection,-1,54859967,145288
concsweep,1,54937608,20151
sweep,-1,58812347,170
mark,-1,58812773,55815
sweep,-1,58872930,1267
sweep,-1,58875832,804
concsweep,1,58904659,22043
concsweep,0,58904348,23658
collection,-1,58812729,115762
sweep,-1,62751265,191
mark,-1,62751636,58613
sweep,-1,62814656,1159
sweep,-1,62816808,738
concsweep,1,62846409,21675
concsweep,0,62845677,23302
collection,-1,62751595,118239
sweep,-1,66529068,214
mark,-1,66529521,58714
sweep,-1,66592517,1220
sweep,-1,66595039,778
concsweep,1,66623712,22685
concsweep,0,66622954,24836
collection,-1,66529480,118589
sweep,-1,70224267,135
mark,-1,70224707,91194
sweep,-1,70320369,1414
sweep,-1,70322927,3317
concsweep,1,70352182,21615
concsweep,0,70351604,22697
collection,-1,70224660,163958
sweep,-1,74040803,73
mark,-1,74041117,49494
sweep,-1,74094837,1082
sweep,-1,74101311,831
concsweep,1,74126662,22141
concsweep,0,74125940,23443
collection,-1,74041077,110056
sweep,-1,77868416,96
mark,-1,77868682,48606
sweep,-1,77921891,1228
sweep,-1,77924096,835
concsweep,1,77953784,22567
concsweep,0,77953215,23397
collection,-1,77868642,116248
sweep,-1,81767770,144
mark,-1,81768215,63625
sweep,-1,81836161,1266
sweep,-1,81838664,815
concsweep,1,81868292,23404
concsweep,0,81867808,24331
collection,-1,81768175,134389
sweep,-1,85562781,73
mark,-1,85563037,80876
sweep,-1,85648243,1188
sweep,-1,85650848,828
concsweep,1,85680040,23583
concsweep,0,85679656,24291
collection,-1,85562997,145521
sweep,-1,89376955,86
mark,-1,89377224,34086
sweep,-1,89415382,1499
sweep,-1,89418476,771
concsweep,1,89447099,21946
collection,-1,89377188,100252
concsweep,0,89446753,30603
sweep,-1,93316027,64
mark,-1,93316339,67840
sweep,-1,93388811,1181
sweep,-1,93395421,771
concsweep,1,93420463,24305
concsweep,0,93420063,25049
collection,-1,93316241,129221
sweep,-1,97083679,83
mark,-1,97083997,45930
sweep,-1,97134191,1230
sweep,-1,97137200,818
concsweep,1,97165938,22555
concsweep,0,97165297,34629
collection,-1,97083961,116690
sweep,-1,100803264,153
mark,-1,100803675,118595
sweep,-1,100926659,1138
sweep,-1,100929916,909
concsweep,1,100958016,25170
concsweep,0,100957545,25998
collection,-1,100803634,189660
sweep,-1,104572328,111
mark,-1,104572612,41113
sweep,-1,104618023,1286
sweep,-1,104620787,829
concsweep,1,104652005,21782
concsweep,0,104651573,22653
collection,-1,104572573,109591
sweep,-1,108373670,134
mark,-1,108374044,47883
sweep,-1,108426026,1033
sweep,-1,108432678,962
concsweep,1,108458515,21611
concsweep,0,108457800,23428
collection,-1,108374004,119937
sweep,-1,112477729,149
mark,-1,112478246,113131
sweep,-1,112596509,1509
sweep,-1,112599806,1148
concsweep,1,112628412,24314
concsweep,0,112627762,25325
collection,-1,112478200,176513
sweep,-1,116220596,60
mark,-1,116220925,67541
sweep,-1,116292521,1103
sweep,-1,116295185,989
concsweep,1,116324527,22382
concsweep,0,116323769,23535
collection,-1,116220887,136353
sweep,-1,120088244,68
mark,-1,120088498,64420
sweep,-1,120156570,1209
concsweep,1,120187556,20260
concsweep,0,120186782,28359
collection,-1,120088462,127891
sweep,-1,123931099,124
mark,-1,123931513,41555
sweep,-1,123977252,1251
sweep,-1,123986417,817
concsweep,1,124007804,20846
concsweep,0,124007026,23526
collection,-1,123931479,108289
sweep,-1,127718168,67
mark,-1,127718420,60617
sweep,-1,127783397,1201
sweep,-1,127790625,859
concsweep,1,127815219,22719
concsweep,0,127814555,23698
collection,-1,127718384,121169
sweep,-1,131435193,85
mark,-1,131435656,60659
sweep,-1,131500335,1190
sweep,-1,131502839,786
concsweep,1,131532360,22805
concsweep,0,131532365,23264
collection,-1,131435619,129684
sweep,-1,135288095,86
mark,-1,135288354,39008
sweep,-1,135331552,1092
sweep,-1,135334288,772
concsweep,1,135363123,21409
collection,-1,135288321,99544
concsweep,0,135362661,25167
sweep,-1,139100467,76
mark,-1,139100789,41727
sweep,-1,139146695,1319
sweep,-1,139179038,840
concsweep,1,139178490,21650
concsweep,0,139178309,22284
collection,-1,139100754,111041
sweep,-1,143056003,147
mark,-1,143056390,59815
sweep,-1,143120508,1224
sweep,-1,143123010,772
concsweep,1,143152782,20577
concsweep,0,143152374,24223
collection,-1,143056321,122995
sweep,-1,146818099,95
mark,-1,146818373,65438
sweep,-1,146888050,1153
sweep,-1,146891146,875
concsweep,1,146920260,23136
concsweep,0,146919869,24021
collection,-1,146818340,126465
sweep,-1,150710617,87
mark,-1,150710944,60598
sweep,-1,150775696,1294
sweep,-1,150778164,775
concsweep,1,150807519,21655
collection,-1,150710907,121833
concsweep,0,150807272,25386
sweep,-1,154506622,87
mark,-1,154506939,58538
sweep,-1,154569705,1274
concsweep,1,154601619,23910
concsweep,0,154601057,28710
collection,-1,154506909,133071
sweep,-1,158298448,85
mark,-1,158298776,44447
sweep,-1,158347303,1168
sweep,-1,158354267,828
concsweep,1,158379491,22713
concsweep,0,158378763,23954
collection,-1,158298739,104950
sweep,-1,162039030,135
mark,-1,162039419,70422
sweep,-1,162114336,1257
sweep,-1,162116834,791
concsweep,1,162146034,21938
concsweep,0,162145661,22905
collection,-1,162039382,142414
sweep,-1,165794570,145
mark,-1,165794965,61961
sweep,-1,165861262,1164
concsweep,0,165892646,40971
collection,-1,165794927,159548
concsweep,1,165893230,18721
sweep,-1,169691171,92
mark,-1,169691508,113103
sweep,-1,169808796,1197
sweep,-1,169816460,872
concsweep,1,169840751,23876
concsweep,0,169840277,24681
collection,-1,169691471,174754
sweep,-1,173578584,192
mark,-1,173578950,42774
sweep,-1,173626003,1121
sweep,-1,173628347,789
concsweep,1,173658200,20923
concsweep,0,173657567,22860
collection,-1,173578917,102162
sweep,-1,177371246,59
mark,-1,177371756,82301
sweep,-1,177458674,1477
concsweep,1,177490521,21895
concsweep,0,177490112,24600
collection,-1,177371726,146896
sweep,-1,181202445,57
mark,-1,181202682,57866
sweep,-1,181264605,1144
sweep,-1,181266687,847
concsweep,1,181298955,23314
concsweep,0,181298475,24294
collection,-1,181202646,131269
sweep,-1,185038361,151
mark,-1,185038755,53077
sweep,-1,185095799,1100
sweep,-1,185098269,950
concsweep,1,185127183,20793
concsweep,0,185126498,23262
collection,-1,185038721,111262
sweep,-1,188812633,68
mark,-1,188812964,51235
sweep,-1,188868249,1261
sweep,-1,188870874,812
concsweep,1,188898834,21021
concsweep,0,188898209,23702
collection,-1,188812929,117858
sweep,-1,192563144,123
mark,-1,192563454,53228
sweep,-1,192620761,1137
sweep,-1,192623890,892
concsweep,1,192651497,23121
concsweep,0,192650834,24082
collection,-1,192563417,112851
sweep,-1,196343271,166
mark,-1,196343734,60893
sweep,-1,196408704,1385
sweep,-1,196419498,9043
concsweep,1,196440837,20983
concsweep,0,196440369,24540
collection,-1,196343699,129250
sweep,-1,200150822,59
mark,-1,200151111,85618
sweep,-1,200240553,1217
sweep,-1,200243266,862
concsweep,1,200272718,23802
concsweep,0,200272276,25955
collection,-1,200151078,147641
sweep,-1,204036513,209
mark,-1,204036992,48851
sweep,-1,204089779,1423
sweep,-1,204108685,787
concsweep,1,204120511,21370
concsweep,0,204120063,23797
collection,-1,204036954,107373
sweep,-1,207834628,74
mark,-1,207834942,93921
sweep,-1,207933504,1224
sweep,-1,207936600,858
concsweep,1,207964245,21959
concsweep,0,207963942,29024
collection,-1,207834911,158255
sweep,-1,211631887,69
mark,-1,211632199,53571
sweep,-1,211690338,1265
sweep,-1,211692878,811
concsweep,1,211721237,21270
concsweep,0,211720747,23740
collection,-1,211632162,115662
sweep,-1,215469934,88
mark,-1,215470275,45805
sweep,-1,215520647,1197
sweep,-1,215522945,912
concsweep,1,215552239,21953
concsweep,0,215551937,22680
collection,-1,215470242,111786
sweep,-1,219210232,145
mark,-1,219210708,107036
sweep,-1,219322669,1366
sweep,-1,219334959,920
concsweep,1,219356485,22403
concsweep,0,219356461,26379
collection,-1,219210673,172543
sweep,-1,223037369,102
mark,-1,223037795,101161
sweep,-1,223143907,1277
sweep,-1,223147366,802
concsweep,1,223175738,22389
concsweep,0,223175737,30765
collection,-1,223037752,171733
sweep,-1,226799415,198
mark,-1,226799827,76284
sweep,-1,226880660,1172
sweep,-1,226884059,739
concsweep,1,226914460,22467
concsweep,0,226913953,23399
collection,-1,226799792,153193
sweep,-1,230650554,80
mark,-1,230650937,66964
sweep,-1,230722614,1307
sweep,-1,230730398,693
concsweep,1,230754240,21666
concsweep,0,230753700,24921
collection,-1,230650905,128210
sweep,-1,234636978,88
mark,-1,234637346,62092
sweep,-1,234704056,1263
sweep,-1,234706315,815
concsweep,1,234735171,23006
concsweep,0,234734673,23757
collection,-1,234637311,122654
sweep,-1,238427963,78
mark,-1,238428227,60274
sweep,-1,238493114,1252
concsweep,1,238524555,24707
concsweep,0,238524175,25576
collection,-1,238428193,122373
sweep,-1,242295012,73
mark,-1,242295326,39700
sweep,-1,242339503,1295
sweep,-1,242342803,823
concsweep,1,242371101,21655
concsweep,0,242370601,22737
collection,-1,242295286,106030
sweep,-1,246128911,154
mark,-1,246129251,156350
sweep,-1,246289826,1381
sweep,-1,246320984,802
concsweep,1,246320861,25460
collection,-1,246129212,217431
concsweep,0,246320413,26163
sweep,-1,249857071,88
mark,-1,249857422,111928
sweep,-1,249973753,10037
sweep,-1,249985326,801
concsweep,1,250006645,22029
concsweep,0,250001353,33682
collection,-1,249857385,180466
sweep,-1,253742512,377
mark,-1,253743150,58371
sweep,-1,253805451,1464
sweep,-1,253808227,733
concsweep,1,253827567,25744
concsweep,0,253833591,20015
collection,-1,253743110,112909
sweep,-1,257661271,136
mark,-1,257661678,59963
sweep,-1,257725716,1307
sweep,-1,257728121,865
concsweep,1,257754769,20426
concsweep,0,257754420,24692
collection,-1,257661640,123164
sweep,-1,261550137,192
mark,-1,261550497,57931
sweep,-1,261612581,1344
sweep,-1,261615500,774
concsweep,1,261643743,21700
concsweep,0,261643383,25421
collection,-1,261550457,119700
sweep,-1,265445263,139
mark,-1,265445642,68131
sweep,-1,265518094,1236
sweep,-1,265520622,951
concsweep,1,265548574,20851
concsweep,0,265548471,24783
collection,-1,265445601,139262
sweep,-1,269209149,86
mark,-1,269209481,54639
sweep,-1,269268187,1525
sweep,-1,269270913,801
concsweep,1,269299911,21961
concsweep,0,269299628,24228
collection,-1,269209443,115455
sweep,-1,273109687,134
mark,-1,273110055,84186
sweep,-1,273198693,1371
concsweep,1,273230573,22446
concsweep,0,273230249,25428
collection,-1,273110014,149923
sweep,-1,276897049,73
mark,-1,276897369,61501
sweep,-1,276963000,1234
sweep,-1,276965388,822
concsweep,0,276994396,65085
collection,-1,276897328,162510
concsweep,1,276994933,21015
sweep,-1,280740526,130
mark,-1,280740909,44955
sweep,-1,280789899,1364
concsweep,1,280821171,21203
concsweep,0,280820576,24570
collection,-1,280740873,106815
sweep,-1,284620526,85
mark,-1,284620829,66777
sweep,-1,284692028,1315
concsweep,1,284722476,21345
concsweep,0,284717377,28476
collection,-1,284620793,128249
sweep,-1,288420212,188
mark,-1,288420640,69635
sweep,-1,288493938,1394
sweep,-1,288496411,902
concsweep,1,288524661,23863
concsweep,0,288524016,25006
collection,-1,288420599,139830
sweep,-1,292311407,150
mark,-1,292311847,87794
sweep,-1,292403499,1376
concsweep,1,292435514,24855
concsweep,0,292435030,26675
collection,-1,292311812,152866
sweep,-1,296142190,60
mark,-1,296142495,122707
sweep,-1,296268888,1222
sweep,-1,296271183,781
concsweep,1,296300652,23654
concsweep,0,296300233,24529
collection,-1,296142456,185077
sweep,-1,299863938,45
mark,-1,299864215,49346
sweep,-1,299917423,1316
sweep,-1,299919464,828
concsweep,1,299949099,20837
concsweep,0,299948608,24226
collection,-1,299864174,112820
sweep,-1,303749362,188
mark,-1,303749773,87896
sweep,-1,303841885,1390
sweep,-1,303844900,883
concsweep,1,303873726,21482
concsweep,0,303873686,26210
collection,-1,303749732,151474
sweep,-1,307545664,65
mark,-1,307545970,67192
sweep,-1,307617452,1234
sweep,-1,307619846,1019
concsweep,1,307649699,21016
concsweep,0,307649550,25452
collection,-1,307545930,139005
sweep,-1,311228072,187
mark,-1,311228576,51802
sweep,-1,311284733,1330
sweep,-1,311294356,795
concsweep,1,311316628,21973
concsweep,0,311316144,23063
collection,-1,311228535,121174
sweep,-1,315094047,89
mark,-1,315094380,66332
sweep,-1,315164819,1294
sweep,-1,315195529,996
concsweep,1,315196040,21661
concsweep,0,315195669,23174
collection,-1,315094342,125219
sweep,-1,318843985,89
mark,-1,318844262,62625
sweep,-1,318911116,1293
sweep,-1,318914051,775
concsweep,1,318942791,21440
concsweep,0,318942688,23754
collection,-1,318844222,123002
sweep,-1,322765144,54
mark,-1,322765539,81824
sweep,-1,322851693,1270
concsweep,1,322883249,24885
concsweep,0,322882959,25634
collection,-1,322765499,143366
sweep,-1,326569255,156
mark,-1,326569622,44288
sweep,-1,326618182,1471
sweep,-1,326620888,755
concsweep,1,326649714,21118
concsweep,0,326649436,22591
collection,-1,326569582,112164
sweep,-1,330353907,180
mark,-1,330354332,46755
sweep,-1,330405089,1226
sweep,-1,330411951,792
concsweep,1,330436749,20569
concsweep,0,330436272,23964
collection,-1,330354292,106595
sweep,-1,334276079,117
mark,-1,334276462,56917
sweep,-1,334338396,1290
concsweep,0,334369425,35288
collection,-1,334276422,128729
concsweep,1,334369608,19603
sweep,-1,338150337,75
mark,-1,338150786,80727
sweep,-1,338235780,1189
concsweep,1,338267624,23498
concsweep,0,338267430,24071
collection,-1,338150750,144185
sweep,-1,341774525,84
mark,-1,341774924,51314
sweep,-1,341830689,1300
sweep,-1,341832973,864
concsweep,1,341862294,21539
concsweep,0,341862073,22732
collection,-1,341774890,118499
sweep,-1,345631781,86
mark,-1,345632089,48181
sweep,-1,345684376,1345
sweep,-1,345713349,981
concsweep,1,345716242,21063
concsweep,0,345715700,24865
collection,-1,345632054,108818
sweep,-1,349414077,124
mark,-1,349414501,54629
sweep,-1,349473518,1283
sweep,-1,349476145,736
concsweep,1,349504968,21416
concsweep,0,349504541,23299
collection,-1,349414468,115030
sweep,-1,353332298,66
mark,-1,353332575,125039
sweep,-1,353462214,1264
sweep,-1,353465645,812
concsweep,1,353493769,24784
concsweep,0,353493370,25555
collection,-1,353332538,194475
sweep,-1,357111945,146
mark,-1,357112295,51875
sweep,-1,357168738,1319
sweep,-1,357175411,837
concsweep,1,357199693,22012
concsweep,0,357199361,22785
collection,-1,357112265,110084
sweep,-1,360906097,71
mark,-1,360906390,51272
sweep,-1,360961972,1465
sweep,-1,360964637,825
concsweep,1,360992335,22192
concsweep,0,360991969,24110
collection,-1,360906352,110931
sweep,-1,364867739,82
mark,-1,364868000,32220
sweep,-1,364904564,1305
