event_type,gc_thread,start_ns,time_ns
sweep,-1,5682531,154
mark,-1,5684932,28088
sweep,-1,5718250,1827
concsweep,1,5747580,10152
concsweep,0,5748229,20077
collection,-1,5684896,121390
sweep,-1,10148534,51
mark,-1,10148812,55090
sweep,-1,10207531,2595
concsweep,1,10238397,7497
concsweep,0,10238668,10924
collection,-1,10148777,134361
sweep,-1,14433914,58
mark,-1,14434181,55946
sweep,-1,14493769,1056
concsweep,1,14524540,10661
concsweep,0,14524951,17800
collection,-1,14434145,109100
sweep,-1,18816669,47
mark,-1,18816929,51188
sweep,-1,18871726,872
concsweep,1,18902539,11428
concsweep,0,18902996,11317
collection,-1,18816901,97585
sweep,-1,23149686,55
mark,-1,23149947,54263
sweep,-1,23207703,875
concsweep,1,23239368,7857
concsweep,0,23239370,12935
collection,-1,23149915,134772
sweep,-1,27439241,61
mark,-1,27439507,31727
sweep,-1,27474506,847
concsweep,1,27506491,8933
concsweep,0,27506480,16124
collection,-1,27439473,167042
sweep,-1,31768095,52
mark,-1,31768401,40442
sweep,-1,31812327,979
sweep,-1,31848570,1485
concsweep,1,31844089,7283
concsweep,0,31843784,9836
collection,-1,31768346,111973
sweep,-1,36146132,62
mark,-1,36146484,61899
sweep,-1,36211747,1168
concsweep,1,36243479,6825
concsweep,0,36243387,24371
collection,-1,36146453,144005
sweep,-1,40356899,69
mark,-1,40357272,52840
sweep,-1,40413489,853
concsweep,1,40445901,7406
concsweep,0,40445584,41516
collection,-1,40357220,131135
sweep,-1,44707139,53
mark,-1,44707403,16895
sweep,-1,44727591,813
concsweep,1,44759468,7487
concsweep,0,44759423,10935
collection,-1,44707372,90980
sweep,-1,49145285,42
mark,-1,49145532,50546
sweep,-1,49199428,1042
sweep,-1,49222879,1605
concsweep,1,49233845,8258
concsweep,0,49233848,22250
collection,-1,49145502,149292
sweep,-1,53429917,44
mark,-1,53430188,31598
sweep,-1,53465161,930
concsweep,1,53498805,10716
concsweep,0,53499812,24177
collection,-1,53430152,94472
sweep,-1,57917288,55
mark,-1,57917553,45581
sweep,-1,57966504,1036
concsweep,1,58000175,11265
concsweep,0,58000753,79323
collection,-1,57917514,166613
sweep,-1,62377601,55
mark,-1,62377866,51524
sweep,-1,62432659,1005
concsweep,1,62466438,11978
concsweep,0,62467004,11731
collection,-1,62377837,112755
sweep,-1,66700812,60
mark,-1,66701088,33675
sweep,-1,66738134,913
concsweep,1,66771897,11891
concsweep,0,66772411,15124
collection,-1,66701051,88131
sweep,-1,71061157,63
mark,-1,71061418,13267
sweep,-1,71078001,858
concsweep,1,71111673,10071
concsweep,0,71112314,14683
collection,-1,71061383,102361
sweep,-1,75477004,91
mark,-1,75477281,46851
sweep,-1,75595107,10846
concsweep,1,75628493,6926
concsweep,0,75629247,18230
collection,-1,75477249,213666
sweep,-1,79813192,72
mark,-1,79813460,54255
sweep,-1,79871361,985
concsweep,1,79903754,10705
concsweep,0,79904173,10653
collection,-1,79813427,119877
sweep,-1,84115132,52
mark,-1,84115406,48359
sweep,-1,84167104,898
concsweep,1,84199460,11286
concsweep,0,84199990,44259
collection,-1,84115368,132239
sweep,-1,88457092,58
mark,-1,88457359,32307
sweep,-1,88493054,889
concsweep,1,88525215,10614
concsweep,0,88525710,10687
collection,-1,88457318,79577
sweep,-1,92806764,75
mark,-1,92807053,32001
sweep,-1,92842594,974
concsweep,1,92874977,10479
concsweep,0,92875327,10478
collection,-1,92807015,79111
sweep,-1,97153154,54
mark,-1,97153409,32199
sweep,-1,97189008,880
concsweep,1,97221461,10440
concsweep,0,97221883,10577
collection,-1,97153373,109180
sweep,-1,101505464,48
mark,-1,101505717,33200
sweep,-1,101542466,773
concsweep,1,101575030,10502
collection,-1,101505678,80291
concsweep,0,101575655,10226
sweep,-1,105888271,53
mark,-1,105888525,53512
sweep,-1,105945603,852
concsweep,1,105978120,10716
concsweep,0,105978459,10951
collection,-1,105888492,130750
sweep,-1,110146596,39
mark,-1,110146824,50497
sweep,-1,110200874,2559
concsweep,1,110233603,7654
concsweep,0,110233909,8834
collection,-1,110146785,97080
sweep,-1,114458442,39
mark,-1,114458681,47521
sweep,-1,114509759,900
concsweep,1,114542511,11397
concsweep,0,114543034,11220
collection,-1,114458642,96570
sweep,-1,118729236,43
mark,-1,118729517,38815
sweep,-1,118771721,922
concsweep,1,118804378,10537
concsweep,0,118804874,94580
collection,-1,118729464,171188
sweep,-1,123074161,39
mark,-1,123074383,13640
sweep,-1,123091678,859
concsweep,1,123124493,9692
concsweep,0,123125183,90811
collection,-1,123074350,150743
sweep,-1,127509758,60
mark,-1,127510010,69919
sweep,-1,127583309,1093
sweep,-1,127619398,1946
concsweep,1,127615569,8617
concsweep,0,127616113,28666
collection,-1,127509979,135353
sweep,-1,131723722,50
mark,-1,131723971,43159
sweep,-1,131770306,903
sweep,-1,131774786,1513
concsweep,1,131803168,6916
concsweep,0,131803577,12695
collection,-1,131723938,105883
sweep,-1,135998527,59
mark,-1,135998796,20367
sweep,-1,136022518,1010
concsweep,1,136055096,9818
concsweep,0,136055169,10042
collection,-1,135998761,96428
sweep,-1,140349868,56
mark,-1,140350132,39368
sweep,-1,140392828,1103
concsweep,1,140428029,9305
concsweep,0,140428231,68932
collection,-1,140350098,160766
sweep,-1,144660531,35
mark,-1,144660775,54923
sweep,-1,144719205,934
concsweep,1,144751617,11417
concsweep,0,144751996,22128
collection,-1,144660745,116288
sweep,-1,149193839,77
mark,-1,149194281,45113
sweep,-1,149243728,1344
concsweep,1,149276002,10608
concsweep,0,149276010,24298
collection,-1,149194235,131118
sweep,-1,153549871,56
mark,-1,153550147,15745
sweep,-1,153569252,1016
concsweep,1,153601820,9728
concsweep,0,153602064,9830
collection,-1,153550111,61988
sweep,-1,157914246,69
mark,-1,157914524,49011
sweep,-1,157966875,2501
concsweep,1,157999202,7397
concsweep,0,157999589,8199
collection,-1,157914484,93778
sweep,-1,162265943,52
mark,-1,162266200,44115
sweep,-1,162313880,933
sweep,-1,162352768,579
concsweep,1,162346373,10132
concsweep,0,162346707,47278
collection,-1,162266174,128587
sweep,-1,166531535,59
mark,-1,166531800,31047
sweep,-1,166566306,909
concsweep,1,166598487,10154
concsweep,0,166599133,29128
collection,-1,166531768,96740
sweep,-1,170873251,55
mark,-1,170873525,14657
sweep,-1,170891720,820
concsweep,1,170924300,9361
concsweep,0,170924815,90233
collection,-1,170873486,152786
sweep,-1,175298651,52
mark,-1,175298915,33818
sweep,-1,175340444,878
concsweep,1,175373273,10972
collection,-1,175298884,85781
concsweep,0,175373779,10790
sweep,-1,179666351,53
mark,-1,179666594,31540
sweep,-1,179701533,960
concsweep,1,179733577,10422
concsweep,0,179734146,10378
collection,-1,179666562,78861
sweep,-1,183914434,53
mark,-1,183914689,38279
sweep,-1,183956225,2481
concsweep,1,183988868,6785
concsweep,0,183989143,77953
collection,-1,183914650,154100
sweep,-1,188269601,53
mark,-1,188269861,50916
sweep,-1,188324105,871
concsweep,1,188356291,11064
concsweep,0,188356827,92210
collection,-1,188269820,179497
sweep,-1,192581400,57
mark,-1,192581663,52870
sweep,-1,192637880,955
concsweep,1,192670173,9945
concsweep,0,192670775,42460
collection,-1,192581625,136803
sweep,-1,196827835,62
mark,-1,196828108,31157
sweep,-1,196862648,881
concsweep,1,196894979,10909
concsweep,0,196895557,92325
collection,-1,196828066,163957
sweep,-1,201249123,64
mark,-1,201249376,53063
sweep,-1,201306050,1242
concsweep,1,201333811,11653
concsweep,0,201334540,11269
collection,-1,201249341,177756
sweep,-1,205665787,52
mark,-1,205666033,54669
sweep,-1,205724479,990
concsweep,1,205726151,21384
concsweep,0,205745605,7240
collection,-1,205666002,87241
sweep,-1,209929052,61
mark,-1,209929305,50241
sweep,-1,209982951,964
concsweep,1,210014920,12001
concsweep,0,210015913,11525
collection,-1,209929272,104753
sweep,-1,214268129,54
mark,-1,214268392,16376
sweep,-1,214288154,905
concsweep,1,214320778,9624
collection,-1,214268352,62529
concsweep,0,214321430,9326
sweep,-1,218634982,53
mark,-1,218678919,51558
sweep,-1,218734137,918
sweep,-1,218740361,1527
concsweep,1,218766394,7467
concsweep,0,218766813,12207
collection,-1,218678861,102055
sweep,-1,222933661,66
mark,-1,222933947,29948
sweep,-1,222967337,871
concsweep,1,222999791,9807
concsweep,0,223000139,91218
collection,-1,222933913,165432
sweep,-1,227285112,57
mark,-1,227285368,38682
sweep,-1,227327520,954
concsweep,1,227359860,10102
concsweep,0,227360267,74197
collection,-1,227285334,149848
sweep,-1,231635679,61
mark,-1,231635933,69792
sweep,-1,231709088,1290
concsweep,1,231740975,11382
concsweep,0,231741604,13240
collection,-1,231635900,133089
sweep,-1,235898035,66
mark,-1,235898311,30567
sweep,-1,235932142,943
concsweep,1,235967687,9356
concsweep,0,235956473,115150
collection,-1,235898272,173499
sweep,-1,240247097,56
mark,-1,240247349,29774
sweep,-1,240280392,920
concsweep,1,240312547,10644
concsweep,0,240313802,39804
collection,-1,240247316,107166
sweep,-1,244587106,48
mark,-1,244587350,59334
sweep,-1,244649990,998
concsweep,1,244682555,10942
concsweep,0,244683420,20445
collection,-1,244587314,127510
sweep,-1,248836151,60
mark,-1,248836399,41456
sweep,-1,248881172,880
concsweep,1,248913769,10735
concsweep,0,248914191,70422
collection,-1,248836370,161669
sweep,-1,253180507,55
mark,-1,253180760,16856
sweep,-1,253200842,830
concsweep,1,253232978,9426
concsweep,0,253233610,91371
collection,-1,253180724,152766
sweep,-1,257614665,65
mark,-1,257614930,33959
sweep,-1,257652377,892
sweep,-1,257682732,1520
concsweep,1,257686713,7474
concsweep,0,257687152,7718
collection,-1,257614901,80122
sweep,-1,261962812,53
mark,-1,261963062,34058
sweep,-1,262000577,836
sweep,-1,262009544,1329
concsweep,1,262032752,7688
concsweep,0,262033335,7688
collection,-1,261963035,78354
sweep,-1,266313050,53
mark,-1,266313327,23775
sweep,-1,266340662,957
concsweep,1,266372845,10396
concsweep,0,266373384,10391
collection,-1,266313298,104097
sweep,-1,270656764,50
mark,-1,270657014,13999
sweep,-1,270674368,882
concsweep,1,270706647,9627
collection,-1,270656986,59646
concsweep,0,270707116,9457
sweep,-1,275017864,49
mark,-1,275018138,46854
sweep,-1,275068440,916
sweep,-1,275070302,1526
concsweep,1,275100716,7373
concsweep,0,275101279,8274
collection,-1,275018110,92713
sweep,-1,279259531,60
mark,-1,279259791,51466
sweep,-1,279314829,879
concsweep,1,279347300,10196
concsweep,0,279347712,19266
collection,-1,279259762,107724
sweep,-1,283592388,54
mark,-1,283592652,48129
sweep,-1,283644173,962
concsweep,1,283676947,11448
collection,-1,283592613,105863
concsweep,0,283677440,20910
sweep,-1,287899040,50
mark,-1,287951868,33990
sweep,-1,287989417,1019
concsweep,1,288021610,11130
concsweep,0,288022214,11118
collection,-1,287951810,115709
sweep,-1,292308890,61
mark,-1,292309180,14482
sweep,-1,292327167,938
concsweep,1,292359459,9720
concsweep,0,292360009,9519
collection,-1,292309143,60778
sweep,-1,296670756,49
mark,-1,296671013,47085
sweep,-1,296721647,2316
concsweep,1,296754731,7428
concsweep,0,296755253,8292
collection,-1,296670973,92903
sweep,-1,301021725,49
mark,-1,301022003,46510
sweep,-1,301071938,953
concsweep,1,301104071,11466
concsweep,0,301104649,11257
collection,-1,301021962,94520
sweep,-1,305283746,51
mark,-1,305284032,41584
sweep,-1,305329100,940
concsweep,1,305361574,10960
concsweep,0,305362077,92797
collection,-1,305283995,177694
