event_type,gc_thread,start_ns,time_ns
sweep,-1,4726173,229
mark,-1,4729473,61842
sweep,-1,4813916,1875
concsweep,1,4824106,12663
concsweep,0,4814655,33492
collection,-1,4729425,119384
sweep,-1,8200023,130
mark,-1,8200411,49855
sweep,-1,8254242,1678
concsweep,1,8284134,17405
concsweep,0,8284136,17701
collection,-1,8200381,106451
sweep,-1,11564946,141
mark,-1,11565236,54897
sweep,-1,11623500,1118
concsweep,1,11654710,16322
collection,-1,11565216,109475
concsweep,0,11654458,20156
sweep,-1,14905251,63
mark,-1,14905452,51212
sweep,-1,14960358,1067
concsweep,1,14992578,12569
concsweep,0,14991046,29425
collection,-1,14905433,115363
sweep,-1,18221158,53
mark,-1,18221358,48482
sweep,-1,18273168,1015
concsweep,1,18304382,17435
concsweep,0,18304853,17430
collection,-1,18221339,103945
sweep,-1,21541696,64
mark,-1,21541903,53241
sweep,-1,21598510,1007
concsweep,1,21629924,13154
collection,-1,21541884,131731
concsweep,0,21630191,43297
sweep,-1,24886450,76
mark,-1,24886687,51168
sweep,-1,24941183,1088
concsweep,1,24972778,17557
concsweep,0,24973362,34265
collection,-1,24886668,156924
sweep,-1,28173995,33
mark,-1,28174168,48141
sweep,-1,28225860,948
concsweep,1,28256816,13977
concsweep,0,28256826,14243
collection,-1,28174149,106340
sweep,-1,31498850,49
mark,-1,31499045,50497
sweep,-1,31553357,971
concsweep,1,31585464,8056
concsweep,0,31585530,43082
collection,-1,31499026,157307
sweep,-1,34789712,70
mark,-1,34789924,49355
sweep,-1,34843145,915
concsweep,1,34877285,16954
concsweep,0,34877825,32150
collection,-1,34789905,120232
sweep,-1,38080017,54
mark,-1,38080206,48481
sweep,-1,38132374,1004
concsweep,1,38162727,15835
concsweep,0,38163130,29422
collection,-1,38080186,151244
sweep,-1,41404830,43
mark,-1,41405022,49413
sweep,-1,41458011,1059
concsweep,1,41489434,15890
concsweep,0,41490144,15667
collection,-1,41405003,105034
sweep,-1,44706836,40
mark,-1,44707016,51388
sweep,-1,44761946,1019
concsweep,1,44792977,39693
concsweep,0,44793940,56062
collection,-1,44706996,143244
sweep,-1,48040994,61
mark,-1,48041198,51662
sweep,-1,48096708,1144
concsweep,1,48127648,16013
concsweep,0,48128260,15882
collection,-1,48041179,107287
sweep,-1,51349803,41
mark,-1,51349999,52409
sweep,-1,51405827,1016
concsweep,1,51437302,16880
concsweep,0,51437876,33187
collection,-1,51349980,158757
sweep,-1,54663368,56
