event_type,gc_thread,start_ns,time_ns
sweep,-1,6725979,207
mark,-1,6729048,32256
sweep,-1,6768519,2240
concsweep,1,6795907,13015
concsweep,0,6795453,58205
collection,-1,6728979,163794
sweep,-1,11164376,79
mark,-1,11164684,18090
sweep,-1,11186427,1000
concsweep,1,11216849,7935
concsweep,0,11216308,26812
collection,-1,11164652,113108
sweep,-1,14606440,70
mark,-1,14606684,16985
sweep,-1,14627379,1000
concsweep,1,14659088,8258
concsweep,0,14659095,27712
collection,-1,14606660,114678
sweep,-1,18040823,56
mark,-1,18041057,16253
sweep,-1,18060772,914
concsweep,1,18092521,7661
concsweep,0,18092527,24547
collection,-1,18041032,110596
sweep,-1,21448422,59
mark,-1,21448700,15211
sweep,-1,21467322,945
concsweep,1,21499096,7595
concsweep,0,21499094,24690
collection,-1,21448672,111188
sweep,-1,24854823,83
mark,-1,24855103,14902
sweep,-1,24873443,970
concsweep,1,24905840,7733
concsweep,0,24907286,22356
collection,-1,24855076,108074
sweep,-1,28278699,61
mark,-1,28278939,14731
sweep,-1,28297054,958
concsweep,1,28328890,7839
concsweep,0,28329060,24010
collection,-1,28278912,108695
sweep,-1,31683514,50
mark,-1,31683792,14377
sweep,-1,31701650,955
concsweep,1,31734498,8071
concsweep,0,31734302,23934
collection,-1,31683765,112415
sweep,-1,35095499,64
mark,-1,35095787,13753
sweep,-1,35113024,1015
concsweep,1,35145970,7986
concsweep,0,35145583,23651
collection,-1,35095761,73863
sweep,-1,38518826,66
mark,-1,38519122,13846
sweep,-1,38536566,973
concsweep,1,38567299,7637
concsweep,0,38566741,26436
collection,-1,38519095,108845
sweep,-1,41971387,131
mark,-1,41971835,13440
sweep,-1,41988628,1020
concsweep,1,42021525,8044
concsweep,0,42020798,26491
collection,-1,41971808,109916
sweep,-1,45379687,67
mark,-1,45380186,12170
sweep,-1,45395968,894
concsweep,1,45428505,7838
concsweep,0,45427727,24682
collection,-1,45380159,106939
sweep,-1,48787783,115
mark,-1,48788165,11620
sweep,-1,48803693,866
concsweep,1,48836335,7924
concsweep,0,48836214,23569
collection,-1,48788137,106452
sweep,-1,52193730,138
mark,-1,52194162,12188
sweep,-1,52210037,902
concsweep,1,52242683,8002
concsweep,0,52242328,26064
collection,-1,52194137,108778
sweep,-1,55594323,66
mark,-1,55594617,12041
sweep,-1,55610330,894
concsweep,1,55643168,7501
concsweep,0,55642895,23418
collection,-1,55594592,106525
sweep,-1,59003315,82
mark,-1,59003661,16397
sweep,-1,59023560,919
concsweep,1,59057542,8048
concsweep,0,59057190,22861
collection,-1,59003634,111611
sweep,-1,62413847,126
mark,-1,62414240,13258
sweep,-1,62431141,887
concsweep,1,62461764,7779
concsweep,0,62461299,27655
collection,-1,62414213,109537
sweep,-1,66003521,150
mark,-1,66004089,16896
sweep,-1,66025226,1359
concsweep,1,66058477,7857
concsweep,0,66058126,23613
collection,-1,66004042,112283
sweep,-1,69420964,119
mark,-1,69421329,14792
sweep,-1,69439785,1041
concsweep,1,69472382,7909
concsweep,0,69471882,24101
collection,-1,69421300,111420
sweep,-1,72831886,114
mark,-1,72832209,14227
sweep,-1,72849791,888
concsweep,1,72882614,8057
concsweep,0,72881813,24145
collection,-1,72832183,89718
sweep,-1,76254369,68
mark,-1,76254731,13388
sweep,-1,76271558,964
concsweep,1,76302715,8035
concsweep,0,76302250,25868
collection,-1,76254703,108262
sweep,-1,79667261,138
mark,-1,79667626,12897
sweep,-1,79683999,929
concsweep,1,79716014,8020
concsweep,0,79715312,27176
collection,-1,79667600,109488
sweep,-1,83079969,102
mark,-1,83080307,12355
