event_type,gc_thread,start_ns,time_ns
sweep,-1,40456318,160
mark,-1,40458957,22771
sweep,-1,40486906,1868
concsweep,1,40518771,7190
concsweep,0,40517969,107876
collection,-1,40458880,175950
sweep,-1,79667832,70
mark,-1,79668220,14976
sweep,-1,79686654,1080
concsweep,1,79718676,6907
concsweep,0,79718341,105753
collection,-1,79668179,266563
sweep,-1,118858458,63
mark,-1,118858698,13600
sweep,-1,118875537,965
concsweep,1,118910104,6875
concsweep,0,118909811,103227
collection,-1,118858669,264768
sweep,-1,158063305,57
mark,-1,158063520,14284
sweep,-1,158081255,1112
concsweep,1,158116373,6756
concsweep,0,158115757,102668
collection,-1,158063490,265737
sweep,-1,197250086,55
mark,-1,197250307,13187
sweep,-1,197266678,1034
concsweep,1,197298896,7008
concsweep,0,197298028,93111
collection,-1,197250278,141468
sweep,-1,236533162,50
mark,-1,236533346,13024
sweep,-1,236549731,1078
concsweep,1,236582038,6869
concsweep,0,236581384,106379
collection,-1,236533319,163035
sweep,-1,275720655,60
mark,-1,275720907,12951
sweep,-1,275737176,1140
concsweep,1,275769331,6694
concsweep,0,275769026,105680
collection,-1,275720878,162743
sweep,-1,314920216,77
mark,-1,314920444,12993
sweep,-1,314936622,1117
concsweep,1,314971012,6762
concsweep,0,314970504,104144
collection,-1,314920415,265732
sweep,-1,352583468,85
mark,-1,352583735,14838
sweep,-1,352601799,1247
concsweep,1,352645733,7856
concsweep,0,352645318,44771
collection,-1,352583700,154352
