event_type,gc_thread,start_ns,time_ns
sweep,-1,1145472223,232
mark,-1,1145479341,162962
sweep,-1,1145652465,11244
concsweep,1,1145678340,6767349
concsweep,0,1145667087,6786507
collection,-1,1145479306,7000319
sweep,-1,2039668347,232
mark,-1,2039669278,62457
sweep,-1,2039740992,10910
concsweep,1,2039760875,6767380
concsweep,0,2039766450,6765402
collection,-1,2039669258,6862898
sweep,-1,2930750190,169
mark,-1,2930751308,297756
sweep,-1,2931057958,2181
concsweep,1,2931094984,6792881
concsweep,0,2931094977,6796312
collection,-1,2930751276,7140083
sweep,-1,3817701874,154
mark,-1,3817703095,71111
sweep,-1,3817783991,2324
sweep,-1,3817819813,2534
concsweep,1,3817823987,6764923
collection,-1,3817703067,6892006
concsweep,0,3817823989,6771143
sweep,-1,4708700045,221
mark,-1,4708701326,311212
sweep,-1,4709021080,5333
sweep,-1,4709055662,1537
concsweep,1,4709055816,6762668
collection,-1,4708701298,7127039
concsweep,0,4709055822,6772624
