event_type,gc_thread,start_ns,time_ns
sweep,-1,3303396,237
mark,-1,3307185,37700
sweep,-1,3353256,2620
concsweep,1,3380735,12313
concsweep,0,3380742,13931
collection,-1,3307126,88429
sweep,-1,4916325,99
mark,-1,4916649,25809
sweep,-1,4947913,1421
sweep,-1,4972572,8095
concsweep,1,4975406,8070
concsweep,0,4975838,16524
collection,-1,4916610,76177
sweep,-1,6469829,81
mark,-1,6470108,20142
sweep,-1,6495798,1436
sweep,-1,6521553,4219
concsweep,1,6523708,10462
concsweep,0,6524440,10331
collection,-1,6470069,69927
sweep,-1,8002167,68
mark,-1,8002422,18599
sweep,-1,8026068,1284
sweep,-1,8051304,7752
concsweep,1,8053251,8472
concsweep,0,8053636,8823
collection,-1,8002375,69126
sweep,-1,9264899,59
mark,-1,9265107,16101
sweep,-1,9285056,1264
sweep,-1,9311149,6096
concsweep,1,9315775,5020
concsweep,0,9316332,8768
collection,-1,9265072,61349
sweep,-1,10386657,47
mark,-1,10386834,14671
sweep,-1,10405431,990
sweep,-1,10424795,5181
concsweep,1,10432482,6619
concsweep,0,10433033,6411
collection,-1,10386801,52931
sweep,-1,11499304,57
mark,-1,11499507,13983
sweep,-1,11517214,1226
concsweep,1,11544217,4377
concsweep,0,11544774,4568
sweep,-1,11535225,17739
collection,-1,11499473,53714
mark,-1,11553263,9196
sweep,-1,11565176,937
sweep,-1,11583650,1705
concsweep,1,11593590,841
sweep,-1,11593629,1852
collection,-1,11553240,42405
concsweep,0,11594593,985
sweep,-1,12698980,83
mark,-1,12699223,12344
sweep,-1,12715076,917
sweep,-1,12732541,7651
concsweep,1,12743146,3566
concsweep,0,12742780,4825
collection,-1,12699189,50119
sweep,-1,13832515,65
mark,-1,13832756,13028
sweep,-1,13849395,967
sweep,-1,13875305,5686
concsweep,1,13879760,5999
concsweep,0,13879706,9569
collection,-1,13832725,57797
sweep,-1,14937579,45
mark,-1,14937800,15459
sweep,-1,14956774,955
sweep,-1,14981702,2273
concsweep,1,14989339,6222
concsweep,0,14989161,8899
collection,-1,14937767,61220
sweep,-1,16040642,41
mark,-1,16040819,12873
sweep,-1,16057120,927
sweep,-1,16082454,7355
concsweep,1,16090199,4051
concsweep,0,16090003,8397
collection,-1,16040788,58452
sweep,-1,17151232,42
mark,-1,17151441,13582
sweep,-1,17168579,945
sweep,-1,17195057,7140
concsweep,1,17200913,4162
concsweep,0,17200474,5392
collection,-1,17151404,55673
sweep,-1,18248398,34
mark,-1,18248579,13296
sweep,-1,18265417,872
sweep,-1,18290091,10462
concsweep,1,18297514,3486
concsweep,0,18297469,4661
collection,-1,18248549,61128
sweep,-1,19361627,40
mark,-1,19361838,12226
sweep,-1,19377633,931
concsweep,0,19409408,51522
collection,-1,19361811,100234
concsweep,1,19409456,6813
sweep,-1,20532716,48
mark,-1,20532961,13462
sweep,-1,20550160,975
sweep,-1,20576679,2530
concsweep,1,20580064,5497
concsweep,0,20579826,8229
collection,-1,20532924,55997
sweep,-1,21636261,31
mark,-1,21636440,13522
sweep,-1,21653426,1002
sweep,-1,21679336,7219
concsweep,1,21685365,4259
concsweep,0,21685263,5168
collection,-1,21636413,59581
sweep,-1,22727754,32
mark,-1,22727929,12842
sweep,-1,22744280,894
sweep,-1,22769921,4259
concsweep,1,22776052,4325
concsweep,0,22775920,8528
collection,-1,22727901,56944
sweep,-1,23820980,62
mark,-1,23821182,13464
sweep,-1,23838038,1142
sweep,-1,23863842,2787
concsweep,1,23870605,5225
concsweep,0,23870504,8833
collection,-1,23821150,64900
sweep,-1,24939977,55
mark,-1,24940201,13172
sweep,-1,24956929,838
sweep,-1,24982114,5585
concsweep,1,24988613,5709
concsweep,0,24988573,8984
collection,-1,24940173,61911
sweep,-1,26027375,43
mark,-1,26027566,13001
sweep,-1,26043931,945
sweep,-1,26069916,5513
concsweep,1,26076361,3985
concsweep,0,26076205,9491
collection,-1,26027539,66940
sweep,-1,27120045,43
mark,-1,27120230,13330
sweep,-1,27136891,984
sweep,-1,27161678,7318
concsweep,1,27168895,4311
concsweep,0,27168755,7536
collection,-1,27120203,57750
sweep,-1,28215991,32
mark,-1,28216201,12379
sweep,-1,28231910,968
sweep,-1,28256997,7444
concsweep,1,28263788,3988
concsweep,0,28263707,5671
collection,-1,28216167,53658
sweep,-1,29316806,49
mark,-1,29317009,14016
sweep,-1,29334811,997
sweep,-1,29360438,7288
concsweep,1,29366870,4289
concsweep,0,29366456,5459
collection,-1,29316981,59730
sweep,-1,30413254,47
mark,-1,30413438,12400
sweep,-1,30429449,992
sweep,-1,30454332,9637
concsweep,1,30461579,3889
concsweep,0,30461336,5166
collection,-1,30413410,59641
sweep,-1,31517343,41
mark,-1,31517548,12159
sweep,-1,31533669,835
sweep,-1,31557754,7497
concsweep,1,31565324,4033
concsweep,0,31565302,5066
collection,-1,31517518,56366
sweep,-1,32611406,51
mark,-1,32611643,12295
sweep,-1,32627363,953
sweep,-1,32653540,10381
concsweep,1,32659995,3957
concsweep,0,32660233,4469
collection,-1,32611607,61746
sweep,-1,33895537,83
mark,-1,33895861,13848
sweep,-1,33913372,1086
sweep,-1,33939896,7142
concsweep,1,33945583,3860
concsweep,0,33945974,5267
collection,-1,33895827,61349
sweep,-1,34993122,26
mark,-1,34993292,12963
sweep,-1,35009743,1040
sweep,-1,35036094,4005
concsweep,1,35042318,7566
concsweep,0,35042889,7244
collection,-1,34993257,64987
sweep,-1,36232271,89
mark,-1,36232639,16413
sweep,-1,36253910,1419
sweep,-1,36280468,7357
concsweep,1,36285765,3683
concsweep,0,36286351,4989
collection,-1,36232591,65404
sweep,-1,37352952,71
mark,-1,37353199,15072
sweep,-1,37372371,985
sweep,-1,37398013,10374
concsweep,1,37404460,3838
concsweep,0,37405014,4475
collection,-1,37353170,58467
sweep,-1,38458837,84
mark,-1,38459095,15214
sweep,-1,38477841,906
sweep,-1,38504070,7128
concsweep,1,38509791,4755
concsweep,0,38510373,4848
collection,-1,38459067,60651
sweep,-1,39559584,57
mark,-1,39559778,13308
sweep,-1,39576622,933
sweep,-1,39601760,6572
concsweep,1,39610866,5524
concsweep,0,39611456,6181
collection,-1,39559745,66266
sweep,-1,40667015,57
mark,-1,40667252,12722
sweep,-1,40683566,912
sweep,-1,40708790,5614
concsweep,1,40715922,6429
concsweep,0,40716543,6132
collection,-1,40667218,56877
sweep,-1,41756821,51
mark,-1,41757114,13663
sweep,-1,41774414,951
concsweep,1,41806798,3789
sweep,-1,41799671,11341
concsweep,0,41807227,4158
collection,-1,41757085,60406
sweep,-1,42864281,41
mark,-1,42864461,12768
sweep,-1,42880867,936
sweep,-1,42905947,3443
concsweep,1,42913245,8563
concsweep,0,42913779,8322
collection,-1,42864433,63262
sweep,-1,43963795,50
mark,-1,43964014,13823
sweep,-1,43981426,841
sweep,-1,44005187,10815
concsweep,1,44013509,4003
concsweep,0,44013960,4200
collection,-1,43963985,58913
sweep,-1,45070694,58
mark,-1,45070937,14388
sweep,-1,45089205,836
sweep,-1,45114914,5625
concsweep,1,45124244,5990
concsweep,0,45124827,5763
collection,-1,45070901,62923
sweep,-1,46166326,48
mark,-1,46166519,13046
sweep,-1,46183010,1034
sweep,-1,46210101,2115
concsweep,1,46208789,12945
concsweep,0,46230072,961
collection,-1,46166486,70087
sweep,-1,47254187,36
mark,-1,47254373,14036
sweep,-1,47271937,774
sweep,-1,47297643,6965
concsweep,1,47304235,3928
concsweep,0,47304786,8140
collection,-1,47254340,59254
sweep,-1,48357022,55
mark,-1,48357208,12656
sweep,-1,48373243,849
concsweep,1,48405416,3501
sweep,-1,48399041,10395
concsweep,0,48405975,4875
collection,-1,48357175,62052
sweep,-1,49460713,61
mark,-1,49460962,13341
sweep,-1,49478022,883
sweep,-1,49503418,5755
concsweep,1,49510884,6052
concsweep,0,49511529,5606
collection,-1,49460926,57963
sweep,-1,50563864,47
mark,-1,50564081,13321
sweep,-1,50580912,893
sweep,-1,50607284,7303
concsweep,1,50613142,3877
concsweep,0,50613479,4915
collection,-1,50564053,58665
sweep,-1,51666463,54
mark,-1,51706611,14409
sweep,-1,51724738,1080
concsweep,1,51756941,3827
sweep,-1,51750728,10370
concsweep,0,51757273,4396
collection,-1,51706568,63676
sweep,-1,52818659,57
mark,-1,52819173,14014
sweep,-1,52836898,996
sweep,-1,52862206,6522
concsweep,1,52869485,5147
concsweep,0,52869950,8702
collection,-1,52819141,59757
sweep,-1,53917460,46
mark,-1,53917680,12451
sweep,-1,53933826,950
sweep,-1,53958874,10975
concsweep,1,53965860,3966
collection,-1,53917653,52932
concsweep,0,53966434,4057
sweep,-1,55020667,31
mark,-1,55020837,12941
sweep,-1,55037261,896
sweep,-1,55062569,4861
concsweep,1,55069393,6978
concsweep,0,55069946,6745
collection,-1,55020806,63913
sweep,-1,56122470,37
mark,-1,56122644,14624
sweep,-1,56140666,863
sweep,-1,56164840,11219
concsweep,1,56173120,3919
concsweep,0,56173654,4049
collection,-1,56122620,60591
sweep,-1,57238273,51
mark,-1,57238460,14103
sweep,-1,57256351,821
sweep,-1,57281611,5222
concsweep,1,57289088,6617
concsweep,0,57289714,6959
collection,-1,57238433,66834
sweep,-1,58342147,37
mark,-1,58342328,13726
sweep,-1,58359518,877
concsweep,1,58391770,3835
sweep,-1,58384946,10832
concsweep,0,58392351,4080
collection,-1,58342299,54644
sweep,-1,59445096,45
mark,-1,59445309,13559
sweep,-1,59462521,868
sweep,-1,59488415,6178
concsweep,1,59494706,5657
concsweep,0,59495218,8707
collection,-1,59445281,67606
sweep,-1,60555231,51
mark,-1,60555422,13677
sweep,-1,60572612,864
sweep,-1,60598882,8343
concsweep,1,60606350,3790
