event_type,gc_thread,start_ns,time_ns
sweep,-1,45089104,105
mark,-1,45092109,25297
sweep,-1,45122326,2149
concsweep,1,45155517,96519
concsweep,0,45154601,97448
collection,-1,45092061,168096
sweep,-1,83230086,121
mark,-1,83230399,15633
sweep,-1,83249533,1170
concsweep,1,83283691,93161
concsweep,0,83282670,94237
collection,-1,83230363,154450
sweep,-1,121345403,32
mark,-1,121345628,14761
sweep,-1,121363824,1076
concsweep,1,121396775,94783
concsweep,0,121396097,95462
collection,-1,121345601,261201
sweep,-1,159486911,57
mark,-1,159487152,14930
sweep,-1,159505523,1111
concsweep,1,159539045,93569
concsweep,0,159538364,94273
collection,-1,159487127,260921
sweep,-1,197571826,121
mark,-1,197572131,13820
sweep,-1,197589344,1142
concsweep,1,197622491,94398
concsweep,0,197621869,95054
collection,-1,197572106,260445
sweep,-1,235676430,50
mark,-1,235676647,13807
sweep,-1,235693612,1122
concsweep,1,235726672,94511
concsweep,0,235726080,95130
collection,-1,235676622,260148
sweep,-1,273795804,115
mark,-1,273796100,16368
sweep,-1,273816246,1396
concsweep,0,273849798,94286
concsweep,1,273849793,94331
collection,-1,273796071,263565
sweep,-1,311898895,107
mark,-1,311899155,14759
sweep,-1,311917001,1105
concsweep,1,311950246,81370
concsweep,0,311949534,82109
collection,-1,311899130,144883
sweep,-1,348868314,68
mark,-1,348868588,16133
sweep,-1,348887714,1304
concsweep,1,348927227,28065
concsweep,0,348925761,29566
collection,-1,348868538,134062
