event_type,gc_thread,start_ns,time_ns
sweep,-1,553675078,127
mark,-1,553680524,35635
sweep,-1,553725727,3332
sweep,-1,553765568,8668
concsweep,1,553762505,7583911
concsweep,0,553762499,7583923
collection,-1,553680487,7668625
sweep,-1,849514898,137
mark,-1,849515643,35722
sweep,-1,849559162,3303
sweep,-1,849588699,22234
concsweep,0,849596591,7727526
concsweep,1,849596597,7727527
collection,-1,849515610,7818077
sweep,-1,1145889858,127
mark,-1,1145890580,28761
sweep,-1,1145927552,3338
sweep,-1,1145956292,21401
concsweep,0,1145965752,7574274
concsweep,1,1145965749,7574379
collection,-1,1145890546,7650816
sweep,-1,1443398328,115
mark,-1,1443399020,28135
sweep,-1,1443434743,3800
concsweep,0,1443440453,7576533
concsweep,1,1443440452,7576537
collection,-1,1443398984,7628558
sweep,-1,1740339159,147
mark,-1,1740340049,28318
sweep,-1,1740376425,3128
sweep,-1,1740405780,20595
concsweep,0,1740411706,7583548
concsweep,1,1740411724,7583626
collection,-1,1740340015,7661630
sweep,-1,2039427479,292
mark,-1,2039428411,29454
sweep,-1,2039465739,11818
concsweep,0,2039489759,7541399
concsweep,1,2039480523,7550706
collection,-1,2039428376,7605943
sweep,-1,2334566994,137
mark,-1,2334567786,29844
sweep,-1,2334605846,3199
sweep,-1,2334635474,22337
concsweep,0,2334643319,7596446
collection,-1,2334567753,7672771
concsweep,1,2334643329,7596459
sweep,-1,2630227861,329
mark,-1,2630228793,28937
sweep,-1,2630266842,11915
concsweep,0,2630284301,7609473
collection,-1,2630228760,7666513
concsweep,1,2630294476,7599380
