event_type,gc_thread,start_ns,time_ns
sweep,-1,21662698,109
mark,-1,21665525,24498
sweep,-1,21695227,3123
concsweep,0,21728679,58709
concsweep,1,21728682,58729
collection,-1,21665473,130483
sweep,-1,37002410,49
mark,-1,37002704,14056
sweep,-1,37020505,2012
concsweep,1,37052225,47710
concsweep,0,37051553,48413
collection,-1,37002677,104102
sweep,-1,52271723,40
mark,-1,52271930,13780
sweep,-1,52289322,1790
concsweep,1,52320800,59238
concsweep,0,52320313,59718
collection,-1,52271911,115940
sweep,-1,67528221,32
mark,-1,67528425,12381
sweep,-1,67544078,1824
concsweep,1,67575883,59631
concsweep,0,67575213,60304
collection,-1,67528406,114693
sweep,-1,82811062,34
mark,-1,82811254,11604
sweep,-1,82826254,2096
concsweep,1,82858085,59257
concsweep,0,82857273,60073
collection,-1,82811234,114123
sweep,-1,98066091,22
mark,-1,98066280,12349
sweep,-1,98081878,1801
concsweep,1,98112578,28698
concsweep,0,98112376,28919
collection,-1,98066261,107445
sweep,-1,113333333,22
mark,-1,113333505,11514
sweep,-1,113348452,1834
concsweep,1,113380327,57727
concsweep,0,113379943,58127
collection,-1,113333486,112512
sweep,-1,128629465,21
mark,-1,128629709,11808
sweep,-1,128644875,1891
concsweep,1,128676240,60436
concsweep,0,128675653,61089
collection,-1,128629687,109977
sweep,-1,143916023,22
mark,-1,143916206,12111
sweep,-1,143931750,1950
concsweep,1,143963459,59703
concsweep,0,143962962,60238
collection,-1,143916187,111392
sweep,-1,159189914,21
mark,-1,159190100,12523
sweep,-1,159206126,1928
concsweep,1,159237636,59648
concsweep,0,159237007,60285
collection,-1,159190081,115168
sweep,-1,174492461,33
mark,-1,174492665,10904
sweep,-1,174507134,1822
concsweep,1,174538354,60612
concsweep,0,174537967,61019
collection,-1,174492640,113914
sweep,-1,189780426,36
mark,-1,189780620,10676
sweep,-1,189794658,1765
concsweep,0,189824563,60739
concsweep,1,189824604,60712
collection,-1,189780603,112622
sweep,-1,205088643,31
mark,-1,205088844,11294
sweep,-1,205103605,2141
concsweep,1,205137777,44223
concsweep,0,205137237,44767
collection,-1,205088825,103805
sweep,-1,220445489,32
mark,-1,220445689,12035
sweep,-1,220461106,1768
concsweep,1,220492830,59449
concsweep,0,220492360,59950
collection,-1,220445670,114054
sweep,-1,235768180,32
mark,-1,235768377,11304
sweep,-1,235783081,1737
concsweep,0,235813294,61244
concsweep,1,235813637,60939
collection,-1,235768360,113755
