event_type,gc_thread,start_ns,time_ns
sweep,-1,3461448,185
mark,-1,3465315,39071
sweep,-1,3513236,3855
concsweep,1,3541293,16508
collection,-1,3465255,93512
concsweep,0,3541277,16556
sweep,-1,5200074,131
mark,-1,5200493,25493
sweep,-1,5231604,2495
sweep,-1,5259101,1763
concsweep,0,5258849,11870
concsweep,1,5259108,11662
collection,-1,5200453,73245
sweep,-1,6922905,108
mark,-1,6923377,22767
sweep,-1,6951707,2404
sweep,-1,6980545,4487
concsweep,1,6979371,12646
concsweep,0,6979272,12722
collection,-1,6923329,84040
sweep,-1,8612205,183
mark,-1,8612641,21231
sweep,-1,8639236,2543
sweep,-1,8667724,2892
concsweep,0,8666466,27735
concsweep,1,8666645,27542
collection,-1,8612592,93432
sweep,-1,10342458,169
mark,-1,10342877,23556
sweep,-1,10372031,2473
sweep,-1,10400693,5771
concsweep,0,10399760,11628
concsweep,1,10401679,9660
collection,-1,10342836,85100
sweep,-1,12032740,196
mark,-1,12033220,20398
sweep,-1,12058871,2383
sweep,-1,12088558,4332
concsweep,1,12089653,14311
concsweep,0,12087590,16413
collection,-1,12033172,72780
sweep,-1,13733867,193
mark,-1,13734380,23842
sweep,-1,13761461,1653
sweep,-1,13787974,4537
concsweep,0,13792710,7672
concsweep,1,13794392,5981
collection,-1,13734340,67227
sweep,-1,14858616,138
mark,-1,14859001,15795
sweep,-1,14878194,1925
sweep,-1,14906397,6976
concsweep,0,14909640,6614
concsweep,1,14911313,4965
collection,-1,14858975,62954
sweep,-1,15972058,72
mark,-1,15972328,12889
sweep,-1,15988514,1774
sweep,-1,16015668,4047
concsweep,1,16019435,8098
concsweep,0,16017950,9618
collection,-1,15972301,56775
sweep,-1,17077876,70
mark,-1,17078185,14541
sweep,-1,17095943,1614
sweep,-1,17122670,4679
concsweep,1,17126364,5413
concsweep,0,17124850,6952
collection,-1,17078158,58045
sweep,-1,18228874,81
mark,-1,18229153,13942
sweep,-1,18246739,1619
sweep,-1,18274428,3658
collection,-1,18229126,58021
concsweep,0,18276080,10969
concsweep,1,18277982,9068
sweep,-1,19344845,66
mark,-1,19345157,14959
sweep,-1,19363441,1530
sweep,-1,19388664,8320
concsweep,1,19396489,3532
concsweep,0,19395017,4985
collection,-1,19345131,60946
sweep,-1,20470021,61
mark,-1,20470220,13394
sweep,-1,20487182,1714
sweep,-1,20513989,3804
concsweep,1,20518702,5900
collection,-1,20470193,55816
concsweep,0,20517117,7522
sweep,-1,21581050,73
mark,-1,21581384,13320
