event_type,gc_thread,start_ns,time_ns
sweep,-1,704018418,266
mark,-1,704024988,111258
sweep,-1,704149012,3729
concsweep,0,704187942,7182609
concsweep,1,704187938,7182632
collection,-1,704024942,7355243
sweep,-1,1207269671,154
mark,-1,1207270878,82906
sweep,-1,1207363420,3539
sweep,-1,1207404691,5012
concsweep,0,1207403321,7182931
concsweep,1,1207403308,7182964
collection,-1,1207270839,7331886
sweep,-1,1710040153,166
mark,-1,1710041396,103570
sweep,-1,1710152696,3479
concsweep,0,1710186131,7127066
collection,-1,1710041351,7276773
concsweep,1,1710186134,7127074
sweep,-1,2211955174,106
mark,-1,2211956292,185423
sweep,-1,2212152015,3706
collection,-1,2211956266,7432054
concsweep,0,2212191850,7196616
concsweep,1,2212191845,7196621
sweep,-1,2716659605,136
mark,-1,2716660551,95987
sweep,-1,2716766272,11849
concsweep,0,2716807572,7159869
concsweep,1,2716807567,7159859
collection,-1,2716660526,7315669
sweep,-1,3221803482,302
mark,-1,3221804625,147009
sweep,-1,3221961089,3915
collection,-1,3221804602,7311328
concsweep,1,3221997691,7118364
concsweep,0,3221997698,7118342
sweep,-1,3726289625,161
mark,-1,3726290685,75381
sweep,-1,3726375215,3879
concsweep,0,3726413323,7120545
concsweep,1,3726413317,7120564
collection,-1,3726290647,7253561
sweep,-1,4238873128,131
mark,-1,4238874248,62141
sweep,-1,4238946062,3480
collection,-1,4238874219,7378366
concsweep,0,4238984129,7268485
concsweep,1,4238984124,7268493
sweep,-1,4742053831,174
mark,-1,4742054930,80315
sweep,-1,4742143689,3462
concsweep,1,4742179012,7277183
concsweep,0,4742179024,7277188
collection,-1,4742054899,7401763
sweep,-1,5244017803,235
mark,-1,5244018903,106033
sweep,-1,5244134551,3858
sweep,-1,5244172534,4180
collection,-1,5244018879,7382702
concsweep,1,5244172660,7228950
concsweep,0,5244172666,7228936
sweep,-1,5746369162,111
mark,-1,5746370288,101422
sweep,-1,5746476512,12735
collection,-1,5746370253,7178359
concsweep,0,5746500380,7047754
concsweep,1,5746478921,7069233
sweep,-1,6248632253,235
mark,-1,6248633307,78950
sweep,-1,6248718328,12326
collection,-1,6248633212,7195478
concsweep,1,6248732732,7096091
concsweep,0,6248740983,7087842
sweep,-1,6754260777,159
mark,-1,6754262058,105257
sweep,-1,6754376628,12210
concsweep,1,6754393986,7132150
concsweep,0,6754404091,7122023
collection,-1,6754262032,7268888
sweep,-1,7257989011,154
mark,-1,7257990015,78301
sweep,-1,7258077671,12449
collection,-1,7257989994,7212423
concsweep,1,7258102403,7100072
concsweep,0,7258096935,7105575
sweep,-1,7765855508,211
mark,-1,7765856949,67906
sweep,-1,7765936383,4252
concsweep,1,7765944756,7154502
concsweep,0,7765944759,7154541
collection,-1,7765856914,7250022
sweep,-1,8266743146,160
mark,-1,8266744448,92081
sweep,-1,8266846755,12097
concsweep,0,8266866501,7174520
concsweep,1,8266871332,7169630
collection,-1,8266744421,7300623
sweep,-1,8769378215,174
mark,-1,8769379389,76056
sweep,-1,8769548463,3846
concsweep,1,8769557360,7184283
concsweep,0,8769557367,7184294
collection,-1,8769379348,7373826
sweep,-1,9271571642,108
mark,-1,9271572720,91249
sweep,-1,9271673835,12196
collection,-1,9271572679,7253770
concsweep,1,9271691816,7134738
concsweep,0,9271700898,7125656
sweep,-1,9774771298,96
mark,-1,9774772400,78497
sweep,-1,9774860632,12295
concsweep,0,9774878150,7169912
concsweep,1,9774887295,7160734
collection,-1,9774772366,7287780
sweep,-1,10277242022,172
mark,-1,10277243452,76915
sweep,-1,10277329247,4027
concsweep,0,10277336257,7163021
concsweep,1,10277336247,7163019
collection,-1,10277243429,7264504
sweep,-1,10782280458,109
mark,-1,10782281625,78261
sweep,-1,10782367407,12020
collection,-1,10782281593,7240535
concsweep,0,10782383108,7139107
concsweep,1,10782391572,7130650
sweep,-1,11285476331,209
mark,-1,11285477399,102571
sweep,-1,11285591096,12449
collection,-1,11285477373,7257920
concsweep,0,11285615453,7119890
concsweep,1,11285612065,7123283
sweep,-1,11790901584,170
mark,-1,11790902809,86806
sweep,-1,11790999803,11794
collection,-1,11790902787,7298177
concsweep,1,11791017224,7183774
concsweep,0,11791027174,7174032
sweep,-1,12293199946,161
mark,-1,12293201237,58182
sweep,-1,12293271206,11895
concsweep,1,12293289735,7118986
concsweep,0,12293297908,7110795
collection,-1,12293201217,7222683
sweep,-1,12795602267,136
mark,-1,12795603420,67150
sweep,-1,12795680313,11971
collection,-1,12795603395,7252305
concsweep,0,12795721264,7134452
concsweep,1,12795721256,7134467
sweep,-1,13298732147,164
mark,-1,13298733409,93059
sweep,-1,13298836373,11951
concsweep,1,13298877002,7169460
concsweep,0,13298877006,7169487
collection,-1,13298733378,7320007
sweep,-1,13802311743,108
mark,-1,13802312879,82076
sweep,-1,13802404322,12123
concsweep,0,13802423707,7109820
concsweep,1,13802429431,7104079
collection,-1,13802312856,7241767
sweep,-1,14303609999,210
mark,-1,14303611095,68245
sweep,-1,14303689057,12041
collection,-1,14303611050,7245168
concsweep,0,14303713251,7142817
concsweep,1,14303709035,7147064
sweep,-1,14807879546,122
mark,-1,14807880689,58050
sweep,-1,14807949378,4094
concsweep,1,14807958581,7149555
concsweep,0,14807958585,7149532
collection,-1,14807880663,7241494
sweep,-1,15311048956,174
mark,-1,15311050126,69896
sweep,-1,15311129988,12170
concsweep,1,15311154563,7138461
concsweep,0,15311149640,7143401
collection,-1,15311050085,7252608
sweep,-1,15815413681,163
mark,-1,15815414844,78768
sweep,-1,15815502866,12124
concsweep,1,15815520539,7137813
concsweep,0,15815529993,7128369
collection,-1,15815414815,7253344
sweep,-1,16317684320,234
mark,-1,16317685488,73180
sweep,-1,16317769334,12162
collection,-1,16317685444,7228059
concsweep,0,16317797505,7115978
concsweep,1,16317785598,7127908
sweep,-1,16823000059,176
mark,-1,16823001380,65335
sweep,-1,16823076619,12423
collection,-1,16823001339,7261238
concsweep,0,16823101730,7160898
concsweep,1,16823096496,7166134
sweep,-1,17326928177,163
mark,-1,17326929343,96124
sweep,-1,17327035291,4174
concsweep,1,17327044249,7209878
concsweep,0,17327044257,7209898
collection,-1,17326929311,7333842
sweep,-1,17831648619,162
mark,-1,17831649766,167759
sweep,-1,17831827869,12489
concsweep,0,17831848059,7154650
collection,-1,17831649742,7357445
concsweep,1,17831852589,7150103
sweep,-1,18332816625,107
mark,-1,18332817875,72253
sweep,-1,18332900936,11818
collection,-1,18332817851,7265882
concsweep,0,18332942347,7141508
concsweep,1,18332942342,7141513
sweep,-1,18836209280,169
mark,-1,18836210603,103197
sweep,-1,18836324787,11972
collection,-1,18836210575,7269465
concsweep,0,18836342814,7137219
concsweep,1,18836351407,7128610
sweep,-1,19344925357,160
mark,-1,19344926497,89540
sweep,-1,19345026189,3991
concsweep,1,19345035105,7181967
concsweep,0,19345035110,7181980
collection,-1,19344926464,7304356
sweep,-1,19849239250,84
mark,-1,19849240387,79922
sweep,-1,19849331997,12210
collection,-1,19849240355,7286935
concsweep,0,19849358535,7168924
concsweep,1,19849349997,7177456
sweep,-1,20351456755,160
mark,-1,20351457961,76768
sweep,-1,20351544472,3390
sweep,-1,20351585300,3104
collection,-1,20351457937,7304151
concsweep,1,20351585876,7176273
concsweep,0,20351585881,7176274
sweep,-1,20853664234,169
mark,-1,20853665463,69728
sweep,-1,20853744854,11888
concsweep,0,20853764561,7129553
collection,-1,20853665438,7229445
concsweep,1,20853769058,7125004
sweep,-1,21356279932,148
mark,-1,21356281098,64328
sweep,-1,21356356850,11906
concsweep,1,21356381230,7176254
concsweep,0,21356376802,7180701
collection,-1,21356281075,7292722
sweep,-1,21859486680,164
mark,-1,21859487850,73016
sweep,-1,21859570187,11866
collection,-1,21859487824,7269444
concsweep,1,21859593985,7163365
concsweep,0,21859588943,7168408
sweep,-1,22364978366,160
mark,-1,22364979618,103590
sweep,-1,22365094370,3911
collection,-1,22364979586,7249282
concsweep,1,22365103097,7125893
concsweep,0,22365103104,7125880
sweep,-1,22868758006,112
mark,-1,22868759120,96401
sweep,-1,22868866369,12137
concsweep,0,22868893060,7107099
concsweep,1,22868883633,7116535
collection,-1,22868759099,7252162
sweep,-1,23370886792,55
mark,-1,23370888101,69732
sweep,-1,23370967279,11804
concsweep,1,23371008256,7151936
concsweep,0,23371008259,7151964
collection,-1,23370888063,7280068
sweep,-1,23878114122,160
mark,-1,23878115325,75937
sweep,-1,23878200884,4312
concsweep,1,23878209051,7147917
concsweep,0,23878209052,7147885
collection,-1,23878115291,7261835
sweep,-1,24383615681,170
mark,-1,24383616789,91777
sweep,-1,24383718850,3829
collection,-1,24383616762,7300048
concsweep,1,24383756711,7160179
concsweep,0,24383756717,7160178
sweep,-1,24888349125,191
mark,-1,24888350344,86204
sweep,-1,24888447753,12150
concsweep,0,24888474160,7111232
collection,-1,24888350311,7238113
concsweep,1,24888465994,7119406
sweep,-1,25403193271,166
mark,-1,25403194456,68738
sweep,-1,25403273419,4173
concsweep,0,25403282577,7180547
concsweep,1,25403282571,7180534
collection,-1,25403194359,7269194
sweep,-1,25908237221,205
mark,-1,25908238503,76369
sweep,-1,25908325911,11977
concsweep,0,25908343580,7207307
concsweep,1,25908353254,7197622
collection,-1,25908238470,7329082
sweep,-1,26412254204,170
mark,-1,26412255364,82714
sweep,-1,26412348985,12286
concsweep,0,26412373876,7138109
concsweep,1,26412368949,7143055
collection,-1,26412255333,7265302
sweep,-1,26917288882,167
mark,-1,26917290079,66091
sweep,-1,26917368145,12203
concsweep,1,26917388734,7135068
concsweep,0,26917393253,7130521
collection,-1,26917290051,7246559
sweep,-1,27425886873,194
mark,-1,27425888108,82035
sweep,-1,27425980014,4008
collection,-1,27425888075,7220254
concsweep,0,27425989267,7119080
concsweep,1,27425989272,7119079
sweep,-1,27935676902,173
mark,-1,27935678288,78214
sweep,-1,27935766506,12128
collection,-1,27935678256,7269174
concsweep,0,27935794078,7153464
concsweep,1,27935783399,7164167
sweep,-1,28440461722,175
mark,-1,28440463019,94719
sweep,-1,28440568020,12319
collection,-1,28440462922,7300508
concsweep,0,28440585064,7178485
concsweep,1,28440595166,7168385
sweep,-1,28950244482,187
mark,-1,28950245690,77514
sweep,-1,28950333197,3860
collection,-1,28950245664,7210106
concsweep,1,28950341718,7114073
concsweep,0,28950341615,7114181
sweep,-1,29462400751,122
mark,-1,29462401908,58935
sweep,-1,29462470909,12198
concsweep,1,29462488941,7120776
concsweep,0,29462498473,7111226
collection,-1,29462401868,7233674
sweep,-1,29967835484,370
mark,-1,29967836841,55816
sweep,-1,29967902668,11678
concsweep,1,29967944592,7159001
concsweep,0,29967944596,7159015
collection,-1,29967836817,7283027
sweep,-1,30472607493,175
mark,-1,30472608723,61159
sweep,-1,30472680768,11818
concsweep,0,30472721678,7167185
collection,-1,30472608692,7281104
concsweep,1,30472721673,7167172
sweep,-1,30984171381,197
mark,-1,30984172633,61260
sweep,-1,30984245005,4510
concsweep,0,30984254396,7061387
concsweep,1,30984254388,7061421
collection,-1,30984172604,7159891
sweep,-1,31497265613,245
mark,-1,31497266850,68760
sweep,-1,31497346518,4161
concsweep,0,31497356064,7155223
concsweep,1,31497356057,7155219
collection,-1,31497266814,7255496
sweep,-1,32005584854,101
mark,-1,32005586088,73185
sweep,-1,32005668494,12273
collection,-1,32005586064,7247128
concsweep,0,32005688351,7144967
concsweep,1,32005693444,7139867
sweep,-1,32508024337,169
mark,-1,32508025507,194038
sweep,-1,32508229206,11976
collection,-1,32508025470,7392474
concsweep,1,32508248171,7169908
concsweep,0,32508253948,7164131
sweep,-1,33014966267,181
mark,-1,33014967530,171198
sweep,-1,33015148439,3828
concsweep,0,33015157710,7161185
concsweep,1,33015157710,7161159
collection,-1,33014967500,7352102
sweep,-1,33521372965,216
mark,-1,33521373968,75748
sweep,-1,33521459824,11711
concsweep,0,33521480428,7145768
concsweep,1,33521484140,7142074
collection,-1,33521373929,7261772
sweep,-1,34025764593,112
mark,-1,34025826120,61968
sweep,-1,34025896906,3357
collection,-1,34025826068,7258659
concsweep,1,34025935546,7149255
concsweep,0,34025935551,7149249
sweep,-1,34536815248,120
mark,-1,34536816211,100689
sweep,-1,34536926901,12268
