event_type,gc_thread,start_ns,time_ns
sweep,-1,2929135,108
mark,-1,2931370,58473
sweep,-1,2995207,2346
concsweep,1,3002423,43390
concsweep,0,3024362,21370
collection,-1,2931324,117197
sweep,-1,5037807,77
mark,-1,5038054,45617
sweep,-1,5087543,2072
concsweep,0,5117320,11904
concsweep,1,5116947,12283
collection,-1,5038024,95972
sweep,-1,6952322,54
mark,-1,6952511,39493
sweep,-1,7003777,1885
concsweep,0,7026879,12510
concsweep,1,7026238,13183
collection,-1,6952486,94195
sweep,-1,8840783,61
mark,-1,8840988,49027
sweep,-1,8893650,1799
sweep,-1,8896110,1338
concsweep,0,8926470,14767
concsweep,1,8926231,15027
collection,-1,8840969,110379
sweep,-1,10703023,41
mark,-1,10703498,71361
sweep,-1,10778178,1701
sweep,-1,10803917,1337
concsweep,0,10811597,15595
concsweep,1,10811374,15835
collection,-1,10703479,137083
sweep,-1,15727896,65
mark,-1,15728179,41544
sweep,-1,15773791,2157
concsweep,1,15804562,32676
concsweep,0,15804752,32517
collection,-1,15728143,121038
sweep,-1,19711042,35
mark,-1,19711453,40540
sweep,-1,19755843,1835
concsweep,0,19788094,26259
collection,-1,19711433,103136
concsweep,1,19788281,26074
sweep,-1,23618890,56
mark,-1,23619130,73906
sweep,-1,23696920,1815
concsweep,0,23728362,28877
concsweep,1,23729029,28209
collection,-1,23619109,148234
sweep,-1,27635710,58
mark,-1,27635900,58921
sweep,-1,27698770,1844
concsweep,0,27730216,26901
collection,-1,27635881,121404
concsweep,1,27730711,26443
sweep,-1,31508940,42
mark,-1,31509245,35417
sweep,-1,31548541,1962
concsweep,0,31580322,25391
collection,-1,31509226,97284
concsweep,1,31580748,24981
sweep,-1,35275896,41
mark,-1,35276123,86590
sweep,-1,35366463,2004
concsweep,0,35398106,28760
collection,-1,35276103,151005
concsweep,1,35398777,28106
sweep,-1,39147904,54
mark,-1,39148101,65984
sweep,-1,39217596,1732
concsweep,1,39249920,27577
concsweep,0,39249202,28263
collection,-1,39148084,136341
sweep,-1,43024840,41
mark,-1,43025038,49431
sweep,-1,43077859,1968
concsweep,0,43108790,28447
concsweep,1,43109590,27691
collection,-1,43025019,120872
sweep,-1,46963495,47
mark,-1,46963732,60111
sweep,-1,47027279,1847
concsweep,0,47061275,26897
concsweep,1,47061713,26460
collection,-1,46963712,126576
sweep,-1,50833568,41
mark,-1,50833864,41143
sweep,-1,50878862,1756
concsweep,0,50909981,25035
concsweep,1,50910479,24554
collection,-1,50833843,104042
sweep,-1,54738010,41
mark,-1,54738200,94778
sweep,-1,54837069,1993
concsweep,1,54868987,28004
concsweep,0,54868406,28595
collection,-1,54738180,169025
sweep,-1,58681762,49
mark,-1,58681943,41883
sweep,-1,58809030,2095
concsweep,0,58842605,25539
concsweep,1,58843046,25090
collection,-1,58681924,193823
sweep,-1,62607619,69
mark,-1,62607858,53162
sweep,-1,62664718,2103
collection,-1,62607838,118361
concsweep,0,62695180,31026
concsweep,1,62695770,30425
sweep,-1,66405764,46
mark,-1,66405999,44496
sweep,-1,66454354,1904
concsweep,0,66486071,26185
concsweep,1,66486661,25614
collection,-1,66405979,108757
sweep,-1,70260587,59
mark,-1,70260796,135283
sweep,-1,70400257,2100
collection,-1,70260777,199919
concsweep,1,70432597,27996
concsweep,0,70432142,28472
sweep,-1,74068157,53
mark,-1,74068353,47521
sweep,-1,74119442,1874
concsweep,0,74151101,28480
concsweep,1,74151595,28065
collection,-1,74068336,127000
sweep,-1,78038871,72
mark,-1,78039099,84093
sweep,-1,78127213,1915
concsweep,0,78158619,28253
concsweep,1,78159236,27658
collection,-1,78039081,157156
sweep,-1,81873401,55
mark,-1,81873661,56557
sweep,-1,81934243,1817
concsweep,1,81966405,26048
concsweep,0,81965905,26520
collection,-1,81873641,123020
sweep,-1,85801423,45
mark,-1,85801623,66320
sweep,-1,85871600,1871
concsweep,0,85901810,28083
concsweep,1,85902581,27312
collection,-1,85801604,136499
sweep,-1,89717516,58
mark,-1,89717774,40598
sweep,-1,89762227,1832
concsweep,1,89794421,25385
collection,-1,89717755,102510
concsweep,0,89793789,25987
sweep,-1,93550363,53
mark,-1,93550565,65522
sweep,-1,93620283,1992
concsweep,0,93651794,27988
concsweep,1,93652641,27158
collection,-1,93550546,132272
sweep,-1,97327295,49
mark,-1,97327514,62143
sweep,-1,97393545,1861
concsweep,0,97424988,27190
concsweep,1,97425870,26339
collection,-1,97327495,128820
sweep,-1,101182871,73
mark,-1,101183098,42615
sweep,-1,101229445,2170
concsweep,0,101260926,25850
concsweep,1,101261533,25274
collection,-1,101183079,105486
sweep,-1,105026318,97
mark,-1,105026621,45355
sweep,-1,105075988,1884
concsweep,0,105108075,26230
collection,-1,105026602,108963
concsweep,1,105108508,25788
sweep,-1,109045897,107
mark,-1,109046222,135133
sweep,-1,109186015,2271
collection,-1,109046203,199080
concsweep,1,109217883,27403
concsweep,0,109217140,28137
sweep,-1,112818156,49
mark,-1,112818430,34935
sweep,-1,112857567,1865
concsweep,1,112888702,25044
concsweep,0,112888189,25565
collection,-1,112818410,103255
sweep,-1,116778339,33
mark,-1,116778511,50883
sweep,-1,116833643,2054
concsweep,1,116865725,24949
concsweep,0,116865165,25511
collection,-1,116778492,114350
sweep,-1,120650549,124
mark,-1,120650808,39591
sweep,-1,120694358,1907
concsweep,1,120726678,24585
concsweep,0,120726006,25324
collection,-1,120650789,108617
sweep,-1,124598032,115
mark,-1,124598384,70778
sweep,-1,124673071,1891
concsweep,0,124704604,28163
concsweep,1,124705393,27382
collection,-1,124598364,137002
sweep,-1,128391097,54
mark,-1,128391355,84686
sweep,-1,128480032,1847
concsweep,0,128511993,27658
collection,-1,128391329,149399
concsweep,1,128512598,27046
sweep,-1,132197451,34
mark,-1,132197684,34114
sweep,-1,132235746,1825
concsweep,1,132266975,24148
concsweep,0,132266144,24948
collection,-1,132197665,97985
sweep,-1,136140704,117
mark,-1,136140974,79180
sweep,-1,136224020,1958
concsweep,1,136254972,28188
concsweep,0,136254685,28557
collection,-1,136140955,150558
sweep,-1,140112977,118
mark,-1,140113293,42477
sweep,-1,140159585,1797
concsweep,0,140193138,25570
concsweep,1,140193720,24985
collection,-1,140113274,107686
sweep,-1,143959044,52
mark,-1,143959305,135941
sweep,-1,144098856,2119
sweep,-1,144102930,1533
concsweep,0,144130657,27507
concsweep,1,144130788,27375
collection,-1,143959286,211716
sweep,-1,147846985,40
mark,-1,147847212,36901
sweep,-1,147888019,1825
concsweep,1,147920022,24265
concsweep,0,147919394,24901
collection,-1,147847192,103181
sweep,-1,151756069,70
mark,-1,151756329,43771
sweep,-1,151804162,1850
collection,-1,151756310,108478
concsweep,0,151835494,29327
concsweep,1,151836085,28746
sweep,-1,155581741,115
mark,-1,155582030,45783
sweep,-1,155631819,1784
concsweep,1,155663627,25941
concsweep,0,155663365,26214
collection,-1,155582011,117224
sweep,-1,159422657,41
mark,-1,159422836,53778
sweep,-1,159480503,1785
concsweep,0,159512297,27510
concsweep,1,159512666,27141
collection,-1,159422817,120268
sweep,-1,163247752,61
mark,-1,163247969,88859
sweep,-1,163340629,2235
concsweep,0,163372218,27426
concsweep,1,163372561,27113
collection,-1,163247942,159343
sweep,-1,167142580,68
mark,-1,167142868,74997
sweep,-1,167221568,1872
concsweep,1,167253678,27077
concsweep,0,167252635,28112
collection,-1,167142840,139687
sweep,-1,171257073,58
mark,-1,171257329,70252
sweep,-1,171331612,2196
concsweep,1,171333697,41208
concsweep,0,171356750,18183
collection,-1,171257313,126286
sweep,-1,175229243,59
mark,-1,175229447,64058
sweep,-1,175297454,2017
collection,-1,175229428,113805
concsweep,1,175298504,44668
concsweep,0,175320220,23041
sweep,-1,179201420,49
mark,-1,179201640,42272
sweep,-1,179247583,1892
concsweep,1,179248930,41028
concsweep,0,179270567,19408
collection,-1,179201621,92636
sweep,-1,183097946,37
mark,-1,183098145,36209
sweep,-1,183137937,1821
concsweep,1,183172303,24724
collection,-1,183098126,100087
concsweep,0,183172003,25054
sweep,-1,186870804,129
mark,-1,186871122,53342
sweep,-1,186928296,2020
concsweep,0,186960299,35676
concsweep,1,186960308,35699
collection,-1,186871103,135912
sweep,-1,190812234,70
mark,-1,190812514,65619
sweep,-1,190882181,2066
concsweep,1,190916769,26043
concsweep,0,190916245,26579
collection,-1,190812495,133040
sweep,-1,194624964,97
mark,-1,194625224,73681
sweep,-1,194702889,2025
concsweep,0,194733865,27194
concsweep,1,194734320,26758
collection,-1,194625207,141081
sweep,-1,198599782,52
mark,-1,198600036,89505
sweep,-1,198693527,1858
concsweep,0,198724214,27409
collection,-1,198600008,152752
concsweep,1,198724648,26954
sweep,-1,202471152,60
mark,-1,202471359,119464
sweep,-1,202594875,1794
concsweep,0,202626539,38615
concsweep,1,202627029,38141
collection,-1,202471340,203044
sweep,-1,206270301,40
mark,-1,206270493,115590
sweep,-1,206389965,1839
concsweep,1,206421903,26636
concsweep,0,206421653,26903
collection,-1,206270474,183286
sweep,-1,210186908,117
mark,-1,210187170,59008
sweep,-1,210249816,1828
concsweep,1,210281945,26194
concsweep,0,210281407,26754
collection,-1,210187152,126049
sweep,-1,214070501,46
mark,-1,214070693,63493
sweep,-1,214137793,1877
concsweep,0,214169808,27297
concsweep,1,214170138,26980
collection,-1,214070673,128065
sweep,-1,217807197,47
mark,-1,217807404,122941
sweep,-1,217934320,1988
sweep,-1,217938469,1494
concsweep,0,217965842,30711
collection,-1,217807386,189497
concsweep,1,217966302,30262
sweep,-1,221666231,174
mark,-1,221666539,39223
sweep,-1,221709572,1916
concsweep,1,221742310,25441
concsweep,0,221742053,25703
collection,-1,221666520,104806
sweep,-1,225488328,63
mark,-1,225488564,52735
sweep,-1,225544840,1822
concsweep,1,225576975,25341
concsweep,0,225576497,25825
collection,-1,225488545,115210
sweep,-1,229447848,44
mark,-1,229448039,79617
sweep,-1,229531650,1879
concsweep,0,229563283,28247
concsweep,1,229564081,27453
collection,-1,229448020,149334
sweep,-1,233319960,40
mark,-1,233320162,47059
sweep,-1,233370926,1914
concsweep,0,233401762,27087
collection,-1,233320142,109740
concsweep,1,233402064,26772
sweep,-1,237151320,61
mark,-1,237151530,52482
sweep,-1,237207710,1844
concsweep,0,237241918,26834
concsweep,1,237242371,26407
collection,-1,237151511,121122
sweep,-1,241123725,42
mark,-1,241123904,60513
sweep,-1,241188201,1804
concsweep,0,241221475,26260
concsweep,1,241221539,26182
collection,-1,241123885,128809
sweep,-1,244979595,62
mark,-1,244979843,37248
sweep,-1,245021015,1880
concsweep,0,245052614,24911
concsweep,1,245052735,24825
collection,-1,244979825,108433
sweep,-1,248715523,61
mark,-1,248715851,56639
sweep,-1,248776889,2080
concsweep,1,248808712,26153
concsweep,0,248808397,26482
collection,-1,248715831,125779
sweep,-1,252714673,56
mark,-1,252714951,63935
sweep,-1,252782724,1886
collection,-1,252714931,126458
concsweep,0,252815053,26345
concsweep,1,252815061,26324
sweep,-1,256577892,41
mark,-1,256578106,131347
sweep,-1,256713600,1832
concsweep,1,256744846,28451
concsweep,0,256744476,28850
collection,-1,256578088,199575
sweep,-1,260495086,41
mark,-1,260495272,44936
sweep,-1,260544003,1743
concsweep,0,260574798,25084
concsweep,1,260575055,24845
collection,-1,260495245,111144
sweep,-1,264364405,49
mark,-1,264364619,55884
sweep,-1,264424513,1978
concsweep,0,264456437,26601
concsweep,1,264456576,26476
collection,-1,264364601,121319
sweep,-1,268218328,102
mark,-1,268218563,51718
sweep,-1,268274242,1802
concsweep,1,268305397,26967
concsweep,0,268305210,27165
collection,-1,268218543,122054
sweep,-1,272221134,42
mark,-1,272221314,59890
sweep,-1,272284947,1807
concsweep,1,272319950,26121
concsweep,0,272319187,26871
collection,-1,272221294,128355
sweep,-1,276077739,33
mark,-1,276077952,65727
sweep,-1,276147278,2059
concsweep,1,276179274,27711
concsweep,0,276178911,28077
collection,-1,276077933,133169
sweep,-1,279795865,42
mark,-1,279796126,36594
sweep,-1,279836468,1762
concsweep,0,279868186,24872
concsweep,1,279868356,24711
collection,-1,279796101,106007
sweep,-1,283701550,42
mark,-1,283701743,54643
sweep,-1,283760154,1749
concsweep,0,283791707,28432
concsweep,1,283791964,28157
collection,-1,283701715,120014
sweep,-1,287560773,49
mark,-1,287561025,74913
sweep,-1,287639774,2011
concsweep,1,287670519,27633
concsweep,0,287670462,27694
collection,-1,287561006,144596
sweep,-1,291486928,49
mark,-1,291487122,48448
sweep,-1,291539711,1794
concsweep,1,291571747,26498
concsweep,0,291571577,26700
collection,-1,291487103,114694
sweep,-1,295330581,70
mark,-1,295330809,118661
sweep,-1,295453160,1860
concsweep,0,295485105,27269
concsweep,1,295485306,27067
collection,-1,295330790,183740
sweep,-1,299174416,57
mark,-1,299174631,81694
sweep,-1,299259851,1980
concsweep,1,299291064,28042
concsweep,0,299291060,28048
collection,-1,299174614,150678
sweep,-1,303127261,61
mark,-1,303127515,60153
sweep,-1,303191143,1929
concsweep,0,303222236,27590
concsweep,1,303223332,26512
collection,-1,303127496,127302
sweep,-1,306957532,61
mark,-1,306957740,40082
sweep,-1,307001847,1779
concsweep,1,307033683,25203
concsweep,0,307033294,25603
collection,-1,306957721,106516
sweep,-1,310699643,52
mark,-1,310699988,88900
sweep,-1,310792821,1952
concsweep,0,310824100,27434
collection,-1,310699968,152413
concsweep,1,310824482,27030
sweep,-1,314561034,43
mark,-1,314561241,67097
sweep,-1,314632338,1875
concsweep,1,314664288,27080
collection,-1,314561222,130475
concsweep,0,314664219,27212
sweep,-1,318645843,133
mark,-1,318646258,50718
sweep,-1,318701245,2398
concsweep,0,318733050,27767
concsweep,1,318733269,27522
collection,-1,318646213,123601
sweep,-1,322607261,72
mark,-1,322607487,60025
sweep,-1,322671590,1867
concsweep,1,322703404,26776
concsweep,0,322703206,26980
collection,-1,322607461,126891
sweep,-1,326487166,46
mark,-1,326487357,43017
sweep,-1,326534772,1936
concsweep,0,326565234,25176
concsweep,1,326565718,24663
collection,-1,326487337,106783
sweep,-1,330390533,53
mark,-1,330390757,93613
