event_type,gc_thread,start_ns,time_ns
sweep,-1,7817820,163
mark,-1,7822017,32780
sweep,-1,7861331,4776
concsweep,1,7888387,10772
collection,-1,7821968,77420
concsweep,0,7888198,10980
sweep,-1,13805096,74
mark,-1,13805490,79405
sweep,-1,13889927,3124
concsweep,1,13917359,11501
concsweep,0,13918580,10368
collection,-1,13805455,127366
sweep,-1,18871905,49
mark,-1,18872126,29423
sweep,-1,18904841,2624
collection,-1,18872101,73033
concsweep,1,18936426,8704
concsweep,0,18937275,7959
sweep,-1,23201979,53
mark,-1,23202215,37881
sweep,-1,23243766,2601
concsweep,1,23275694,9346
concsweep,0,23276507,8506
collection,-1,23202187,85755
sweep,-1,27500298,108
mark,-1,27500670,24769
sweep,-1,27529192,2517
concsweep,1,27563594,8067
concsweep,0,27564149,7518
collection,-1,27500643,76130
sweep,-1,31804888,116
mark,-1,31805182,52832
sweep,-1,31861673,2498
concsweep,0,31894645,8657
collection,-1,31805156,98312
concsweep,1,31894640,8701
sweep,-1,36076427,45
mark,-1,36076654,27565
sweep,-1,36107966,2521
concsweep,0,36140878,8286
collection,-1,36076628,73532
concsweep,1,36140885,8314
sweep,-1,40391080,39
mark,-1,40391293,23205
sweep,-1,40417804,2462
concsweep,1,40451002,7018
concsweep,0,40451001,7168
collection,-1,40391264,73879
sweep,-1,44677529,55
mark,-1,44677768,49613
sweep,-1,44730533,2396
concsweep,1,44762917,8289
collection,-1,44677738,93628
concsweep,0,44762867,8357
sweep,-1,48985797,43
mark,-1,48986047,28618
sweep,-1,49018032,2424
concsweep,1,49050952,8003
collection,-1,48986019,73686
concsweep,0,49050876,8098
sweep,-1,53289691,46
mark,-1,53289917,23799
sweep,-1,53317024,2453
concsweep,1,53350222,7234
concsweep,0,53350069,7524
collection,-1,53289890,74550
sweep,-1,57586078,52
mark,-1,57586310,50703
sweep,-1,57640476,2375
concsweep,1,57642829,23194
concsweep,0,57664000,2072
collection,-1,57586282,85182
sweep,-1,61857627,50
mark,-1,61857850,25107
sweep,-1,61886613,2397
concsweep,1,61919525,8196
concsweep,0,61919532,8298
collection,-1,61857822,70794
sweep,-1,66141886,56
mark,-1,66142141,23927
sweep,-1,66169665,2354
concsweep,1,66202451,7097
concsweep,0,66202320,7348
collection,-1,66142113,74671
sweep,-1,70424957,59
mark,-1,70425245,50283
sweep,-1,70479151,2309
collection,-1,70425215,95084
concsweep,1,70512046,8140
concsweep,0,70511943,8282
sweep,-1,74691738,50
mark,-1,74691969,28873
sweep,-1,74724822,2376
concsweep,1,74757282,8049
collection,-1,74691942,73602
concsweep,0,74757107,8171
sweep,-1,78983740,51
mark,-1,78983972,23651
sweep,-1,79011232,2338
concsweep,0,79044303,7281
concsweep,1,79044354,7307
collection,-1,78983944,74646
sweep,-1,83486139,71
mark,-1,83486495,54638
sweep,-1,83545378,2869
concsweep,1,83578167,8809
collection,-1,83486461,100697
concsweep,0,83578167,8829
sweep,-1,87766057,49
mark,-1,87766282,28722
sweep,-1,87798779,2496
concsweep,1,87833937,8137
collection,-1,87766256,76024
concsweep,0,87833736,8372
sweep,-1,92142687,53
mark,-1,92143015,25886
sweep,-1,92172023,2533
concsweep,1,92204418,7500
concsweep,0,92204462,7452
collection,-1,92142992,76378
sweep,-1,96432463,42
mark,-1,96432675,52520
sweep,-1,96488321,2479
concsweep,1,96521277,8052
concsweep,0,96521303,8139
collection,-1,96432652,96899
sweep,-1,100707564,49
mark,-1,100707801,30382
sweep,-1,100741471,2429
concsweep,1,100774400,7957
collection,-1,100707774,75492
concsweep,0,100774405,7992
sweep,-1,105011151,44
mark,-1,105011376,24463
sweep,-1,105039086,2400
concsweep,1,105071896,7482
concsweep,0,105071900,7506
collection,-1,105011348,75048
sweep,-1,109303974,50
mark,-1,109304203,50112
sweep,-1,109357578,2393
collection,-1,109304177,95035
concsweep,1,109390328,8853
concsweep,0,109390141,9068
sweep,-1,113590427,31
mark,-1,113590636,26536
sweep,-1,113620665,2427
concsweep,1,113653540,8233
collection,-1,113590611,71954
concsweep,0,113653442,8418
sweep,-1,117884217,47
mark,-1,117884438,24195
sweep,-1,117912367,2532
concsweep,1,117945525,7102
concsweep,0,117945525,7223
collection,-1,117884412,75098
sweep,-1,122204600,50
mark,-1,122204899,51538
sweep,-1,122259402,2458
concsweep,1,122291963,8266
collection,-1,122204874,95490
concsweep,0,122291970,8282
sweep,-1,126498566,48
mark,-1,126498774,29218
sweep,-1,126531554,2429
collection,-1,126498749,73806
concsweep,0,126564341,8175
concsweep,1,126564336,8228
sweep,-1,130799427,49
mark,-1,130799677,24510
sweep,-1,130827663,2472
concsweep,1,130860388,7425
concsweep,0,130860387,7457
collection,-1,130799650,75488
sweep,-1,135097215,54
mark,-1,135097467,50273
sweep,-1,135151050,2425
collection,-1,135097439,96042
concsweep,1,135184352,9104
concsweep,0,135184359,9189
sweep,-1,139367369,49
mark,-1,139367595,27512
sweep,-1,139398464,2410
concsweep,1,139431334,8268
collection,-1,139367570,72497
concsweep,0,139431333,8290
sweep,-1,143668686,50
mark,-1,143668940,23618
sweep,-1,143695811,2391
concsweep,1,143728956,7074
concsweep,0,143728988,7418
collection,-1,143668912,73992
sweep,-1,147951347,50
mark,-1,147951596,51131
sweep,-1,148006152,2364
concsweep,1,148039043,8226
collection,-1,147951569,95882
concsweep,0,148038449,8939
sweep,-1,152218640,51
mark,-1,152218891,29733
sweep,-1,152311932,2647
collection,-1,152218864,133381
concsweep,1,152344497,7709
concsweep,0,152344474,7818
sweep,-1,156774628,50
mark,-1,156774868,25281
sweep,-1,156803439,2616
concsweep,1,156825723,5794
concsweep,0,156815195,16365
collection,-1,156774842,91008
sweep,-1,161122135,59
mark,-1,161122370,51548
sweep,-1,161176841,2749
concsweep,1,161209440,9128
concsweep,0,161209443,9224
collection,-1,161122346,96423
sweep,-1,165395943,57
mark,-1,165396172,27524
sweep,-1,165427182,2451
concsweep,1,165459981,8217
collection,-1,165396145,72252
concsweep,0,165459990,8330
sweep,-1,169686287,56
mark,-1,169686563,23857
sweep,-1,169713828,2706
concsweep,1,169744897,7275
concsweep,0,169744896,7390
collection,-1,169686534,67415
sweep,-1,173968747,54
mark,-1,173968988,56624
sweep,-1,174028803,2316
concsweep,1,174061743,8415
concsweep,0,174061779,8490
collection,-1,173968958,101350
sweep,-1,178245742,53
mark,-1,178245974,29326
sweep,-1,178278624,2501
concsweep,1,178311611,8001
concsweep,0,178311618,8107
collection,-1,178245951,74613
sweep,-1,182533729,60
mark,-1,182533983,24057
sweep,-1,182561184,2427
concsweep,1,182594461,7423
concsweep,0,182594468,7438
collection,-1,182533958,74415
sweep,-1,186871742,57
mark,-1,186872012,50388
sweep,-1,186925337,2448
collection,-1,186871986,97311
concsweep,1,186960455,8860
concsweep,0,186960281,9061
sweep,-1,191177143,54
mark,-1,191177374,27136
sweep,-1,191207708,2445
collection,-1,191177347,71509
concsweep,0,191240377,8581
concsweep,1,191240489,8420
sweep,-1,195483389,40
mark,-1,195483608,24430
sweep,-1,195511353,2490
concsweep,1,195544134,6970
concsweep,0,195544097,7025
collection,-1,195483582,74716
sweep,-1,199777541,49
mark,-1,199777771,50633
sweep,-1,199831634,2453
concsweep,1,199864407,7991
concsweep,0,199864345,8206
collection,-1,199777743,95066
sweep,-1,204044871,42
mark,-1,204045099,28713
sweep,-1,204077300,2448
concsweep,1,204109809,8058
collection,-1,204045073,72965
concsweep,0,204109671,8308
sweep,-1,208347684,44
mark,-1,208347894,23916
sweep,-1,208375303,2437
concsweep,1,208408894,7424
concsweep,0,208408900,7446
collection,-1,208347866,74532
sweep,-1,212640731,61
mark,-1,212640981,49994
sweep,-1,212694050,2460
collection,-1,212640953,95035
concsweep,1,212727007,8886
concsweep,0,212727013,8945
sweep,-1,216914366,50
mark,-1,216914603,26025
sweep,-1,216944009,2457
concsweep,1,216977211,8230
concsweep,0,216977210,8337
collection,-1,216914576,71456
sweep,-1,221204318,48
mark,-1,221204589,23616
sweep,-1,221231398,2414
concsweep,1,221264512,7100
concsweep,0,221264517,7128
collection,-1,221204565,74229
sweep,-1,225527308,57
mark,-1,225527579,50564
sweep,-1,225581321,2485
collection,-1,225527547,95050
concsweep,1,225614269,8277
concsweep,0,225614268,8315
sweep,-1,229793500,50
mark,-1,229793735,29121
sweep,-1,229826569,2435
collection,-1,229793710,73673
concsweep,0,229859285,8174
concsweep,1,229859413,8029
sweep,-1,234083197,54
mark,-1,234083427,23224
sweep,-1,234109992,2449
concsweep,1,234141860,7388
concsweep,0,234141860,7535
collection,-1,234083404,74073
sweep,-1,238368568,51
mark,-1,238368796,50389
sweep,-1,238422520,2417
concsweep,1,238455303,8849
collection,-1,238368767,95517
concsweep,0,238455303,8959
sweep,-1,242644879,55
mark,-1,242645107,25776
sweep,-1,242674257,2406
concsweep,1,242707081,8278
collection,-1,242645079,70458
concsweep,0,242707081,8410
sweep,-1,246934330,44
mark,-1,246934538,24135
sweep,-1,246961903,2445
concsweep,1,246994668,7386
concsweep,0,246994622,7451
collection,-1,246934512,74704
sweep,-1,251219670,42
mark,-1,251219913,50312
sweep,-1,251273536,2455
collection,-1,251219888,94241
concsweep,0,251305808,8297
concsweep,1,251305792,8198
sweep,-1,255666589,55
mark,-1,255666896,33952
sweep,-1,255704659,2660
concsweep,1,255706934,8205
concsweep,0,255706903,8288
collection,-1,255666866,54785
sweep,-1,260115569,53
mark,-1,260115853,26717
sweep,-1,260146421,2609
concsweep,1,260148163,8212
concsweep,0,260148822,7682
collection,-1,260115823,50204
sweep,-1,264412471,49
mark,-1,264412746,52508
sweep,-1,264468909,10800
concsweep,0,264479643,14558
concsweep,1,264490356,3911
collection,-1,264412719,86513
sweep,-1,268685819,61
mark,-1,268686069,24951
sweep,-1,268714034,2445
concsweep,1,268747672,8071
concsweep,0,268747689,8178
collection,-1,268686042,70376
sweep,-1,272983789,48
mark,-1,272984016,24887
sweep,-1,273012044,2435
concsweep,1,273045120,7231
concsweep,0,273045112,7257
collection,-1,272983990,75108
sweep,-1,277258633,50
mark,-1,277258863,51481
sweep,-1,277313558,2482
collection,-1,277258834,95218
concsweep,0,277345526,8506
concsweep,1,277345517,8401
sweep,-1,281532026,48
mark,-1,281532248,31249
sweep,-1,281569157,10808
collection,-1,281532225,80545
