event_type,gc_thread,start_ns,time_ns
sweep,-1,5480687,427
mark,-1,5484921,1397571
sweep,-1,6893530,4615
sweep,-1,6944648,10881
concsweep,1,6927385,28264
collection,-1,5484837,1471325
concsweep,0,6927307,28401
mark,-1,6957527,1406074
concsweep,1,8399031,21828
concsweep,0,8398831,22014
sweep,-1,8370002,54143
collection,-1,6957465,1467291
sweep,-1,35737620,201
mark,-1,35738589,3399621
sweep,-1,39147747,67497
concsweep,0,39181873,52221
collection,-1,35738506,3496136
concsweep,1,39181867,52214
sweep,-1,58133433,226
mark,-1,58134346,5053299
sweep,-1,63200282,3874
concsweep,0,63239381,111831
concsweep,1,63239381,111861
collection,-1,58134317,5275667
sweep,-1,75281694,113
mark,-1,75282818,1275131
sweep,-1,76567170,5720
sweep,-1,76574749,41894
concsweep,0,76607206,88442
concsweep,1,76607200,88464
collection,-1,75282778,1424089
sweep,-1,134033573,88
mark,-1,134034635,585039
sweep,-1,134628929,3462
sweep,-1,134666852,13519
concsweep,0,134670361,118693
concsweep,1,134670370,118725
collection,-1,134034594,765366
sweep,-1,188083334,85
mark,-1,188084398,781423
sweep,-1,188875289,3206
sweep,-1,188896513,16894
concsweep,0,188916668,123633
concsweep,1,188916676,123660
collection,-1,188084359,972286
sweep,-1,241605422,106
mark,-1,241606496,774545
sweep,-1,242390449,3268
sweep,-1,242428826,13125
concsweep,1,242429481,129074
concsweep,0,242429472,129092
collection,-1,241606457,967565
sweep,-1,294994313,123
mark,-1,294995536,761279
sweep,-1,295767680,3363
sweep,-1,295789521,22821
concsweep,0,295808417,116305
concsweep,1,295808415,116335
collection,-1,294995454,944683
sweep,-1,349610556,85
mark,-1,349611646,779288
sweep,-1,350400116,11782
sweep,-1,350440048,1627
concsweep,1,350426420,122197
concsweep,0,350417442,131179
collection,-1,349611588,947922
sweep,-1,404622401,125
mark,-1,404623502,788170
sweep,-1,405421009,11520
sweep,-1,405442896,8495
concsweep,0,405439336,130671
concsweep,1,405446008,124024
collection,-1,404623439,963949
sweep,-1,458184671,107
mark,-1,458185880,757867
sweep,-1,458953040,3425
sweep,-1,458974598,23423
concsweep,0,458993011,113441
concsweep,1,458993004,113463
collection,-1,458185850,934175
sweep,-1,512361421,102
mark,-1,512362578,782932
sweep,-1,513154555,3277
sweep,-1,513175917,18807
concsweep,1,513193285,118604
concsweep,0,513193268,118594
collection,-1,512362527,965753
sweep,-1,566089973,106
mark,-1,566091061,754398
sweep,-1,566854811,3367
sweep,-1,566876656,23393
concsweep,1,566895139,113608
concsweep,0,566895136,113647
collection,-1,566090975,930247
sweep,-1,620216584,64
mark,-1,620217892,786428
sweep,-1,621013543,3169
sweep,-1,621034617,20374
concsweep,0,621052293,119468
concsweep,1,621052295,119560
collection,-1,620217859,970051
sweep,-1,673896202,154
mark,-1,673897676,762504
sweep,-1,674671126,3373
sweep,-1,674692951,22717
concsweep,0,674712133,115520
concsweep,1,674712133,115658
collection,-1,673897629,940287
sweep,-1,727953226,92
mark,-1,727954272,786851
sweep,-1,728750120,3244
sweep,-1,728771397,19456
concsweep,0,728788499,118789
concsweep,1,728788511,118773
collection,-1,727954236,969683
sweep,-1,781462675,113
mark,-1,781463925,762331
sweep,-1,782235906,3098
sweep,-1,782257233,24415
concsweep,0,782274509,116671
concsweep,1,782274510,116693
collection,-1,781463886,939864
sweep,-1,836008533,101
mark,-1,836009702,802616
sweep,-1,836821872,11862
sweep,-1,836844118,7680
concsweep,0,836845487,125854
concsweep,1,836841298,130025
collection,-1,836009663,978115
sweep,-1,890925724,108
mark,-1,890926864,775571
sweep,-1,891713454,11918
sweep,-1,891736265,12950
concsweep,1,891731945,128102
concsweep,0,891737101,122923
collection,-1,890926801,945490
sweep,-1,945745411,105
mark,-1,945746512,771302
sweep,-1,946527665,3175
sweep,-1,946548935,20504
concsweep,1,946567066,120071
concsweep,0,946567055,120088
collection,-1,945746486,957052
sweep,-1,999252061,95
mark,-1,999253446,758367
sweep,-1,1000023634,3116
sweep,-1,1000044948,23475
concsweep,0,1000063682,114638
concsweep,1,1000063676,114668
collection,-1,999253385,937949
sweep,-1,1053314517,105
mark,-1,1053315587,765523
sweep,-1,1054090365,3127
sweep,-1,1054112045,18373
concsweep,1,1054128904,116750
concsweep,0,1054128909,116778
collection,-1,1053315543,945927
sweep,-1,1106612391,88
mark,-1,1106613845,757600
sweep,-1,1107382678,3124
sweep,-1,1107404079,24034
concsweep,0,1107422691,113354
concsweep,1,1107422688,113373
collection,-1,1106613771,936978
sweep,-1,1160694795,111
mark,-1,1160695882,768948
sweep,-1,1161473996,3115
sweep,-1,1161511408,6519
concsweep,1,1161512027,128250
concsweep,0,1161512017,128275
collection,-1,1160695790,957844
sweep,-1,1213689396,108
mark,-1,1213690547,773412
sweep,-1,1214473067,3156
sweep,-1,1214511161,13840
concsweep,0,1214511487,127647
concsweep,1,1214511487,127682
collection,-1,1213690501,962334
sweep,-1,1267278929,106
mark,-1,1267280158,761871
sweep,-1,1268053831,3178
sweep,-1,1268075193,20737
concsweep,0,1268096693,116468
concsweep,1,1268096688,116471
collection,-1,1267280075,949388
sweep,-1,1320767298,112
mark,-1,1320768565,848702
sweep,-1,1321623628,3570
sweep,-1,1321638292,4687
concsweep,1,1321648827,118285
concsweep,0,1321627309,139862
collection,-1,1320768522,1004300
sweep,-1,1374403419,112
mark,-1,1374404707,760639
sweep,-1,1375175637,11514
sweep,-1,1375197968,4331
concsweep,0,1375193751,130241
concsweep,1,1375200109,123926
collection,-1,1374404617,935528
sweep,-1,1428728203,105
mark,-1,1428812121,778301
sweep,-1,1429599708,3303
sweep,-1,1429621581,22441
concsweep,0,1429639361,114999
concsweep,1,1429639370,114991
collection,-1,1428812071,957706
sweep,-1,1482603872,113
mark,-1,1482604933,764704
sweep,-1,1483380511,3061
sweep,-1,1483401795,18138
concsweep,1,1483420368,118410
concsweep,0,1483420375,118377
collection,-1,1482604868,950528
sweep,-1,1536014740,103
mark,-1,1536015988,778521
sweep,-1,1536803271,3231
sweep,-1,1536824963,23517
concsweep,0,1536843393,114612
concsweep,1,1536843397,114613
collection,-1,1536015941,956699
sweep,-1,1589691213,112
mark,-1,1589692517,766814
sweep,-1,1590469584,2982
sweep,-1,1590490676,18152
concsweep,0,1590507359,119411
concsweep,1,1590507366,119405
collection,-1,1589692426,951046
sweep,-1,1643337254,84
mark,-1,1643338424,756859
sweep,-1,1644106812,3103
sweep,-1,1644119780,36907
concsweep,1,1644150241,114320
collection,-1,1643338384,927342
concsweep,0,1644150247,114336
sweep,-1,1696713486,106
mark,-1,1696714884,765268
sweep,-1,1697489182,3396
sweep,-1,1697510281,22519
concsweep,1,1697528281,113322
concsweep,0,1697528276,113324
collection,-1,1696714798,943191
sweep,-1,1749876947,99
mark,-1,1749878038,767782
sweep,-1,1750655620,3112
sweep,-1,1750677133,22550
collection,-1,1749877997,937785
concsweep,0,1750694931,120813
concsweep,1,1750694916,120892
sweep,-1,1803540580,112
mark,-1,1803541980,758566
sweep,-1,1804312264,3416
sweep,-1,1804334293,23716
concsweep,1,1804353147,117218
concsweep,0,1804353146,117227
collection,-1,1803541940,943374
sweep,-1,1858812633,114
mark,-1,1858813628,761511
sweep,-1,1859586053,11482
concsweep,0,1859607524,134096
collection,-1,1858813586,928339
concsweep,1,1859610546,131102
sweep,-1,1912297510,95
mark,-1,1912298596,798656
sweep,-1,1913105526,11400
sweep,-1,1913127839,10903
concsweep,0,1913120630,128539
concsweep,1,1913130015,119239
collection,-1,1912298515,966738
sweep,-1,1965951835,115
mark,-1,1965952896,769670
sweep,-1,1966731921,3455
sweep,-1,1966753447,32604
concsweep,1,1966772394,116761
concsweep,0,1966772393,116774
collection,-1,1965952857,949460
sweep,-1,2019257630,114
mark,-1,2019258698,764235
