event_type,gc_thread,start_ns,time_ns
sweep,-1,7663129,224
mark,-1,7668235,38402
sweep,-1,7715419,4039
concsweep,0,7745822,14136
concsweep,1,7744934,15096
collection,-1,7668150,156349
sweep,-1,12572624,60
mark,-1,12573111,16213
sweep,-1,12593279,1757
concsweep,0,12626233,20534
concsweep,1,12625734,21037
collection,-1,12573027,106156
sweep,-1,15728855,78
mark,-1,15729166,14109
sweep,-1,15746553,1495
concsweep,0,15778534,24483
concsweep,1,15778192,24861
collection,-1,15729135,106540
sweep,-1,18865047,65
mark,-1,18865427,13965
sweep,-1,18883123,1395
concsweep,0,18914810,21331
concsweep,1,18914769,21406
collection,-1,18865397,102702
sweep,-1,22036153,53
mark,-1,22036441,13237
sweep,-1,22053557,1474
concsweep,1,22084953,21290
concsweep,0,22085281,20999
collection,-1,22036407,104262
sweep,-1,25175315,65
mark,-1,25175603,13480
sweep,-1,25192565,1454
concsweep,0,25224685,20366
concsweep,1,25224387,20677
collection,-1,25175571,101728
sweep,-1,28308742,62
mark,-1,28309028,12324
sweep,-1,28324691,1383
concsweep,0,28356666,20528
concsweep,1,28356401,20833
collection,-1,28308997,100406
sweep,-1,31437231,61
mark,-1,31437619,12888
sweep,-1,31453870,1383
concsweep,0,31485770,20621
concsweep,1,31485773,20645
collection,-1,31437555,107672
sweep,-1,34597881,54
mark,-1,34598164,12240
sweep,-1,34613592,1427
concsweep,1,34646371,20354
concsweep,0,34646361,20384
collection,-1,34598135,100820
sweep,-1,37722297,61
mark,-1,37722660,12254
sweep,-1,37738302,1325
concsweep,0,37770756,19788
concsweep,1,37771186,19378
collection,-1,37722569,100530
sweep,-1,40858676,60
mark,-1,40858940,12599
sweep,-1,40874921,1397
concsweep,0,40907470,22750
concsweep,1,40907685,22573
collection,-1,40858909,103403
sweep,-1,43993211,52
mark,-1,43993522,12229
sweep,-1,44008908,1340
concsweep,0,44042092,19262
concsweep,1,44042386,19005
collection,-1,43993427,100149
sweep,-1,47153604,55
mark,-1,47153835,12369
sweep,-1,47169431,1442
concsweep,0,47201292,21632
concsweep,1,47201867,21054
collection,-1,47153809,101264
sweep,-1,50283185,67
mark,-1,50283444,12347
sweep,-1,50299190,1290
concsweep,0,50333872,20469
concsweep,1,50334633,19746
collection,-1,50283413,103398
sweep,-1,53419638,54
mark,-1,53419905,12679
sweep,-1,53435939,1413
concsweep,0,53468769,20192
concsweep,1,53469133,19813
collection,-1,53419874,101181
sweep,-1,56539300,54
mark,-1,56539582,11947
sweep,-1,56554784,1436
concsweep,1,56587872,19964
concsweep,0,56587663,20135
collection,-1,56539551,100708
sweep,-1,59677568,56
mark,-1,59677807,12031
sweep,-1,59692940,1264
concsweep,0,59725502,19870
concsweep,1,59725966,19404
collection,-1,59677776,99674
sweep,-1,62980048,62
mark,-1,62980429,16590
sweep,-1,63001695,1845
concsweep,1,63034451,20680
concsweep,0,63034431,20728
collection,-1,62980381,107177
sweep,-1,66134671,67
mark,-1,66134959,15655
sweep,-1,66154053,1459
concsweep,0,66186253,20749
concsweep,1,66186810,20206
collection,-1,66134928,106871
sweep,-1,69264822,69
mark,-1,69265165,13335
sweep,-1,69281808,1361
concsweep,0,69314189,19843
concsweep,1,69314578,19463
collection,-1,69265134,73961
sweep,-1,72405422,47
mark,-1,72405750,13422
sweep,-1,72422420,1352
concsweep,1,72455256,19587
concsweep,0,72454916,19945
collection,-1,72405719,101908
sweep,-1,75544336,76
mark,-1,75544611,13284
sweep,-1,75560933,1271
concsweep,0,75593610,23373
concsweep,1,75594187,22809
collection,-1,75544580,105521
sweep,-1,78675791,67
mark,-1,78676127,12901
sweep,-1,78692447,1384
concsweep,0,78724806,19809
concsweep,1,78724809,19804
collection,-1,78676096,100768
sweep,-1,81809259,64
mark,-1,81809521,12127
sweep,-1,81825107,1300
concsweep,1,81857909,20046
concsweep,0,81857481,20476
collection,-1,81809490,100678
sweep,-1,84941332,75
mark,-1,84941618,12312
sweep,-1,84957213,1275
concsweep,0,84989731,22810
concsweep,1,84990069,22509
collection,-1,84941586,103146
sweep,-1,88061877,52
mark,-1,88062194,12086
sweep,-1,88077542,1309
concsweep,1,88110415,19592
concsweep,0,88109960,20040
collection,-1,88062163,99926
sweep,-1,91184710,51
mark,-1,91184965,11687
sweep,-1,91199981,1307
concsweep,0,91232189,19953
concsweep,1,91232496,19653
collection,-1,91184934,99458
sweep,-1,94315482,62
mark,-1,94315755,12155
sweep,-1,94331236,1311
concsweep,0,94363746,22988
concsweep,1,94364109,22636
collection,-1,94315724,103490
sweep,-1,97440136,61
mark,-1,97440462,11839
sweep,-1,97455639,1291
concsweep,0,97488187,19546
concsweep,1,97488611,19157
collection,-1,97440431,99987
sweep,-1,100587256,66
mark,-1,100587517,12238
sweep,-1,100603069,1282
concsweep,0,100635399,20495
concsweep,1,100636081,19851
collection,-1,100587486,103150
sweep,-1,103716810,61
mark,-1,103717108,11430
sweep,-1,103731634,1238
concsweep,0,103764233,19444
concsweep,1,103764546,19135
collection,-1,103717082,76125
sweep,-1,106846346,46
mark,-1,106846603,11593
sweep,-1,106861344,1300
concsweep,1,106893943,19860
concsweep,0,106893539,20239
collection,-1,106846571,99615
sweep,-1,109981176,68
mark,-1,109981447,12106
sweep,-1,109996957,1328
concsweep,1,110029674,21524
concsweep,0,110029325,21876
collection,-1,109981415,102884
sweep,-1,113111489,58
mark,-1,113111783,11686
sweep,-1,113181870,1511
concsweep,0,113214592,21370
concsweep,1,113214726,21233
collection,-1,113111751,157088
sweep,-1,116312410,61
mark,-1,116312679,13101
sweep,-1,116329151,1402
concsweep,0,116363906,18628
concsweep,1,116364145,18423
collection,-1,116312644,102164
sweep,-1,119429548,62
mark,-1,119429823,11361
sweep,-1,119444500,1350
concsweep,0,119476673,23077
concsweep,1,119477017,22797
collection,-1,119429790,102357
sweep,-1,122559540,62
mark,-1,122559809,12739
sweep,-1,122576031,1381
concsweep,1,122608704,20138
concsweep,0,122608296,20532
collection,-1,122559777,100908
sweep,-1,125685374,53
mark,-1,125685617,11790
sweep,-1,125700732,1313
concsweep,0,125735140,17673
concsweep,1,125735739,17100
collection,-1,125685586,99666
sweep,-1,128822275,70
mark,-1,128822610,12763
sweep,-1,128838708,1432
concsweep,0,128870394,25175
concsweep,1,128871361,24240
collection,-1,128822577,105733
sweep,-1,131955364,52
mark,-1,131955666,11855
sweep,-1,131970594,1289
concsweep,1,132004085,18773
