event_type,gc_thread,start_ns,time_ns
sweep,-1,9187209,146
mark,-1,9190721,137187
sweep,-1,9333847,4263
concsweep,1,9365249,22757
concsweep,0,9364525,23543
collection,-1,9190673,247211
sweep,-1,21452596,54
mark,-1,21453232,144106
sweep,-1,21602642,3787
concsweep,0,21634272,41301
concsweep,1,21636465,39111
collection,-1,21453193,257888
sweep,-1,32825786,72
mark,-1,32826376,163063
sweep,-1,32994804,3698
concsweep,0,33027524,35218
concsweep,1,33027624,35146
collection,-1,32826342,244914
sweep,-1,44168137,63
mark,-1,44168735,131374
sweep,-1,44306821,3777
concsweep,1,44341141,31180
concsweep,0,44341146,31212
collection,-1,44168709,210434
sweep,-1,55508524,112
mark,-1,55509177,147133
sweep,-1,55661621,3697
concsweep,1,55694705,35996
concsweep,0,55694711,36026
collection,-1,55509145,226855
sweep,-1,81205349,123
mark,-1,81206123,155199
sweep,-1,81368909,4221
concsweep,1,81403272,92469
concsweep,0,81403269,92446
collection,-1,81206098,292513
sweep,-1,105346906,113
mark,-1,105347682,163366
sweep,-1,105518268,4227
sweep,-1,105541047,50769
concsweep,1,105552952,76031
concsweep,0,105552949,76043
collection,-1,105347649,320625
sweep,-1,129573133,140
mark,-1,129574097,150127
sweep,-1,129731269,4410
concsweep,1,129765336,92748
concsweep,0,129765334,92793
collection,-1,129574066,318512
sweep,-1,153711275,123
mark,-1,153712060,156090
sweep,-1,153878004,4378
concsweep,0,153916979,98129
concsweep,1,153916975,98192
collection,-1,153712029,356749
sweep,-1,177854541,140
mark,-1,177855370,157563
sweep,-1,178022912,12713
concsweep,0,178037159,97027
concsweep,1,178049223,84974
collection,-1,177855336,289728
sweep,-1,201987950,132
mark,-1,201988756,149124
sweep,-1,202148214,4230
concsweep,0,202186375,90177
concsweep,1,202186370,90198
collection,-1,201988725,306840
sweep,-1,226137324,131
mark,-1,226138144,148517
sweep,-1,226295894,4599
concsweep,0,226333387,89272
concsweep,1,226333390,89261
collection,-1,226138113,287286
sweep,-1,250342032,143
mark,-1,250342830,148909
sweep,-1,250499235,4341
concsweep,1,250531989,98869
concsweep,0,250531986,98900
collection,-1,250342798,346728
sweep,-1,274493057,128
mark,-1,274493864,149645
sweep,-1,274653793,4362
concsweep,0,274692935,88033
concsweep,1,274692940,88062
collection,-1,274493831,302109
sweep,-1,298648138,204
mark,-1,298648999,148502
sweep,-1,298807263,4752
concsweep,0,298847350,89523
concsweep,1,298847352,89556
collection,-1,298648972,293794
sweep,-1,323145110,129
mark,-1,323145945,153118
sweep,-1,323308606,4775
concsweep,0,323315314,88741
collection,-1,323145916,259005
concsweep,1,323315332,88728
sweep,-1,347902971,129
mark,-1,347903732,152069
sweep,-1,348065484,4555
concsweep,0,348072425,113326
concsweep,1,348072319,113572
collection,-1,347903699,282412
sweep,-1,372178095,145
mark,-1,372178878,147711
sweep,-1,372336789,12533
concsweep,0,372351737,96109
collection,-1,372178847,270082
concsweep,1,372362606,85283
sweep,-1,396328822,129
mark,-1,396329599,162721
sweep,-1,396501974,4417
concsweep,1,396541571,86933
collection,-1,396329566,300041
concsweep,0,396541569,87009
sweep,-1,420457992,126
mark,-1,420458819,150497
sweep,-1,420618510,4220
concsweep,0,420657050,87120
concsweep,1,420657053,87120
collection,-1,420458788,345300
sweep,-1,444724249,144
mark,-1,444724845,150318
sweep,-1,444880984,4207
concsweep,0,444913949,121450
concsweep,1,444913944,121456
collection,-1,444724818,312743
sweep,-1,469009096,330
mark,-1,469010118,148798
sweep,-1,469166423,4269
concsweep,1,469200194,86068
collection,-1,469010086,276986
concsweep,0,469199803,86462
sweep,-1,493209333,140
mark,-1,493210096,147859
sweep,-1,493367723,4545
concsweep,1,493405725,82977
collection,-1,493210070,278995
concsweep,0,493405715,82989
sweep,-1,517436163,147
mark,-1,517436943,149978
sweep,-1,517595512,4679
sweep,-1,517604114,70069
concsweep,1,517634532,66764
collection,-1,517436912,264825
concsweep,0,517634530,66794
sweep,-1,541646876,136
mark,-1,541647900,147119
sweep,-1,541804263,4432
